group,ASCL1,ATF3,BHLHE40,E2F1,E2F2,E2F7,EBF1,EGR1,ELF1,EPAS1,ETV1,ETV5,ETV6,ETV7,FOSL1,FOSL2,FOXA1,FOXD2,FOXO3,GATA2,GMEB2,HES1,HEY1,HOXA4,IRF3,KLF4,KLF5,MAF,MAFK,MEIS1,MXI1,MZF1,NR2F2,NRF1,PAX5,POU2F2,RFX2,RXRA,SP1,SPI1,SREBF1,STAT1,STAT4,STAT5B,TAL1,TBP,TBX21,TCF12,TFAP4,USF2,ZBTB33,ZBTB7A,ZEB1,ZFP42,ZNF263,ZNF76
healthy,0.165658349114125,-0.0571598592622,0.0544651625376035,-0.147972865871823,-0.041025097719901,-0.115891559763319,0.116806673841281,-0.011825927654648,0.0979462638987049,0.0178712762919885,0.0209718681343597,-0.0919738467957289,0.21863483428192,-0.220842957340048,-0.0208962534544396,-0.110323952013709,0.0924930331868843,0.0786719946711438,-0.0119812169775302,0.186198417269912,0.148529827769008,-0.0036631712913318,-0.0209601259617757,-0.0188486382099137,-0.169711162027951,-0.042956523666461,-0.161722703254697,0.0665077337311962,-0.0965873768735915,-0.0142948354068891,-0.121433675356299,0.0532107340071328,0.140740628934891,0.0329627376143335,0.0057856633507501,-0.0412961192964638,-0.169801961492634,-0.138279387475227,-0.125563889060921,0.0937269208738155,0.0254048486656307,0.0350130473736759,0.0756250134412847,0.1976482827472,-0.0185916315211745,0.0266196450897783,0.0502562917388635,0.0750382106452022,-0.0840002249078562,-0.0195515507191362,-0.160562868111248,-0.115178583184411,-0.0543511550007906,0.0233387845215579,-0.0342480609741803,-0.0809512335926825
healthy,0.100944511579454,-0.0664420992495618,-0.0272373103368785,-0.09173853906436,0.0205431450923605,-0.140465147775263,0.026140720905936,0.020727054501845,-0.046420963844468,-0.0273984759648424,0.0060569523186443,-0.021707546903468,0.200220216145458,-0.065286703177909,0.0486863601978861,0.0475996742872478,0.0031889854097317,0.0060954292107851,-0.0124260091718067,0.175778691137193,-0.110495419477197,0.0413476760864482,-0.115502159728515,0.0250222016814433,-0.0187215876501093,-0.0876159294034859,-0.152705807098089,0.149703041387228,0.0474732627535021,0.0196509783657792,-0.144079489781074,-0.0106086972354393,-0.164967526364575,-0.0418804511636345,0.0425929420162039,-0.0526385830239377,-0.0336776749303132,-0.137931694010872,-0.0813253106656095,-0.0754879595328884,0.0967588737128081,0.0142912346745772,0.060449603605774,0.0379589922946922,-0.0050196762758251,0.0588411913076039,0.094863941639262,0.113697943422139,-0.012340763882613,-0.0067898247915657,-0.0588261445005664,0.0398113655658352,0.093363881514283,-0.0169419984699691,-0.128369426192779,-0.044503016660078
healthy,-0.172805336904977,-0.339582289904277,0.30629919305552,-0.367046965554126,-0.007972602071952,-0.282715858621243,0.133399767793522,0.301968017116901,0.202297697935634,-0.0735437621372735,0.314356586620288,-0.110513768156809,0.207437862557443,0.11519315391838,0.0299324090141994,-0.146336367792952,-0.101080610953536,-0.211815194439139,-0.214004086476279,-0.0939603326874442,0.0537749413144916,0.196996208226103,-0.306072057797035,0.2043508891315,0.240229388384264,0.0357112364457491,-0.466554834549454,0.0422095776444775,0.139698089139093,-0.0611866846174415,-0.222202418779757,-0.259618927293653,0.232329341689125,-0.0044291079326072,-0.0622431679919039,-0.170029579641988,0.142103139998057,-0.148109032705906,-0.066402370784087,0.289377775104126,0.104763170462313,-0.246932825836234,0.111513006103387,-0.0630953895161079,-0.0160076336367738,0.307567162595101,0.319733312562669,0.355825553560228,0.244812704754635,0.329824587623301,0.10725322276065,0.30464817333101,0.332116364239877,0.264742635335337,-0.222870872467617,-0.169061279204725
healthy,0.0475862579252545,-0.0169561347524272,0.0913305243295193,-0.146140655394685,0.0117176560982552,-0.0362924739563508,0.0466029836392714,-0.0089476740738901,0.0182978184076025,0.0447881755339794,0.134924829969636,-0.0253085892096934,0.106391340263645,-0.0466309779813502,0.0218402822068131,-0.0136936711730209,-0.0584923810313156,0.161814915856625,-0.0196739184803557,0.148026704613446,-0.0638575214929452,-0.0217059411722845,-0.192716644354574,0.0747120067195354,0.115000386172593,0.0783911403129633,0.0455170924629415,-0.145227951993772,-0.0518291482666019,0.023475503180796,0.0878236394344304,-0.041958955921696,0.222194815307935,-0.137749710137036,-0.154425117642244,-0.182608543647911,0.0029724705192468,0.0226386681199193,0.0884327785967707,0.105629949443479,-0.0796607990282387,-0.0149155391955632,-0.12558461410406,0.0243374131142881,0.116577278342926,0.115771981882776,-0.0319392079789622,0.0087754291621522,-0.137714381148588,0.10005593627748,0.121914329797449,0.0038034022689777,0.0446469958978284,0.0244785662442312,0.0627273308701146,0.0361826625238763
healthy,-0.0244936195043138,-0.212087796337286,0.0282557120079635,-0.0819433015696543,-0.07513933647638,0.0409905516023631,0.0816770417708197,0.054476864431123,-0.0066866072969655,-0.0512141282796758,0.0307931230854117,-0.101829160173595,0.22123923530177,-0.0374529170178675,0.0001168053386261,-0.120489566165507,0.0102460447930282,-0.034947879960625,-0.0284871850122231,0.0027365213361486,-0.1549107825799,0.0942965958489529,-0.117471363568924,0.114845863677703,0.0611036980617506,0.066834406997255,-0.0929465065287805,-0.043052670933281,0.0307383057537128,-0.0423178864307966,0.026729063977191,0.0014266622099227,0.14164851050837,-0.239741573003483,0.0119345741994758,-0.12861246196565,-0.0723531097332944,-0.0929612763158076,0.0029193961037659,0.114603170145162,-0.0512572740972293,0.0417145823469342,-0.060429034484719,0.0301415387099407,-0.0187325299061201,-0.0350965542152898,-0.0717635787577008,0.0145481252202454,0.127618973932473,0.0383338525091107,0.0321686096744827,-0.0640953398459073,0.0831574862998847,0.0784796399414064,-0.0226049966899835,-0.0835938083579569
moderate,0.317692744053096,-0.293726630857901,0.256215996328608,-0.144647502864235,-0.132471119135513,-0.312312658885508,0.31351685754124,-0.161983406802683,0.228380217376657,-0.27369797079277,-0.0923962889737776,0.0727768618956903,0.0898659358290667,-0.0885857067735146,0.0761337192453114,-0.196143327853048,0.134101958411918,-0.174127176817812,-0.242635533350957,0.208463682951664,0.0842825909394018,0.343218632420352,0.0483071560993996,0.183009575473666,0.308952473605929,0.225805013975891,-0.296783360124193,0.205312696469165,-0.0075783621013683,0.169987641540887,-0.235240309795148,-0.191825466729273,0.296444679252268,-0.11902018943163,0.198380362371114,-0.232806722613844,0.149458768003541,-0.0168706593302576,-0.237797030384915,0.243031198623555,0.243325387631882,-0.0206002448352244,-0.147003370081279,0.19267373047622,-0.146345003137654,0.0067909738732005,0.040870563814261,0.313927319302423,0.33256838617165,0.222743369613045,-0.0600291493914875,0.195236031748532,0.312168175526389,0.302367217003082,-0.296560747209435,-0.238386176385404
moderate,0.24542317477092,-0.172431028066283,0.138996361280656,-0.130584076038634,-0.0085886156255867,-0.172814552296292,0.175093999694096,-0.0088945972870299,0.0479035076509837,-0.135256453744024,0.134742004983871,-0.0607897110044086,0.223023944535722,-0.0873739923938073,0.0616137396541166,-0.133992585260682,0.0420502411621169,-0.0550886411766697,-0.101740090189236,0.180316458941609,-0.0683179698851909,0.11168829404837,-0.0947954497130618,0.0252369342289508,0.138398546758505,0.192546664230754,-0.122954691462424,0.106652586711208,-0.0074037328734295,-0.0156743257855224,-0.140782121242849,0.0329822180982553,0.0810071105658229,-0.0715703970910102,0.0882875283120111,-0.092370168689316,-0.002882622699135,-0.209036360765649,-0.0646376417364998,0.170850243437506,0.0227647773046159,0.0693914914562172,-0.0742521094006212,0.0319105171489243,-0.112725733327759,0.013345500073257,0.014060960308841,0.0526860270543374,0.140593369122011,0.13535733425236,-0.121080055480959,0.0840288414519847,0.11625991921588,0.088628254489906,-0.0047224399627914,-0.118113203488095
moderate,0.0585844321510265,0.0143861902019503,0.0068832698527404,0.0241649666627538,0.0237790330090601,-0.040822262925546,0.0421041788872255,0.0035496667014366,0.0072756352026701,-0.152663124411509,-0.0350158200143607,-0.0028330306888637,0.119573792681976,0.301147774228612,-0.0438443312885375,0.0014396638719627,0.0323314356284673,-0.184717750035431,-0.152580285439171,0.0796002347136449,-0.122018610330376,0.0689866448031098,-0.0275065317279854,0.393530618671891,0.0651208845398206,0.503105546551605,0.0222551752845114,-0.0027797599854669,-0.202856400632405,-0.0987403330910833,-0.0781405106441283,0.0364974772041268,0.0436487981591034,-0.263964990625176,-0.154762965639123,0.0809989971418864,-0.0329559158745265,-0.0948263709705014,0.0199492886507156,0.0847509873137648,-0.0470870140053184,0.311556043992392,-0.12480127135355,0.0899807772516445,-0.408926075110325,0.0381114583748172,-0.0426574322816602,0.166475387340417,0.158251734458355,0.0913453090289151,0.152526034440065,-0.0272900856234295,0.0297228368677387,0.0732288704981245,0.0469451421035878,-0.0766201756082244
severe,0.23230951591744,-0.180473186756944,0.21539342592451,-0.175946663371112,-0.0470447079589054,-0.0848508785132506,0.293587964584804,0.19563322485153,-0.0370724164078328,-0.130294762683565,0.0600674288206925,-0.0187217931860676,0.165230451541434,0.0235893183623108,0.0572681572234943,-0.0780046136124697,0.124074056922544,-0.0070215422269584,-0.102683713030366,-0.0227309996135183,-0.0205751899269815,0.204966795541943,-0.0245982185201085,0.131139023393547,0.273029781110813,0.277838314416141,-0.173247260459022,0.106747311802611,-0.267561699347057,0.169545679773464,-0.113940097925149,0.124140007050924,0.161112743472156,-0.113744441160159,0.185764788241537,-0.12920450988171,-0.153760790158521,-0.147857168652083,-0.147485715640019,0.244835275672346,0.0886485775010788,0.0835031701851911,-0.181923735771604,0.0110717905797959,0.0140660349098947,0.0631096025717027,-0.0242665573058192,0.182420413830725,0.209486054035234,0.0686611126630984,-0.187326291978622,0.218594271533035,0.278856602324688,0.112387062033588,-0.004907552847152,-0.114502042080559
severe,0.243361184311933,0.107732381767605,-0.156689226823231,-0.380685284239988,-0.319406734549289,-0.228186122483898,0.139733504554193,0.365066431517586,0.0877706835062303,-0.224117311759479,-0.0570073250501608,-0.312242704636289,0.265501903948272,-0.322765479842721,-0.315217477844431,-0.0803869407242165,0.192179241231108,-0.138237387637446,-0.343527780110982,0.108627400489359,-0.54794045281566,0.154696128773776,0.189639690277113,-0.0679320179846054,0.111743960442259,-0.306289601425952,-0.199766529636439,0.0170501389839057,0.322589418537087,-0.432285797311893,-0.0275417114061431,0.45577826036091,0.118936606380141,0.16069417692715,-0.507042009704959,-0.405798675342528,-0.365909068363284,-0.249940768293006,-0.427854840283874,-0.170421200300403,0.317044699953041,0.0497863864323099,0.459244194493309,0.300049044587132,0.163974834423868,0.0144278117319458,-0.295424242283213,0.156646060277222,0.114664088359947,-0.0350222959898785,-0.330993799539916,-0.174296165748922,0.162610803904461,0.202350217171185,-0.187793067473668,-0.319641159611887
