group,ARNTL,ASCL1,ATF1,BARX2,BCL6,BHLHE40,CDX2,CEBPD,CLOCK,CTCF,CTCFL,E2F7,EGR1,ELF1,ELK1,ETV1,ETV7,FOSL1,FOXD2,FOXH1,FOXO3,GTF2I,HSF1,HSF2,IRF1,KLF1,KLF3,KMT2A,MEF2A,MITF,MZF1,NANOG,NR2F2,POU2F2,PPARG,RFX2,RUNX2,RUNX3,SP4,SPI1,SPIB,STAT4,STAT5B,TAL1,TFAP4,THAP1,USF2,YY1,ZBTB7A,ZEB1,ZFP42,ZNF384
healthy,0.0173798603741748,0.0951985517245751,0.0078001617147129,0.0826396675221522,0.111418998506779,0.0598952901847508,-0.0188144399245376,-0.0020519558163616,-0.0612003992288334,0.0402258765183416,-0.186878797870639,-0.0490013198518203,-0.0657104042694032,0.0534422607932924,-0.0585421576157756,0.0236154319193547,-0.134917263373778,-0.0058637060897087,0.0957420221652112,-0.010068513306628,-0.033353155582744,-0.176414056159246,0.0372328500152255,0.0596770732302297,-0.0748499960252317,-0.0421622164048694,0.0692730717251257,-0.0554059535397559,0.0495887992807833,0.0380066899504105,0.0104381717882098,0.0456555950926869,0.0321685393701796,0.0335899474280453,-0.0043965824683339,-0.133321487358294,-0.032061437026511,0.154603790449029,0.0177721582095042,0.0517495277058855,-0.0609185227081886,0.0301906970276239,0.0754380825138506,-0.0033401920060824,-0.176231240427538,-0.22466968548886,-0.023575532781633,0.121384818878753,-0.238497442380017,-0.181046528393579,0.0479686943567344,0.0384741326936154
healthy,0.0312545887996777,-0.0075962484049561,0.0406397686855674,0.0273756898027436,0.0655335490261737,-0.0156405751071197,-0.0814178072028516,-0.0317715979096634,-0.0800291818923178,0.0687370028966869,-0.0768864787032941,-0.0479099123947943,-0.041847134452885,-0.0350690312435111,0.0403038670419932,-0.0399615061362368,0.0368553173884456,-0.0253460567580298,-0.0310914824245272,0.009506893355991,-0.0682182128872768,-0.0857710857801781,0.0484894971079268,0.044198678075133,0.0634406080084373,-0.0349819552667095,0.072499511111687,-0.0215380335561667,-0.0359832929817373,-0.0297296906659952,0.0414766273321803,0.0581147382342082,-0.0329017366742996,-0.0754268215188633,-0.0075023809982146,-0.0287894718184054,-0.0344590231653797,0.0898816177609021,0.039088573270721,0.0418383860345888,-0.0337819332082545,-0.0182193214757129,0.0799758829742627,0.0473446469134384,0.0527623470656292,-0.0935272829655751,0.0715073740433486,0.0407873031963124,0.0721239374321704,0.0863183261581461,0.0546834813141729,0.0660150442002214
healthy,0.0400333335722055,-0.0835885589575244,0.0007935148298595,0.0584536488353136,0.141662394553155,0.102989339693979,-0.0761284906392977,-0.077434718757266,-0.0778657563111454,0.103217441635346,-0.10203872039505,-0.143874356522883,0.0856523978708002,0.0257465648565285,-0.124420416847854,0.083902546332536,0.0918877570899052,-0.0205760056025249,-0.0671188854656449,-0.0516289046781564,-0.0661020295996623,-0.079365646814159,-0.0496006887925397,0.0535194812260187,0.0618256180670637,-0.0962422344989545,-0.0319270034399996,-0.105450814168725,0.0097016711111817,0.0761939436294384,-0.127983508594656,0.0665209082014432,0.0533979241289064,-0.0715727852750085,-0.0596186926054934,0.0426431742824462,0.0179633656313123,0.134310632776242,0.0761810335242992,0.123528922479996,0.0124780084054905,0.0308692934949662,0.0025465060797545,0.0451102310672001,0.123138776833018,-0.115285271844779,0.149516899277455,0.106889131738312,0.0896999509050123,0.107385135924248,0.110694543294468,-0.027606830487804
healthy,0.0665906343832817,-0.0616399699654979,-0.103745893751006,-0.0390845236132621,-0.131558320578882,0.0816684354672841,-0.0703488857364856,-0.0329863476394656,0.0006184720711582,-0.0316349365905119,-0.0165402393247354,-0.11411720859316,0.115451266091661,0.069130088924974,0.10498008234153,0.104299003680052,-0.0535126192592158,0.122687159883891,0.179549135337562,-0.0310026187220743,-0.0494094703431513,-0.0887047086206606,0.111167350710051,0.0360910947486514,0.0558109989281575,0.052084680224535,0.118770258297706,-0.0008059478706296,0.0689186258392523,-0.0788879287322798,-0.0939824370027345,-0.005148349744542,0.120048736051954,-0.161703293649985,0.0076384878469484,0.0440584495752604,-0.097497878506133,0.0214358191660101,-0.0378155901227678,-0.0393051113931232,0.0381703192222716,-0.0152411648603109,-0.0053010768641364,-0.0305220981162475,-0.032178445557208,-0.0991714283012891,0.122369265972618,0.0280036031557494,0.0173985804784908,-0.0183189461169739,0.0187632136401617,0.0814442265370562
healthy,0.0062551314700057,-0.0318006240460635,-0.0464386736193883,-0.0297062234040592,-0.0226994708127427,0.0786940793622434,-0.009649452914525,-0.0075728681750078,-0.0611158056660208,0.0263286303920965,-0.0869982921061914,0.0189829349070565,0.0853000184437279,0.0016529476499823,0.191413872492373,0.0499708512571577,-0.062171103319133,0.0216931868247275,-0.0284411060689339,0.0713084929995686,-0.0167658184881872,0.020223106877971,0.139564192127382,0.0828811486676661,-0.0003054882434167,-0.0154350764401463,0.119769530683588,-0.0755267268455054,0.0405143057631602,0.105867536572364,-0.0172742295065629,-0.0163255659212209,0.128541304557116,-0.151304358031295,-0.0095630732510616,-0.0470411452497387,-0.0886746369707279,0.011129395394073,0.0551564172913783,0.092778560229996,-0.0049118004625246,-0.0427693241635389,0.0059462700764785,-0.0249674236823562,0.0831460085029248,-0.0582273194200622,0.0325803156233814,0.138846958089862,-0.0671063740848222,0.0688028471097021,0.08789758544261,-0.0756556042137079
moderate,0.259014152669975,0.296059853187598,-0.0686003937247148,0.113507692653825,0.181115110628645,0.359200692939672,-0.276049760440631,-0.279115337551349,-0.364433997334085,0.0587697959371064,-0.039695593174189,-0.275702701450965,-0.202763381037146,0.310419221025142,-0.22044092284018,-0.0371903041749317,0.0077021361156621,0.0682645680700095,-0.258933323718873,0.0591338070504399,-0.281745622932349,0.0871237545896604,-0.124507935913888,-0.0801855873725387,0.174332320858272,-0.251427873086247,0.277749721444447,-0.296867785274324,-0.0633982873651238,0.0822555335814634,-0.196647136514838,-0.308993353394361,0.379846235021109,-0.409594812209008,0.209332788503883,0.204268443679398,0.0172715078048256,0.25654685276713,-0.0165076920881255,0.421279063446938,-0.158019322889258,-0.24189021003804,0.137836441026353,-0.315811170745565,0.40093054095398,-0.215674925180124,0.313106745353827,0.273594766145628,0.349123778752748,0.322660288252819,0.376050286895504,0.224464856604869
moderate,-0.0048725739152288,0.307422891327992,-0.165482043785983,-0.115850085776907,0.0307661485790302,0.176544464293914,-0.125574371752521,0.0388145940554304,-0.125128921715421,0.0037284522737497,-0.138733935205146,-0.246895493439209,0.0671311797560603,0.11968133099596,-0.0335836271145098,0.157956803634594,-0.185798968193443,0.154924764557374,-0.0172588707452364,0.15100810626767,-0.0773461750770751,-0.177397516197822,-0.153444987317378,-0.069938866495684,0.0075117722766599,-0.0024612709965859,0.0452393944197257,-0.0908287530495232,0.0799951963330456,0.0138441902480752,-0.0708007354125727,-0.165128170793095,0.0293907610408833,-0.0418356638762918,0.093312678900917,0.0408436298107034,0.0775062871856992,0.201024031144028,-0.0486778160808835,0.190855227019454,0.0420215964712392,-0.0463093843061158,-0.0373490750256739,-0.161962118909358,0.126373924269347,-0.176863022050669,0.175229317050609,0.201919825507604,0.136927657175659,0.136019571325488,0.0775279790536843,-0.0915008406412787
moderate,0.0127661004113555,0.219433884490437,-0.103292306532827,-0.0315812666751051,0.103827427966354,0.0949251918157468,-0.127386833540628,-0.0063721662166594,-0.0247616609541489,-0.0483765780830331,-0.0535947685613706,-0.0607631997091317,0.15289890379958,0.0071240925376303,-0.0837395894822742,0.085773514863722,-0.130200232330297,0.116683834985707,0.0933207987265752,-0.0228314304503764,-0.0110350083792235,-0.0455235281829289,-0.228408873204806,-0.0638983744838709,-0.0693926779579535,0.0154702981165151,0.0832304258809635,-0.0388333102960253,0.0498492716944668,-0.0219434863728387,0.0438180006825251,-0.0645087768414413,0.0308154624654817,0.104504683380365,0.072484003741537,0.0301571817933875,0.108274757514506,0.0972104763418096,0.0046735014084463,0.0350323580602958,0.0812322828173944,0.0212349916629136,0.0578566769957236,0.0392014154732889,0.0380004844726092,-0.0988846280951097,0.0644868162264309,0.0437001068545744,0.113995353246991,0.10577043672272,0.0401278949721223,-0.156176678094156
severe,-0.0225613878401386,0.195117448093405,-0.101024033488261,0.152988361703104,0.0705019948462569,0.120854850635249,-0.118890278680664,0.0279899794392389,-0.0813894765495464,0.0842349564338239,-0.187153115507252,-0.122835931991988,0.169493659957167,-0.0263309252279193,-0.181755502488046,0.0329551352352677,-0.0089961702207615,0.064947003136917,-0.0193765037266407,-0.0191322630683576,-0.0753876756935654,-2.10588680881603e-05,-0.128025793883808,-0.0932686480231167,-0.0055441808650318,-0.0277513200845249,0.101586173941425,-0.0982511340012358,-0.0382547471300418,0.0976458908759716,0.0474444103581479,-0.026258790396918,0.0572932067770713,-0.056897520495054,0.105414737132076,-0.133829646069931,0.0071712246588232,0.210538542952903,-0.0385339999153356,0.0992171919866387,0.0609600763202084,-0.0675094311973369,0.0396965526175655,0.0239967208915907,0.115415682700394,-0.136558598654064,0.0374868254213392,0.135821045803016,0.0489067822457978,0.156630678200708,0.0814623618079183,0.0582613987903094
severe,-0.0316771031892122,0.451818116817366,-0.106727898079547,-0.148627485015431,-0.0368476128593099,-0.140615835431349,0.0139791254040978,-0.0765108497963958,0.0011748589140132,-0.015988255266536,-0.113074074126829,-0.352248379750002,0.141241296403716,-0.0910640815151763,-0.167340121021404,-0.254446664042173,-0.404951662423146,0.0543196624491385,0.107116126372233,0.0421374655861026,-0.155755931382916,-0.0888485640661939,-0.26686948493021,-0.0619443756816085,-0.0483415281152635,0.147054546758044,-0.0798419583626295,0.288753028809262,-0.0243571265575316,-0.0137898560367818,0.0930342916527655,0.0028816745651754,-0.143122362607211,-0.0343551355426254,0.095591043037873,-0.288393384712835,0.338605320517734,-0.0220106385821897,0.237982974460468,0.304655692979657,-0.113527545443743,0.13499766817917,0.0155236409578603,0.0774470225970191,0.119278459641258,0.0036833240014863,-0.0972820324108808,-0.155539046775147,-0.0770337629460281,-0.184421681421667,-0.0206746100192163,-0.149705286856273
