group,BACH1,BARX2,CEBPA,E2F6,ELK4,ETV5,ETV6,FOS,FOXM1,FOXP3,GFI1B,GMEB2,HEY1,HIF1A,HNF4A,HSF1,IRF2,KLF10,KLF4,MAF,MAX,MXI1,NANOG,NFAT5,NFATC1,NFYB,PBX3,RBPJ,REST,RFX2,SPI1,SRF,TAL1,TBX21,USF2,VEZF1,ZBTB7B,ZFX,ZKSCAN1
healthy,-0.200756228183175,0.0156803804956494,-0.12718054347618,-0.191201497922723,0.178338934719432,-0.246964394029921,0.154452043800534,-0.196225213691585,0.184614738280441,0.203118074628248,-0.150752928882283,0.224775249443016,-0.165656630877199,0.0548239085844104,-0.27484385170035,0.190185325304331,-0.0241579156117947,0.242886455901965,0.112165202949479,0.221946606781802,0.188431062760187,-0.213351067540022,0.149642046488645,-0.240850959650822,0.176969040307595,0.21639791340523,-0.151723230177809,0.247880189360568,-0.0599295802389881,-0.0589785641502198,-0.0298677318396691,0.0508900283402232,-0.154445048230832,-0.110657851211689,0.0116332737264899,-0.174640130816287,-0.196822278698398,0.157511219031004,-0.195332205325367
healthy,0.0630534714550027,0.126004214684874,-0.0641422261745382,-0.133095751556145,0.0938580904081955,0.0598956243269106,-0.0086191757753403,-0.13790802803006,0.158524866548881,0.191946959680891,-0.160408012090438,0.0223936963592534,-0.162371055155637,0.190758015246447,-0.136845488692312,0.144525634179726,-0.163047121209279,0.158934480399575,-0.129749979191584,0.12870724341168,0.119215380260347,-0.0630397062939338,0.157042173974489,-0.20547965836449,0.0405878903657228,0.150983548570475,-0.151251915580821,0.167503112410332,-0.0416944424652261,-0.214086244877081,0.030478088674965,0.0915488048774025,0.223159134662719,-0.109221499897148,0.100668698814777,-0.167549854368525,-0.210155963649976,0.17304947916374,0.109121556485266
healthy,0.0665002092434594,0.311551061092336,-0.0999396574772453,-0.286012711419786,0.0984310670561436,-0.24028361256087,0.0743457259553224,-0.296193030593017,0.295771942158844,0.323727504134482,-0.29419341441796,0.2631801050578,0.132507955040112,0.271865888866908,-0.321002137389402,0.235472094478854,0.232006149615091,0.232887605539619,0.109966368825467,0.272340343601395,0.254239195141903,-0.102874557226343,0.218905468557042,-0.408105579554394,0.271248490984234,0.327262388516272,-0.320468308085969,0.355463125403778,0.215074430176947,-0.312736610513004,0.027171509741782,-0.185986100347668,0.283117444785557,0.0324292758828671,0.0343902352867075,-0.354981455382407,-0.373034001240286,0.333313208565111,-0.0586214002859441
healthy,0.377300673292871,0.199623616903802,0.0948696616309116,-0.408508221432564,0.158982047709209,-0.469150916202772,0.338464437558543,-0.318003649025198,0.37687625330034,0.467771788518672,-0.398048447760404,-0.468813819529161,0.0618766374947401,0.320157277823232,0.0875344240570112,0.122532560569748,0.375608740844853,0.321776450843206,0.295360265232855,-0.302156409993888,0.346742171215355,0.284107843733683,0.0971726922389375,-0.167737335924883,0.280673046487686,0.42784459280301,-0.337416396410706,0.358359886761614,-0.310298634186901,-0.35861287527717,0.23234289841717,0.377651024532806,0.339039133494651,-0.396534380862739,-0.0146657255636044,-0.299081962125175,-0.395690616855099,0.111733510517485,0.423573208448715
healthy,0.614907565485943,0.501418198959194,0.584278283277306,-0.502568406797333,-0.533736660810861,-0.637541818683189,0.21085648587388,-0.51134199274832,0.528959917314415,0.574558592525397,-0.542568719619145,-0.680411518908999,-0.50614733699602,0.504615617836667,0.587479818192667,0.618210547073873,0.533254740640335,0.54230112207027,0.51712508988079,-0.569683484977905,0.53443610300722,0.549867871610462,-0.522663571410408,-0.227667171238502,0.575525656508541,0.576298458046123,-0.517368658846598,0.594245634795002,-0.513448068858411,-0.586542866508118,0.540152764027078,0.559797665384154,0.509676630157501,-0.625359404189228,0.557513259949467,-0.563644904844905,-0.551231282719478,0.588878358847747,0.559695020036739
moderate,0.176241214634472,0.0273987730776284,0.328564276267002,-0.231027172166294,-0.139326650180504,-0.132419013793921,0.37328569302467,-0.0173161601770605,0.262184998589277,0.354167374275442,-0.13009317196538,0.0344448092797727,-0.118646419827768,-0.26614779729203,-0.173493077241812,-0.0362043911473366,0.236812549923038,0.307549047909944,0.191178797088681,0.237099661897482,-0.0276235515313054,-0.0595687917334193,-0.289408768137674,-0.263402825074052,0.178606314839321,0.0062935414469322,-0.182281031594742,0.325324668928043,-0.0962031871767634,-0.103057679259399,0.154233448758363,0.0042793161710238,-0.153718291053149,0.0190792135265345,0.0034522866571544,-0.0138558584807901,-0.330463330025423,0.119304214598522,-0.178883420777671
moderate,0.141090131253278,0.0979072643063167,-0.0749756810282993,-0.148488544704886,-0.0934874245400859,-0.193089674395552,0.249355499423903,0.0968958696826653,0.151057232878593,0.139529738038535,-0.0267180528838911,0.0370181018770622,-0.0242679373022008,0.0750098211476087,-0.106977646079665,0.0100913991409435,-0.0335380652718486,0.0966490055913573,0.216019737224465,0.104749360068895,0.0528472357228795,-0.0578525060922237,-0.0529316842228086,-0.249792718828041,0.0720317443061066,-0.0422212827915741,-0.0270939649593576,0.117191170513448,0.12320745726401,-0.127838699290685,0.126558014218559,-0.104388679196507,-0.0093134164271372,-0.0277102661285415,0.054306867931388,-0.135809185190311,-0.116211160395445,0.0739203782279172,-0.0032603942158222
moderate,-0.0048674529150916,0.0764030420270739,0.0433633050427489,-0.168433845154809,0.0889019947499409,-0.246634222364876,0.412850727902233,-0.0458491898787202,0.286160512719204,0.283461181960046,-0.143552522922607,-0.169867999046851,-0.0640403211946092,0.192231537271087,-0.275216726434025,-0.0167140727581875,0.147564763585583,0.500534257282101,0.150346815114749,-0.0375897544313004,0.176467719857153,0.0288757577781607,-0.0209636378338699,-0.501844485644315,0.212901227068209,0.221865301418229,-0.196359148069251,0.368827021412567,-0.214966596699893,-0.293707424254784,-0.0417788172245493,0.215240425193835,0.0633000880195311,-0.196604748549347,0.0020166469784384,-0.219148484773196,-0.319626670683967,0.173724909816277,-0.0732213370488358
severe,0.151099249309795,0.109845179341719,-0.123242142935783,-0.113691013674759,0.0783580942357574,-0.0964623902185242,0.214049881451714,0.0899971183623297,0.190905387691481,0.0288576034213298,-0.0526213854460925,-0.0705843356705031,-0.112995009606798,0.0644831646678527,-0.13891666708011,-0.0718128915057522,0.107179322773233,0.261563810786711,0.150150545403551,0.160679314204233,-0.021182197848483,-0.139431289549808,0.0708949771786155,0.0017774645664382,0.0672248687360906,-0.103311945121885,-0.122896534603837,0.0826233661811333,-0.0277809303269209,-0.0736100454448056,0.126590204584033,-0.125865499559328,-0.0951645108949496,0.0119930338833053,0.10695199148298,-0.0701430496601876,-0.189111777370145,0.0524703006059302,-0.0270813826412427
severe,-0.10668547513997,0.153863930725177,0.263927096833881,0.0049130343775047,-0.0130621151390106,0.107495656352416,0.178768210718746,0.0792411108791844,-0.0305771617447542,-0.149036721995824,0.0541450137885224,0.11595061198027,0.0407658922611294,-0.131762858367501,-0.0782445976674602,-0.124156802289606,0.281887565647423,-0.0337257692165399,0.0575225434308498,-0.0768546093507668,0.279113235438257,0.1356951895211,0.0567367225057554,0.0462622829238203,0.127332835250463,0.130529840644139,-0.125075233520681,0.436754139987763,-0.304945787573685,-0.168035810213135,-0.0319960274881756,0.143386587267928,-0.23131931961301,0.160615602155299,-0.0766019721984987,0.0648590230838152,-0.0551182959977391,-0.0839537778600627,0.0899497964030692
severe,-0.210781606957221,0.0960628863931998,-0.0794314057675379,0.139820643346797,-0.0577268058389949,0.074257649970798,0.356756676615381,0.118096619657281,-0.0384806116890021,-0.242954390506074,-0.0108791414607338,0.0749321285998515,0.172247006389294,-0.192603566717729,0.293438274704233,-0.045326952131395,-0.262760203092282,0.17404607489577,0.0215401862037737,-0.268423070602335,-0.29811481280867,0.311697068847611,-0.052491719899341,0.13187968985494,-0.165112215449306,-0.0813797466418039,-0.0917443878512597,-0.132526791687032,-0.089797270520992,-0.377758044630911,-0.292678912710298,0.0029007169339295,0.00417595566614,0.116428623301622,-0.301036024104571,0.184073935619698,-0.10291106215159,0.0152286874316303,0.110461552164995
severe,-0.174211574393357,0.0063118432790286,0.320310855687802,-0.235089128438668,0.160295230985525,0.0714022538409803,0.517136558057759,-0.0272835081459424,0.0258455276462832,0.0271407955472628,-0.285581114416767,-0.353290036329295,0.269979225554378,-0.18904462057828,0.0253553960345086,-0.0454072248628865,0.163088197857278,0.0487835751751391,0.0243998258952056,-0.0527207419853393,0.344993906037209,0.23841788301754,-0.3070089672298,0.0002439467839426,0.0909997597598137,0.259042427277211,-0.2911496660194,0.478134764009209,-0.199908234820265,-0.117083266073001,-0.125615025085907,0.319967688958097,0.258546849758639,-0.280944335086746,-0.120985705902184,-0.188108111112769,0.0036486456521274,-0.126523148694755,0.054216799723928
