group,AR,ARID3A,ATF1,ATF2,ATF3,BACH1,BACH2,BATF,BCL6,CDX2,CEBPD,CLOCK,CUX1,E2F2,E2F3,E2F6,EBF1,EHF,ELK1,ELK4,EPAS1,ESR1,ESRRA,ETS2,ETV5,ETV7,FOS,FOSL2,FOXA1,FOXD2,FOXK1,FOXM1,FOXO3,FOXP3,GATA3,GFI1B,GMEB1,GRHL2,GTF2B,HEY1,HNF4A,HOXA1,HOXA6,IRF2,IRF4,JUNB,KLF1,KLF3,KLF4,KLF5,KLF9,MAFF,MAFK,MAX,MEF2A,MEF2C,MITF,MNT,MZF1,NFYB,PAX5,PBX1,PPARG,RARA,RARG,RBPJ,RELA,RFX2,RUNX1,RUNX3,SETDB1,SIX5,SMAD3,SP2,SP4,SRF,STAT2,STAT3,STAT4,STAT5A,STAT5B,TCF12,TCF3,TCF4,THAP1,USF1,USF2,VEZF1,XBP1,YY1,ZBTB33,ZBTB7B,ZEB1,ZFP42,ZNF143,ZNF76
healthy,-0.448992792067949,-0.411351299167608,0.313670647030137,0.312502136354199,0.338572142273329,-0.286354870028412,-0.331986895444159,-0.334400696747257,0.159284191265974,-0.469210357877049,-0.487697539643324,-0.39147863010507,-0.373352014278153,-0.317658496257073,0.242603530752809,-0.160874800171351,-0.154398932874511,0.364215972890727,0.233508056121394,0.365634166284161,0.356290002707456,-0.326703330432452,-0.320965822287838,0.319684792122003,-0.3113419225997,0.235663690815871,-0.196568579999012,-0.256855580585524,0.305553184761253,-0.337713426768508,0.353240193990586,0.164519527164013,-0.45232671878579,0.17091989156924,-0.403119832982838,-0.365003894873711,0.216301067123392,-0.258955559503794,0.341461953664825,-0.347646191311934,-0.317096805327273,0.322349442153545,0.227731913240853,-0.302358766890701,-0.352304681537298,-0.24697512449436,-0.293655929732034,0.467496343313479,0.391761319204384,-0.0587806334225348,0.46747465029736,-0.332812953577242,-0.286082752081803,0.384413309713003,-0.343116969660841,0.232859759700109,-0.492904170595462,-0.257873763101703,0.224051190617704,0.282279993778338,-0.304050682770592,-0.327068700926154,-0.265444974737363,0.28175976252644,-0.391587274223304,0.316598915253071,0.332287703605725,0.147991185999579,-0.375608780308955,-0.0381700029432831,0.225284323682707,0.442960095050681,-0.256675567305452,-0.390331705929188,0.380392256936218,0.487942465398761,-0.0034620553436064,0.225059394618424,-0.509672304347603,0.216716196482735,-0.105234354345369,0.348190810209721,0.440502454455501,0.284026487809158,-0.0693659085706412,0.549840740140074,0.462418005293799,-0.275188350320849,0.273350808852077,0.330046014130474,0.285252126222645,-0.262657645396526,0.428481686118876,0.465467370949172,-0.0423136115160552,-0.397699374433139
healthy,-0.456297543997856,-0.423033070243836,0.455091564582403,0.437170042915166,0.453957826128299,-0.259184417937554,-0.455699105791977,-0.292448499012983,0.246779074556049,-0.405752983104942,-0.441953371889914,-0.384330965821589,-0.413440475675096,-0.417489872497899,0.436955592807202,-0.0743784775104167,-0.420417525412644,0.43925506707088,0.491240397444922,0.46323498079514,-0.356541831779861,-0.437568706879605,-0.431908451249115,0.450004123888132,-0.22041260314932,0.471446084484155,-0.446063748921348,-0.428408399875445,0.385210240615974,-0.389946741677161,0.438149212763172,0.228385930035499,-0.388872238193507,0.352626199530746,-0.473851355879667,-0.431626928464688,0.444832856230858,-0.44321350921929,0.44067042350422,-0.251744201818971,-0.379877359936672,0.461238253792043,0.443205746875834,-0.433228501811961,-0.435749054122241,-0.414960431372246,-0.419753664573672,0.380440465002283,0.119708794255845,-0.0725526212246089,0.414533423153165,-0.424854226285905,-0.430347426924402,0.45277355509595,-0.421473331049056,0.330820035491461,-0.439733385292488,-0.351068653783043,0.42495117030042,0.454116638836337,-0.427982990135879,-0.395902196413097,-0.293012595691197,0.397351628621925,-0.436398477081713,0.380800519538413,0.444628171523808,-0.325026693550304,-0.33985771571469,0.0984117479256163,0.37287271560361,0.478058113689657,-0.404583701288699,-0.359999894309472,0.460938584496982,0.467846705259273,-0.346816694304161,0.417889321819519,-0.434945962940915,0.245300048660699,0.330720406190018,0.256397086139027,0.3192555201005,0.396024529676698,-0.155656956459132,0.106606839054319,0.440077903242356,-0.400676422384151,0.435479878897945,0.024092743372674,0.462783261589993,-0.358728964268526,0.131459764547764,0.445092012201413,0.146705241115677,-0.357954229241194
healthy,-0.356775055033278,-0.367491934463352,0.314541474843653,0.369666760592989,0.109221288366503,0.0347556221765039,-0.294565246938497,0.0001508687221706,0.36710793076579,0.0444559353167003,-0.139747958611424,-0.35463398176776,-0.356342741244893,-0.368127546529838,0.327136375617244,-0.165004500843324,-0.254628894491791,0.345822381700334,-0.327188847972813,0.240768429837285,0.144399947509964,-0.284577860579756,-0.322413125322274,0.359678175844398,-0.358069251871677,0.322815153017176,-0.335536762117571,-0.367448573080614,0.346443243941749,-0.146159740204856,0.368285840989115,0.219345809582796,0.0045618742617944,0.421346242177629,-0.29588679809521,-0.355067274597853,0.115044029248997,-0.348006859148226,0.341672074102648,-0.0123717648635094,-0.36577221827902,0.167297181124759,0.315041749106426,0.365321762794292,0.0083625355709174,-0.344050112911113,-0.383866401674735,-0.339561741676762,0.25603304894887,-0.212418533105507,0.126295770398894,-0.358053234107345,0.13102113927592,0.200917778314708,-0.312865007693011,0.322180140145614,-0.0562155530149795,-0.401365135113798,-0.167632286236483,0.308868441743162,-0.33695229592827,-0.358424585162072,-0.382771276650235,0.396557045237402,0.148639240903957,0.348766670412769,0.234552317486572,-0.200502038685944,-0.356058696100702,0.196558774334641,0.303553566709141,0.258037404122364,-0.314953095007309,-0.278644359585378,0.382287169950527,-0.292762927453799,0.152583580596152,0.35637193594762,-0.254252118583011,0.254189625762313,0.198648150988019,0.259481592290365,0.320156380686471,0.180135948882843,-0.151398335584951,0.333072086142907,0.203769293462919,-0.313694619816354,0.335706050733729,0.105679420415449,0.204246402421897,-0.33844725516625,0.043947491673121,0.220928743475647,-0.385665200889248,-0.354287326103868
healthy,-0.413583684767747,-0.46090231931848,0.430793091327161,0.487641781706261,0.43637687548933,0.471046570649268,-0.426108398865939,-0.46531633716302,0.48990375501926,-0.195256080827322,-0.388312904168841,-0.451645777927406,-0.484570066140513,-0.448140090566958,0.487329525072491,-0.441364982926486,-0.31335397342307,0.510826519250789,0.0692047086429434,0.303888634034308,-0.491352737894193,-0.442475008110276,-0.47580466760286,0.463621709805305,-0.496532312181091,0.362411143903485,-0.479113107317785,-0.116904493575733,0.444372742585062,-0.495355150341187,0.433356730016852,0.487824065969835,0.115392558846297,0.446196671695706,-0.335747513717513,-0.463063126832089,0.444493847072166,-0.443487658917443,0.47285020141154,0.129752418971896,0.0631524926993043,0.399545597297489,0.259815105204548,0.215022285030999,0.473573186770002,-0.486801464551137,-0.485987050456301,-0.216893007491802,0.314622642675116,-0.488179414446163,0.347277515083843,-0.509859095771334,0.506122296466557,0.462131452123429,-0.480707700308596,0.450351108206976,0.0931587715738058,-0.465750473802187,0.470056421112002,0.424525596001064,-0.0934501491571004,-0.459004749688161,-0.219095475698268,0.466781145106894,-0.399655975654768,0.467748860810633,0.467239596305112,-0.453599394676891,-0.482981126565665,0.210540804587874,-0.475909546149247,0.368895297311228,-0.464419313510856,-0.480567181638904,0.345158776627796,0.334595524377187,-0.212749787897296,0.489459574106931,-0.278316502761785,0.552958839623755,0.413427936717078,0.347134265241031,0.504943872067886,0.452368770778798,0.28431312865501,-0.476594624772968,0.1821085955679,-0.459696729300753,0.477256550241846,0.401063904764204,-0.0231917846455404,-0.481210906779914,0.486883602053852,0.374422854523901,-0.284250847417775,-0.512530351673463
healthy,-0.194168593535952,-0.473403593252075,0.349946995203741,0.449922488544583,0.0058652746499936,0.215926506979981,-0.328076849912205,0.22262664681816,0.494693589974386,0.187990545026115,-0.17535116284163,-0.475106088845149,-0.458426617089451,-0.454411114607125,0.455669022224931,-0.460714988576493,0.242712199005816,0.413061621950253,0.286311487158001,-0.131415855533435,-0.458780343078052,-0.466768443616516,-0.437223768816177,0.422928107123437,-0.391676863038536,0.29561743457866,-0.360429905662953,-0.34657356798942,0.510346801119881,-0.445287640016295,0.451045856736379,0.425557500391397,-0.0522686043378282,0.464503501894689,-0.361921063412235,-0.371712135881561,0.471637991675947,-0.454287386384991,0.445426665993091,-0.425251663885412,0.202426157236953,0.438505997799598,-0.45391927620273,0.456553542528054,0.418977322532279,-0.449590336650411,-0.394197232902797,-0.0662573666314941,0.438418739547556,-0.460771921434603,0.220528390450097,-0.444074795551756,0.45991834581436,0.501334326386841,-0.4107276448831,0.321592628899187,0.0666676411676888,-0.416618723239277,0.477227805723268,0.173594637581898,-0.402757051335759,-0.437020367533589,-0.454341154720497,0.381912714266046,-0.47698012308481,0.421009040475351,0.378184329073407,-0.531148940894759,-0.483881823907213,-0.029198279260354,-0.30660425079252,0.0272208852559934,-0.454409392896006,-0.396290433940509,0.295586496483961,0.351059123959941,0.555283263679207,0.452421793800358,-0.42563235529599,-0.231325273817967,0.454079063731718,0.4725288344361,0.467929858549557,0.423294464849737,0.0129107603114302,-0.0262136073893009,0.255170643406484,-0.370451169152035,0.417094890558793,0.457165790907771,0.0811011297884092,-0.29175011783981,0.489263161577053,0.346574641862809,-0.459568849437512,-0.42119416394972
moderate,-0.327818746276913,-0.370463151327066,0.222075687779649,0.324919479596515,-0.12038979715979,-0.0890594990531813,-0.24946066566445,-0.236883134131545,0.13883221581543,0.1551510590784,-0.294124397767993,-0.17610517928225,-0.423615982784749,-0.287082789664887,0.0260683580812186,-0.281097894546885,0.194776189452887,0.270753643973084,0.155411424915986,0.193348028006445,-0.232517403410379,-0.224121229924227,-0.226011368600221,0.20505133215011,0.12711998630025,0.248026842982361,-0.201093006386955,-0.27495224073739,0.222344978988749,-0.196003249528595,0.276740630178127,0.118736716351201,-0.406418321941475,0.146352529844409,-0.390058931990772,-0.256563374310832,0.191928026899671,-0.297573314327268,0.336459933961647,-0.0712940825773886,-0.356183831958168,0.338238888009642,0.26202055046282,0.0496297068095371,-0.214698332701258,0.0538756335439268,-0.396893981495987,0.418938068069095,0.287644374040532,-0.278684372085326,0.171139612593239,-0.196945564751954,-0.0508926723797917,-0.127378465059288,-0.0499933009439451,0.437467241335848,-0.0427033125021435,-0.0126168541696886,-0.0025977421296024,-0.258660887618682,-0.0481624777369255,-0.2760618939261,0.256641101546186,0.0735912691965315,-0.293971544405555,-0.188069206278363,0.253742191880649,0.336709742359786,-0.357223357227841,0.253413840213189,0.383709983719255,0.196314413480626,-0.0340197420532492,-0.379922056048827,0.0982702274447381,-0.0724754957530691,0.344473438519414,0.378041199759207,-0.235254483339842,0.380135550935435,0.353803052859533,0.261457946044717,0.341497209635506,0.266532708278933,-0.353924845929104,0.342214350486104,0.297194419555979,0.0336273317193826,0.304040587523995,0.387388664842355,0.273824583799283,-0.0734832467001538,0.201017880259871,0.21080319856842,-0.0241494032057662,-0.315552735710898
moderate,-0.291065253241607,-0.266206158173083,0.2303015221607,0.259673279085056,-0.2784599329197,-0.239269509198458,-0.180820261901682,0.210642713737384,0.183802300610878,0.0302561868095791,-0.33055177445352,-0.331259900418724,-0.242158614154877,-0.19060519351891,0.126309015787148,-0.138058997331478,0.122877976452189,0.267127772662486,-0.0557912302960789,0.312141850943308,-0.400133110047213,-0.227777038778194,-0.182270398476135,0.241908891192955,-0.127996934186636,0.243778580706203,0.168580657446517,-0.268388055302671,0.225562079058687,-0.345061030850055,0.251039352424562,0.0438249470942736,-0.40851150812197,0.188670584149343,-0.332406760941537,-0.29780609494194,0.207066844479414,-0.196602596157499,0.26910610356794,-0.450997094171917,-0.138560572055227,0.266407276384085,0.31490342861467,-0.160653077057424,0.0791780733989481,-0.188678943478965,-0.286393286904527,0.411102741231927,0.354222944726616,-0.351852694712242,0.269113665398299,-0.315972529222754,-0.202133670977508,0.22876624640123,-0.153778016337927,0.186097573950921,-0.331041378147505,-0.200549765912256,0.150524081625058,-0.0220345629975274,-0.157150174177786,-0.233405488578468,0.12657316740039,0.201314892256495,-0.19112441785151,0.0845780508702668,0.137278819923509,-0.0962894972929237,-0.270259874683428,0.261088387612907,-0.229351759256889,0.366649362583383,-0.152976553066101,-0.382940601723508,0.218411302452837,0.163216129724891,0.325250737068114,0.215004762466046,-0.250350289574265,0.18605462856224,0.283102789999888,0.383008948584691,0.308886810193978,0.0821912380666531,-0.28845833918229,0.0787130010812147,0.340424340243417,-0.1410531469264,0.195285299259443,0.280536037021249,0.159214421483068,-0.109772945440954,0.302566349892184,0.393036175851429,-0.271713116914314,-0.324936885343521
moderate,-0.247245234538282,-0.209838087636793,0.207514030202903,0.289325275891527,-0.172980900987894,0.14322586001767,-0.257951344568686,0.18510826189345,0.341568888157633,0.108137778005356,-0.318796259381429,-0.307041062028398,-0.302740498343583,-0.308031234138352,0.172875563868222,-0.0966062737283657,0.202191444043127,0.294078465113468,0.21840911641149,0.305483977309078,-0.327475826237481,-0.304041187624589,-0.275390438622143,0.229408584228798,-0.332067494295876,0.0556167172096668,-0.20677502210881,-0.32274146058126,0.341403688276929,-0.0816034061317654,0.266061474673946,0.145533578214311,-0.277645348913601,0.344570195827867,-0.273999350042653,-0.248759154050425,0.215542997615532,-0.16787565375634,0.284947276006787,-0.0014906368953217,-0.313422195069209,0.180275032704245,0.200091262824877,0.305400051597283,0.345791657325916,-0.297705839483477,-0.27740366038133,0.198355465707499,0.0677640960696306,-0.312566471312544,0.197804454392864,-0.31362598166712,-0.282216903466493,0.193901956569917,-0.283058262708539,0.250562585417897,-0.277301349046334,-0.347161899841508,0.35078248212118,0.0352169724769095,-0.271055898560456,-0.284035798186176,-0.0968508924942169,0.300970342644953,-0.298960027231572,0.300431689271941,0.260445252036572,0.0523718896111749,-0.279254445278978,0.173529929617307,0.0467649433926088,0.285685161375515,-0.242263232294126,-0.335174847756403,0.332322456467763,0.133733129455195,0.208917811152849,0.284457345729646,-0.0476629485088215,0.228460812917261,0.300800110406577,0.0887838957457687,0.302307476706119,0.307108091121557,0.0936819882033123,0.0642869678339542,0.281767455003276,-0.0789040239966235,0.281472982453597,0.289365797518408,0.0877295531129152,-0.348385065334086,0.34323465428495,0.34258044778769,0.0852578134990753,-0.317169931968583
severe,-0.438034564255958,-0.374262177603654,0.262691130208059,0.32539301651263,0.0550781568469619,0.242608843649651,-0.342842078441601,-0.405801184794699,0.316809656609764,0.0726425178501628,-0.348094232490054,-0.409944475774989,-0.42476799967947,-0.352173241892982,0.226885073010096,-0.246086165302403,0.0539956344616105,0.405448772705619,0.108635701696039,0.396678309589611,-0.416923983372721,-0.345687247141636,-0.324933202867208,0.361117801924124,-0.345645017683961,0.378177565434168,-0.259574094727506,-0.365444634032335,0.368803071090866,0.264461041301811,0.290085018506663,0.128513473006315,-0.405040890513143,0.187718047798313,-0.3087677805299,-0.28517041890236,0.425358766826274,-0.206779539158672,0.37614232586106,-0.312438017219047,-0.33385146908508,0.364108992683414,0.145217356081143,0.36871950269682,0.157577018447541,-0.256333698611434,-0.343182351319208,0.446095000674602,0.309586825782817,-0.340726434168556,-0.0200081389423787,-0.344339982146207,-0.414559555568776,0.289327864484445,-0.376634198273463,0.299604058518635,0.15424764050528,-0.335574768418945,0.410667110379251,-0.115802335941684,-0.150531846620948,-0.321967274791256,-0.0646721178224128,0.440616911997154,-0.160674743676638,0.213395760933493,0.353275355747044,0.260768049449842,-0.39305112257513,0.207862905195786,0.314734999751522,0.425908077862852,-0.261223551097366,-0.372357422836503,0.366289973098522,-0.221504355806921,0.398949021743587,0.242273656117391,-0.416151104619038,0.330537675265657,0.384733231760248,0.355773150833804,0.388791806042703,0.2492058489121,0.128398595757966,0.237998193027618,0.403294179842864,-0.264512105668223,0.324242627029927,0.303323062966619,0.155733873693836,-0.0885780685169174,0.223836115539835,0.446679885693838,-0.11608345945682,-0.34277521903941
severe,-0.35733913708387,-0.141605969589101,0.17720824851751,0.372831513330472,0.373512882786306,0.286849614455053,-0.149524996820229,-0.411731588209064,0.180822567158168,-0.205818839211772,-0.373834721125018,-0.357421932332168,-0.416587030172937,-0.231918672055426,0.301806882112464,-0.332530523521057,-0.0352909108059207,0.317549899227453,0.408035762962105,-0.444208427054369,0.175835361550118,-0.367693214448292,-0.390657620233366,0.377581769891352,-0.319051167153781,-0.0525970506630861,0.104228747390284,-0.345065788545393,0.179613015563877,-0.325893050755794,0.375560373839047,0.314376779390465,-0.364751083689239,0.14840436152372,-0.277234895436323,-0.0294138978990472,0.224568580265906,0.267121955205561,0.414041962229163,0.351756256712777,-0.128740006812324,0.411117550297566,0.312767265536403,-0.223466469198102,-0.116348908611385,0.110192421471445,-0.291054292210517,-0.0714118681380609,-0.173966830654689,-0.290004210063336,0.256659309752905,-0.309545338383784,0.192247989262719,0.083220661236674,-0.31571165141895,0.223465824877104,-0.326122751191732,0.045830713698138,0.145360750207416,0.167849486015403,-0.244592949335172,-0.348586197400532,-0.0541625896090064,0.350090203691103,-0.275999893162594,0.0973947567205011,0.357628115051663,-0.391953671921695,-0.338677345846021,0.215187266528855,-0.138635327625868,0.45289500167487,-0.292316839206929,-0.302579261909325,0.195388570889287,-0.0391204326600528,0.0378736715281027,0.228591720580065,0.119693256753704,-0.184771449477259,0.423997527056059,0.298760854592415,0.385545255271372,0.300799325151179,-0.510200266953688,-0.250800337833987,0.140724860623756,-0.27176203287571,0.14231762213186,0.396020464983497,0.0200138988530416,0.0402988957661701,0.415720579510306,0.331603184524076,-0.0403055000564039,-0.329105313093436
