group,ATF3,CEBPA,CEBPB,E2F2,E2F3,EBF1,EGR1,EGR2,ELF1,ELK3,ELK4,ESR1,ETV1,ETV4,ETV5,FOS,GFI1B,GMEB1,GRHL2,GTF2I,HES1,HINFP,HSF1,IRF1,IRF2,IRF3,KLF1,MECOM,MEF2A,MEIS1,MYB,NFATC1,NFYA,NFYB,NRF1,PAX5,PBX3,PPARG,PRDM1,RFX2,SMAD3,SRF,STAT1,STAT2,STAT4,TAL1,TCF12,TCF4,TCF7L2,TEAD4,TFDP1,VEZF1,ZBTB7B,ZFX,ZKSCAN1,ZNF143,ZNF263
healthy,-0.614412542619066,0.170047730026065,-0.166030528014703,0.629671759424549,-0.686019507488569,0.663671068791981,0.576668288114624,-0.664092404579887,0.626264208964483,0.5388814500144,-0.536168771654409,0.608805318411459,0.713526351099917,0.625384086302528,0.609805481176077,0.590957800041153,0.640060668469868,-0.689421578049491,0.69155799284944,-0.575935228144784,0.687878624860572,0.678963242189987,-0.596936228098351,-0.583151084862835,0.627708642035856,0.441561228303063,0.610184538753092,0.671349060265286,0.676286408523497,0.572247984858556,0.482118759945771,-0.567017320656364,-0.564155707560816,-0.637805770008468,-0.0479834000745371,0.616838336281947,0.705662195180576,0.674968413879123,0.636806255477206,-0.556621252662631,0.637218402472143,-0.374461362979032,0.629137138329899,-0.568381619142946,0.491310014157969,0.528706412566241,-0.395813414785158,-0.662988166871431,-0.672713666407278,0.128926294396956,0.630834124706219,0.674381235931188,0.644883591620478,-0.688774055365917,0.378199023153789,0.072114452119236,0.669357588627372
healthy,-0.718643113021753,0.287081322488496,-0.232212800611929,0.758865680913678,-0.770353910621699,0.79585960854856,0.802937558039221,-0.782608714749157,0.793255619255886,-0.243584192194579,-0.67361727334788,0.766397445738526,0.801335665213265,0.751470015737576,0.188409972200129,0.756938923918699,0.778167839658547,-0.585782697973239,0.76394847948714,0.424895859427982,0.770767599771193,0.7758257784421,-0.750283160606432,-0.522241573757864,0.76904548751155,0.789329864608246,0.781696871368421,0.781151669215462,0.767994517216623,0.773504052811671,0.241835319863118,-0.0416034106701946,-0.56725779062607,-0.759534093963682,-0.781091983156661,0.776874540941597,0.694712392706647,0.717283839012533,0.785938452146855,0.764812960683385,0.780203964076522,-0.618068873797111,0.781912841497613,0.804931435993288,0.712278754838215,-0.765199607322367,-0.205346507976599,-0.796656833533385,-0.791338894801582,0.346915804813153,0.772577809035516,0.788030320415936,0.806197007982042,-0.776443921382462,0.143898465323289,-0.0278760547269028,0.36912286542281
healthy,-0.425528904688188,0.104998230225425,-0.306295119949608,0.598616200714491,-0.664408928637796,0.707405864707894,0.474108713733601,-0.620786556908336,0.50343252443963,0.442625139088296,-0.49089507548278,0.76478895687158,0.37289600187626,0.464457926343125,0.375602072285024,0.498956581385639,0.487656356534174,-0.508982557300865,0.652950788328313,-0.450590541175498,0.540459386032705,0.545295980944861,-0.391414766713191,-0.293263435045157,-0.494263129506225,0.654495404260215,0.411500260575646,0.561605247474933,0.65676110422421,0.510409518929456,0.459238845103091,-0.809153861315899,-0.697857294784594,-0.625494502589118,-0.429191303437843,0.442734488255887,0.532044772549807,0.506104468777814,0.237831696137552,0.430129499792104,0.70855322188664,0.009224251694371,0.510866617525009,-0.500591594701235,0.757833962954184,-0.232468925333264,0.0075492719224306,-0.533268483395654,-0.646437981269239,0.710493955285306,0.568032693813265,0.688172815333856,0.575487769422179,-0.581471464321781,0.332328634135135,0.199892250157145,0.279084784107061
healthy,-0.758873389334084,0.0159080905325531,0.805320479560509,0.714089580147102,-0.735746566875353,0.708556774413192,0.519145466450429,-0.726930345182237,0.771370968408924,0.36629646894642,-0.471166733958222,0.68125798833019,0.652902647115747,0.667920353180573,0.688736316701216,0.622259845579988,0.72655059560323,-0.785171267909159,0.726938790725907,0.305588311649035,-0.587404693252847,0.676229085040956,-0.0884748519900337,0.776344126611643,-0.32995831588686,-0.507996767776462,0.643127558204211,0.756229540564767,0.74231955770555,-0.646001483375588,0.43773584591265,-0.564550144925912,-0.698968293406424,-0.765878707282353,0.0276908459884223,0.249806927664278,0.753632856389528,-0.0774457479122722,-0.203412909789065,0.640032669421126,0.72883124101181,-0.770230107783854,0.438935401754225,0.153469578152092,0.4308946406594,-0.617775561777305,-0.800755638841062,-0.693460584394605,-0.12654715668319,0.397934907491037,0.310765096295475,0.715566586905119,0.712255446471441,-0.0469678387755198,-0.781446835630713,-0.109646911569684,0.719532843625509
healthy,-0.0527098493504936,-0.661100179008241,0.244266050731153,0.554101367307609,-0.597192395741146,0.191299084428214,0.647473026649465,-0.555964329762306,0.5499094398842,-0.658915855502656,0.559584879591593,0.523875197624999,0.0942845637639723,0.552916883763342,0.641591564211454,0.643509746458547,0.666920942061842,-0.690401613181689,0.604265855023738,-0.709947752751688,0.288891771231233,-0.33503005019933,-0.608249494259937,0.709011280593336,-0.383262826896097,0.581916198050486,0.445353597217166,0.676686378852033,0.690489796179114,-0.398851670999923,0.321940903731002,-0.662261384718535,-0.620179207374988,-0.534766074531912,0.046725568243239,0.480788166328723,0.723450238352498,0.571925476454809,0.655814669969821,0.583508791505357,0.589497254233131,-0.650098774667367,0.661432290601379,-0.585077340642241,0.503273633727227,-0.613198516816526,-0.557939420702099,-0.639000479280033,0.533102187082659,-0.167902564028863,0.211083962904173,0.641960471429688,0.601131765584062,-0.621180810908406,-0.658792807365658,0.332173315964772,0.580907309624598
moderate,-0.41945252783995,-0.349308462206499,-0.210996922816156,0.405144483435863,-0.705066395258414,0.301518915366072,0.317641236441488,-0.267003037280762,0.611691503174443,0.572749004930342,-0.514069909046937,0.520842679850313,-0.25366965167681,0.465243990878786,0.773646002263392,0.569873999416255,0.508615872529184,-0.447459832286008,0.440459656447309,-0.521003920459292,0.0451634382866942,-0.596152585521107,-0.560861974709696,-0.296597418047826,0.225184765953822,0.261039437454785,0.0974602511760276,0.585007026714015,0.660587935325194,0.644942939670456,0.610839553031983,-0.779059459979836,-0.445521158305753,-0.558266261878506,-0.39655938046866,0.406962393265946,0.18445480477343,0.660468706312524,0.541698239214957,0.555100091951506,0.63307008388608,-0.708997217175251,0.594299981583474,0.0609483361391305,0.345738806972675,0.272885070134122,0.321519914854501,-0.500298037001112,-0.661202195011067,0.523759492275709,0.268932909806005,0.574961649783487,0.469631158003772,-0.777911484155705,0.0907766206902777,-0.62434594863243,-0.137477652699157
moderate,0.0490866638066217,0.25861736102892,0.290355051903206,0.633445641783654,-0.69377144473695,0.464427867400713,0.69933897042952,-0.427615086143801,0.740881635393465,0.510373784342411,-0.413677702350732,0.652060822325654,0.0406633015037399,0.593844011324275,0.521437133505526,0.423455762799198,0.511423305424788,-0.664196142323629,0.648734754617079,-0.387755965229675,0.0244579510124217,0.337960514512092,-0.517625548706806,-0.469256700820299,0.593560416005276,0.324555059328547,0.508452060329631,0.621258511599446,0.71495870395333,0.52561182684281,0.578667572641936,-0.676989946753015,-0.554185042779811,-0.613932031753531,-0.179064823703465,0.650180608708607,0.717724920324645,0.656550180508904,0.577826134466363,0.733157246984916,0.714278032541172,-0.605656553937407,0.319554122268236,-0.176327060988023,0.184514765505835,-0.200608989399282,-0.432260001963883,-0.682467904976322,-0.496714355968419,0.695564311521289,0.626429988593267,0.65247451334644,0.679072883379615,-0.586354900543327,0.517889274605613,0.0689764455767681,0.665657195175438
moderate,-0.230816174710924,-0.0204446915350914,0.0818610375310549,0.573148228031243,-0.736199178227038,0.281949194368021,0.585062562583122,-0.735235407164774,0.53522160288802,0.651462633303625,-0.442310211856721,0.467874084730653,0.444958351621475,0.583788586871816,0.508179051738265,0.49894168818605,0.645040915883998,-0.28449585519653,0.709391037206037,-0.79116386820686,0.702912517712661,0.460572158233553,-0.196020801724646,-0.325750117899225,-0.0605385348741984,-0.107611648218268,0.590555155815483,0.620118858643656,0.629361448305322,0.593382919192696,0.215537890698851,-0.752344327210899,-0.772442374730143,-0.69877971673276,0.517146967921847,0.311438823468042,0.528006201962167,0.673624014160169,0.677609432480271,0.487447696946549,0.638811369519489,-0.766321150637271,-0.360137049718732,-0.579654933462478,-0.553708670302723,-0.0217722348682616,0.472875128909377,-0.608455664144075,-0.688520083152285,0.2647968083872,0.65825494242966,0.711708760980782,0.503681379092483,-0.655591721833825,0.446281385841918,-0.750636879180548,0.791278579715965
severe,-0.0677388749772415,0.513108361076162,-0.393448050266414,0.638474493928967,-0.744547738613319,0.43251932912498,0.590532759010572,-0.710828355034836,0.647174059516048,0.688667709646595,-0.570077810910619,0.654799722580838,0.697342818509934,0.716211546431028,0.680621989969868,0.643454821530589,0.707659923976094,-0.525465303523942,0.743470109801393,0.698074987254955,-0.449240134080934,-0.233058827729278,0.0859196779467009,-0.482000823522355,-0.621234531924079,-0.264149903573178,0.630840057574657,0.0992978595955412,0.633301719976584,0.144304999921836,0.475815088392089,-0.617910917410925,-0.617706537499688,0.585825158075641,0.524298338097226,0.71773114149458,0.300622661430129,0.793154899240871,0.707466675765539,-0.621065080082141,0.732104195307697,0.397992802910658,-0.557639857039449,-0.587084337378763,0.417531484690339,0.664727477948382,-0.487309276868847,-0.722417469560836,-0.645397727813479,0.768959487455008,0.675007273349972,0.731556407147265,0.455618622155413,-0.721803763808446,0.644501059889958,0.511453369627841,0.651856519788
severe,-0.599567105116297,0.632081001891281,-0.691825366056778,0.480377731763743,-0.719931580183246,-0.0235987464851401,0.39108957032572,-0.0270829732034055,-0.347858086073042,0.784546001866712,0.172870303238381,0.520624722892634,0.0408225742559937,0.533401892029125,0.589520519154295,0.280033239928738,0.500007558461799,-0.522370232499496,-0.222046191374116,0.530981014302346,0.568204536321602,-0.363543575348531,-0.185106336903311,0.606582782568876,0.649024234909248,-0.47001933791496,0.611114509122558,-0.130351060652397,0.701706991414777,0.231512665878708,0.590843276781881,0.198273427624361,0.278768703690801,-0.0652136168185931,-0.0605843694372512,0.124595391107449,-0.539534383345961,0.449096187736308,0.0077185390064954,0.220714862264166,0.683411404896154,-0.0110494493986879,-0.146846312422239,-0.246779608053061,-0.0729826143627834,-0.501036136345579,-0.637635807641943,-0.587181313099106,-0.0788244839096263,0.338846708764198,0.624024131920498,0.660505816399989,-0.0148888265938059,0.0064659704986525,0.588868116138074,0.100255292260792,0.594318285113452
