group,ASCL1,ATF3,BCL6,CEBPA,CEBPD,E2F6,EPAS1,ESRRA,ETV6,ETV7,FOSL1,FOSL2,FOXA1,FOXD2,FOXH1,GATA2,HOXA4,IRF2,JUNB,KLF3,KLF9,MAX,MEIS1,MITF,MXI1,NANOG,NFAT5,NRF1,PAX5,PBX3,POU2F2,RBPJ,REST,RFX2,SP1,SPI1,SREBF1,STAT1,STAT4,TFAP4,ZBTB33,ZFP42,ZNF143,ZNF263,ZNF384
healthy,0.0822169840281504,0.0037904704659887,0.110774263709319,-0.119220597845111,-0.0170685249396243,-0.0836259072796108,-0.0297723664382518,-0.0326646806132143,0.188943769307175,-0.135545691198335,-0.0594841040773216,-0.148632405141575,0.119169959736987,0.0542037743704043,-0.0615779638177508,0.176607732194935,-0.0313327904883297,0.119662375495339,-0.049315170888134,-0.0138879764796495,-0.215246200140765,0.0354440418805557,-0.0544410572702076,0.0354801974738072,-0.138752602779459,0.0418482890166872,-0.0734557824983083,-0.0947762623916207,-0.0735023605354018,-0.056139915616458,-0.0001592894365612,0.0895075922882364,0.090929594573225,-0.113207565437585,-0.178927392945181,0.0289737639090962,-0.02437104684248,0.029155077294373,0.0168514979665842,-0.132966790811745,-0.0747881282989538,0.0105461199394925,-0.243218353412451,-0.0495090256095411,0.0681204595621823
healthy,0.0225018513146804,-0.0413025331077025,0.117514259232893,-0.0138973669401904,0.0616481617228848,-0.0460579744561069,0.0430264695267879,0.0192784211097355,0.108611529594051,-0.0421806619074881,0.0309189625233193,0.0330900826726611,-0.0044865585933659,0.0009484763115303,0.174192529996133,0.182136610138802,-0.114597569962433,0.0104816911704535,0.0157159207825906,-0.191916111352087,-0.0954428885684505,-0.0512527884827265,0.0031390980674801,0.0667815002476638,-0.0551457231354275,0.0119004440611244,-0.0550589487930704,-0.0078627306980646,0.0135418860018363,-0.0104906312418055,0.0619633142515977,0.0312262359385433,-0.0728583706199697,-0.0633160555451115,-0.0587850167937873,-0.130073874412548,0.047866451200615,-0.024178733251634,0.0534079542279761,-0.0122694692275949,-0.0276610451824022,-0.0324630325538869,-0.179316307889301,-0.0878937650038718,-0.0407281305206251
healthy,0.0442634084752307,-0.0499052030834869,0.0509453960526755,-0.0258622383529298,-0.0850127365462427,-0.0751472245509304,-0.175206120358021,0.0313481691773755,0.25604409232288,0.0527930666344444,0.0210976682750693,-0.0282416046349732,0.0248797544600733,-0.127362496454715,-0.0200240097816494,0.250570594644653,-0.0322538069125676,0.26178146403513,-0.0163118004776616,-0.0471502106600476,-0.189374307800069,-0.0328868143430755,-0.0431620244989525,-0.13696941417104,-0.0795010351020856,-0.0035491379776608,-0.0263680713762255,-0.107021094875939,-0.0623675856078124,-0.0175427902560354,0.079646761756226,-0.022062146849468,-0.0028833040086593,0.0264031993464016,-0.151167054523491,0.0115716039151028,0.0436381988367766,-0.102007547795958,-0.0340460102832199,0.0661685868536805,0.0295377168072638,0.0799363576737607,-0.0971904184336008,-0.0801183603063518,-0.0893311862764869
healthy,0.0019606736559433,-0.0105913390132094,-0.0682163696918413,-0.0345147295906147,-0.0671041974195723,6.08576579028602e-05,0.0511135882907472,0.0131309570252487,0.133274917076913,-0.0276862532169152,0.0446365349474156,-0.0940278496183041,-0.0504873380851061,0.145240236067457,0.0446046745090796,0.123983274054485,0.0776302185416567,0.0130007889400885,0.0500070017666481,0.0601195900686063,-0.0041241605425784,0.0111593514251335,0.0185306948379542,0.0016989648136765,0.033424938335179,0.0158497562564918,-0.0512299802250431,-0.0321184588353877,-0.0520968472749261,0.012056360221608,-0.145963755860528,-0.026574841427719,0.0585641360156026,-0.0001637167959178,0.0351102866994366,0.0520898204113332,-0.0980741785207943,0.0217742882280927,-0.101661164240052,-0.12345890576611,0.141645360336319,0.0526618405690511,-0.0588178065517897,0.0345996755498493,0.134699134566039
healthy,0.0178026752390395,-0.232929011287181,-0.0681075161020518,0.0294271341307831,0.0439335166339662,-0.0361890766226852,-0.00516952791787,-0.0080969772205869,0.174187152754656,-0.115495102447487,0.105240857536346,-0.0579590466137268,-0.0289350524046346,-0.013176191655537,0.122984727154176,0.0057288671585921,0.139145700197866,0.112551833572536,0.0881591668279852,0.0698438822192734,-0.117958847471057,0.0536674834516214,0.0116482029628171,0.0949350615080757,0.0654340921438878,-0.0821321859534036,0.0013698563482648,-0.230126357562592,0.0721118710709925,-0.033640608950852,-0.0831653427725629,0.0363775307570449,-0.0495091292815793,-0.0731319222493972,0.0678597108439917,0.0990987597917312,-0.0314525803522063,0.0680893289131981,0.0032500947863225,0.0935240389614683,-0.0376360412192997,0.0254171724827147,0.0319077693601063,0.049136238717927,-0.121357665249742
moderate,0.200166989014764,-0.0801940169835967,0.0594597244333934,0.152142099383223,-0.262031232386688,-0.152004449014105,-0.249313867728807,0.0098005317803016,0.104396103154285,-0.0251675890580228,-0.0259197903293805,-0.242924827385947,0.228633362496589,-0.262923034330678,-0.0282164780130584,0.102233832441792,0.161781885094891,0.153712042388787,0.0097534678770651,0.171477511075612,0.0727758835940669,-0.058585013307046,0.0878547578656012,-0.0214658616633264,-0.111483557450518,-0.260737308652231,-0.239345815141348,-0.0374641500707165,0.0674634107913267,-0.255914977917004,-0.353131346624544,0.121258889256458,0.0551113174522405,0.0643135679675165,-0.233620647850139,0.357289804308119,0.181814427646235,-0.106541744963126,-0.249277119904688,0.305853423239136,-0.0111811413736096,0.319506215051204,-0.0037592100246036,-0.175936161529122,0.207766705926269
moderate,0.163013018775409,-0.248095606969226,0.184622693413356,-0.179580252048591,-0.0558122905918819,-0.199859983341778,-0.0982053313231353,-0.0538992586464625,0.170411152340574,-0.0674453129100335,0.0039149053469033,-0.172825322529558,0.10419737603032,-0.0418163038699969,-0.0111727472902702,0.120255247172259,-0.044636245779952,-0.0538399570848874,-0.100094753099596,0.0415253985115883,0.0508463478539852,0.0641785874973161,-0.0461667662894088,-0.0055700566725475,-0.116968950866217,0.003168852644474,-0.149152693364954,-0.0206301632154646,0.0513807692120235,-0.0621748031911811,-0.121996855360276,0.0939662967144799,0.12654926648947,-0.0893999698931628,-0.148443834941278,0.127427552717183,-0.0514520863267309,0.0891422324566657,0.0066949335723875,0.159009203072217,-0.112074814003992,0.0661480508793531,-0.202466755494527,-0.0884267466926904,0.0140660916232758
moderate,0.347566233298745,-0.313915665150751,0.152805108207917,-0.0072429565333696,0.0515758916818356,0.0603539494290848,-0.050463507150703,0.0772158686822299,0.402620722848309,-0.414419162699981,0.149934883133905,-0.0576446903234691,0.0168078905646131,0.182847491242786,0.0369501024768458,0.355636589632681,-0.116113932200338,0.185584368745087,0.0216116114246129,-0.0914245816939464,-0.0624060955113756,-0.202012594362921,0.0269780611174129,0.0929770924185982,-0.0532310593149066,-0.177735143600598,-0.322327515119015,0.217873018707776,0.124931081339882,0.0309155068032968,0.102463619645812,0.0560407431352348,-0.0361219586117101,-0.0723707682313686,-0.112475440457248,0.0457733721475208,0.309724597455913,-0.202658754435764,0.133135017265664,0.0328138875420519,-0.307626935423814,-0.0252803057886429,-0.251382982654339,0.0218980682829278,-0.229255494462681
severe,0.222796746176264,-0.23858498227345,0.154938588993458,-0.138278405803673,0.0302979297631332,-0.0688747045692132,-0.143284083980409,-0.0239989255876376,0.188945399393953,0.0308485822293628,0.0359757170958029,-0.101150585925993,0.138982561766514,0.073486776164715,-0.0876692712236537,0.0343167221521924,0.129087986150078,0.0601524233484393,0.0128620579810857,0.122677136965359,-0.216071498214562,-0.101509217325923,0.201688480357203,0.251453487401393,-0.173244731137603,0.0089941713371569,-0.0750155529113538,-0.155533332387099,0.144559674421329,-0.169251538408594,-0.0521689426488956,0.199523136418077,-0.0236168908084551,-0.130185559766774,-0.186091840239711,0.194033615220021,0.0464553771935541,0.110938417572477,-0.119766120271539,0.184874037961285,-0.145195131665456,0.102960604694347,-0.170241470650281,-0.0826525171792386,0.134339576928387
severe,0.0699149041765802,-0.100388519466842,-0.0249721517765033,0.128907152135282,0.0888741897005045,0.0785341441977383,0.0936514357281161,0.13014892214002,0.24109904101768,-0.192486326621325,-0.0292697149820057,0.180989637012751,-0.103256906220912,0.164111728268565,0.018756019118874,0.0865175293578751,-0.0829388430402974,0.272337656544146,-0.0316904625032976,0.185044445753623,0.161171000684036,0.159882136313159,-0.0663791044810872,0.0270138786603526,0.130054409735124,0.0737787460719434,-0.0803781071110689,0.0664998343681633,-0.0685469018502345,-0.182892184670212,0.0425878722568547,0.260300595497306,-0.0509701839205337,-0.179998551451821,-0.236282468766799,0.122164404125715,0.0234120497504803,0.0833233661122716,0.292121012557335,0.0099275247492047,-0.215748030440044,-0.0251865848869266,0.137701337207283,-0.0120752544159426,-0.386914850796001
