group,ARNT,ASCL1,ATF3,EBF1,ELK1,ESR2,ETV6,FOS,FOSL2,FOXA1,GFI1B,HSF1,IRF3,JUN,KLF3,MNT,MXI1,NFIC,PPARG,PRDM1,RARG,RFX5,RUNX1,SPI1,STAT1,TCF3,TCF7L2,TEAD4,TFAP4,THAP1,ZBTB7A,ZEB1,ZNF263
healthy,0.0243514014216079,0.140429376029977,-0.0326382881569903,0.0417163882175235,-0.0851798462253522,-0.0294265252759789,0.262603662330877,0.0342051164866341,-0.0744276077441312,0.0902616066005822,0.0193280045264148,0.0001807135524324,-0.0504016171376308,-0.0590650787686486,0.0510351574854176,-0.0879812206376239,-0.138901861823472,-0.0175038521364473,-0.0179752164776688,-0.0707299512167415,-0.0539365370494771,0.113197390913794,-0.0578279475296396,0.0794532345920411,0.0941964415798331,0.122605371908392,-0.0037313634259111,-0.0572903723175228,-0.142829270436017,-0.135622901899092,-0.183987310268659,-0.160176256463487,-0.0198494015166839
healthy,-0.406961571052862,-0.0370783179021661,0.112752834904714,-0.0795015778300056,0.155938794905808,0.0569234219390488,0.0710861337105239,-0.0382730121019153,-0.0999810407202104,0.0461044819084785,-0.112346771766124,0.13891569631363,0.032354098400327,0.0706395888418176,0.344419606016344,-0.0271838451425707,-0.0327246871169048,-0.151136902232315,-0.060864197375923,-0.0907959485879982,-0.144753087525372,0.132387635994264,-0.149569914275669,0.0470678656266537,0.0815491555587884,0.0618378592528396,0.0773198489663837,0.008677217721894,0.0366362852010503,-0.0105852536731413,0.0543218139192596,0.0352109353829881,-0.0233785984492247
healthy,0.0514950836709173,-0.0307009660171495,-0.0960774639420878,-0.0185711832897332,0.0566301905053538,-0.0161436162340803,0.276607128036134,0.0161939971233526,-0.107001800786176,-0.0207413699492831,-0.0317880496233531,-0.0561719105307178,0.082027828296842,-0.0828042243734077,0.0721729853186283,-0.0447297575511493,-0.126541307349703,-0.0246778785271312,-0.0121033497047937,-0.144763299329592,-0.17753132879166,0.212883635372072,-0.0410450781119058,0.161370440185654,-0.122306875906987,0.148569643829006,0.146449429245192,0.0822872420023774,0.162463204148368,-0.0919694258108428,0.111761073502252,0.141591336614871,-0.128005914119669
healthy,0.104191013757802,0.0226419068377054,-0.0623185233333486,0.0932783834282038,0.234790785531774,-0.102703735283122,0.125412204617482,0.0960927961195196,-0.122148354936234,-0.104550905699106,0.0095481536983478,0.226012703450888,0.123710092515295,-0.168244439490113,0.0864047118235865,0.136552741805575,0.0077236761541105,-0.191755891125299,-0.163319939599836,0.0310968713176932,0.0299277934042264,0.399018169131672,0.016115527965592,0.0801840283559086,0.066716828497909,-0.038024058522543,0.127834695011053,0.12239647545519,-0.0966545763680908,-0.0700542155737257,-0.0103380627681845,0.0160176122870505,0.0986115318277298
healthy,-0.0027274763336465,0.0274542565919939,-0.152877933379452,0.0583168977284837,0.0929458993086784,0.0706001115206144,0.13063004154892,-0.0122366374729365,-0.0426652694295754,0.0174470695514327,-0.129776809322296,0.172181356721234,-0.0079178589582999,-0.131871289942368,0.0476231299376402,-0.0860405762043382,0.0686208293468263,-0.0831130348988218,0.0065532639192387,-0.0488054124080311,-0.0763987106511158,0.0766359353910686,0.006956285524172,0.106478618215664,0.0286908837536362,0.007985239864127,0.0217406144221429,-0.0195505507213187,0.0911890489591356,-0.0218010973934105,0.0027390520219274,0.0680993197201305,0.0278060444719014
moderate,0.258348891924707,0.287667038273073,-0.211909835332794,0.282547791079713,-0.1657718959179,0.0588471257574551,0.121146840651879,0.0535353166812323,-0.147125291286253,0.117330410098815,-0.0534250771723578,-0.120632287536845,0.280567460791126,0.155140979501672,0.202166806294293,-0.0194278250771748,-0.153356069157289,0.0037923411789024,0.183781561164937,-0.0902415515965773,-0.0529369611247301,0.182984366197984,-0.136146456938546,0.248286423494519,-0.0043944734593198,0.230843573055611,-0.0414338256313426,-0.0888382434780525,0.317660197466058,-0.14282406207819,0.253040961646019,0.278163780166375,-0.229357023900524
moderate,0.0923222204993303,0.180121810247814,-0.181558327319173,0.124120192377011,-0.114699410668015,-0.149886733154862,0.15942739250967,0.0916103335713756,-0.209216091228346,0.0905325844745752,-0.0835558913268806,0.0179732070607479,0.108875189561077,0.226609535511046,0.0634345800064293,-0.140616999870196,-0.129547977874811,-0.115618883333873,-0.016532047236918,0.146419814216436,-0.0888561151398478,0.0270796636154657,-0.0878465974834335,0.210093751289007,0.052415624160522,0.099845980186036,0.153242875826656,-0.136430699443049,0.183955753916576,-0.0727716947555856,0.044392911494819,0.0422181550312294,-0.0279382249104307
moderate,0.0663015181981561,0.167589444287749,-0.156968337053582,0.0482204094298562,-0.135038848039847,0.0583987779755669,0.149947373973204,0.182578694605429,0.0602851287934196,-0.0866239760590089,0.0913743005266956,-0.153629467913718,0.0438492629090862,-0.154346216190074,-0.0335282591257134,0.0339679703494143,0.0109970094321816,0.0928567731296239,0.0309729987801462,0.0767772110140521,0.0777414505296129,-0.105157138175848,0.105534866463714,-0.0201675685991791,-0.0739050279690469,-0.0324388363452495,-0.0734150672377323,0.0472099570263562,-0.0185851976684749,-0.056533683484333,0.0794434463640017,0.0377302120142967,0.0068994800501757
severe,0.140213359492609,0.302285756157834,-0.318145905602613,0.305787608016332,-0.345029422830448,0.111680685345365,0.253907371944539,0.168930484086226,-0.0865004104172842,0.129219788094025,0.0411690007143859,-0.340384576014991,0.221799672985145,0.10268570761205,0.083006984392626,-0.164321764798545,-0.168127040818667,0.311251784797231,0.0268160164137225,0.0707922084118049,0.303514704034298,0.0296586056138852,-0.0821673194538959,0.221445152495962,0.102306874591146,0.196305288620123,0.0331326616350516,-0.0792901796278207,0.220651076496191,-0.111573597233716,0.1709784088904,0.194966357722617,-0.0586098412946633
severe,-0.0869388908341132,0.365264724237669,-0.0925755551685508,-0.197591630335235,-0.18818471047518,-0.23738151033134,0.323058485474205,-0.317457806715106,0.233090190129631,-0.143701536877507,0.318446522500308,-0.23475472470191,-0.101199344996684,0.351849850410411,0.0931448695622495,0.0711113697562345,0.140463641948492,0.316105039548899,0.0606114889017012,-0.584099139943226,0.114747994796838,-0.0345484115092206,0.152511709394053,-0.214266990932528,-0.0254240510322065,-0.0594165418820473,0.411729525033364,-0.31344436615794,-0.0596518197692391,0.0006282145506431,0.43997142412191,-0.219090026249667,0.0382799381645179
