group,BACH1,BARX2,CEBPA,E2F3,E2F4,E2F7,EGR2,ETV6,FOSL2,FOXD2,GATA2,HEY1,JUNB,KLF3,KLF9,MAF,MXI1,NR3C1,NRF1,PAX5,RARG,REST,RFX2,RXRA,SP1,SPI1,SRF,STAT4,STAT5A,TBX21,TP63,ZBTB33,ZNF143,ZNF263
healthy,0.0637221607504265,0.329074000880737,-0.133402383040893,-0.0604507251064297,0.0325491464865366,-0.0229305709546654,-0.0689303165686408,0.288884758867891,0.0090099543139513,0.114200998763208,0.22789515093758,0.116151573152993,0.0844417983646372,0.0521796375938777,-0.302506307959424,0.0089415232654706,-0.128033863680155,-0.0965989631394869,-0.212689151460424,-0.0162502004239674,-0.0251967741237599,0.256502251638473,0.0365715056898334,-0.146320751191596,-0.106362958353716,0.0577183215995381,-0.313851845940689,0.109550377384141,-0.0479975428754357,0.379160998820935,0.0755411937613549,-0.0887624261203965,-0.211155036728271,-0.0132081771401919
healthy,0.223759747081143,-0.0663645328706607,-0.0702601646097407,-0.0558488337390303,0.0118894894161701,-0.15975773989197,-0.0547351470747069,0.109429858714729,0.0720087886471028,0.024942227374163,0.137335084391225,-0.110385584938896,0.044990351670666,-0.1477524296611,-0.0511247688017717,0.120195532558601,-0.10106288350517,-0.103757979008344,-0.0473038247269557,0.0674131715756966,0.0945496147408817,-0.0043740401922104,-0.0279882578607504,-0.117627405282704,-0.0621256209721275,-0.102497555503793,-0.068366916928708,0.0877651470719885,0.0430360658909848,0.128825851355773,0.136259727984751,-0.0744295455247918,-0.211457598896742,-0.122087104117887
healthy,0.148843954559991,-0.0766511602029296,0.0066211521661037,-0.0593659953293879,0.0372698022871529,-0.0118772530670614,-0.031603243253501,0.182444565922813,0.0449069105696606,-0.0718699108902173,0.2294896232896,-0.105162807407903,0.0697695826438503,0.0556472868244039,-0.197239263214347,-0.0225047049507717,-0.0336735920581104,0.0786226093771619,-0.135117371108034,0.0133841835311659,-0.0624853101637579,-0.0556324055282692,0.131934383842661,0.0709215033894192,-0.0280764031757661,-0.0150577899332161,-0.13662752178704,0.0541385673520209,0.0098835280291433,0.13792910120696,0.094148479773351,0.0309983144996981,-0.000667468146229,-0.0175309420835826
healthy,-0.0737430964895533,-0.0083100760528698,-0.0399647879762245,-0.0254836948875608,0.0107440726017923,-0.0791609842638854,-0.0152377526019753,0.170534029290397,-0.123044340393433,0.165137003822476,0.102529716288278,-0.145772044802838,0.059713887037856,0.0942308237996653,-0.0113227375008374,-0.023594231136374,-0.0191083070501047,0.0445944681738879,0.0086895002255997,0.0998241335504787,-0.0027551278654856,0.0986139753764804,0.0504522884096554,0.0277780621857017,0.0138864489549261,-0.0173448645498341,-0.037697841880828,-0.054059989197165,-0.0303476827265791,0.088133239042396,-0.106792835502138,0.128977546136412,-0.0519584785315741,0.0257345631721473
healthy,0.14977556267777,0.0023315518957993,0.0205906542038912,0.058778211345057,-0.0499207188394444,0.0080246765591431,-0.0118752884710766,0.167935650008431,-0.120432692943116,-0.0621360200579488,-0.0395314800594236,-0.120024278158192,0.021394973491305,0.0926481715448967,-0.0311704313958774,-0.0303014032782042,0.0167073656353551,-0.0369535985542198,-0.144553207667076,-0.006876166812155,-0.128438757200443,0.0142752766853797,-0.0930075347785083,-0.134881298974563,-0.0098991094995848,0.101076136735603,0.0317456758477956,-0.0577342518155542,0.0502146921934423,-0.068243154166684,0.0066608912249856,0.034509673514963,-0.0517171099230062,-0.0115758667222443
moderate,0.213972430847993,-0.0483528258639308,0.0049039238277656,-0.196943843741945,0.0395615480440705,-0.20951458500878,-0.200732469649336,0.203358904369842,-0.07334050260141,-0.050160661663141,0.258425857687598,-0.0040139297795226,0.153019420305105,0.050779488062677,-0.273290354002655,0.118120535122686,-0.172118414618119,0.0539710098081465,-0.117142571159553,0.191534749203395,0.0138302192525156,-0.0599025704883774,0.0825558273252279,0.0175447218846333,-0.120612209610786,0.010452050981949,-0.238721626242181,0.0036674034676213,0.141469675680658,0.120072190665724,0.209369272504547,-0.165079688987994,-0.297832107175072,-0.139649691900223
moderate,0.354273895437581,-0.0759673135990542,0.0345794042046937,-0.12865267261501,0.202791757813315,-0.140887302756255,-0.130680565543603,0.345589196460591,-0.0105995060480025,0.116217388500149,0.397364484039018,0.0402014978768165,0.0472370267442513,-0.138861685336433,-0.114825076997809,0.0441462644540815,-0.128773632902082,-0.081559101434824,0.026236658336522,0.225905279280565,0.10174022822797,-0.0633096390973553,-0.0335042815206773,-0.0802005566639551,-0.0551038340397865,-0.0309810183437014,-0.221631638898457,0.183860828231215,-0.0455911410750423,0.125432063429066,0.162551577369954,-0.325965940628879,-0.246728307395396,0.0545910380708181
moderate,0.210432604226094,-0.0375128300243615,-0.0305661370284209,-0.112617712929363,0.0852876837340036,-0.0418039783420493,-0.0916249336739828,0.256236288166046,0.0098146664629728,0.149824523678377,0.27089289425016,0.105311885425293,0.0597236918329235,-0.0187736875073193,-0.0800605019812365,0.0501000071759319,-0.0422963107470926,-0.121815302528335,0.100981435049581,0.102321361214666,0.110113285507949,-0.0644921058292602,0.0038241199773995,-0.011575569016897,-0.0553085704726692,-0.0039061713604464,-0.117742119519152,0.0766456585774071,-0.0714619011390055,0.0975877172050533,0.25451585283032,-0.208077678908449,-0.148636863859131,-0.0198695085980529
severe,0.113834781894109,0.147525927682652,-0.0676944573770798,-0.0683144592558773,0.0850253849190005,-0.125184022162558,-0.0205433440691331,0.217035035092169,-0.0592952951190676,0.0058748638244058,0.127009886882671,-0.0522467692759773,0.0275361277093443,0.0739085773335245,-0.255729800698827,0.110682792186147,-0.186290442021945,-0.116168383317866,-0.113977804651497,0.0894316215110998,0.136407203663206,0.0161951446687411,-0.125102585548675,-0.0967376592965229,-0.180013600257422,0.0531605533844648,-0.202624232407525,-0.074126128078632,0.0243244682918484,-0.0307422034426808,0.017789759689813,-0.13061768029966,-0.193666252199682,-0.062360122570915
severe,-0.107784472953205,0.251036881306506,0.0662368020853966,-0.10539559989441,0.365201361629624,-0.340818180064954,-0.351658628398104,0.261317827861862,0.195620736537474,0.0786527451317755,0.0516178917608408,0.154791706688983,-0.104469153198852,0.375172465217284,0.0307065736488621,-0.320019930302967,0.0538881809403759,0.4310121701898,0.177119380272668,-0.170818374748445,0.404994769747343,-0.201507590702258,-0.0490525217654734,-0.044385735119038,0.0526192847658619,0.0452883352615841,0.101539758271804,0.414723190047215,-0.416806924560336,0.0744323919131414,0.361914917293204,-0.230875999617859,0.0744710006180167,0.0588508595098889
