group,ARID3A,ASCL2,BCL6,CDX2,E2F7,ELK1,FOXH1,HEY1,HIF1A,HSF1,IRF1,JUN,KLF3,MEF2A,MYB,NFIC,NR2C2,NR2F2,PAX5,PAX6,POU2F2,RFX5,RUNX2,SETDB1,SREBF1,TBP,TBX21,TP63,YY1,ZFP42,ZNF384
healthy,0.0433629153666444,-0.221298138185059,0.0592858847746911,-0.0595335078433673,0.0553867107322713,-0.21358866000218,0.131181905596176,0.044867437247086,-0.195491560595966,-0.128891897862934,-0.206662660954348,-0.199249609488317,-0.0001530882751383,0.169385034318765,0.0585038164711871,0.126933820314487,0.131487428374153,0.208285310182188,0.107739223360416,0.219932683660972,-0.0635237662144094,-0.0156442297289557,0.12863075328487,-0.164832554470325,0.168452593846223,0.190059097556892,0.0514370656953114,0.17318156838016,0.193721986258939,-0.0142654557292818,-0.0681355679539069
healthy,0.0799914863902973,-0.0680680877281915,0.0734046439261495,0.0325779182722643,-0.0853958931147004,-0.131297629915901,0.235222959684708,-0.0660835765107136,0.204406937162886,-0.134066624699675,-0.093843221826151,-0.10004356879931,-0.117980776347819,0.117585305391812,0.0316170767910905,0.15887761833443,-0.137777799975576,-0.0940058732086708,0.115568322936444,0.123431129474927,0.0007700430403556,-0.0154605296985565,0.135863971542394,-0.116225231237514,0.167102283709698,0.117274642607492,0.154167880689704,0.171365537844347,0.0253866759719534,-0.0614718469548953,-0.0617640282594683
healthy,-0.0770482926864834,-0.0621421862241941,0.216267309116319,-0.0880656073717825,-0.220685364139314,-0.302565524683082,-0.0460908499354688,-0.118121369833803,-0.0537730576722672,-0.119455868267811,0.0656900376645078,-0.0553444911292974,-0.140491797306878,0.0168404892333017,-0.0059665982839021,-0.0404692488187767,0.0745742762284988,0.194426644604798,-0.0365594958551485,0.167605884782879,-0.06124588459396,0.0827024451665832,0.0791076741975014,-0.041745479345094,-0.025359725888259,0.219570273071108,0.173001281327643,0.17260783861859,0.182749200305749,0.0937055313919444,-0.0725604333118816
healthy,0.200600710944068,-0.468938315592444,-0.289357056192148,-0.27096790573753,-0.318120761250182,0.457307363389986,-0.244932753501579,-0.476097635886235,-0.450857479285861,0.482734418887858,0.310574369347775,-0.650474611145607,0.136415545350927,0.282657295735624,0.0718896239290322,-0.371168296787001,-0.270736495668523,0.484679895493776,-0.494342845376075,0.15642969122624,-0.496436986443479,0.475294705226406,-0.412187817510579,0.11021081245481,-0.515983536159089,0.485606338651688,0.0168763108802731,-0.512526994572902,0.194317852534853,0.0443984829095226,0.569843929577569
healthy,0.0763318334107218,-0.26998632287537,-0.126475583903162,-0.116078480539025,-0.0963454659809062,0.243582914025327,0.111084906485031,0.0178419828890359,-0.221538226577708,0.0016257783169144,0.139194565009912,-0.309710706474651,0.160603722277868,0.253657328634561,0.119752258556513,-0.0701050015339434,0.118885847989047,-0.089908874054622,0.163495566667215,0.293785779395679,-0.152962686231704,0.174208139912006,-0.287577053188221,0.0704525359281935,-0.358074789288688,0.177271385667479,0.0159848739702107,0.128267817851812,0.0140288150526517,-0.0521601976876186,-0.0945520601514165
moderate,0.0249015182397784,-0.170176751333359,0.313273194194872,-0.114113627431167,-0.193584183588484,-0.229746787318271,0.277498572506175,0.159677322672599,0.154602744447294,-0.192200876619382,-0.0219065503253292,0.0519796806236837,0.0451964076197602,0.169435891118191,0.252115053134617,0.154912138791927,-0.293453458904196,0.106205548860205,0.267153713274402,0.159215045110931,0.0765763010840358,0.0347457769109615,0.210291631490676,0.0124097024137104,0.277455241968727,0.111397037780889,0.209510966453962,0.314913980619401,-0.0401750217169598,0.0307399504796038,-0.0600082978005886
moderate,0.0460233591000771,-0.276055859685152,0.0075658834757173,-0.080031158980724,-0.15759039863461,0.101345213209123,0.1697767775786,0.05205152677032,0.0112533476424365,0.0385135644688487,-0.0218419834920059,0.257963084763492,-0.0441830414414512,0.10365429139975,0.0707930445324248,-0.50914566690072,0.498112145264536,-0.209083374976538,0.178286855742334,0.180207528801292,-0.0154382890501967,-0.0794332969031479,0.0113122690838358,0.331557863103819,0.0959216540358545,-0.1731292962601,0.0748924535033223,0.0017729219779439,0.144212888067874,-0.049561391468794,-0.051313859013947
moderate,0.223317566314714,-0.195480309590689,0.0695742229535277,-0.169148014291835,-0.0024909347596937,-0.111373195655294,0.113813336006178,0.324493610338299,-0.115732247454304,-0.25098484143434,-0.175154383108249,-0.257940714368176,0.0964429446629909,0.150327977571011,0.0357425537462786,0.028683387377038,0.0177680634667388,0.117452702978424,0.126772232544064,0.100774090348322,-0.0725846419836926,-0.0635425809776639,0.245463960567516,-0.26884966796976,0.307626353340075,0.231095897322194,0.201075049225263,0.300182583583629,0.0665358097777793,0.0224607081658338,-0.218706415150347
severe,-0.0405959217395511,-0.142056370781444,0.151006590003288,-0.0478699505822738,-0.12198175937706,-0.229485359133505,-0.10868573256301,-0.0819681726584504,0.0117784820091051,-0.185057711971221,0.0158878254351217,0.186727862066999,0.15007130971014,-0.140877857444275,-0.148098346343594,0.180785210385807,-0.221278658835965,0.0851931668963913,0.148501306102001,0.170320055197349,-0.0571807770699811,0.0911342438733652,-0.0583828639643208,0.0512282776116664,0.0348510247044505,0.0154432652817092,-0.0052375837434585,-0.0192267389468448,0.21345219084939,0.140084958616068,0.169022804461552
severe,0.0566714757927463,-0.0683161401827363,0.165575778881942,-0.132204621823216,-0.291042427559982,0.0276185625867927,0.0385283546088588,0.0724755145528461,-0.0921801789122077,-0.0567724863997295,0.127393284591394,0.103287628490018,-0.0146216489989977,0.12289306002908,-0.0545468590897053,-0.0198307255968766,0.0038498778703134,0.116129551402459,-0.0655339040239921,-0.00698928753535,-0.0126731947945353,-0.0046430939648307,0.280946376987772,-0.0717618140081459,0.300935163982456,-0.21739502834916,0.0508938306902807,0.089254588500033,-0.134973605390324,-0.0707200310119644,0.0882928059045822
severe,-0.478945626656651,-0.0662947962829948,0.0622366803558904,-0.069920211699102,0.172683600501747,0.137184416196554,0.0228713345743894,0.143193890596371,-0.0107927345908438,-0.32148393762714,0.120995849641426,-0.101850572737027,0.0429034257462899,0.121711204993117,0.454329112573432,0.0179834553838846,-0.439535313059585,0.285228865755546,-0.099831762540968,0.459746969590238,-0.409353343517315,-0.0461729224317181,0.012794261238744,-0.244942444513732,0.0625629264463666,-0.130410641883888,0.648474444288186,0.105650047248757,0.105968492799798,0.319127715862589,0.002572036688911
severe,0.393458383012679,-0.0076045002236674,-0.479438015432837,-0.502267729991744,-0.45077552281624,0.341674288495686,-0.551447776977209,0.323924526982518,-0.318157463737793,-0.260643030058588,0.454640256171213,-0.20964575741528,0.499940028379196,0.467877214482638,-0.233418417897546,-0.0449017847705221,0.379922999501738,0.285600499852001,-0.0429107641667416,0.487999209761311,0.0694784897124747,-0.270720148187859,-0.45375828044385,-0.452017678482077,-0.407845032997853,0.327966230814469,0.212285520331228,-0.286714102549443,0.454758983672973,0.592163763524877,-0.416595152743698
