group,ASCL2,BHLHE40,CEBPA,E2F6,EBF1,EGR2,ELK4,ESR2,GATA2,HINFP,HOXA6,JUN,KLF10,KLF3,KLF4,KLF9,KMT2A,MECOM,MYB,NFAT5,NR2F2,NR3C1,PAX5,POU2F2,PRDM1,RARG,RUNX3,SIX5,SMAD3,STAT1,TEAD4,TP73,VEZF1,YY1,ZNF143
healthy,-0.0457691910535068,0.170893009605507,-0.235667332392278,0.053572028336197,0.0218543310708331,0.0663406680735448,0.163804952055008,-0.0079175117932199,-0.184298792315752,-0.045322531669441,0.0126068038009022,0.0166207778859187,-0.0880826330448293,0.346267904573725,0.324417146097686,0.177710028414038,-0.186249473291496,0.133741191574617,-0.172297964538111,-0.0337493665047535,0.287220680269144,-0.0453751988142782,-0.0942651438250214,-0.164810886358059,0.0540160686488649,-0.134741765284782,0.207083358589658,0.227204472110367,-0.0056591636250401,0.117717289856099,0.13682034878231,-0.0810293660596302,-0.0106620877319219,0.293387069587775,-0.0957456175838588
healthy,0.0043077956249576,0.173748590690138,-0.16368434590248,0.178668026707608,-0.102164755235827,0.106925805757872,0.213062014755233,0.0862334137898319,-0.438928879394102,-0.0514906242727499,0.213004961830094,0.176927636537216,-0.0489964954368373,0.350987637967044,0.263513218828346,0.317498650902156,-0.296172633570728,-0.0486043354913196,-0.191305061024331,-0.0538318866866549,0.21027114241503,0.106670999270446,-0.140432676208857,-0.272021346968868,-0.0528911030494992,-0.20718333598383,0.131071204024568,0.238268246432315,-0.132586995700744,-0.0789770154710547,-0.0251107795008469,-0.189587481700548,-0.111749610924069,0.256416544082507,0.22886318945025
healthy,-0.104018872874352,0.285937443032075,-0.263255670600626,0.265357314962527,0.0573771591415512,-0.14749738985288,0.26307030285351,-0.0987937041059383,-0.445800467670638,-0.114876241313815,0.190032520557821,-0.0902152934272687,-0.193986905838756,0.193384900840128,0.352555321103934,0.519754834794133,-0.355343816734718,0.226110188623097,-0.147079511000843,0.0976170360788284,0.299027658757719,-0.189962562790396,-0.181622678557115,-0.45578385637612,-0.139777508474092,-0.317910138939136,0.237520914868266,0.296066869647401,0.0662264956172,-0.203638193162847,0.115553191888868,-0.0977425287110456,0.0634250862706273,0.368792764032291,0.0473834523075815
healthy,0.0147845676567354,0.0149144291253278,-0.318869158131599,0.0144328765285135,-0.0723553589167244,-0.0723179564459083,0.194714123404301,0.0384599907412611,-0.266932472308476,-0.0704963703196487,0.108046907413118,0.211409285551433,0.0718182927057578,0.126459244982642,0.0337608084499939,0.253948404821299,-0.276514795752783,0.125269263437188,-0.190182208799058,-0.110905935347597,-0.204069630442644,-0.366245994578127,0.131533040200835,0.0011627436447393,0.312618198542415,-0.276330027621884,0.31602752199012,-0.249508952960449,-0.0676387735926072,0.150320245467195,-0.13132423003295,-0.169657667567837,-0.0790822811511587,0.191513329128256,-0.267674246142447
healthy,0.151653466148448,0.326460837245393,0.0235878144349846,-0.208592039797073,0.24986721823235,0.0181878367134003,0.112135507262867,0.235171698760753,-0.309491694611063,0.422902607233512,-0.411586239392693,0.0783257738590072,-0.0904650603076204,0.145275156796699,0.260856064866967,0.206306594738241,-0.23121755013259,0.0015917415542961,-0.295343168979284,-0.260905061059052,0.299690253451813,-0.270822880802388,-0.336707148894926,-0.307291925905687,-0.0283778807054978,-0.302890176968022,0.200214420073652,-0.0359248864980825,-0.257794643988589,-0.0828338715461879,0.0316781135481742,0.0655398189325671,-0.118961179739503,0.280223337213463,-0.317432760678778
moderate,-0.161890001864332,0.201295388505997,0.0188464769478057,-0.086622929298568,0.190574601351487,-0.150957317005659,-0.111894250637419,0.0570352444513443,0.109085800658919,0.0565790772260255,-0.0914345868030379,0.078326754863938,0.0556371249010935,0.120161118964852,0.11661731432492,0.0202928684370383,-0.131439761379759,0.122727014141235,0.111126472197812,-0.0899813364376529,0.164473252075828,0.0291331803797601,0.154264542379516,-0.113701356658849,-0.0702436212794967,-0.0487022295379865,0.157809178398375,-0.0936911050960004,0.0001864886856895,0.0290075902005147,-0.064230984952975,0.128577375693333,0.126978010481428,0.10834717244296,-0.0834773032037569
moderate,-0.230740751779433,0.421961012749009,-0.308295912752368,0.020681444419888,0.193420398742469,0.0198934435089823,0.2393752563498,-0.326320020969582,-0.135040811903826,-0.272336044212201,0.205933374375227,-0.0649678958035212,-0.428894011617348,0.405894885786202,0.218752990788706,0.0649218202015126,-0.427223787069717,0.330999855807605,-0.0887638887443549,0.306489552150731,0.192742422454742,-0.0859367219409364,-0.0048529174822783,-0.249542753291373,0.339040985297058,-0.40890738167762,0.35120754671682,0.444475365086299,0.0903964359534579,0.425643746902154,0.101690768108058,0.0212958338555477,0.0939355898215913,0.390350342159284,-0.10275709223553
moderate,-0.306086682464301,0.386990422057873,-0.281866113134158,0.216057808579259,0.369200929711687,-0.165303940824814,0.133644094633978,-0.16596972418049,-0.288882131765137,-0.0622993236416897,0.0078986116286995,-0.31208582055039,-0.302504744119018,0.305610432339268,-0.0353487877079721,0.3746916115975,-0.206497127736091,0.204966232177739,-0.194637678543053,-0.120270378538649,0.371159232699853,-0.326123751109995,-0.142365601748027,-0.363135245145694,0.100704096771792,-0.157054311646058,0.309892374986152,0.0877023433249109,-0.0112555056430654,-0.0710577833247625,-0.279058665594371,0.0033235650270033,0.212213021195051,0.322280731715081,-0.148981831808972
severe,-0.282609414495327,0.266929900837365,-0.138112347813956,-0.0078463251077827,0.218071266349365,-0.0671684623084137,0.0969210762945291,0.269307899261274,-0.034531764016711,-0.0104975404717081,-0.0919093388199345,0.263463773197385,-0.0915609385457768,0.231126611877182,0.293731692113639,-0.237992738664491,-0.180202840159485,0.323583205611998,-0.151060466190333,-0.0917099211838845,0.205927738668068,-0.182648093066698,0.190426459947021,-0.0861813070838665,0.093933963844308,-0.0418216620774281,0.408684804951544,0.143605633957276,0.0864261865924802,0.107914545273911,0.198330421701289,0.0744697844826182,0.0848887636482292,0.401240388132015,0.0931431196184343
severe,0.101325266124514,-0.0188842984280912,-0.060510877137669,-0.08484930221991,-0.0411614331055573,-0.130282395059095,-0.223821514217106,0.166157011948022,-0.0561549974923876,0.0906574106483301,0.0081285122012342,-0.0192492513785922,0.108261146933129,0.0606762514852656,-0.0462162412130714,0.271573558761662,0.206880082026828,0.116733315095711,-0.146334677952197,0.0624219592325782,0.17226311688377,0.0675685702706118,-0.0923239000496232,-0.0363775162464477,0.0191727758266305,-0.112753198236334,0.153362039009678,0.164668642819652,0.0805173010170133,0.281162366787381,0.0645101935554494,0.0991365164664692,-0.0401687029974968,0.198470836786747,-0.0308462686770285
severe,-0.0330700329319224,0.1276733708503,-0.365080949748344,0.287139180946443,-0.127375968302859,-0.424404738633754,-0.0783491507197361,0.200330325406507,-0.431415007001634,0.247518654514539,-0.0103068999954475,-0.0716630159962681,0.163875524601576,0.108523518478653,0.0741812380800452,-0.0932964164001931,-0.118479400983592,0.271004749062231,0.284653799924659,0.182350684085679,0.400587942229252,-0.120912694553565,-0.0748218679125917,-0.164294209954702,0.461798946560803,-0.339261154060537,-0.0273506474240449,0.146589975307237,0.405853510085128,-0.133965718328107,0.0950308827207857,0.1303232626803,0.191849846705231,0.183238309254236,-0.404617005913821
severe,-0.44977939217833,0.259101458610922,-0.418922200560427,0.566322220151359,0.472795950621981,0.037022636075177,-0.474531935333649,-0.528960863534334,-0.333456898432533,0.348983435060644,-0.201328154297645,0.593625809465255,0.163064922088015,-0.0882022774228991,0.407490466142462,-0.21234583481676,0.0755308042021047,0.505803926356162,-0.444865838267766,-0.400786542875071,-0.338636001494645,-0.427797222976043,-0.455328079720735,0.139180408563817,0.103381520192928,-0.263316212697779,0.347341756827558,-0.153151410149357,0.31983054415963,-0.0444335224543412,-0.54180238661888,0.410774754490835,0.569321576198435,0.078639041365362,-0.448360210139178
