group,AR,ASCL2,ATF3,CEBPA,CTCFL,E2F7,EGR1,EGR2,ELK1,ESRRA,ETV6,FOSL2,FOXA1,FOXD2,GATA2,HNF4A,HSF1,IKZF1,IRF4,KLF9,MEF2A,MYBL2,MZF1,NR2C2,NRF1,PPARG,RARA,RFX2,RXRA,SREBF1,STAT2,TBX21,THAP1,VDR,ZNF263
healthy,0.0475956536320213,-0.213382794742394,-0.120788288558666,-0.171017906532649,0.0565716205735274,-0.0539846827500629,0.0702007493036247,-0.0726857403043845,-0.192601407766149,0.068896598225762,0.369922205745689,-0.0037656367699495,-0.0004968564527481,0.105448997845622,0.210970975159882,-0.0838517591533926,-0.118399469991179,0.0204638921001926,0.0475986146535101,-0.125980234727991,0.0588590602165626,0.0422116647180213,-0.0632525800598848,0.095419405868772,-0.0513494349580507,-0.0068258916635939,-0.0032377265049555,-0.0016708906829867,-0.16661712213488,0.112317886221713,0.0481865915166762,0.334965908016345,-0.06955661752545,-0.135035524561617,0.0195898819241651
healthy,0.0284380354341106,-0.0832790778339648,-0.0638918807196809,-0.110137509069246,-0.0742037772371859,-0.116779167373957,0.057121682376479,-0.0481973225548663,-0.0433613533679816,0.0214792241690564,0.125612787399472,0.0448998308390402,0.0037287539327232,0.0109122450669936,0.0873970745888595,0.0235966542036258,-0.0639816077590993,0.0069156710328965,0.0534388187306125,0.0199584759443767,0.0648229283504756,0.0005646338653175,-0.0048989282266337,-0.0695606000945783,-0.0552578698318242,0.100597917578245,0.0058466803381553,-0.0051423541018992,-0.110859468480101,0.102065373986026,0.0543785288335598,0.115933527555477,-0.137660584892701,-0.0822968119355208,-0.123328448659322
healthy,-0.0655333752808065,-0.0506161842464045,-0.124078264777656,-0.134608955496421,-0.12224123682376,-0.159160115346033,0.105897982680168,-0.0880403120173359,-0.135626272472127,0.0085908877318757,0.157160964539701,-0.0912088697478934,0.0193206617851409,-0.0965554929931256,0.0837545790716121,-0.0432748638517567,-0.0699330146960694,-0.0423054548039732,0.131994139383449,-0.0219404023547282,0.0252386789308995,-0.0743824452380477,-0.161259676363886,0.034265770700504,0.0021770048624807,-0.0567660134229321,0.0727231955794297,0.0448787810170952,-0.105640135967232,0.0088464237382472,0.0471373262227285,0.159242759633306,-0.149827945371918,-0.049872158378337,-0.138376797951013
healthy,0.0131285925184073,-0.357589127817998,-0.0548196829944915,-0.0301233919517285,-0.0804617859664273,-0.134497480170171,0.0705620172758268,-0.0323773252516685,0.302846763597168,0.0757901241573777,0.181843906631602,-0.108804307366204,-0.086398429154236,0.272697296487821,0.190059492905417,-0.19895993930282,0.309305136612135,0.050206714846519,-0.0543485620939409,0.0010986436339366,0.0718610527651001,-0.0368870581407204,-0.100913772752988,-0.0723958617281146,-0.129772912463225,-0.0646516230296481,-0.0670777385062905,0.0095112065294626,0.075440327164643,-0.112679524604346,-0.0579373303896145,0.0394403532907986,-0.0511914128373206,-0.050473979545234,0.0695235860241151
healthy,-0.291132386704086,-0.219416400479753,-0.454571899776384,-0.0494922776139777,-0.1228623592225,-0.0630461142266075,0.139213016237975,-0.17632544261705,0.294241699892449,0.0164057316251177,0.364438374160826,-0.163810832331055,-0.0741337376537139,0.0131534730985221,0.0914512873704125,0.0505594977628,0.140145262373644,-0.0652669426794541,-0.370476184202853,-0.0855824264276662,0.10415029078251,-0.0783300164750416,-0.0796814895996807,0.0864813600922207,-0.399971917499856,0.058172115430131,-0.124404922538683,-0.109658241505671,-0.238905228786229,-0.0321604384604943,-0.032881992967219,-0.0650429256188429,-0.119885848265645,0.0605042055863298,0.0879476495505784
moderate,0.0367890530975923,-0.197032994390854,-0.248540643140908,0.0644084956705932,-0.0004287079904666,-0.2134394147444,-0.0752471342558776,-0.243630330673372,-0.189738348745311,0.143089270062595,0.182134436398381,-0.104647248671237,0.0709177102712081,-0.0465072260147069,0.256695854753824,-0.13274838097383,-0.150616963065519,0.0360959528027183,-0.0974377042986747,-0.13098087710757,0.0249253263023881,-0.0946279163948837,-0.206524213366979,-0.221209759981389,-0.0590204696858554,0.146660166984874,-0.108087240419362,0.103856137322894,0.0291771366867599,0.226199958170589,0.222194208202331,0.111221425287271,-0.112558671989406,0.0737670021032943,-0.196081440290598
moderate,0.0251705207253225,-0.105512552005875,-0.172575340307708,-0.111684872844313,-0.134991167980601,-0.147375017952761,-0.0329593489337375,0.0321258220546942,-0.0887452239054949,-0.0391024748849018,0.191190409390445,-0.136770328723912,0.0589208392841493,0.0333331659189182,0.189311359639102,-0.0632564074385314,0.0200854422336652,-0.137880012980379,-0.0676969204273298,-0.0070675141166436,-0.0160228941021318,-0.0883375135584675,0.0301815259083966,0.171609607293363,-0.0120228091239514,0.055111536988818,0.0298111658431571,-0.0345161245705529,-0.0801515897553242,-0.0239503532211668,-0.125578577404705,-0.0182140296627294,-0.120894315932835,-0.0848560399851272,-0.0094386740192991
moderate,0.0759575282303723,-0.0581898538445542,-0.223312542981455,-0.0714209136379508,-0.0777638780359886,-0.102449695991236,0.119766334009967,-0.0693091102652406,-0.073224809710477,0.0100685759565458,0.30533920704204,-0.0628659370168098,0.0246132839960996,0.115682179754327,0.251249468785751,-0.0719737195905768,-0.19105007994567,-0.0494503645400665,0.151320014118863,-0.0142546204731221,0.0126012066217426,-0.0528226063534988,0.0682874079866424,0.0316600916747401,0.088834526406412,0.0385589513155894,0.0503820671069316,0.0104119376886249,-0.0725808133821923,0.184255861964829,0.0855805303928414,0.0605130885593631,-0.0535482194758778,-0.102459076492164,-0.0272393174192494
severe,-0.0358240342064149,-0.100619524464038,-0.0726367532994951,-0.0710441418564392,-0.20829111306926,-0.0527710086826683,0.0525778634423161,-0.0290433021205993,-0.0848476150813651,-0.0047241147779397,0.250276042012174,-0.0536193014468613,0.0977586224666257,0.0524291269928869,0.186646164658556,-0.0853301246090696,0.0566789115692635,-0.0556294828109375,-0.0219083132838374,-0.234217007638931,-0.0287024811503463,-0.0118672122262078,0.0515251582392245,-0.0433492028288189,-0.0861440029174517,0.141118102489098,-0.0412608817928159,-0.0875657206587071,-0.0746146887899075,0.045390993634842,0.0551887656326527,-0.100405424120113,-0.109722242312194,-0.0201197515865652,-0.0403916339250505
severe,0.0822746551172396,-0.0145599151535157,0.0015659457123823,0.111618954354229,-0.144347268259359,-0.364232374477979,0.0887857095762115,0.0311002672784075,-0.0784326462058416,0.0371694996072308,0.165961944314585,-0.0645985354886754,-0.018898407937372,0.175387536998131,-0.0797542312891411,-0.12826410177207,-0.036200304868585,0.141388903608258,0.127800447289224,0.0701277809607761,0.0929149352164323,-0.216603299305331,-0.0608582491687355,-0.0631260645900653,0.0142835337404762,0.28495150093955,0.0659545671728978,-0.24042271954076,-0.0884580625646152,0.375952143127224,0.0351400611331333,0.006712882430577,-0.0145550635195829,-0.139129497685745,-0.0625826815895898
