group,ASCL2,ATF1,ATF3,BCL11A,EGR2,ELK1,ESRRA,ETV1,ETV6,FOSL1,FOSL2,FOXD2,GATA2,HSF1,HSF2,IRF4,KLF1,KLF3,MITF,NRF1,RFX2,RFX5,SP1,SPI1,SRF,TBX21,TFAP4,XBP1,ZBTB33,ZBTB7A,ZNF263,ZNF384
healthy,-0.139892958255596,-0.0214271280467443,-0.0550222982406615,-0.0170086608313344,-0.0424592544871978,-0.0868991066834154,0.0246483156751481,0.0278066552622069,0.189737956995072,-0.0009970010075858,-0.0736937630226602,0.0955102392981007,0.199683155909544,0.0076580516397571,0.0194509654522602,-0.0227368552478598,-0.0146938336189159,-0.0138133251772957,0.0820936947779124,-0.056354064514392,-0.123917935048663,0.0497901803143165,-0.0995510620276861,0.0686759900071915,-0.174421812765539,0.0999520673617325,-0.14502007578375,-0.0224842061444034,-0.108741355308184,-0.155764123114863,-0.0038680079627699,0.011631224938294
healthy,-0.0075080920259276,-0.0076749164645456,-0.0125013898641442,-0.0079766360708992,0.0242301353857131,-0.0081864169822232,-0.0212155400773244,-0.0355793947208696,0.122700346885848,0.0035145524743751,0.0058768943965271,-0.0287490354792963,0.157754453085599,-0.0031958599398156,0.0233973615841379,0.0339031400088366,-0.0337750628207481,-0.0544074175662183,0.0233778799275055,0.007822195227943,-0.0719131164657554,0.0570193919708709,-0.0948238367502599,-0.0406375033773509,-0.0071923643522358,0.0687229981930722,0.0459234541893621,0.0240731177945805,0.0022336765632841,0.014498285676516,-0.130371390225806,0.0275546646855584
healthy,-0.126046576985053,-0.0693232541135457,-0.21102538484312,-0.0885254653749509,-0.160072471606877,-0.184368035312919,0.0643170296719921,0.177538421867352,0.23135613280121,0.0234851781972042,-0.123322092756194,-0.157984495040425,0.0859305656829199,-0.14057989849591,0.0215764223340191,0.170876992263055,-0.112817722884448,-0.0397830578617785,0.125347835034729,-0.0205522793334893,0.0866025663376541,0.145366703854302,-0.0967668301477609,0.195696852833386,-0.235707206305391,0.220290055262759,0.17661985026044,-0.030195536269007,0.0746717131158219,0.168267112043212,-0.182637338662385,-0.10291355734049
healthy,-0.380215340073361,-0.0978284818138968,0.0193896388267453,-0.0719000888920539,0.022130435221025,0.347190219574771,-0.0040981348833512,0.146619475732864,0.202493790568982,0.0407144111158692,-0.13605910465124,0.195321838621215,0.144405446038754,0.312433350862381,0.136497892740516,0.0355076605058574,-0.049745204901925,0.0432078499265772,0.0012572618292364,-0.16458226885731,-0.069201861941804,0.34384336297127,0.0449293253581703,0.125000816643262,0.0336409707748481,-0.0219601310464201,-0.181278176018823,-0.0346242238634472,0.220513427175875,0.0694008009311253,0.0190837746561186,0.19837807806527
healthy,-0.14200784121449,-0.0454647915782368,-0.321739212142129,0.0860699234226883,-0.059623747780177,0.229180076134356,-0.0319386893598111,0.0618207096163117,0.268962664608596,0.116477352145748,-0.107730594443407,-0.0295058173004393,0.0372169846216248,0.180298116242372,0.0303515044951339,-0.341708087855172,0.0411576193874052,0.0806934250295624,0.17297223836723,-0.326818328425625,-0.0797238965484888,0.143057787358985,0.0591812134472475,0.141235834763561,0.055942790644763,-0.109329887946817,0.100108191884773,-0.0951493090166332,-0.0194345967833475,0.0240832161060594,0.0236333324062327,-0.16322552357778
moderate,-0.226313926955862,-0.0845810842001898,-0.16323718321162,0.0987245210799701,-0.192164677744234,-0.126796109720332,0.0875200981433099,0.0241462660665197,0.0058719721903963,0.0747552558182457,-0.14973482898,-0.109008837484541,0.0781954555716386,-0.106440503974311,-0.0661508304963561,-0.163933588233677,-0.158747705854619,0.201763879407136,0.0903389219197642,-0.0671077843980719,0.147796493115367,0.153053760858144,-0.144676321491491,0.270629355183648,-0.0547520607786696,0.0361418297415749,0.304780965090266,-0.0020844936761887,-0.0275938558216205,0.320635341323792,-0.201929282014806,0.132836204449583
moderate,-0.180017212354953,-0.122234089728266,-0.202930328771975,0.0515159433561692,-0.0417426702284114,-0.0612801244666539,0.0369896769751273,0.0252392337528201,0.291584016030449,0.121487192215276,-0.147673954639947,0.0672429477608892,0.295986961248993,-0.0515435985105279,-0.0134044622313964,-0.0272330575104753,-0.036584921114742,-0.0310273928012169,0.106337205502105,-0.0163405383697533,0.0040722593358728,-0.0654383273147285,-0.0504089059484922,0.102500535304571,-0.238770658133365,0.0602937533567297,0.0980933565953475,-0.0307979176310258,-0.140544448113875,0.0493647351256409,0.056339695615132,-0.0576423230844481
moderate,-0.0526923089627476,-0.146740352849486,-0.205155337362559,0.12528820260069,-0.104738323031073,-0.144071296015685,0.0679101934239398,0.104962019802852,0.250364022143353,0.118061172483096,0.0109218850772535,0.106400483429699,0.258203719168715,-0.179516567012109,-0.0940997946923708,0.1151297723876,0.0567435258316039,-0.0212116153948743,0.0463388758040977,0.0766875154802574,-0.0280853428828596,-0.072700824518936,-0.0307157050491128,-0.0012592508679779,-0.1072770914906,0.102236667406865,-0.009932348648561,-0.0733308112851598,-0.192854600447599,0.0707128709181794,-0.0007619854464087,-0.184423980685401
severe,-0.0753875550108662,-0.0294987444490828,-0.23452676795291,-0.0394075434619508,0.0535017330913356,-0.221906267197064,-0.0761918787240674,-0.0865103674442728,0.230086515932139,-0.0104566802371784,-0.125580998288768,0.153270037981426,0.109590356632399,-0.140173725142806,0.0125366560735022,0.133644364752059,-0.127836734100914,0.121944503622522,0.245102100332735,-0.179538154550537,-0.0904898866820204,0.113689070773192,-0.210529018128411,0.115644471299048,-0.26969889244862,0.0482928143556817,0.129642899115612,0.0435689582278452,-0.0981751379341685,-0.106707425783008,-0.156031697279293,0.132967542535819
severe,-0.0083773326911343,-0.123457365240061,-0.109961100639699,0.139425749198258,0.0685020951968308,-0.167380225334946,0.109261193494075,-0.10051373162475,0.283564001243178,-0.0557916258613741,0.0892518545501709,0.152525145866314,0.035919221749156,-0.130366173144522,-0.152945349438577,0.0173134243167697,0.191902579814499,0.068048022536021,0.090741284180971,-0.0488871933894045,-0.187279854360446,-0.0310104726525867,-0.398516335984568,0.0490370924655105,-0.0659395502341669,0.0119713453504627,-0.0249527673942969,-0.0248370615128486,-0.385598600791447,0.081461478025151,-0.0021656770303572,-0.276733627017458
