group,BACH2,BCL11A,CEBPD,E2F8,ESR1,ETS2,ETV6,FOSL1,FOSL2,FOXH1,FOXK1,GATA1,GTF2B,HEY1,HINFP,HOXA1,HOXA6,IRF2,KLF5,KMT2A,MAX,MXI1,RBPJ,RELA,RFX2,RFX5,SPI1,STAT1,TFAP4,TP73,USF2,ZBTB33,ZNF384
healthy,0.0170461758237012,-0.0094246251008549,-0.0402385385483996,0.0040926300627267,-0.0267932390170206,-0.0205188716781663,0.211175800342047,-0.0027671026200249,-0.0761347755468395,-0.0120781994698821,-0.0014091066419831,-0.167618798885594,-0.0038207365476932,-0.0133145346864957,0.0093869729443708,-0.0060065924733609,-0.0825478762239904,0.137569644394381,-0.112000414259537,-0.0749002969117387,-0.0133770684522726,-0.113460728381062,0.0591917949020599,0.0470072634278045,-0.130791625217341,0.0845420156198084,0.0883629492157236,0.0651394038946595,-0.116374606868256,0.044116540954203,0.0240859205997223,-0.116213058079479,0.0377262021942007
healthy,0.0719089319134918,0.0652141157764568,0.0537003791028671,-0.0737919172088822,0.08057061537784,-0.0701309173863825,0.0207122571267607,0.0725391773360473,0.0735938506107141,0.0563747851574498,-0.0658493508373183,-0.0059725249128945,-0.0684991974513074,-0.0054201378866202,0.0777986769234066,-0.0679626570353639,-0.0539894895672172,0.0687699484513366,-0.0424251150783697,-0.0536358985480842,-0.0616797124959723,-0.0196326556992721,-0.0235867777354748,-0.0730031736210862,0.0580061924886791,-0.0142784251234484,0.0174813360720441,0.0328213117547642,-0.0426490716873463,0.0675998321795586,-0.0133001113497001,-0.0755381703837226,-0.0249885214336732
healthy,-0.0158492033918198,-0.0527037109590185,-0.102424022847094,0.0246109154504912,-0.0211255878574467,0.0534445237966689,0.218485848114273,-0.0114982676230065,-0.0686487341073182,-0.0286639516194372,0.0272930108200702,0.0752779150227084,0.0300313851627169,-0.108880745574225,-0.163512242101344,-0.0711550431957873,0.0224502122455422,0.171046626267805,-0.0098308008085867,-0.066730563632919,-0.0194302095824306,-0.0991477244593437,-0.0188670615252805,0.0710284453669245,0.0441815727228974,0.0499749245641277,0.0917267994843903,-0.139946999308655,0.11001061952407,0.0005736426794672,0.101108497779745,0.0492167926135999,-0.0074650154187391
healthy,0.0925906660896052,-0.0337700147251145,0.10597600748299,-0.0767739244403646,-0.0317436150298776,-0.0445870944113775,0.319637886385276,0.160407910672714,-0.141034515518064,-0.207218929103313,-0.0596307657472543,-0.0150350370322978,-0.0390954885659085,0.180409775151931,-0.0593043837864293,0.069110034280246,-0.0236878701967925,0.0762942241287113,-0.0061541404613308,-0.0685534218424396,-0.0998439341420869,-0.171627982415222,-0.131065745776134,0.10184488774807,-0.0533525623869683,0.0852715704388708,-0.133649648899839,-0.0187850694898812,0.231355707578531,-0.0764516916267339,0.165085215234384,-0.138382530891761,-0.176826029489773
healthy,0.0463275120504211,0.0823551237609421,0.0380087373932201,0.0381646721968182,0.0655729414202855,-0.0159964284663545,0.181189249946273,0.0677357287059748,-0.050194996470312,0.0767783282714488,-0.0131306003737829,0.0231855140295105,-0.00092535413061,-0.0483695871667436,-0.14531892411853,0.0387346136900485,0.0307756381739661,0.0166988973163837,-0.0361431402394327,-0.0105930597522473,0.0776622470553967,0.0063799174866586,-0.0062455053744032,-0.0469119326088673,-0.111384852382109,0.150566229676517,0.119838063921351,0.024807110786927,0.100457083029122,-0.119433965145708,0.0694139694580268,-0.0771607714996298,-0.0638700389695951
moderate,-0.0070779056697556,0.0082174045853567,-0.112314353951239,0.062695799955187,-0.0410809086698186,0.0106411064980679,0.115370541778901,-0.0063504136081145,-0.117893796337071,-0.0074145033544787,0.0656587584287827,-0.053908776558546,0.0723134216441722,-0.0174551584634039,0.0916933691036513,0.0349786189255553,-0.0244966398844012,0.114577778717692,-0.0804381717201338,-0.0903220510094395,-0.042599805068899,-0.0674154837462259,0.101502675361425,-0.0907840693498582,0.0031476403891075,0.0943574606064457,0.114580914234084,-0.0603504859522857,0.129996837353091,0.0223422788297964,0.0630285305030262,-0.0109703879778754,0.080670618002023
moderate,0.0173168511082471,-0.0427021476537675,-0.0038403730302408,0.0411752400233665,-0.0139507937055163,0.0255232037264124,0.103913446175176,0.0051403485119893,-0.133446138283254,0.0128097404310224,0.0290221741788863,-0.0302769520691171,0.0417442826220759,-0.0351285439723533,0.0522497285561279,0.0796418007667102,0.0500254518127403,-0.0209783546754766,-0.0978734732848713,-0.075445195613637,0.0417055209230328,-0.0955372367283321,0.0602656505198985,-0.0731739998373892,-0.0463663862313918,-0.0147912494998571,0.0814702869253844,0.041154571886947,0.0879824507422975,-0.0151497353232883,0.0695538108623774,-0.0378319006598125,0.0299422737360901
moderate,0.0640109451666153,0.0605018234637379,0.0259679229267667,-0.0525563016155619,0.0315317467145753,-0.0756358406891052,0.275272154701784,0.070401785395109,-0.0116614782576891,0.0114792174130544,-0.0558318628242027,-0.0127639169962296,-0.0533619519335299,0.0608382975833898,0.0537660303675356,-0.0944340552745364,-0.0783860983216093,0.0642344633413856,-0.0260448200134679,0.019218130224695,-0.0741860714871557,-0.0099226337168118,0.0364754613051523,-0.0646616568413863,-0.0372864390494183,-0.0474896290588689,0.0121308962453984,-0.106836763096184,0.0181615589340548,0.0772942902567255,0.0073803955589703,-0.155836729600013,-0.0830532219655969
severe,0.0324176420759866,0.0412332109269431,0.0673880826216915,-0.0052603800580465,0.0049942675205374,-0.0205302181845041,0.226340132159568,0.0740134242427341,-0.0504204531256412,-0.0286995610137591,-0.0765736698916738,-0.122724217795706,0.0023663589289582,-0.0175664063472844,0.141447773942953,-0.0138314686539941,-0.196979167063599,0.0182211670727919,-0.14245084987947,-0.0811883440484724,-0.109891096710469,-0.130375520653222,0.209978230215359,-0.0061976843990275,-0.168143216281815,0.0239438869303699,0.157008619463174,0.0572378137614002,0.147460626446259,0.100594960202268,0.0342511376002792,-0.18162677163606,0.0912868136399575
severe,0.283202869805028,0.0787620278439196,0.0974827803496761,-0.0785117686296684,0.158515517127438,-0.12111215149034,0.332128059305508,0.054043655842279,0.0659611554283233,0.275673995000155,-0.124042066921519,0.250092374775038,-0.115519620839314,0.161054625692263,-0.166680913747027,0.0411134341440898,-0.0316339332068663,0.198218281303777,-0.232674041331775,0.0583835920603669,0.25842233873785,0.0706049082800546,0.486057600676074,-0.137035096866086,-0.25728464931379,-0.124213937549205,0.147413064087418,-0.0038433128746321,0.0434530818954811,0.0339917580218089,-0.124225947394765,-0.291927535719241,0.0063866411149244
