group,CD47,CD33,CD11c,CD45RA,CD123,CD4,CD20,CD183,CD32,HLA-DR,CD1C,CD1d,CD366,CD58,CD39,CD244,ITGB7,CD62,CD41,CD303,CD98,CD38,CD45,CD71,CD304,CD49d,CD305,CD371,CD85j,CD328,CD101
healthy,-0.361047428227028,0.134654032352386,0.257386547154919,-0.36977238293122,-0.222767594944652,-0.27837060117504,-0.0926648486267363,-0.149508684793201,0.258096505303107,-0.403201449713078,0.394924266548153,0.378193211998181,0.503039189916313,0.240105376833319,0.276767970259539,0.134157933390659,0.308001498817034,-0.4498352324183,-0.460602967874625,-0.463839222220996,-0.305149938100814,0.173843783052588,-0.253558349559651,-0.001684488214082,-0.522146131325168,-0.13832678948958,-0.358138675563495,0.0241618846270009,-0.065268266415646,0.358928084394259,0.168235965505787
healthy,-0.587394957983193,-0.0908391650310143,-0.0319551585119994,-0.43680715471353,-0.444283162079372,-0.119480880125801,-0.0904151885811606,-0.330728138866843,-0.187732802928847,-0.328011204481793,0.207949540731184,0.126500908335307,0.285603476321618,0.218080788112274,0.244154124702695,-0.218233033714822,-0.0784785894406612,-0.752485115408581,-0.755111861728668,-0.398285059508055,-0.567955711288147,0.0591036414565826,-0.370334057914965,-0.340297706580763,-0.382192234526787,-0.297198879551821,-0.293837535014006,-0.357703081232493,-0.286962225899031,0.283908500201014,0.321786416687009
healthy,-0.0189840442651601,0.19953932410545,0.548012229139649,-0.602659310276611,-0.546405120376557,-0.427143935913929,-0.252114892527708,-0.314956398674781,0.276084027678704,-0.241680672268908,0.34984315886847,0.493436028500403,-0.0159403506757244,0.231008649686246,0.0271907658710125,0.488300391671636,-0.0660297910729183,0.169710893670247,0.0477059867689272,-0.536677331871465,-0.460795169728911,-0.269723889555822,-0.324546552367136,-0.25917808729228,-0.505933941653606,-0.314477791116447,-0.454499740224493,0.45594237695078,0.099299840644207,0.426819572459759,0.584880842769403
healthy,-0.772957003015637,0.512411966228904,0.47526853302497,-0.865371000674461,-0.810407488283389,-0.662017301003705,-0.0922241317719876,-0.296286756865552,0.542993341031903,-0.625806451612903,0.652476735634755,0.564292718333608,0.351029136741549,0.52482597084858,0.415586944933953,0.267366983698949,0.331313807395461,-0.428563849285161,-0.300659446604983,-0.789768555768637,-0.196637106475484,-0.371774193548387,-0.613569919440369,0.49317466156905,-0.771613827318896,-0.585887096774194,-0.805970214828378,0.357805595872258,-0.14045982046803,0.261805740409867,0.43878877418472
healthy,0.163783039633073,0.534105534105534,0.377188478001211,-0.0603893413705774,0.129863804894251,-0.234087308059463,-0.0383680525429028,-0.112124114712755,0.447647854714204,0.261003861003861,0.169526894078174,0.45740200380206,-0.203523385419667,0.579554873663767,0.0901928434037842,0.581626989756349,0.171548483008454,0.0571860533758737,-0.0622421200534006,-0.238611883682329,-0.0370607635786098,0.051030970207208,0.117783602953,0.164610493809206,-0.0162582215893146,0.0241956241956242,0.153279512929853,0.395468602191031,0.126481829670584,0.376755725719612,0.400901564116729
healthy,-0.400336260352741,0.602292027932751,0.640874826378883,-0.718534461062785,-0.56414881542333,-0.540356293009197,-0.0733060803131416,-0.573593292005672,0.627764176742997,0.0696513413372348,0.669518789654648,0.638419862326222,0.647356639416058,0.670560510120929,0.557933286223129,0.476646491777013,0.187775182021729,-0.115128702549273,-0.197162349503938,-0.73432843256518,-0.328025592170728,-0.236446073702489,-0.353527558042318,-0.338149316202705,-0.654966189664164,-0.219789053958454,-0.655565358671042,0.405236552794987,0.207116962834396,0.56842896381526,0.715110074181068
healthy,-0.162768040010375,0.651353720588689,0.691888513579501,-0.578747379740584,-0.54993273001126,-0.50039748549896,0.0260239134377637,-0.545262679842622,0.638474871612597,0.213006941907198,0.64298684187672,0.493248162992717,0.667313934843142,0.278915782204031,0.680854920056545,0.572877888303863,0.636393118281379,-0.166778191276426,-0.218716616808669,-0.788007538062943,-0.588562869539345,-0.142048050286653,-0.290837673635142,-0.0543126832744335,-0.71968349108264,-0.424698575082207,-0.599430596129379,0.2034053127157,-0.241718165471029,0.585497884490012,0.708125670514266
healthy,-0.492976304504396,0.566765680872947,0.639027409880433,-0.639985253189684,-0.576349869013582,-0.628509582640323,-0.0689404845954613,-0.43694605197935,0.274391097033191,-0.381298701298701,0.413330544042944,0.497152143543287,0.6892232913219,0.201436795656722,0.344838275083787,0.478270072358381,0.348992536569413,-0.1228766575966,-0.144954816495982,-0.720999035524979,-0.658631419602018,0.0105543189651781,-0.509886201917968,-0.203924125473372,-0.604284238550329,-0.490630681925988,-0.68069789396285,0.506591245794058,0.174789344612663,0.381018522075441,0.643041060038907
mild,-0.502099125932189,0.172234377015512,0.242409467494924,-0.456778098948466,-0.604737714950938,-0.472439151616273,0.173678396562273,-0.343284972375201,0.329929126787254,-0.362522173842929,0.307104596583497,0.194611234346053,0.332553716516592,0.278103674408205,0.125600088304456,0.196041580642587,0.167015919323241,-0.150683626240433,-0.23857908470498,-0.510803142864642,-0.255800505855699,-0.376310272536688,-0.153212884408247,-0.363574753126052,-0.516028141044389,-0.204886308659894,-0.56691996164337,0.212383086869387,-0.223112122229892,0.226395317422811,0.269460841415173
mild,-0.360458264157489,0.295958016530506,0.227879993364306,-0.533399680274478,-0.516599089943189,-0.410827166490191,0.224104841041963,-0.243680846144174,0.208883158673389,-0.272929602043526,0.436277921509694,0.2085217510751,0.292190475376031,0.0970652397576263,0.0979505624734419,-0.0144923835967694,0.190662793986994,-0.130590244577432,-0.20507182638768,-0.527870360013787,-0.274745157678199,-0.152463592207193,-0.468147895595954,-0.457650426614914,-0.336558332852015,-0.239875566688533,-0.388495125864935,0.178339277489337,-0.125982243684526,-0.0102098883161869,0.293971534823866
