group,CD11b,CD47,CD33,CD11c,CD45RA,CD123,CD4,CD183,CD32,CD95,HLA-DR,CD1C,CD64,CD1d,CD366,CD58,CD39,CD54,FCERIA,CD2,CD303,CD98,CD38,CD45,CD71,CD304,CD36,CD49d,CD305,CD319,CD371,CD328,CD101,CD224
healthy,-0.0537067681539757,0.35012498502016,-0.528182521063319,-0.491140191804736,0.679838685481893,0.228847326367214,0.16914616910636,0.192141561918049,-0.479157429910739,-0.596346040307831,0.0638779824826336,-0.70271712260158,-0.133181935169707,-0.390179831476385,-0.354827703623117,-0.283003381177575,-0.533481404084391,0.29250981576563,-0.401049497514391,-0.480233152171604,0.648886547542854,0.419170778595011,-0.0421692742981582,0.259221505073937,-0.08355061541847,0.274330682278262,0.192356360920954,0.20990637269707,0.494294378867188,0.150543377685826,-0.25249169435216,-0.374122448226068,-0.687507119632307,-0.459570169819598
healthy,0.0300771061699705,-0.397478991596639,-0.389611565627612,-0.160056100967997,-0.247144729487214,-0.236722302575109,-0.449141404844227,-0.272800604241075,-0.520354222458909,0.0556130421530448,-0.497198879551821,-0.0517056107373608,0.0939796799998136,-0.203300016947309,0.273173651437195,-0.0235226840978801,0.155448099128762,-0.464425770308123,-0.641234852277743,-0.211072231223996,-0.463015900919498,-0.496245653311182,0.0450980392156863,-0.535611738830116,-0.249248152980559,-0.568019157380344,-0.447058823529412,-0.610924369747899,-0.445378151260504,-0.269460400536188,-0.508683473389356,0.111020935899501,-0.189211540109743,-0.147725235360523
healthy,0.63427155415293,0.117302943592396,0.306608014529539,0.538587784381259,-0.444190136455215,-0.459361914268511,-0.215373553560021,-0.334523854182118,0.360758163812371,0.350820665470766,-0.271068427370948,0.221300985302101,0.373136963455189,0.506539523230791,0.21772303747719,0.432553715306186,0.21198191052277,-0.350876350540216,0.546906093647846,0.422684277812669,-0.454741398392162,-0.311817460183226,-0.322737094837935,-0.055893327469714,-0.167813150045361,-0.545977419531821,0.410495511043151,-0.230060024009604,-0.283599763885453,-0.307456100473375,0.443841536614646,0.707031584797876,0.610308350795936,0.0667174433381861
healthy,-0.278883718180236,-0.643390842196828,0.477699536850656,0.402835099724443,-0.625353006147771,-0.704316313859033,-0.629037832769107,-0.396626680915867,0.434719090056908,0.482047625782961,-0.650403225806452,0.426508991238306,0.266033323288294,0.417040772327525,0.26641352144108,0.408107603058156,0.202082007706515,-0.656451612903226,0.220787196161647,-0.181854838709677,-0.783734030032105,-0.132176598061335,-0.364112903225807,-0.549853818703216,0.397265030254346,-0.800264057534009,-0.0217829787791454,-0.653629032258065,-0.716014580240426,-0.556492371921072,0.473578094198457,0.198134584342187,0.578991080484994,0.0017363099909535
healthy,0.111514216735539,0.216999610870318,0.272586872586873,0.288105055893075,0.131467061744797,-0.211362694797021,0.215194689498555,-0.232443347444382,0.411738207944433,0.255986677137227,0.201801801801802,0.0793586238219756,-0.137117801711065,0.145114848921973,0.139922327476021,-0.171404076094245,0.147517706571469,-0.027027027027027,0.160051679286243,0.109938211676804,-0.248427124287702,-0.308189507653702,0.0157216625385843,0.129381550727366,-0.220115519820906,-0.0883216902554658,0.0612248902098396,0.12947232947233,0.0104449412558673,-0.261288474046465,0.113285276669306,-0.0822587728653036,0.389053525601233,-0.172249055044881
healthy,0.0608332752714765,-0.265273938558347,0.530449584241756,0.589708207176053,-0.680740058213679,-0.697979738790179,-0.350794263296675,-0.536815930397715,0.717357235206497,0.391982089534207,0.0502930276322415,0.426201984863291,0.596605833692428,0.696757560735509,0.436404930876909,0.621396624750533,0.510871659605658,-0.339325626991081,0.574268683587067,0.422557168806176,-0.708716342192803,-0.460060834458154,-0.306804296096212,-0.225930928033957,-0.481509290851364,-0.681194368236976,0.106723100210865,-0.239661714579716,-0.460758865695315,-0.624057956478112,0.301905011273862,0.537403537539268,0.606118481433427,0.682269251290724
healthy,0.205355743446488,-0.0687901815518432,0.755925839140074,0.765768633035264,-0.662254925204868,-0.552937006056118,-0.373246855396277,-0.607719009015848,0.807611750530552,0.729928736964069,0.327402265253928,0.606733758568223,0.515907235256761,0.64936177179935,0.523072504071242,0.545721532862102,0.688823120362035,-0.381818846394658,0.589731744341675,0.681595792671382,-0.708712533551019,-0.628437878131434,-0.119996346531542,-0.0810633053532964,-0.168775578599347,-0.709877440034768,-0.178803218041087,-0.302228717573986,-0.418925553661232,-0.395487822733671,0.239102634526951,0.725254194493398,0.778644179267979,0.417117533217312
healthy,0.0239502697494292,-0.372961785740857,0.63107740537296,0.676019082465008,-0.656170686689707,-0.751815406037802,-0.489267548827929,-0.602414768230495,0.464911897149316,0.311347207312795,-0.414025974025974,0.501467589121639,0.219663150917005,0.561961907312164,0.291006223719027,0.379545855214373,0.639919763335199,-0.338096283539908,0.369773807158496,0.43519091723757,-0.799465599980964,-0.626482286141568,-0.25436774828386,-0.231997046420973,-0.229843424818823,-0.531859195220476,-0.0191334191112536,-0.417877772175096,-0.61752045828149,-0.503112147271173,0.438498363316548,0.486600554014005,0.599260470567631,-0.0071110094838684
mild,0.1437895782552,-0.272925585976966,0.599794925994644,0.591728556471071,-0.506219347138364,-0.636570344940874,-0.630781033227271,-0.494774103811152,0.478158761102146,0.387115424615244,-0.276407031124012,0.324262985332049,0.482959693731664,0.575083349224071,0.277803031576208,0.453717795928913,0.342314820306186,-0.524482432021416,0.277024462495912,-0.134169269581779,-0.629283482773389,-0.305763822613744,-0.170940170940171,-0.177833500711995,-0.306508477615443,-0.699194535975295,-0.0636237937948217,-0.230607966457023,-0.361317634674032,-0.282225562999106,0.610026221007966,0.216339568579208,0.668023149982671,0.193555800480418
mild,0.0231020573136105,-0.444086508009632,0.30030529315523,0.302002147054414,-0.565650672507284,-0.594068933718453,-0.68380825698113,-0.524212545320808,0.366114395924299,0.17153595200539,-0.397589752020132,0.126552039535434,0.364144557287146,0.174104918877903,0.0130466088913483,0.125913166749053,0.214328510206088,-0.516852373583026,0.0076479199637147,-0.104046486736685,-0.634992932987759,-0.439051759202179,-0.327681622972602,-0.550160129299178,-0.432078123122573,-0.469050552452823,-0.147286240499033,-0.286727745220929,-0.407669859912636,-0.205393948031709,0.232592255820727,0.239653676747993,0.400082830417969,-0.0309790065340571
