group,CD33,CD11c,CD45RA,CD123,CD4,CD44,CD32,CD95,HLA-DR,CD1C,CD1d,CD366,CD39,CD11a,CD244,ITGB7,CD54,CD62,CD2,CD303,CD98,CD18,CD38,CD304,CD36,CD49d,CD305,CD319,CD371,CD328,CD101
healthy,-0.0629040735076841,0.171717275573926,-0.306324929367558,-0.594254773918133,-0.243782864353291,-0.106127980029318,0.297360367824657,0.0695236779409347,-0.472364844457868,0.0499206323748344,-0.0090668019129998,0.354372601822831,0.259863763303098,-0.114510167544242,-0.0595489108692789,-0.155543843089965,-0.236484445786771,0.027420073680322,-0.0086057780869151,-0.558751619718266,-0.37764412229051,-0.155826053216642,-0.433697689538536,-0.329604745399012,-0.285197128179333,-0.255964965267291,-0.56283325434512,-0.0010616599272625,-0.236786469344609,0.03767582052173,0.0491509944309063
healthy,-0.0626186516287981,0.0133146493799997,-0.429512446050979,-0.714312406985399,-0.421342093134581,-0.639400519811579,0.0696218027824021,0.397236015378892,-0.557703081232493,0.108483161492555,0.298070397775647,-0.0677990448241229,0.294458659972258,-0.503081232492997,0.0235624355167675,-0.357799470619262,-0.717366946778712,-0.0508941021885055,-0.0339173173679994,-0.645404565837623,-0.507845809748633,-0.280448562203995,-0.392717086834734,-0.608416314522421,-0.251820728291317,-0.642296918767507,-0.605042016806723,-0.253352605457167,-0.529411764705882,0.220064399658299,0.0091576694766442
healthy,-0.121276163708818,-0.676396247021799,0.244776061787388,0.240475298230705,0.117751635015751,-0.18247126498586,-0.406908947246685,-0.375093605695529,-0.268667466986795,-0.64166863399212,-0.391170746748482,-0.508020420780109,-0.340414889743297,-0.127106842737095,-0.487721093134804,-0.386053855509968,-0.220168067226891,0.184045984863336,-0.333725938047888,0.224156336150631,0.195376315011634,-0.488332806820399,-0.253781512605042,0.417198542450105,-0.0050201236522337,-0.265882352941176,0.0795386560295586,0.310007603381868,-0.502424969987995,-0.456845833080475,-0.729740585466015
healthy,-0.646821721844678,-0.607995718067278,0.446972285725724,0.507059339358995,0.2782010357213,0.240767024699127,-0.697091525940136,-0.530023929770838,0.325403225806452,-0.525344247861799,-0.510293415143789,-0.259711294486588,-0.362210710627093,-0.132661290322581,-0.42656259231359,-0.0953537299333277,0.281451612903226,0.352255560432654,-0.102822580645161,0.732440561271582,0.123929125604306,-0.436016895985019,0.209677419354839,0.746362776959813,-0.112142001863008,0.431451612903226,0.509076281838545,0.542328256119914,-0.566357448257779,-0.643413787631288,-0.578991080484994
healthy,-0.0828828828828829,-0.296343985105389,-0.236747594930671,0.0253849001336498,-0.200960524829379,-0.0782748596353645,-0.326661948034689,0.0956609920825961,-0.151866151866152,0.0841043222565123,-0.0727509109262159,0.308825755582034,-0.0665123694541536,0.0319176319176319,-0.179002178014926,0.281905996221058,-0.130759330759331,-0.124294800944821,-0.206230696845714,0.397348016231283,0.111182290735829,0.0290540574774499,0.243556903261675,0.325457372715829,-0.300182795037273,-0.136936936936937,-0.0621474004724107,0.381779013891727,-0.0314109176219439,0.0076458474778647,0.0106889912694149
healthy,0.395423127573421,0.520484681322729,-0.661900353345185,-0.807585978191826,-0.330632194996463,0.104312588063193,0.522110159634851,0.280326782588469,-0.0476240242476661,0.648293073990576,0.511924609297003,0.454823148179161,0.591770450259668,0.0822908962704805,0.340537994871316,0.195414372326353,-0.383447766993144,0.101269887841715,0.337324735610049,-0.72884321253602,-0.491290727095,0.193089712030727,-0.399897099491929,-0.721954900567167,-0.139355306825295,-0.348221750594894,-0.765083676947039,-0.691446052327226,0.261392613905502,0.472410336868379,0.534500967572896
healthy,-0.6870889286421,-0.746577081726029,0.679160664707827,0.641995014060877,0.424889235486847,-0.0403072664021078,-0.751120482206693,-0.697766762235433,-0.250931677018634,-0.627026243861455,-0.701625729176806,-0.458760919834975,-0.666512159506663,-0.250356298715868,-0.463541016996311,-0.324473577758033,0.458365304116841,0.335956625788491,-0.57839642969649,0.692208857815204,0.628128169326835,-0.360976091298803,0.184762949523977,0.667448227816814,0.323156430312996,0.355498721227622,0.51268560565458,0.213033015543605,-0.132522196734299,-0.616283163412097,-0.718020084934208
healthy,-0.752679165316851,-0.798308175043557,0.64486375119911,0.578721705064429,0.486849228958492,-0.129600530429155,-0.537486172173798,-0.495225359629118,0.209202226345084,-0.58938213200753,-0.694505562659015,-0.479324238487869,-0.664951333109002,-0.195059947940961,-0.568335374596481,-0.271728083609991,0.14507775225101,0.016636990228845,-0.48324658921602,0.72265174684464,0.577863185066326,-0.481737452549639,0.0603316052452622,0.583275706854554,0.0427542636764224,0.22425756659188,0.489000281152175,0.412409975900896,-0.60963703087179,-0.459882314734999,-0.794466354741911
mild,0.351627431749631,0.62663616772744,-0.438411864131654,-0.375904700397958,-0.540172942729094,0.145015314398599,0.252237218539228,0.229915918052701,-0.142960812772134,0.281694463627627,0.520225361851123,0.547506849403838,0.175145068153536,0.289164891558301,0.270587864097236,0.273336621703988,-0.324873505821244,0.105071753162484,-0.120964920381622,-0.523797760790118,-0.22738903848793,0.23828661168861,-0.229317851959361,-0.605543723162016,-0.348126366939799,-0.300274149330753,-0.379076767745588,0.018087384148009,0.534307735457421,0.0777206008753279,0.557144913764645
mild,0.455815767502789,0.482922055018266,-0.569288825151019,-0.456720764544368,-0.316320069076863,0.135106593193928,0.410466389567437,0.136965211815231,-0.137394251318302,0.595850790344862,0.217781426478582,0.387750827695555,0.217879826423065,0.0075250730976558,0.27586423947459,0.259861278469489,-0.199585174040515,-0.009636358670208,2.53370234352087e-05,-0.657073409799526,-0.400624019281015,0.237568162686252,-0.13159376251233,-0.529643386785388,-0.419486771615481,-0.0768603349851286,-0.570419709417709,-0.237031980053287,0.248134659170209,0.100290740490694,0.522541378315262
