group,CD47,CD52,CD3,CD33,CD11c,CD45RA,CD123,CD49f,CD4,CD44,CD183,CD32,CD95,HLA-DR,CD1C,CD64,CD1d,CD366,CD58,CD39,CD244,CD54,FCERIA,CD303,CD98,CD18,CD45,CD26,CD304,CD36,CD49d,CD305,CD319,CD99,CD371,CD328,CD101,CD224
healthy,-0.519271154126519,-0.174007632514676,-0.236608974548911,0.537104012257918,0.573628111125426,-0.686853760200234,-0.467359866790808,-0.404330468123426,-0.234529127747473,0.0432574235619863,-0.351515705880636,0.506280998345392,0.373497098296457,-0.0767139836907279,0.482821330913659,0.0051536797723512,0.574051500779848,0.398517476450589,0.302600670931965,0.391716577563334,0.473010445562943,-0.361069163394745,0.354344611396831,-0.566714069172735,-0.241795167584972,0.251181147911836,-0.516328765422541,-0.131057417439634,-0.341230655354299,-0.133344827483848,-0.25369978858351,-0.499365640954121,-0.11954290780976,-0.113259621982739,0.265931742675929,0.523507851817372,0.617118041188046,0.487558114848329
healthy,-0.538375350140056,-0.149666818113611,0.41907659539564,-0.167638273643016,-0.142957288079997,-0.533097309059198,-0.375525053662326,-0.188358764010422,-0.462619859006479,-0.574550039927075,-0.25335779850163,-0.245630352020242,0.190367721216192,-0.599159663865546,-0.0636810246683572,0.174060956619373,-0.063601455578129,0.376849690814083,0.162674947857628,0.162674947857628,-0.162412501954861,-0.545658263305322,-0.372230380127981,-0.56734678648853,-0.589046904810784,-0.204064521023996,-0.68534211247274,-0.239083743717318,-0.583826740609852,-0.56890756302521,-0.66218487394958,-0.504761904761905,-0.416501558471819,-0.305529209328721,-0.558823529411765,-0.059606660241208,-0.0735431302585895,0.0132291255546737
healthy,-0.268349904484756,-0.193582926370959,0.0040418732684496,-0.195096437270707,0.26066283181241,-0.505632302816282,-0.57984544814688,-0.268931566858544,-0.405428824111759,-0.208091405648957,-0.526330423864503,0.168527599340156,0.0068746889525474,-0.402545018007203,0.435852265737396,-0.0588050316556363,-0.0041583046007873,0.463907547006806,0.0150097503734008,-0.0295048736047157,0.075067435397864,-0.281440576230492,0.085494809060847,-0.55099034467762,-0.32520871497385,0.094837320154006,-0.397693280147793,0.0750904666432112,-0.576898566650798,-0.241267142726352,-0.218823529411765,-0.628475531660748,-0.457066952834995,-0.338128186898904,-0.117214885954382,0.0860587370517701,0.369324922453565,-0.110392519112619
healthy,-0.549142560105887,-0.26570602570959,-0.0349629928048839,0.552573439753737,0.558425351702392,-0.525753702296559,-0.371520804733201,-0.108313284365693,-0.16934855774453,-0.15418776770338,-0.29155374158016,0.515417876364114,0.199589732174677,-0.213709677419355,0.669701137203994,0.210437412894713,0.569277269397284,0.507274802618157,0.188294788456329,0.450894181634988,0.180013495895018,-0.313306451612903,0.534208142815246,-0.633876640908225,-0.473795588781437,0.626205240405399,-0.2707934281329,-0.229687438843196,-0.524930489195549,-0.0839048071493007,-0.145564516129032,-0.572811664192341,-0.516832847677828,-0.190976960749788,0.417910481762863,0.147867882183493,0.510304071634716,0.0983185532377421
healthy,-0.304832786698779,-0.380007651893139,-0.0804300520024062,0.268211068211068,0.22811535256592,-0.0272553664592872,-0.121580311166428,-0.418949132375728,-0.428448356542223,0.0785331925054483,-0.20301542364934,0.253040736736091,-0.115434493239334,0.0705276705276705,-0.384928873023536,-0.0876749046580183,0.280426383605662,-0.311317343419001,0.0180208137787689,-0.0828169580752108,-0.106022365612039,-0.238867438867439,0.160051679286243,0.0213227640737401,-0.021177579187777,-0.205713103389444,0.12757742551802,-0.725662293751384,0.0672299433287874,0.0051666574016742,-0.101673101673102,0.0266346002024617,-0.0057537617341838,-0.118574787368424,0.30612771354501,-0.275777809029191,0.0027044435741893,0.0339828707995173
healthy,-0.270414718972667,0.214172464419556,-0.0246619874810171,0.59022172489327,0.650468567479414,-0.734441841572297,-0.692671541108561,0.0533182910293027,-0.416168242330697,0.325562707394885,-0.572309166251205,0.67897863924841,0.397517639893138,0.137067794298229,0.642353768231363,0.454497638583745,0.692461373643352,0.504736840762768,0.694044179414147,0.5725319289011,0.486104084209586,-0.186216655744857,0.608852115465216,-0.729879789549404,-0.332116244040606,0.401396257415425,-0.274229854009904,-0.326305953623311,-0.678124699929935,0.132848193561608,-0.160074602868352,-0.707533063685214,-0.664954797598345,-0.0248532882514473,0.366252014795422,0.610635312943086,0.670199857625444,0.619590752977724
healthy,-0.316420191140277,0.254753532765976,-0.021991864216106,0.660132072618186,0.720528778847497,-0.711988812109548,-0.610881980271317,-0.0125667795520606,-0.644634324159563,-0.117959105396368,-0.469652669222307,0.73614599093463,0.591218354810932,0.227548410668615,0.533014663513399,0.363240098025263,0.695747447020438,0.543500671169104,0.419095654519042,0.623409755063478,0.486148194233868,-0.439840695971186,0.560119619437967,-0.745201129123173,-0.624101954867051,0.38365213374629,-0.347821322361067,-0.384788726894759,-0.732652099719544,-0.362914885430241,-0.395432955791012,-0.573843021869815,-0.262233497704866,-0.396770718223464,0.163104242134522,0.631319625474729,0.743653091263252,0.460827091850534
healthy,-0.499469025445568,-0.0120730006518888,-0.124736618653711,0.59655823611731,0.676043975918968,-0.739905531429622,-0.674664675291011,-0.108145830340765,-0.568200024975656,-0.0373024352487266,-0.552799224372765,0.348470672032254,0.242448744280736,-0.395188620902907,0.604067276732552,0.109233301194012,0.546685860309465,0.61574142055327,0.181023232128796,0.506503155851366,0.445787708751811,-0.309283578491208,0.38070952960193,-0.751834757534153,-0.639454476700586,0.326746074668294,-0.414303418792527,-0.30357663298842,-0.497728829811805,-0.152512276418084,-0.433969498728294,-0.745149766752548,-0.398912072952384,-0.403465325845393,0.376370182220985,0.486841787506764,0.6239186471893,-0.0076707452636407
mild,-0.380045447731309,-0.278176358611267,-0.195727879795823,0.394664720415061,0.298860987322509,-0.2696720817522,-0.137283357760217,-0.140655729181559,-0.528291239514793,-0.015463913276765,-0.112661567235524,0.25010351508169,0.156226003964013,0.0767618126108692,0.245325665084258,0.0795463024969799,0.156664988479184,0.0351505876688263,0.347896921298285,0.209274074056769,0.149008428891855,0.0914387082653987,0.001220730592667,-0.287314824278709,0.0808072727703149,0.0835793545779382,-0.156926157686845,-0.57882563043775,-0.138116705234753,-0.124692903708781,0.0960328979196904,-0.155392414376119,0.155613873963043,-0.218353662129108,0.226106053333772,-0.0539439237030692,0.315950328332008,-0.291789007491157
mild,-0.284181396697319,-0.108567513601643,-0.116497948785909,0.114338459764287,0.230110755855663,-0.425978436425257,-0.497690145080404,0.118422096312924,-0.421418042286109,-0.0195706639909863,-0.435008945611019,0.271780914782964,0.0900506600752603,-0.121536691156944,0.214359468244636,0.246903191397568,0.257544314364529,-0.143040826320002,0.0632307789670623,-0.0224259042590598,-0.102884472136504,-0.369335646505619,-0.0994485807006989,-0.408058681859026,-0.305971815976057,-0.0568031241466913,-0.312144988844836,-0.130728193500388,-0.323298832209265,-0.180157753222818,-0.0751784619096067,-0.45315736769003,-0.205316021844464,-0.35680601155569,0.125844146241412,0.0728423190387876,0.196560173349228,-0.197075719712684
mild,-0.468517569886794,-0.0913230965648616,-0.225167963001297,0.791167615146607,0.801524826125651,-0.780163962585643,-0.580943145237349,-0.242480711660828,-0.571521464541925,-0.207096925049347,-0.520606678300435,0.647350652838111,0.504227080062564,0.0950231390390577,0.657177525517891,0.0112805964980201,0.703935378036792,0.688297108307961,0.391566445383743,0.631471469772401,0.370105156213059,0.0301111013909544,0.640991304287358,-0.694787427696616,-0.624715409152306,0.396187489603878,-0.389132913474119,-0.302112502833727,-0.657820703204698,-0.225377495632544,-0.183100193342614,-0.660564766461444,-0.19620126136739,-0.548081626077136,0.193806316157816,0.529310107937985,0.743755905861129,0.368419257172342
mild,-0.315868639859404,-0.245157255905809,-0.262540199465072,0.631193530388722,0.402540978700114,-0.530906854294194,-0.54703303640318,-0.527179967745678,-0.482827778070803,0.181803040656749,-0.429693909187386,0.411151300900768,0.583468012495709,0.0330882352941176,0.524854691742578,0.451749072077886,0.454783624068215,0.431502417715427,0.352390524543123,0.425793201505912,0.304988709848642,0.0147058823529412,0.25119077550724,-0.503372563026102,-0.385895983940374,0.480013548008161,-0.132352941176471,-0.051788751675302,-0.316445569586248,-0.195435336272668,-0.0123663101604278,-0.259123228784686,-0.209188354821957,-0.104286789032946,0.0628342245989305,0.300699648711849,0.51623775036949,0.0085439750608671
mild,-0.422622375157777,0.40071127920854,0.029786606518932,0.731974126653716,0.682655263543976,-0.583217352571751,-0.557152395277702,-0.0901657990970094,-0.499341238471673,0.105207669529486,-0.492222832393112,0.674054273408115,0.71416365498568,-0.221607378129117,0.752643505443916,0.662389473327714,0.720816480387076,0.470490590871698,0.668547087406547,0.628861627494343,0.440987463641393,-0.566798418972332,0.282999427239516,-0.562277548331752,-0.494161331316652,0.34733916220095,-0.395915678524374,-0.45728064814294,-0.656315872501812,-0.148567093151376,-0.36403162055336,-0.500329428510228,-0.44798723809144,-0.368640227513208,0.423335622630549,0.674007480415459,0.692382039323953,0.269558445662395
moderate,0.0732271488381972,-0.176136487072311,0.135213006912897,0.352325875101992,0.0887751702011335,-0.233351024518046,-0.0620389090541527,-0.002704973054214,-0.555753449229105,0.0982838793316119,0.177298978275233,0.0703786627910356,0.377762638901624,-0.0838709677419355,-0.0541737756339204,0.540996562979386,0.345240163795582,0.441915231392751,0.119443425990998,-0.0586400565743845,0.573609372725928,-0.294359774877443,0.333036707452725,-0.244303687687105,0.354150475880282,0.326809926277309,-0.0810726460291448,0.0764073975633993,-0.132127264064983,0.372548561557655,0.117241379310345,0.166612104511686,-0.0469408675613709,0.328518354586172,0.524805339265851,0.109955451132238,0.445804629077252,0.106735809986664
moderate,-0.428006609823941,-0.109320878925194,-0.072606336290644,0.627752689540488,0.575382556737727,-0.346601486690261,-0.465666114505548,-0.588915363880149,-0.32478416010521,-0.0591883114626152,-0.111390335912878,0.440226007436178,0.114887493081125,0.517771637920396,0.643185989015216,0.0262805466044086,0.49994337557564,0.521354896272464,0.223388917419132,0.554324937283234,0.543604701214344,0.117166027722818,0.477778014739041,-0.42543137472637,-0.207767997601225,0.393903767334023,-0.0412209015845484,0.0856363452885819,-0.385719417664921,-0.529618281964286,0.151872863831558,-0.452928204413657,-0.239152771990837,-0.193448471154887,0.517193203267842,0.512120882811931,0.521624527257537,0.171626374468095
moderate,-0.186004858272644,0.194643585167288,0.106441058194713,-0.225087143019927,-0.0349906320727239,-0.293465311469906,-0.33920060953172,-0.139479587319572,-0.313898077577462,-0.0740875710815717,-0.0630792515686826,-0.0443950428081325,-0.118618453647997,-0.205645161290323,0.219787899244496,-0.0248593572659944,-0.177082695737607,0.0690589554793172,-0.185051548358289,-0.0754582487229047,0.0612145336694588,-0.439373111551133,-0.410482557782395,-0.0713664429878274,-0.424114054360531,-0.13977640790753,-0.127120335382047,-0.0707544609945692,-0.193163718918103,-0.192708758276957,-0.376317479355226,-0.416575018841118,-0.220298369267755,-0.181839614548145,-0.0988208532034406,-0.0947579350581729,-0.0303140123815815,-0.41948066845797
moderate,-0.553596093890934,-0.0903926424738587,-0.124323608024616,0.635504233725525,0.678129987130607,-0.654876698333706,-0.782232978929881,-0.470085433307235,-0.690319560808373,-0.411253686272928,-0.246783089884756,0.441633930015079,0.375216682082584,-0.474285714285714,0.417897730093101,-0.0807229662923403,0.459804506841942,0.422927309363117,-0.0745100472970281,0.363955546268459,0.0513890147191777,-0.38266091401266,0.464243651554418,-0.783567576194217,-0.611821096192502,0.361240656200623,-0.392214484505878,-0.124676950071312,-0.637578141734314,-0.151584703979812,-0.436263221033889,-0.637608087550906,-0.0463817206784655,-0.229225475009936,0.347406190711061,0.63634615049974,0.676084744391766,0.309255743557614
moderate,-0.306836907833033,-0.0528357196504709,-0.0939584264567417,0.172967294059947,0.298526869414517,-0.556576179649716,-0.524594215095801,0.201772130053629,-0.352627271120102,-0.510996873745284,-0.450590111817335,0.0545327440994556,-0.0381659129384962,-0.233285917496444,0.192220786619137,0.148927282510784,0.10757658770261,0.283775460610137,0.217886752136575,0.400758969658939,0.265436678648516,-0.0350877192982456,-0.0610716653988235,-0.451216511342804,-0.354020285864926,-0.195640976247379,-0.531294452347084,0.158251661423061,-0.307271888330728,-0.0012118284323502,-0.209103840682788,-0.399145885958214,-0.182184460681534,-0.247953708894544,0.0495495495495495,0.186222894572678,0.17935399166418,0.0951852618046165
moderate,0.0199028109213032,0.185352767663221,0.213368344080905,0.531040352275089,0.143371808218035,0.121544686156902,-0.137521222410866,0.132949887051567,0.0055870772482955,-0.0285854227091518,0.0301015132323732,0.0036438866465452,0.0373667841970211,0.0616501698256463,-0.0112532276714123,0.257293850461095,0.0938880720005111,-0.0231632607991328,-0.0661702405256828,-0.0180204668222137,0.182309584845223,0.137451905938176,-0.0500235073795915,-0.0472777022876991,0.0179145115684506,0.135988310210126,0.153199812649223,0.094523757063468,0.0951579801205392,0.222449053148196,0.0165956217144626,0.118401849654599,0.0443742169360554,0.0967968108666307,0.257283929121738,0.0661254616945528,0.112446998227259,0.0364669491618596
moderate,0.270188266117803,-0.0106485460025551,-0.0466241509538687,-0.251099556566113,-0.423927620636102,0.416375542665258,0.441641051451008,0.220789674474077,0.201148949056801,-0.109384365635941,0.198587554625219,-0.0950766098873156,-0.354619190095569,0.227341079972659,-0.134638342273626,-0.102090458157691,-0.23938181916049,-0.334681002315707,-0.356714404457999,-0.0764791267534504,0.0221150630990033,0.402460697197539,-0.34219531982024,0.328911621428156,0.30748561443511,-0.0136938924547133,0.358579803247897,0.216002014700722,0.314914702644648,0.229507778361818,0.31742993848257,0.503179516585844,0.0729568245005509,0.385603215154902,-0.0414123353629467,0.0261049977208199,-0.329587301893774,0.177940250371126
