group,CD47,CD33,CD11c,CD45RA,CD123,CD7,CD4,CD183,CD32,CD1C,CD141,CD1d,CD366,CD58,CD39,CD244,ITGB7,FCERIA,CD2,CD303,CD98,CD18,CD38,CD45,CD71,CD26,CD304,CD36,CD305,CD319,CD99,CD371,IgLambdaLight,CD328,CD101
healthy,0.363019536028268,-0.51147362653784,-0.537648531991057,0.790988647130274,0.489652215340203,0.0222320032478294,0.159892432500541,0.246401587349674,-0.622766351736136,-0.635798974295437,0.607847698863421,-0.413692046606706,-0.223303283340414,-0.331919450879479,-0.483306644345502,-0.268085354868276,-0.0043206623080545,-0.312693040826417,-0.38487805747641,0.64389674588472,0.394591967064355,-0.064620172956211,0.0600247327847658,0.440971042712436,0.0291416461036196,0.0558125359306228,0.246387705719064,0.0256374014161209,0.373890322954724,0.237174827750448,0.0462832206986645,-0.184838417396557,0.231373097148188,-0.225512267279244,-0.662476520616567
healthy,0.144257703081233,-0.705232033927025,-0.458864863895991,0.515881796615578,0.383101310930732,0.326612479435972,0.287961557153957,0.467028220339239,-0.705047404060458,-0.612154982707991,0.142685006480391,-0.877503526188315,-0.342950168402021,-0.778515821890079,-0.432335597485735,-0.448247285188028,0.19398077572127,-0.509677920642458,-0.172950287735997,0.382292733982875,0.125944555606602,-0.233356749659996,0.038655462184874,0.129140696443872,0.0295911049200664,0.36367243688318,0.235357350306017,-0.297478991596639,0.251540616246499,0.129092471990437,-0.0527129912962323,-0.196078431372549,-0.040729710414095,-0.506797860060318,-0.613563854935167
healthy,0.0290344206408331,-0.182988350072725,-0.565995608423516,0.808674199262712,0.566961086564785,0.323639427303073,0.520922471838346,0.470585928523834,-0.347241197952949,-0.465332594346826,0.438514676123893,-0.236394781316852,-0.0431015524313393,-0.152068481055768,-0.030228032271498,-0.345020553561758,0.180068036256814,-0.409901989686986,-0.100588765601128,0.535767606481243,0.417168972481334,-0.163258765744567,0.421944777911164,0.510248888861525,0.493598555534658,0.148692027801098,0.543252567486854,-0.226507979188785,0.556434174930652,0.311051400026251,0.382805785167829,-0.345210084033613,0.107453230052912,-0.419623195947356,-0.554541202510471
healthy,0.656105278538861,-0.585671337532997,-0.594844396378635,0.825368001586679,0.743444997962313,0.140479887817836,0.424686526530188,0.396626680915867,-0.682898272067009,-0.753157463854952,0.137636581697047,-0.705313975510097,-0.377000266190208,-0.569357891660606,-0.390664189615575,-0.482893346131079,-0.399192733788677,-0.478708619100024,0.145967741935484,0.780716767163839,0.23266553878777,-0.374104520035407,0.303225806451613,0.367375745389534,-0.213307212814669,0.191325266182281,0.769671438829736,0.0677692673128967,0.77127880418011,0.555862855663243,0.39185337518855,-0.371924193229112,-0.285773803324704,-0.473763667845695,-0.436768568042064
healthy,-0.388015970865734,-0.448133848133848,-0.444129777851256,-0.0766891193511315,-0.015765359030372,-0.276164712754288,-0.36245359307604,0.145277092152739,-0.48201300054764,-0.596903403099511,0.497291922215646,-0.297969156453118,0.0924510223716916,-0.330840130823964,-0.36711204696777,-0.447245267452992,-0.192925241015739,-0.380670419171951,-0.556642654906907,0.418332323732424,0.275587181798835,-0.202600168659718,0.242010510225093,-0.4051549755845,0.260928038947155,-0.194275907359133,0.136071061770029,-0.0883498415686293,0.0592750416270472,0.355040944656402,-0.35081603757368,-0.0558702387209985,-0.0964601231907288,-0.323498443287588,-0.526980147884887
healthy,0.350685023811931,-0.686945086582983,-0.696305330515282,0.743698787097711,0.580491630103705,0.184985806180253,0.486301369863014,0.582171252045517,-0.699070963014703,-0.60791877691702,0.503941834475549,-0.748376410158566,-0.556107158616325,-0.768985187337484,-0.661691966962024,-0.612253817117907,-0.309613793490404,-0.657423626966028,-0.302433512957254,0.735840107376365,0.341913183392837,-0.506981134937059,0.161071451540292,0.288957489227603,0.361496512074058,0.492450847488246,0.626989465853165,-0.0754116443083716,0.561170768789262,0.66939578358709,-0.0075281744496085,-0.498709380704836,-0.168458473206632,-0.633160622431135,-0.769525183856081
healthy,0.0416987848789513,-0.709181114583001,-0.697274648190234,0.534989123353728,0.452744399960103,-0.0863656846624424,0.409447688715251,0.591679088114542,-0.675012630316432,-0.603788075219205,0.304672461772097,-0.536242521585131,-0.640868743981911,-0.414994801229233,-0.674517421208923,-0.593701276639785,-0.652085664824737,-0.55546734046307,-0.627245358932906,0.717566067930128,0.553178638613938,-0.496811475440408,0.0568557598060533,0.16075637227939,0.0557917868494453,0.106837028582326,0.706481405039835,0.297932143410804,0.436948583776773,0.437756278198672,0.356044381454728,-0.300193649950097,0.0230048696149915,-0.700341029437002,-0.738123315727621
healthy,0.371550324666689,-0.617561274230451,-0.600056707706038,0.589154861169596,0.593707682446706,-0.050150392233491,0.584262369479311,0.532633769205391,-0.275902669090999,-0.250629087646559,0.489782141466931,-0.535556529036046,-0.332147814256634,-0.399772796853506,-0.404155819570714,-0.428966707406221,-0.131635734671607,-0.362491596070243,-0.352653740365492,0.766202923511387,0.574973717063731,-0.601551068727575,0.0544048540326944,0.349443231201127,0.0952168919574696,0.271336253169993,0.55201786721982,0.0398384402816281,0.648676114968851,0.448186424546433,0.304605405386772,-0.537157246651749,-0.0763888042339655,-0.489482316278847,-0.559524046738177
mild,0.175896140740553,-0.559569975004381,-0.533576201756285,0.618466559032181,0.800463149217226,0.0808610099598868,0.429438701888325,0.568793000009108,-0.435149993369798,-0.367748367503952,0.442566022568828,-0.566164719375095,-0.190736483779,-0.456884607956336,-0.375775503639513,-0.655014465795083,-0.193242247631726,-0.192020922226529,0.0399809706431992,0.619537519329282,0.220821319147778,0.109662298241258,0.277293984841155,0.228689199962362,0.274307681630154,0.160419769318506,0.702940568487826,0.063907647559362,0.492573772739263,0.347402516222104,0.30495892159899,-0.44930606671038,-0.111676546084347,-0.401149195690855,-0.538111761455488
mild,0.487079385115796,-0.469264360102079,-0.430828680930314,0.534466506989558,0.432128803465992,0.33673642933752,0.489904016631478,0.34502467499825,-0.175869070878527,-0.404514784114886,-0.0354100617940097,-0.211105251671099,-0.441378384282182,-0.0576065809992377,-0.264309997704286,-0.17361595625805,-0.394654159701015,-0.169548108408315,0.0605681545218664,0.66811364820541,0.447604073532832,-0.154212702555409,0.16794521132629,0.495084650541058,0.606434737843076,0.307432186336492,0.487620705807785,0.362489144757997,0.324443625403006,0.255929080460264,0.226167715351271,-0.246528568669489,0.0476326007966426,-0.249890755179536,-0.519003066916821
