group,CD86,CD47,CD33,CD11c,CD45RA,CD123,CD4,CD183,CD32,CD1C,CD64,CD1d,CD366,CD58,CD39,CD169,ITGB7,CD54,FCERIA,CD41,CD303,CD98,CD38,CD45,CD304,CD49d,CD305,CD319,CD371,CD85j,CD328,CD101,CD224
healthy,0.336845319155982,-0.48240790830334,0.332136532354875,0.371385003149078,-0.696051302608726,-0.476401518650003,-0.261683535164547,-0.232542966135536,0.591877755388458,0.611910573527111,0.115686548574094,0.447577297823935,0.385774626042576,0.341023703600022,0.400322355650249,0.0471710963861587,0.25136996070789,-0.389912413168227,0.327087333597075,-0.184958732376569,-0.665448442408149,-0.37444976411324,-0.084718451968372,-0.473817344695297,-0.326545295410779,-0.297644216248867,-0.664873194518542,-0.201927718165332,0.102083962549079,-0.019172553259596,0.403890997774101,0.58374390916706,0.469061733785863
healthy,0.326511159735765,-0.159943977591036,0.612146459868968,0.50231266713599,-0.651271589392517,-0.621396044259662,-0.594736789909392,-0.521548252928197,0.493431862131411,0.639627991137924,0.377242377464041,0.889297173580286,0.648610862150775,0.885501523660557,0.392942186767599,0.0,-0.23929537108136,-0.261344537815126,0.281907710647039,0.171475084201011,-0.728412350706414,-0.357947684355607,0.015406162464986,-0.350444709872633,-0.588042096137721,-0.184873949579832,-0.512044817927171,-0.396942093018722,0.0406162464985994,-0.157570440674017,0.410466717206044,0.559181386966172,0.0944078505492624
healthy,0.263067288343735,-0.104873492615718,0.247092860116879,0.630235701266419,-0.712590165276422,-0.442248334762522,-0.450684654460529,-0.400734662933689,0.418398368227194,0.49223215344836,0.387362281364691,0.32710384446891,0.214544598973873,0.297112196785263,0.0732800782339345,-0.186473247908344,0.0307622284162165,-0.233517406962785,0.509444788266018,0.0267595514907275,-0.466507180105696,-0.394466610844105,-0.290756302521008,-0.330313705674415,-0.560549454380994,-0.200192076830732,-0.398846710809249,-0.305600461994471,0.541416566626651,0.0803902508619357,0.519181342732738,0.723768973732511,0.246990083689899
healthy,0.14335474415535,-0.765086161470569,0.510191985280295,0.513103873883067,-0.797202624677935,-0.738200947515482,-0.62600291237942,-0.368228589203514,0.534477388708027,0.629920971675037,0.283033725640051,0.559308167269932,0.410511400962671,0.485174260536502,0.379864328977611,-0.224536559755125,0.368485600420317,-0.53991935483871,0.328153547494367,-0.381792985022613,-0.786751292900371,-0.18166143280351,-0.292741935483871,-0.557919147910451,-0.782296964009277,-0.55,-0.81323120775476,-0.553344790631926,0.391286841032796,-0.128676278482457,0.229132384006715,0.524849555861833,0.0518722609797359
healthy,0.0162983109725377,0.157066385010897,0.247104247104247,0.235324415626694,-0.411502591640218,-0.0080162842527315,-0.409814540975301,-0.0853037284691722,0.34416629197981,-0.245458069030762,0.0451310164960947,0.0363754554631079,0.122612348819194,0.113627421231016,0.226323218239912,0.0089884668497219,0.042486306539477,0.0952380952380952,0.145360945438714,0.456140276898622,0.0263996126627258,-0.0858249261820437,0.008762893873965,-0.177577467034173,-0.0518505445280844,0.0092664092664092,-0.184353213166059,-0.0067691314519809,0.225283220649188,-0.0908369503997829,0.093332069212556,0.154410849783475,0.307921127015473
healthy,0.564687351634405,-0.293556288486657,0.687749773452282,0.729834971129258,-0.767387368193804,-0.508396654318824,-0.31854138529809,-0.577856589510506,0.759509188918447,0.499648153896617,0.656614437131324,0.779451086719881,0.632466692212129,0.832362022486444,0.569136895720177,-0.0936173515398242,0.146342285454273,-0.0625814026559867,0.68868730722866,-0.0716162728111604,-0.729145547498257,-0.312316113981362,-0.149302205929642,-0.158498938838511,-0.633051089345548,-0.106630651488842,-0.481111542736469,-0.624521940088876,0.412666774146389,0.0995443306779445,0.543549775832088,0.756889646823004,0.616240015646526
healthy,0.364203527987938,-0.403478760448571,0.601317114020555,0.665068136797724,-0.754290981313263,-0.616308453877341,-0.713783215264558,-0.451057716673005,0.599241704479792,0.476777140229215,0.241997604121744,0.503309068991117,0.781655957408173,0.371733686946603,0.668550536328998,-0.0917680591199114,0.485521818733173,-0.299572509243043,0.462421760965135,-0.213818275911391,-0.769054097960093,-0.589995272760614,-0.175755915595833,-0.417794831376872,-0.742691628173317,-0.311728169528681,-0.606189232422706,-0.283174498212383,0.208155212240226,-0.134133343518573,0.596356481933449,0.695900982791685,0.314684606337241
healthy,0.211960863352812,-0.421448834260132,0.654530591169116,0.694353111306555,-0.77560495696735,-0.6663663947842,-0.612954404963506,-0.494383753332588,0.340762281745755,0.452045925590728,0.197063823055134,0.541417388653418,0.519515012275938,0.341159168242731,0.474246767876658,0.0238261702951293,0.248706587411818,-0.351757426586179,0.379208426464488,0.0295224707277295,-0.763522851101126,-0.644746765463233,-0.0330982452893922,-0.461568950383359,-0.58245984154598,-0.472819700960112,-0.748626629154911,-0.425300706744458,0.514888615662512,0.0706676785093625,0.439794736594779,0.678571052321156,0.150222046247353
mild,0.179560122494627,-0.300936582230739,0.466251497601122,0.6872182865668,-0.61887651963077,-0.549051176183013,-0.514469666387952,-0.514372779074224,0.353232515529392,0.407828267939501,0.289116312455541,0.566921961532083,0.413140893314938,0.539262848098252,0.519152972303486,0.26469604076665,0.425865616818732,-0.335597798765952,0.215499640625492,0.118804132210669,-0.659954603023959,-0.305569223522184,-0.214965328172875,-0.182192560647741,-0.582872928995269,-0.0776487663280116,-0.485308672846353,-0.16153905152877,0.603245461107917,-0.372421686075106,0.337666407430536,0.691024917028631,-0.133368470470664
mild,0.135980308010784,-0.398431925658098,0.578480151796882,0.575600096704667,-0.657124224692615,-0.43600358724935,-0.54028668773239,-0.377844717041859,0.520451968109524,0.484814562167133,0.136689830037835,0.473036401206063,0.355472267476589,0.273137070015646,0.38316071376579,0.0471483739763224,0.366660227342187,-0.279034769333749,0.302496372032153,0.193197041122771,-0.677845546670337,-0.417926389314129,-0.130885453140869,-0.426724252716541,-0.536906989204673,-0.107576648522292,-0.503518082594343,-0.290567270690784,0.433758252631312,-0.324979736655762,0.334710320032652,0.600663235714529,0.04443743586276
