group,CD47,CD33,CD11c,CD45RA,CD123,CD4,CD183,CD32,CD95,HLA-DR,CD1C,CD64,CD141,CD1d,CD366,CD58,CD39,CD244,CD54,FCERIA,CD41,CD303,CD98,CD38,CD45,CD71,CD304,CD49d,CD305,CD319,CD328,CD101,CD224
healthy,-0.300822289989158,0.426265825043657,0.49750289632534,-0.236330072733444,-0.289644640592836,-0.39882087765078,0.0117445942492695,-0.157209124694896,0.261383069224844,-0.0622168529145273,0.26813198554704,0.147015496663913,-0.247940063010018,0.168504208433972,0.322667176402894,0.0913511459417254,0.170271466433964,0.0608551450431856,-0.38961038961039,0.116991911455133,-0.379535624175114,-0.414259703617836,-0.276134517990617,0.197169850096794,-0.356703288659854,-0.0247619767470062,-0.444844028289137,-0.408788885533072,-0.299281300433344,-0.0299388099488032,0.120159509894406,0.325246086604516,0.110248166069697
healthy,-0.384313725490196,0.099122798318232,0.155431012235997,-0.607795125763716,-0.554496263097131,-0.421763294827152,-0.268992219611699,0.305843803075292,0.234674815239222,-0.376750700280112,0.413222224230734,0.0009927430985895,-0.279470088862572,0.392981179168175,0.311875606190965,0.462801724479978,0.33172652694661,0.0600281095308123,-0.412044817927171,0.0204768784848098,-0.244359057386943,-0.632458397555334,-0.443065715357677,-0.24593837535014,-0.34232089165816,-0.252662511240567,-0.52235280582843,-0.337254901960784,-0.581512605042017,-0.301445879335957,-0.0194922253869353,0.279661137094445,0.203447915727179
healthy,-0.00660314583136,0.242698796214385,0.625715814494538,-0.634422627296873,-0.529340717823172,-0.408887868469626,-0.346810396012307,0.438577267260189,0.302909371693781,-0.207010804321729,0.420566169421396,0.137652425719084,-0.333492900711334,0.629209508954017,0.337540537420399,0.389495441507744,0.117248125174295,0.553954225845974,-0.263097238895558,0.662765801014324,-0.0061013699090168,-0.53200740820166,-0.402626906732141,-0.295078031212485,-0.222371819606506,-0.31910395599675,-0.618245234637476,-0.12672268907563,-0.539805549561331,-0.341437480118301,0.377933842358264,0.688228252286334,0.311247666438491
healthy,-0.761251648922972,0.476085005251668,0.530301756091293,-0.85149240915421,-0.81121426527521,-0.610423654379027,-0.310485802721729,0.538127082561117,0.484332211687145,-0.626612903225807,0.621923928089319,0.254087094608682,-0.106315436503168,0.534800791206861,0.394593611945751,0.519742418244468,0.416625393072218,0.367782675286646,-0.503225806451613,0.259939587437112,-0.41274917299742,-0.785242661466238,-0.121975776864484,-0.384677419354839,-0.534126426749109,0.460680688118167,-0.783753755376147,-0.600403225806452,-0.828963359095254,-0.518406638322401,0.22368682460619,0.452930217183307,0.0197505261470961
healthy,0.280032831170743,-0.0527670527670528,-0.106591146684301,0.0154981495552809,0.0940577352320498,0.13677738232109,0.0864212445626548,-0.112105026295593,0.123717986967156,0.0066924066924066,0.225947975466555,0.195184459878015,-0.117891888613778,-0.0396002298835963,0.0002622724038913,0.0295761447514146,-0.0335149877210619,0.0915825096820554,-0.104761904761905,-0.0577320066990636,0.103650599091006,-0.196981725252646,0.0844316643933741,-0.214690899912143,-0.410825083385301,0.419008529696162,0.0133288122939426,-0.0540540540540541,0.103666041964483,-0.122521279280856,0.297660751810666,-0.0097875100780184,0.131780903558433
healthy,-0.391585652939024,0.709669443771981,0.709193891791753,-0.800083743072391,-0.694280085860566,-0.419608978069329,-0.576521098725859,0.728096791890567,0.515294614294636,0.104686030343198,0.598961135444109,0.612465605438085,-0.549194331055632,0.776027057909591,0.559603059264204,0.761426482227975,0.649793184004121,0.562945001871159,-0.177453329833368,0.699210597543866,-0.0375663385334186,-0.732557613500648,-0.364291455386879,-0.190558878384462,-0.318798636568268,-0.406208440167337,-0.686362290829841,-0.120168499581967,-0.603420673856511,-0.676200876544968,0.558130745399098,0.769476771836797,0.665417013536757
healthy,-0.262090957812478,0.507791088439621,0.606188310319295,-0.67889592158362,-0.725889422613538,-0.636758221605057,-0.500265733597366,0.670632591619353,0.602002299111915,0.0978808914870296,0.405811200199943,0.270938911529418,-0.524070121156708,0.583042691060834,0.382600998681948,0.441024630561728,0.502033680642641,0.413275723420781,-0.56447075195704,0.424243535091776,-0.348465693134228,-0.701363240449914,-0.616630229956107,-0.3168173942149,-0.237325295591463,-0.178675711861426,-0.737130620869113,-0.447058823529412,-0.535177761123975,-0.270228274138532,0.488040047151929,0.627786724270855,0.4665581697138
healthy,-0.394375666608948,0.455032743621911,0.561733235334603,-0.755531970366065,-0.771035456794668,-0.593323337788073,-0.49117466307802,0.438079925102411,0.183891292101396,-0.510006184291899,0.462974709766658,0.0649031081122727,-0.439164725692708,0.554865855775432,0.318517355722128,0.337914818483722,0.397224589388575,0.361021832438007,-0.544769773564056,0.383457416750224,0.0248379984762502,-0.753636361765495,-0.645218204979446,-0.248317265313201,-0.449802060188888,-0.148993669709217,-0.549281318997312,-0.558015559913555,-0.766976048879833,-0.383654927751068,0.413565484125417,0.480906215580706,0.124505734787953
mild,-0.0524701658932352,0.410004744097788,0.665188425170669,-0.584111860870377,-0.390875084527592,-0.269318606190834,-0.432341845819037,0.248262672883029,0.338355642288898,0.014916948879213,0.342993134881995,0.433141792550519,-0.285571256980722,0.588966122102194,0.43533273898604,0.460421566844107,0.397250935552513,0.436508034495169,-0.38897736214487,0.172245086625322,0.0511703191169548,-0.579980373585555,-0.230940471908901,-0.0388646992420577,-0.176945544058418,-0.0467471015076014,-0.533736658376354,-0.166424770198355,-0.263480956116184,-0.158940289438539,0.627497523633089,0.659842944096608,-0.0087318406231767
mild,-0.358987988879094,0.532617654539567,0.463149387481233,-0.605807124244146,-0.439645884005706,-0.354046896971889,-0.47257674130948,0.402153679015105,0.239547933289646,-0.183500044259538,0.497737988169789,0.147571901567917,-0.0517017738240548,0.43809519512552,0.286808589792308,0.190291741219753,0.391420812226018,0.276653113735345,-0.434519220867498,0.152305059377896,0.0965604196460969,-0.691323240308688,-0.494221601936336,-0.225634479955542,-0.372104256897841,-0.386956126689252,-0.511827003492805,-0.222437198484438,-0.455778466040279,-0.391988203390497,0.367746310190221,0.562071545444079,0.057622319879904
mild,-0.540567572414499,0.662491256972085,0.692807786760933,-0.754214188462186,-0.768528875624292,-0.58003359815007,-0.475433666090699,0.596631443504955,0.448902352930705,-0.202643711351568,0.620623245841327,0.0292693877135294,-0.137221527749774,0.572354864665332,0.591835989768576,0.337076437809083,0.54564531222093,0.26138688421557,-0.190377044877963,0.431488016314597,-0.414967666113701,-0.824841485914035,-0.710826296363384,-0.437606096471974,-0.311155836420529,-0.168799422311891,-0.810124510379689,-0.36117890981095,-0.713308214489845,-0.361359524906889,0.420154466474278,0.724348642482925,0.192009897847867
