group,CD47,CD52,CD33,CD11c,CD45RA,CD123,CD4,CD5,CD183,CD32,CD95,CD1C,CD141,CD1d,CD366,CD58,CD39,CD41,CD2,CD303,CD98,CD18,CD38,CD45,CD71,CD304,CD305,CD371,CD328,CD101
healthy,-0.503494291716599,-0.0668741820990576,0.312781432814049,0.352751368481594,-0.692465819974907,-0.470633568326034,-0.23756313974938,0.0593711611978425,-0.30853049092831,0.564523675040764,0.327093896683604,0.599353850046325,-0.419213902181427,0.510814399301892,0.459197716488745,0.360312374618123,0.331015107128843,-0.166409424919901,0.277690017911708,-0.642835085957458,-0.26344581745313,0.361058493128699,-0.0211226274862847,-0.596443538764646,-0.0020213858568984,-0.41486141840445,-0.601328743823195,0.0656901238296587,0.400790107196181,0.516085441524516
healthy,-0.212885154061625,-0.118647047788249,0.464445066340951,0.401401640255992,-0.436515366367028,-0.417265942763734,-0.596140795551293,0.153484384212819,-0.361996981086981,0.0690428272914881,0.326955797273395,0.54283846913093,-0.226215510818204,0.593051983139111,0.790423864241232,0.743798607408268,0.472154116952629,-0.0322045462914584,0.252978338219995,-0.674723829300453,-0.433273375507881,0.390189303935993,0.242016806722689,-0.232509279931483,0.0187789704300421,-0.572937072162857,-0.203641456582633,0.0375350140056022,0.463010976944739,0.414912870903345
healthy,0.0155368137208471,-0.1661444384465,0.200222845156949,0.573400529305108,-0.703408581450252,-0.548716437148918,-0.422339707639112,-0.0120626690954928,-0.427810560670585,0.357765121372071,0.273083798084268,0.516600573224841,-0.448472752580411,0.409157831765841,0.129015708339171,0.231918331527058,0.0454625748517107,0.0572183587530637,0.315078809021019,-0.58731871192714,-0.441963717679597,0.36784947365671,-0.324081632653061,-0.319980889332206,-0.445896113808801,-0.53957994081755,-0.479106261002217,0.403793517406963,0.386519863990303,0.639781144190326
healthy,-0.759637117323984,-0.0797541175895824,0.519677358424351,0.51249688980513,-0.849043245944754,-0.781766905073772,-0.600914237158008,-0.138300570483207,-0.325631451634984,0.564891504150441,0.510501104771442,0.678928495187516,-0.193220585843932,0.60396143721536,0.362758033911911,0.516692286682,0.38900267259435,-0.314013096319606,-0.317741935483871,-0.789768555768637,-0.211829818896327,0.303289710942712,-0.339516129032258,-0.548240752861769,0.426090329283356,-0.773070618685766,-0.820895589177052,0.369100473757741,0.304951326429413,0.461011041753927
healthy,0.114441461447084,0.166108035463826,0.592535392535393,0.416838324835468,-0.405356773713124,-0.0718793487994926,-0.263979053864734,-0.358312745172279,0.0253303647856057,0.541090161362424,0.376230940928199,0.249940117552269,-0.0921675208532456,0.431216835507695,0.237487661723594,0.460562477338308,0.304999328411362,0.161234265252676,0.186405773428585,-0.248765580860301,-0.154094753826851,0.114400351317459,0.100773279550598,0.188144486117484,-0.0419008529696162,-0.0229958629686702,-0.019845388386148,0.369207015326783,0.261540713725581,0.660785713293586
healthy,-0.434935807529994,0.254101497320852,0.577604234782665,0.625531301049751,-0.75268741536152,-0.761420743809271,-0.510740240529938,-0.0962865577828547,-0.573233736794421,0.669077606509643,0.453752319127694,0.660236595954457,-0.56258285268237,0.63460820761288,0.576888345800939,0.635771085322035,0.600629870179412,-0.0469666271377032,0.305330385686729,-0.728627258991564,-0.41200426879353,0.380002612213753,-0.344105730272043,-0.380153064505756,-0.483688362466024,-0.714261301519142,-0.696109822025752,0.371559315760709,0.531159220975817,0.680705265810033
healthy,0.0378913453465448,0.685981445173218,0.618690935745602,0.678432368408658,-0.589129092254146,-0.5551526596392,-0.253588573431292,0.496686751156614,-0.549379119719948,0.734161870841082,0.677565852488521,0.650880503138793,-0.577045631954962,0.580065868686775,0.40522055097758,0.407582460775823,0.643163479541739,-0.376678617837151,0.689534205207913,-0.622369084193591,-0.605712994594001,0.403898600217261,-0.229158674565336,0.0044761121955279,0.0050289521550401,-0.651550538996779,-0.444476495745764,0.094669151292685,0.579722034786056,0.649480459064483
healthy,-0.449516745906443,-0.035817047118267,0.544664728481594,0.642002177628655,-0.788715920367682,-0.750538263548885,-0.713985747846527,0.154565131337151,-0.490255392432181,0.405929226478653,0.228954185010416,0.45246475324777,-0.400572832203205,0.529065469459817,0.471492511050879,0.219740096288302,0.386591597230707,-0.0137638545960361,0.305727688728354,-0.780124410753578,-0.662250858468427,0.345072289471862,-0.18979214373607,-0.551856014262498,-0.210284736915119,-0.585961263495276,-0.776738484593228,0.426166776330844,0.396959492069871,0.592158216708997
mild,-0.425492683728065,0.256295438840821,0.277057872180817,0.314492469857264,-0.370194420526355,-0.584544147347502,-0.519238513256277,0.180920036235993,-0.419892372853186,0.233452260648349,0.406966412385258,0.0822554819396231,-0.0717399430016402,0.202856760055484,0.384469676644973,0.231917571722547,0.117535662627583,-0.0783128362137743,0.279130948416936,-0.548449315384034,-0.431328886442873,0.175785205344057,-0.310595065312046,-0.0394737094181415,-0.450148064340041,-0.576159260336447,-0.656280690326157,0.316758355330854,0.0817147067244228,0.282986528375297
mild,-0.611799288041697,-0.306635538064915,0.354913189002631,0.417925747883712,-0.627553976513086,-0.601379359123055,-0.59544538775084,-0.180337360982408,-0.362597736344901,0.437140720263843,0.139425906274507,0.526395396574882,0.0405665342661901,0.204096547083933,0.25214516558245,0.0702195782558784,0.283092514585187,-0.0589802168665624,-0.287980608364582,-0.685641818921245,-0.423446669277075,-0.066380839960379,-0.261340861306206,-0.551159661305126,-0.386792985997116,-0.596711791199297,-0.71052123337208,0.182967853263064,0.156003286855186,0.447399819047297
