group,CD47,CD33,CD11c,CD45RA,CD123,CD4,CD183,CD32,CD95,CD1C,CD64,CD1d,CD366,CD39,CD244,ITGB7,FCERIA,CD41,CD303,CD98,CD38,CD71,CD26,CD304,CD36,CD305,CD319,CD99,CD371,CD328,CD101
healthy,0.435532422873864,-0.458625132088475,-0.508334643306845,0.779140965383743,0.467048085692215,0.232860421146423,0.207644426327085,-0.541165134519137,-0.42030592230103,-0.644374297648169,-0.21916701347683,-0.358676536693927,-0.337685535812338,-0.553612777823425,-0.192554284694726,-0.0904252897328565,-0.405643420739069,0.251904175337465,0.667677928255401,0.423607387174552,0.0370025884382037,0.0726014420269366,-0.0948546914305815,0.362442841939384,0.219207367137838,0.431210951997927,0.217321787110638,0.0573406454389598,-0.115524010872848,-0.282025998061839,-0.595121454174214
healthy,0.563865546218488,-0.196841590994563,-0.162859185047997,0.592913920092113,0.528050836782883,0.489576767330985,0.430547904415745,-0.0730956557278857,-0.374624119118862,-0.397442855286362,-0.285579098027603,-0.426256112881236,-0.636463533286453,-0.409379725052864,-0.204488279663375,0.0963471207340722,-0.0120617229431071,0.376002202753781,0.618750689962323,0.576844142844116,-0.0899159663865546,0.226770294435509,0.466868633761795,0.588042096137721,0.427170868347339,0.432212885154062,0.377152516207354,0.0543326642131556,0.266666666666667,-0.331367831577901,-0.379268403555791
healthy,0.126673584367782,-0.143002368560035,-0.415396827896589,0.783958368206321,0.670085156174149,0.525150192720184,0.334296325629708,-0.248084598398471,-0.0303015136139205,-0.35842918050051,-0.0594396183281792,-0.295626445688532,0.0225861766372046,0.0628183828544846,-0.191602991057313,0.230547157531928,-0.349848041368695,0.0296420884556174,0.57476450154208,0.454831876579962,0.558991596638655,0.55823769481139,0.0824853638869907,0.562563475457709,-0.114810227926585,0.688886462554497,0.312675083695292,0.3975532607869,-0.131332533013205,-0.251823547751258,-0.414112010454845
healthy,0.662765221384687,-0.641978127047713,-0.726155285239088,0.788222359576596,0.624445391668834,0.415986421413086,0.367281986146435,-0.738860244481051,-0.417248461955178,-0.829436956518726,-0.38181984741377,-0.708013940669588,-0.562987064177377,-0.572807993067387,-0.552694497600575,-0.62383965685194,-0.586074970432744,0.399800179334756,0.783231152887394,0.24590490246879,0.105241935483871,-0.10272288381247,0.192782057549152,0.747333971204393,0.166196060314961,0.81202104226703,0.574118827140291,0.414952100462822,-0.444937510988839,-0.364433590650534,-0.607273966482167
healthy,-0.143116410026376,-0.320978120978121,-0.0862512901914033,0.0197735011567377,0.0505025907922086,-0.201478130817349,-0.105791523516353,-0.126262951545323,-0.403486307387486,-0.565265413535932,-0.240602935077906,-0.152854307531145,-0.0276697386105346,-0.100286160169201,-0.312603367565311,-0.197200592617195,-0.499227218643242,0.35016045086175,0.351317922357812,0.242984855943968,0.110824834288381,0.0500633567948661,-0.0770314417620217,-0.049799958021324,0.0359082689416359,0.218038148716231,0.31645689538011,-0.461899171709676,0.0133882599700089,-0.265231812507998,-0.429748962241414
healthy,0.40036849095095,-0.537048016570006,-0.624562236292122,0.710638267364087,0.75495439390621,0.524921216798508,0.564090761422611,-0.671367421898739,-0.38807464222202,-0.698696034887065,-0.404896492465928,-0.617875689464479,-0.578021276566456,-0.615147678734028,-0.41042717792433,-0.118601666424343,-0.508486032642703,0.0930280412986974,0.72633815142034,0.434863793948734,0.373432375072352,0.466223021554542,0.441532159137743,0.747600230727249,0.114293256730501,0.741030513171129,0.652294673361773,0.1463697114449,-0.299380022632801,-0.501376119461139,-0.621384404847592
healthy,0.342925827885107,-0.555779412867539,-0.619074591418695,0.781181318643474,0.767611306186503,0.73916582883349,0.487585206159165,-0.546905857483931,-0.485771124797447,-0.4525185714726,-0.283425217371702,-0.367505678660655,-0.667443932270129,-0.652836504098636,-0.436333542065066,-0.405480545831552,-0.331197955593841,0.0407055925727244,0.771976623871644,0.606719548208946,0.305691058186016,0.235473289141879,0.149034127324551,0.710153367878107,0.343877687768208,0.700443818778981,0.301482777779509,0.501660070740484,-0.113632211702142,-0.511701778105802,-0.634500130690367
healthy,0.41123254458044,-0.728580877345926,-0.759076091602581,0.60784306578383,0.561596671296773,0.472796996878282,0.512710667208283,-0.334283219771829,-0.34067520759649,-0.483353292954589,-0.330035103130531,-0.558218519556552,-0.646936967460834,-0.544146245735582,-0.504729794267456,-0.374657526756897,-0.488125244606437,0.0665413840007522,0.737555927303927,0.589892496592918,-0.0700569214312294,0.177735634591694,0.382428694006603,0.538403114882995,0.122544834601402,0.618151490247755,0.357048334741833,0.318260885414687,-0.616635036331314,-0.524904520769536,-0.726221059536151
mild,0.276638859255564,-0.511419345111376,-0.615216276341946,0.520567968088998,0.536219418357612,0.633852493922124,0.487933056785362,-0.256211764195428,-0.408871091382381,-0.248993106954178,-0.445317247014343,-0.537557793444417,-0.478582540403444,-0.30319567254765,-0.624556503480655,-0.295483298942264,-0.207280054634867,-0.0732969314149582,0.577973851700004,0.392165819266411,0.106998871149815,0.275260858345291,0.317877373248558,0.636047130764056,0.111027372473054,0.421698687117324,0.286071730892648,0.451997743725575,-0.584840541379213,-0.342600302891183,-0.691996822678461
mild,0.454606581122284,-0.524609513388761,-0.502365178096349,0.622356615593465,0.474777256974815,0.497163073845665,0.269490782120216,-0.157507450734452,-0.223398785499533,-0.439884160543205,-0.106310713683022,-0.320085492158766,-0.430499833564372,-0.286591218710061,-0.316122274329883,-0.332978389251276,-0.175517841579322,-0.0435239455645369,0.682182783186934,0.438145444581397,0.0713874659380616,0.534190601342121,0.30960708941884,0.505522744789276,0.266416873618644,0.533609818508619,0.289943861192822,0.18087871636389,-0.352530541716973,-0.24309322634053,-0.474932700932656
