group,CD47,CD33,CD11c,CD45RA,CD123,CD7,CD4,CD183,CD32,CD95,HLA-DR,CD1C,CD1d,CD366,CD39,CD244,ITGB7,FCERIA,CD41,CD2,CD303,CD98,CD38,CD45,CD304,CD36,CD305,CD319,CD99,CD371,CD328,CD101
healthy,0.45343309368512,-0.527653280060249,-0.554085518669285,0.69542774041154,0.424645856283576,0.0430362631678166,0.298698481587823,0.35257271936307,-0.400860216780681,-0.37552521025506,0.143008154636062,-0.69368240692638,-0.614160573649221,-0.436442626474437,-0.36674445365041,-0.322255654433233,-0.372657124069707,-0.534120140255897,0.422282999383896,-0.414844606171918,0.585930113856186,0.397786325241625,-0.0657992640400091,0.503416770849968,0.433014155001301,0.154431210897107,0.440969289650053,0.223054750717856,0.112311842719285,-0.312443370582905,-0.432961846942103,-0.595879957174691
healthy,0.221008403361345,0.0338365359698214,-0.0639103170239988,0.43972503817855,0.401255738724838,0.122107401126518,0.532398939408974,0.243937057576332,0.10421558836451,-0.146060627193162,0.414005602240896,-0.190197750668766,-0.145876186193545,-0.581376809366854,-0.073402110618686,-0.055820531759961,0.102636843749353,0.263394368455293,0.159045259316588,-0.131885105963997,0.592096814087023,0.47530511117085,-0.0126050420168067,0.467259613163511,0.553616692660125,0.421288515406163,0.472829131652661,0.463904498275794,0.203637058554998,0.352380952380952,0.135880585668346,-0.0786150702764233
healthy,0.106572831616436,-0.109900420494585,-0.601577695776621,0.794827378249191,0.597647504989317,0.222577301305088,0.467595537987883,0.436911702767021,-0.369544191620996,-0.200740917414384,0.209603841536615,-0.588564338348871,-0.336725967905616,-0.183916009760095,-0.0076172712901063,-0.358634069177319,0.0920929074318545,-0.485886647768168,-0.0248378601808009,-0.264616217582326,0.547654684913473,0.43851128480389,0.367010804321729,0.416340409174662,0.56896095417198,-0.1894594666353,0.584116510805592,0.384871018265143,0.282764712853538,-0.38890756302521,-0.368950779263471,-0.659333356801638
healthy,0.750353560629801,-0.512613782678778,-0.507438689155651,0.872310296434586,0.819282035193412,0.157780366613136,0.6213493677819,0.310485802721729,-0.563269417993513,-0.530439309026145,0.605241935483871,-0.668470822806192,-0.582777095194738,-0.3619202555426,-0.414133117540381,-0.348189369610998,-0.353536074964668,-0.312815497303978,0.337078491281226,0.362903225806452,0.787254170045082,0.14693523298444,0.382258064516129,0.546426053790141,0.782782561131567,0.172246887753612,0.808390545803839,0.528164140318755,0.516833978011845,-0.342073444531764,-0.289871315781804,-0.430707949614099
healthy,-0.1252914419906,-0.27979407979408,-0.307929979310204,0.488993339416623,0.0721465582745837,0.349627247181538,0.173527407466965,-0.119574222002639,-0.300276723705646,-0.135475203871163,-0.125611325611326,-0.155289798774564,0.0074814766555328,-0.209293378305276,-0.364135812536942,0.0089761266591787,-0.0037409326512747,-0.334794092420016,-0.196043267943663,0.0715756975319705,0.0896909917387479,0.223479190902594,-0.0123711442926565,0.123195978581038,-0.0269505655174224,-0.210024623378057,0.403435856007876,0.0385840492762915,0.125549774860684,0.0087538622880827,-0.181127490251486,-0.319768256891049
healthy,0.441897616743117,-0.489281804008431,-0.603275113782864,0.664545194923875,0.757206356559017,0.0130867847939801,0.497202392436813,0.572309166251205,-0.62495834661833,-0.325327550800487,-0.072915243066565,-0.749553368901745,-0.581761876163492,-0.56316369881297,-0.621840744147849,-0.43774911161843,-0.2094950832692,-0.461945048829052,0.142292516761892,-0.220162327440146,0.726424532838122,0.46418586155383,0.35979805775291,0.405106437713036,0.748804784113556,0.148246214056867,0.791164063890684,0.666523504091882,0.128202404611027,-0.292094545853179,-0.456488964269424,-0.579298222750191
healthy,0.449570744787991,-0.413167768854999,-0.542804719405269,0.717226943924223,0.673464805630765,0.10375891292934,0.661318504280827,0.385194678635785,-0.422467835013085,-0.320936257858831,-0.0021191085129704,-0.467227735385341,-0.400175362183549,-0.751273701615353,-0.572190904727723,-0.374483008991552,-0.474397753195338,-0.29944430544772,0.242790633311567,-0.304908887100773,0.806660129910193,0.672726237189055,0.359678452217793,0.451027680697955,0.736111810370633,0.600843246210139,0.785741838340032,0.193227224982861,0.587792651649467,0.0343088896425439,-0.369250071573902,-0.532670886211494
healthy,0.396082862384371,-0.702770587449653,-0.73043617282159,0.558308524797496,0.557891070676219,0.0704829875182908,0.451131077434192,0.57751089073411,-0.30208861656548,-0.316813357903305,0.324551638837353,-0.505433363499251,-0.549975504094699,-0.577740027438481,-0.539155249416583,-0.553970813032271,-0.343718381085885,-0.427659321532929,-0.0005019077412299,-0.392908166892895,0.772783990207696,0.562974820989797,-0.0267508060993144,0.333865402857447,0.513978147207567,0.0738586091103408,0.622729565297129,0.369845654492325,0.262932108114225,-0.584020989667166,-0.504673506498487,-0.711411175171883
mild,0.183161240633462,-0.471961395305249,-0.66575537013307,0.507039268335543,0.47337670695629,0.236642220984648,0.639429619920674,0.408367365701631,-0.24190339983311,-0.447684216723752,0.0763586518303499,-0.236593660632069,-0.633222719277301,-0.322510691468356,-0.306670949911165,-0.50449155258925,-0.330118703946486,-0.282517750162914,-0.097405635125397,0.0165156565847162,0.555997659620156,0.263925017928331,0.0341880341880342,0.228769923294505,0.604132879748206,0.226758607329919,0.473119449692694,0.125468233716361,0.238902691466194,-0.682112156612057,-0.273854692806174,-0.681710821217767
mild,0.471793592135244,-0.511110075448831,-0.486977986820735,0.653239881268477,0.49642438237784,0.319024043652503,0.491854967435989,0.301386764727646,-0.253603436961251,-0.200929821338602,0.265848075974658,-0.519786097278588,-0.297742048885447,-0.412657990124493,-0.31408103683407,-0.34008114905571,-0.296596761803662,-0.156378825790729,-0.0260737263624144,0.047772957687086,0.685498439201688,0.465928107320282,0.127040345124361,0.485696641067471,0.559348779698215,0.372022646128004,0.508073195261282,0.349596357529073,0.18683362556019,-0.317449478339054,-0.23776396373075,-0.559636578460206
