group,CD47,CD33,CD11c,CD45RA,CD123,CD7,CD4,CD183,CD32,CD95,CD1C,CD64,CD141,CD1d,CD366,CD58,CD39,CD244,CD54,FCERIA,CD303,CD98,CD38,CD45,CD26,CD304,CD305,CD319,CD371,CD328,CD101
healthy,-0.178551606312274,0.541111122709729,0.479626726481738,-0.734400377735657,-0.355742233494538,-0.0738347263826995,-0.107100623667345,-0.293145072461767,0.556763107301671,0.561056892228126,0.626304866297769,0.0766270808257481,-0.707854344044011,0.474393517041197,0.109831234469062,0.308464426921468,0.397095188867656,0.305812471302877,-0.464361220175174,0.33857214165877,-0.614064101928643,-0.379330033550735,-0.0595688487382992,-0.405255408602336,-0.158209461946424,-0.121154219534043,-0.472779933649901,-0.301723751328009,0.260193295077016,0.349082756809362,0.619696951389667
healthy,-0.304481792717087,-0.0481573935172147,0.0797477420759985,-0.195789980502858,-0.520331631264129,0.0681683594364845,-0.449843407665178,-0.521147370335631,-0.269078859402257,0.414347720656752,0.113414214287672,0.19623221915454,-0.437060166748967,0.232924535991426,0.412726685366848,0.235085138062548,0.145245489158597,0.12706884867971,-0.421008403361345,-0.183730895993841,-0.450831271947932,-0.4603906243227,0.142296918767507,-0.476924155522109,-0.212719751814022,-0.472119819121325,-0.418487394957983,-0.309729888233739,-0.258823529411765,0.314135574351769,0.153426185539471
healthy,0.158038527066742,0.140268284354039,0.456748983469117,-0.405974895665213,-0.502932694275138,0.0717164465544713,-0.246408868215335,-0.26251106734407,0.253201735473824,0.52073124704411,0.209935673430789,0.366632450061625,-0.256292143027812,0.490825000030141,0.180063357028802,0.273258317403967,0.0788242946792651,0.479900562887566,-0.391212484993998,0.577029617563131,-0.497073953217146,-0.39237422728307,-0.226314525810324,-0.0379190329953606,-0.0456597682166254,-0.539816884473634,-0.30450569462434,-0.243494561653659,0.399471788715486,0.522903606446049,0.530076857666761
healthy,-0.793542280902738,0.475277739452174,0.470210332375492,-0.748219360488815,-0.73174673158092,-0.127331523933408,-0.642998466561667,-0.38242763505969,0.49433075632404,0.379241260094651,0.574966928573178,0.225599933911144,-0.227188588378139,0.45234800902856,0.390404720099193,0.459553155411775,0.382564294137102,0.208178872803762,-0.61008064516129,0.288193890419407,-0.781722521453261,-0.244168592477836,-0.317741935483871,-0.638169173522435,-0.316123726610825,-0.767729050340576,-0.798709221901997,-0.590486249843852,0.358208984368168,0.209863481512549,0.50060708214997
healthy,0.118833120238507,0.256370656370656,-0.0087538622880827,0.0598549224203953,0.383178387280567,-0.136041730420832,-0.255697358057213,-0.11435914689972,0.149687882413059,0.0069474463523673,-0.23280287320533,0.338626353072608,-0.396182776204996,0.247275702563042,-0.474713051043296,0.413515772663965,-0.42003725923771,0.549104791715846,-0.236036036036036,0.183247574834974,-0.198674008115642,0.329924391556947,-0.190206343499594,0.0064433043190919,-0.0548359415933036,0.0795334623693498,0.290108243381716,-0.169905199444722,0.1861483068907,0.0943866688646753,0.239665213884109
healthy,-0.429940064807615,0.669789162529533,0.673403100076642,-0.782528127955869,-0.708628305048455,-0.18105545167117,-0.48298925975947,-0.565837172448687,0.752510739067266,0.452287026385624,0.605095172539689,0.590358044822926,-0.580387113631911,0.738298136679221,0.564393737929816,0.731094755314176,0.619496554570545,0.512472175248093,-0.169059832354842,0.646481338874106,-0.730873175853898,-0.371046187256048,-0.25715480095183,-0.346742555791369,-0.515582106206414,-0.695377012946718,-0.611738724473331,-0.657265926334249,0.446778244896009,0.56862512035652,0.739380633182023
healthy,-0.208603754381268,0.814887103604863,0.827277187327123,-0.713558360631635,-0.587636394374228,-0.123714089663628,-0.641070890289195,-0.600716329684305,0.850925466534995,0.708057075283202,0.617881148496858,0.472460461024872,-0.475436227009689,0.708106912067161,0.595666781512643,0.552883586495007,0.76520665910443,0.626767089858503,-0.341919690388632,0.658408243494913,-0.729342128220788,-0.560805217927182,-0.0480496941805656,-0.21445144878003,-0.370125568768789,-0.742436925548697,-0.450301011575787,-0.409206955707455,0.343746574821143,0.785284525749847,0.883414006723993
healthy,-0.354921968964349,0.421189691068663,0.547145671314037,-0.642703999476187,-0.736483404828479,0.016220948396135,-0.619726937590192,-0.460512808536331,0.341389490068497,0.174476636096347,0.363058136833667,0.081326701631019,-0.348005331734163,0.506302646945894,0.403377750618461,0.284555313818953,0.337421986435862,0.485689268652396,-0.58398448975075,0.291716444011489,-0.741531368045814,-0.672637735551439,-0.0346325190897229,-0.336612247887071,-0.254546923302283,-0.541275640656932,-0.74441974937981,-0.405450849467234,0.323356114336633,0.241637721854209,0.488607605089979
mild,-0.331288555116672,0.548661513718886,0.598531896019876,-0.632405219384225,-0.696945410606542,-0.246653584122539,-0.606936798885645,-0.541059025580232,0.487404809418147,0.282781341772846,0.432670820605979,0.345072671928863,-0.28936653138468,0.6098323504281,0.306474248246172,0.452854119921435,0.471523850488139,0.471677725786414,-0.476908500913316,0.277797591871268,-0.641322614086697,-0.339088917043404,-0.30293501048218,-0.272360522651962,-0.377120681017654,-0.701237826436676,-0.472473663035547,-0.232641182317495,0.53874751872531,0.332685522489312,0.626150214902526
mild,-0.284536290730035,0.553159172158143,0.424187092603772,-0.402125285257312,-0.408595949955066,0.0289740597275439,-0.457713328357045,-0.455035544081318,0.628201532737218,0.344255188778082,0.293350220028492,0.291629800870912,0.0020214742581969,0.289748544566143,0.255907384177707,0.272690705097565,0.405836525462341,0.479928197442095,-0.176896130112457,0.295834867206137,-0.600420498109594,-0.311673358863159,-0.127470390099891,-0.239406893880345,-0.273514710419365,-0.522431177779448,-0.245467132878732,-0.304593984394932,0.329741761541411,0.493731709692357,0.565470353525736
