group,CD47,CD33,CD11c,CD45RA,CD123,CD4,CD146,CD5,CD32,CD95,HLA-DR,CD1C,CD1d,CD366,CD39,CD244,CD235ab,CD370,CD54,CD2,CD303,CD98,CD38,CD127,CD45,CD26,CD304,CD36,CD49d,CD305,CD319,CD99,IgLambdaLight,CD328,CD101
healthy,0.121815581876598,-0.2618986906618,-0.253447730070735,0.0954050161694379,-0.431349149903325,-0.171725079307981,0.0224726185142771,-0.586103946673022,-0.234200103651048,-0.203054569295402,-0.163394744790094,-0.458014145500398,0.0834453125213379,-0.189018947718856,-0.33716209147664,0.134772631825439,-0.101376479075517,0.0680171253698786,-0.226064633041377,-0.127242575999388,0.205325029932572,-0.0739138989351491,0.154012827031291,0.263079329975653,-0.0042284894506671,0.058119572391984,-0.0301865732172363,-0.020631281612973,-0.123225611597705,0.166890625042676,0.109138640522587,-0.0338041270631884,0.318578783822447,-0.130857582388231,-0.212077438933355
healthy,-0.396918767507003,-0.213549258133188,-0.144498984323997,-0.425719197546453,-0.203129463743497,-0.440155768736059,-0.118866231891982,0.332488737297128,-0.344056185475613,0.196784610695389,-0.426610644257703,-0.0224010684120991,-0.035521342740103,0.432218910753783,-0.0449198244519758,-0.240673448492696,-0.0758465094858753,-0.27169424432453,-0.350700280112045,-0.151226386115997,-0.401711986406308,-0.396514438225571,0.145378151260504,-0.003411893908723,-0.682120598353207,-0.176714071443235,-0.470363420984712,-0.407002801120448,-0.523809523809524,-0.448179271708684,-0.134615144588958,-0.242656451553606,-0.124030022108459,-0.0245771537487445,-0.0873500780849148
healthy,-0.0566608175382143,0.220923768430918,0.399721475900492,-0.538338593310583,-0.638218490887135,-0.336632275216387,-0.204208180955313,-0.158171142958972,0.198940772523857,0.042623071505794,-0.325426170468187,0.229241814557166,0.238957457408034,0.197592926956184,0.0649878588548314,0.438384167747912,-0.411820418048017,-0.0642998981704215,-0.36547418967587,0.161672531047393,-0.558874631392874,-0.418005925905748,-0.391788715486194,-0.103681743237271,-0.376547051354436,-0.10610933092081,-0.477145287439386,0.319882279120332,-0.244273709483794,-0.61069347562997,-0.27359069823338,-0.348910767433504,-0.111037393830527,0.321107283001703,0.448400619763352
healthy,-0.698083100112556,0.40141291879846,0.404656051958255,-0.789038747313082,-0.868092043198534,-0.591809475988948,0.0,0.1102728801195,0.456617253175447,0.502816588548276,-0.691129032258065,0.479002405544559,0.376541294935161,0.333854680170662,0.427009874454876,0.201647770911879,0.569366764790984,0.0612372435695795,-0.585483870967742,-0.445161290322581,-0.723388772666784,-0.152795279203908,-0.457258064516129,-0.334245250325196,-0.584938000754686,-0.185983697837091,-0.72014053235615,-0.2436466515297,-0.669758064516129,-0.672852011178046,-0.406352744428792,-0.556844270004782,0.163299316185545,0.209863481512549,0.281616736286142
healthy,0.061741555950007,0.0311454311454312,0.0406797129857962,-0.190253146264828,0.0040081421263657,-0.322597932002344,0.132336519886228,-0.324668355954225,0.0715618767168192,-0.0435551444398413,0.0715572715572716,-0.287378405202503,-0.079329450744012,0.152904811468642,-0.0415378805345979,-0.155456106633603,-0.0055414257306628,0.0890287821141142,-0.126898326898327,-0.19258497033782,0.139105651338209,0.0420765060178201,0.0989691543412519,-0.130687955777203,-0.495361236051787,0.0104449412558673,0.0515576035985472,0.118574787368424,-0.117374517374517,0.0318570708303954,0.083598773431965,-0.0439165879142309,0.114059864965879,0.162671996339398,-0.118222819100275
healthy,-0.613944549982222,0.278357281827834,0.446480435998433,-0.599478258984365,-0.543655955282782,-0.490063669689369,0.0142761417971722,0.0217208175143728,0.39694433533793,0.289574407893978,-0.003907035075011,0.65783490947259,0.334521154333655,0.609581490748698,0.480106192256621,0.247126081921902,0.0,-0.013652530432891,-0.229438343910142,0.040942467909922,-0.567353151992483,-0.45719050310408,-0.432986044118593,-0.143822084500392,-0.514695478808927,-0.557263250654916,-0.588443757491344,-0.472023419073289,-0.448485433146826,-0.638639654127726,-0.499135892894212,-0.243290660580385,0.0028552283594344,0.271807580672921,0.43582113493271
healthy,-0.443347045552327,0.458303128873331,0.600526435028831,-0.811513316588381,-0.769958396846548,-0.742089672009177,-0.0326351479023581,0.0266557474227056,0.569592211761106,0.410131628151116,0.0464011691633175,0.504982539616866,0.49019597802691,0.636077410244412,0.615219186377369,0.360794776262167,0.103557443092996,0.13373399961073,-0.331214147614122,0.288625910688635,-0.789812627596548,-0.629483145346954,-0.394847905182655,-0.0329315190186103,-0.46818306580653,-0.130080708368486,-0.738786187929143,-0.494308159293767,-0.47427840701498,-0.765777302947817,-0.216028037530839,-0.55633327431876,-0.102579090742257,0.421810303879901,0.592444245847476
healthy,-0.477167940473715,0.471526269417198,0.596982366141977,-0.751898505702795,-0.772400678075925,-0.668161369553273,-0.0073337980181284,0.212253411253071,0.400817478648306,0.159247625196346,-0.464551638837353,0.479727816048322,0.542501332582653,0.435836882943176,0.39292288667885,0.373927493218352,0.0049306489681154,-0.0953996290411743,-0.448764529267851,0.305559181826611,-0.751492303837286,-0.681169270022259,-0.284892373004955,-0.181883707946738,-0.430314308289526,-0.32447204896508,-0.550403133796601,-0.16111261789906,-0.507786119842426,-0.79972784524657,-0.429410794839506,-0.495062757842076,0.102492239947518,0.48611156720436,0.505533187220571
mild,-0.034953202818109,-0.266405077956701,-0.428448407299749,0.429392730962685,0.176518924957115,0.12261594405507,-0.151246975799273,0.279914018327386,-0.369005186186099,-0.177346777732109,-0.284873407514917,-0.482836186183807,-0.551524704339983,-0.0904682175716105,-0.389231064713633,-0.136808416362595,-0.0802722309238909,-0.0585099547139812,0.138730421138111,-0.0130817081859138,0.32849629726312,0.0848938536930761,-0.0639412997903564,0.044896988335349,0.0376170727788424,0.119319724553696,0.26124928041938,-0.04265916575663,-0.0512014191259474,0.15305143774396,0.0751561996494858,0.0855130866507845,-0.0426481298038649,-0.383904056318881,-0.569374726524997
mild,-0.529666669041714,0.433316704269571,0.473111769971046,-0.641750978182999,-0.482733479676643,-0.576011890776035,-0.187334626096912,-0.0559840687190957,0.285538976867994,0.259771345676266,-0.228745937606697,0.58453156320053,0.303254369464039,0.310708242834719,0.422146274014384,0.200692156691698,-0.229602643642637,-0.210187662542817,-0.378289851132745,-0.0619743593225205,-0.68655586463342,-0.450669064795841,-0.179429941849281,0.0064760299266797,-0.566304469040818,-0.334219283793768,-0.561575827609788,-0.382496786299853,-0.198334566289364,-0.557759549910435,-0.328283545317493,-0.187242943043749,-0.0732112067212668,0.255220017789317,0.544075617578891
