group,CD47,CD33,CD11c,HLA-ABC,CD45RA,CD123,CD4,CD183,CD32,CD95,HLA-DR,CD1C,CD64,CD1d,CD366,CD39,CD244,ITGB7,CD54,CD303,CD98,CD38,CD45,CD26,CD304,CD36,CD305,CD371,IgLambdaLight,CD101
healthy,0.166718959504833,-0.287680288097041,-0.276020181822402,0.0522200940524883,0.290579983888615,0.127050797676621,0.177186300911415,0.14903890102323,-0.207691233651175,-0.273632865454811,0.233615221987315,-0.294317347927705,0.0653703592177179,-0.5362475470409,-0.312048134396217,-0.228129956607599,-0.277305831389971,-0.350282265688711,0.249773482331622,0.289833160142669,0.143391189290757,-0.3327953539206,0.175104768501736,0.0078971632715825,0.344901995340179,0.362564434227982,0.235275825911912,-0.136061612805799,-0.0149185467094377,-0.178551606312274
healthy,0.226610644257703,-0.297227994390506,-0.317028809447994,0.0620883123719988,0.361525761316008,0.41483582250783,0.210600846285196,0.461014981450751,-0.524262307022579,-0.272870585948731,-0.0266106442577031,-0.485356482262147,-0.185973873802448,-0.605547633352032,-0.0748614453266357,-0.347880659399371,-0.204207774478651,0.388104499692887,0.0831932773109244,0.268823376685169,0.12187696828438,0.106442577030812,0.143567477066127,0.211815843520195,0.153509197139895,-0.0582633053221289,0.30952380952381,0.0235294117647059,-0.122419242600557,-0.539175401340272
healthy,-0.0253929799250095,-0.268184366848847,-0.389527688712845,0.118308757885576,0.610252728251768,0.561354913967996,0.430795149402789,0.316435334265452,-0.178375674466307,-0.325542963014476,0.419351740696279,-0.189934709744593,-0.312745465118195,-0.375456223547832,0.0254756661856743,0.0625291193877717,-0.464162952636953,0.146738251768063,0.490036014405762,0.521212000237695,0.405660862895642,0.46641056422569,0.318875518281644,0.0064022935868963,0.501076596703882,-0.361348500487783,0.436140968862988,-0.353085234093637,0.0165588366525835,-0.470938638241415
healthy,0.789707768355141,-0.435318082377214,-0.423877214426272,0.157502333430576,0.688623055725385,0.741024666986852,0.652103227730728,0.38242763505969,-0.431069396203819,-0.351618539616783,0.679032258064516,-0.482488296338334,-0.183328663198669,-0.370102916477913,-0.380351379667454,-0.332718783500346,-0.167767679847737,-0.208081232693491,0.6625,0.782225398597972,0.220077291353357,0.335887096774194,0.654703098397265,0.366140230206701,0.790552115088208,0.166599448810871,0.761194091782357,-0.36668014278228,-0.0612372435695795,-0.505051535663812
healthy,0.221391269661741,-0.115057915057915,-0.0890834221081359,-0.0846878036974689,0.0734826056500389,0.157386380828629,0.416414017321919,0.0540132778516593,-0.0844327178529378,0.145896373399714,0.113770913770914,0.186927788338142,-0.135680508192081,-0.212448138821769,0.242995382205311,0.316645463140689,-0.339271569958523,0.267476684566142,0.343629343629344,0.45522409014572,-0.161061062770199,0.0724227405465932,0.0641753110181555,0.260340160802494,0.17473926446894,-0.0919665017498012,-0.0966157066167729,-0.184088574587622,-0.0856295128675593,-0.0435286632417135
healthy,0.379821484592776,-0.54155426303808,-0.581632667529141,0.0206984737646207,0.700135563124072,0.706923247611329,0.603286384976526,0.541181957962905,-0.658983068245037,-0.452677771116842,-0.0594898344754775,-0.506171653664932,-0.577216144097424,-0.630635042106599,-0.498360059025433,-0.541443125058642,-0.421097282207233,-0.0112645687542771,0.320818125845901,0.705520229734867,0.404940159892185,0.37298218534954,0.362531352498553,0.471862718265366,0.708121964905062,-0.0414264735500068,0.545837882449167,-0.327444386828032,-0.117064362736812,-0.639651873457353
healthy,0.457258843843812,-0.476189021133431,-0.581720920671218,0.162249665574063,0.774354728083554,0.70217441858444,0.792800077087496,0.428109747241934,-0.521711275918684,-0.508250332636116,-0.0521008403361345,-0.391198300448934,-0.13101337635631,-0.506700385619791,-0.631583213482883,-0.56603871286395,-0.375196524552205,-0.363157097816983,0.454126932233416,0.703684069850263,0.581323426231849,0.26929752555952,0.446441949428251,0.276521611369068,0.717072789180285,0.410434659594313,0.646814314532737,-0.0948153020472859,-0.0506609970209922,-0.59516289803389
healthy,0.395168773307767,-0.228812779066019,-0.367651421535386,0.133720002154247,0.676383421931887,0.681144757870249,0.622596759634741,0.2875060729893,-0.348414223283208,-0.175882593099195,0.538726035868893,-0.335415511468921,-0.032789289528026,-0.460802209916402,-0.186328806042833,-0.218978367909027,-0.248287456481387,-0.0855542447899793,0.537373337582463,0.587799436734989,0.613129902424313,0.271888165229572,0.41761942990937,0.16993113400524,0.532641066141192,0.0314454165190893,0.644122786271095,-0.142812523440563,-0.217637395261744,-0.376506828456613
mild,0.406199807345784,-0.438895122033592,-0.599908762357135,0.180191841626818,0.550987044504342,0.400910177185918,0.662465575132075,0.350742329943855,-0.302776704357007,-0.363370426451112,0.199403322044831,-0.329676828092407,-0.313467221383188,-0.548327459677142,-0.444970803346847,-0.266794369906735,-0.348078978162397,-0.404967812357051,0.37756768205708,0.616193316186696,0.205204742050083,0.161425576519916,0.1765419273977,0.457932255521437,0.549499184792719,0.348045265864216,0.447449430071081,-0.554650015157567,-0.149927961475443,-0.646722217823912
mild,0.462743794300987,-0.383895033167454,-0.46505060551364,0.0779744836220346,0.546912818665492,0.440524168329933,0.558060609672189,0.306437227508143,-0.210803500035162,-0.082735808786483,0.165163949974077,-0.304143269947293,-0.0588635863271568,-0.244920972343484,-0.31550347738325,-0.24171310414589,-0.209064402878419,-0.242967936329728,0.311790969876486,0.614220796116949,0.410197997366005,0.160912711138203,0.461214433073682,0.248076603481519,0.413391485801281,0.157938339363121,0.530696073255186,-0.310291626186241,-0.0275725287486697,-0.396189419667713
mild,0.606700932363399,-0.67704659797309,-0.733171709534351,0.139429513156739,0.821754696454746,0.722648664951171,0.564585651972325,0.516406615839787,-0.589079836102452,-0.41479966348547,0.112729531362299,-0.617759889244078,0.0246368227516759,-0.612102538540921,-0.732699845413393,-0.63866885930158,-0.367582952534447,-0.470177606313063,0.0228326480622868,0.800360024636098,0.644503705996207,0.385283057784759,0.433476251277933,0.232063267281831,0.78050211852547,0.394642451206586,0.756018655444003,-0.0612894759863529,-0.206932629602062,-0.714315453491174
mild,0.509735106651419,-0.421186760984296,-0.395519915118135,0.176039402677938,0.475738855323277,0.483314194492525,0.361326983796842,0.284694318432795,-0.416705125268236,-0.669725700082209,0.10427807486631,-0.511758509415028,-0.217536885379788,-0.239377571985423,-0.563135840084647,-0.359652202220606,-0.380650014377503,-0.677643485563994,-0.0942513368983957,0.529896878408039,0.259849557025177,0.238970588235294,0.321189839572192,-0.131270099732536,0.307556649092252,0.351582125562687,0.34449328477964,0.0233957219251337,-0.123616275889434,-0.562772800500073
mild,0.830958923549657,-0.746221798218752,-0.750605697161839,0.656939763655565,0.773785586447379,0.823994905462763,0.80026350461133,0.735220705659062,-0.503801893000413,-0.624625011280285,0.542687747035573,-0.711219375092142,-0.543197057430195,-0.689837780228757,-0.746219318855435,-0.649855285099689,-0.413923251071344,-0.635948602951758,0.61870882740448,0.830183765042552,0.820493001336039,0.611989459815547,0.658102766798419,0.47020681843999,0.840340060386691,0.67109519756551,0.805112670054647,-0.217666494227044,-0.133135186377543,-0.784717910812743
