group,CD11b,CD47,CD33,CD11c,CD45RA,CD123,CD4,CD183,CD32,CD95,HLA-DR,CD1C,CD64,CD1d,CD366,CD58,CD39,CD244,ITGB7,CD54,FCERIA,CD41,CD303,CD98,CD38,CD45,CD71,CD304,CD36,CD49d,CD305,CD99,CD371,CD328,CD101
healthy,0.0596741868377507,0.627888783794818,0.0058972568913453,-0.219286066513681,0.512568126086784,0.541719658805223,0.469058255494945,0.295376545369128,-0.443889107215257,-0.0769060054702522,0.482633645424343,-0.374557873585414,-0.0999542629532325,-0.114641258086405,-0.587233022969254,-0.0660444095659771,-0.400783379476334,0.0494832239997621,0.0195972897543904,0.155089096949562,-0.0007656538707796,0.0874031153822416,0.56289209343459,0.350758274298493,0.297236398296207,0.589496734667121,0.127852655448828,0.473194931513433,0.337837236412433,0.178495922681969,0.643819773127339,0.313399009782083,0.158562367864693,-0.117136141580934,-0.248485582956249
healthy,-0.662425477707107,-0.156582633053221,-0.653705026869247,-0.50413467178799,0.166902934199158,0.283752276939367,0.428642922472468,0.194428057394447,-0.340003357039215,-0.275620681439816,-0.195238095238095,-0.39758374250908,-0.257451376900898,-0.707899644646637,-0.457078560522628,-0.654242364336821,-0.278729636268253,-0.720337314369748,0.172252641668482,0.0974789915966387,-0.282749226201209,-0.427416478412075,0.393335053988356,0.0441408550152327,-0.0792717086834734,0.0063029624077811,-0.218234398785489,0.256434127945362,-0.438375350140056,-0.0064425770308123,0.0686274509803922,-0.0967386460380575,-0.335854341736695,-0.389844507738706,-0.286564611007607
healthy,-0.236492235526889,-0.0836074788353086,-0.370321941115693,-0.361831361259617,0.35783361830638,0.352303688450874,0.253519126062063,0.0996006238178693,-0.270870340847212,-0.315283811808367,0.28672268907563,0.0131023682708577,-0.208884779712017,-0.335323748912327,-0.176210704297509,-0.213421467430544,-0.245295419772539,-0.278401221826033,-0.0036333340649074,0.261272509003601,-0.171906840805012,-0.0310833569380623,0.4454621994119,0.376890588931412,0.284609843937575,0.171861168556919,-0.096647943822421,0.353816114447604,-0.315113161650711,0.0259783913565426,0.452144819290687,0.114981957449677,-0.211428571428571,-0.258126580972466,-0.326078895544802
healthy,0.006228172366308,-0.46478328405875,0.740666371035872,0.741532215213502,-0.836389236029231,-0.661153744796653,-0.205969930446752,-0.193107023644002,0.748998282961856,0.615799745991589,-0.270161290322581,0.869832279246584,0.49944425287457,0.875204090930373,0.501829243217632,0.453859576495169,0.617045883757508,0.510242335303338,0.483233309323135,-0.149596774193548,0.640969044798345,-0.275166115331613,-0.750795577053534,-0.208140160165551,-0.173387096774194,-0.101421514780975,-0.0471686711383789,-0.692461496385617,-0.198063751491859,-0.283064516129032,-0.604275966873329,-0.353905469380817,0.533279591593151,0.514814807941962,0.510708112863247
healthy,-0.166120903335061,-0.19555798265337,-0.198455598455598,-0.289907321658269,0.257055515037591,-0.129062176468977,0.0781585041834801,0.113614136170732,-0.419460712626104,-0.0871102888796825,-0.342342342342342,0.0411293864326518,0.133668297265503,-0.0292809517380337,-0.250732418120105,0.0548878221200672,-0.371123493374538,-0.0294000670286144,-0.125054034342612,-0.43963963963964,-0.0618557214632824,-0.405803094568533,-0.124890475289049,0.0604675616282581,-0.148969195857405,-0.306185821243248,0.244875114757497,0.031491149925249,-0.373032664400879,-0.350836550836551,-0.0164507824779911,0.156808052140813,-0.0978372843962187,-0.0118642460863419,-0.275209329430597
healthy,-0.191808666712896,0.207274977081433,-0.545094885262994,-0.615356121094643,0.564769504643732,0.304883572295102,0.424528908611486,0.559211083555633,-0.629054213581924,-0.436331616527527,-0.0901029817298854,-0.392870471121698,-0.587076712737618,-0.632928495366322,-0.41869884148441,-0.710485978135258,-0.4696139230451,-0.52684448238067,-0.229628881444948,0.0580309049808469,-0.604646022398955,-0.0805987708108101,0.641641171285043,0.176688660598118,0.113737217827513,0.176313589298347,0.339591107947743,0.462626213463546,-0.227330189613062,0.0874011190430253,0.386250369744655,-0.0336705336684546,-0.373891311639396,-0.600664022095691,-0.625660799884329
healthy,-0.0292161386025099,0.296284693613128,-0.544660166963509,-0.61848634463527,0.737441972479776,0.715918981489665,0.640942972150259,0.445994968777903,-0.530546225769201,-0.456798767397271,-0.104822798684691,-0.461721425334236,-0.300181932647035,-0.395088387240538,-0.742638158251257,-0.348476265472007,-0.651798784989084,-0.454922500092625,-0.408117636493276,0.145493076205122,-0.322742623171211,0.143380893241238,0.78843732128523,0.612604015496323,0.280058464674483,0.335708414664598,0.250362931796998,0.724798768793759,0.384368342795531,0.324735111435879,0.670936601791037,0.506915681002934,-0.105082392557994,-0.536980746976782,-0.60588955291906
healthy,-0.052628836105313,0.345821405657571,-0.624992355051344,-0.702082528761138,0.564114445605589,0.670279609700983,0.521076804808791,0.572981393551882,-0.423886200758758,-0.312556067539543,0.357291280148423,-0.421746362276624,-0.22516341431635,-0.526658105616982,-0.333267526086683,-0.321477736740068,-0.635630825321941,-0.428792138081656,-0.141029121080227,0.295133874874246,-0.352331236817636,-0.0309445426612143,0.762019032693146,0.603336126668149,0.180153439780767,0.241338794156858,0.296679837671037,0.556386146059476,-0.0136227804018258,0.374290343755826,0.526627108787705,0.326361593905823,-0.517437844883842,-0.438256058100429,-0.6443329462856
mild,-0.391433297193574,0.338795825006012,-0.378046361425439,-0.447967512433821,0.284758631780295,0.521002269654412,0.427175520323696,0.482386261899587,-0.19190779921039,-0.446033494926245,0.372117400419287,-0.0863158640098911,-0.158686756511832,-0.218590569317357,-0.426342611725119,-0.374753132387986,-0.263274537705226,-0.467134272844483,-0.0417123507382571,0.410788800051211,0.023112499221163,-0.0076047588885276,0.675433486141069,0.35679743437537,0.258103531688437,-0.107846371743634,0.458477999981023,0.511795610802958,0.278663295703005,0.0925657152072246,0.568857321614813,0.271789228574561,-0.370358647874097,-0.214600957797837,-0.380582054045656
mild,-0.0578178719113325,0.421500037784637,-0.399631666095546,-0.415010546900688,0.632341019465369,0.571362700747977,0.571159850788192,0.488253887606039,-0.505194461399548,-0.180988783725997,0.313673668104048,-0.366707025421915,-0.0901495419761435,-0.239728391937664,-0.133514123639809,-0.115251421848597,-0.184155475384807,-0.299517743518835,-0.235969453240022,0.402193024501769,-0.203163086607289,-0.154054700816409,0.667163757563345,0.483494132515806,0.300361118644782,0.506307244076195,0.440044826921889,0.566218365948529,0.251900528865913,0.289598310545316,0.554502262640221,0.163383694889172,-0.272011028188778,-0.118603283182976,-0.536935584183471
