group,CD47,CD33,CD11c,CD45RA,CD123,CD4,CD183,CD95,HLA-DR,CD1C,CD64,CD141,CD1d,CD366,CD58,CD244,CD370,ITGB7,CD54,CD303,CD98,CD18,CD38,CD45,CD304,CD36,CD49d,CD305,CD328,CD101
healthy,-0.216173355135931,0.341965293840451,0.422059399866747,-0.481234125678194,-0.273899695113893,-0.1381992466869,-0.395323042430411,0.0497293052249626,-0.368619752340683,0.43121626002311,-0.0828657458133311,-0.534919264919436,0.502208621214976,0.342691655615486,0.205694387737027,0.205539789129446,-0.0161802853302795,0.156469699298834,-0.248716399879191,-0.512887910860525,-0.120232092505555,0.168427371129625,-0.0416374095772806,-0.411598142778337,-0.403031545116614,-0.162926444502449,-0.40893989731199,-0.321026257563674,0.589556821127071,0.253340002159301
healthy,-0.675070028011205,-0.0400141607941872,-0.0248072941079995,-0.554981435046849,-0.523190596271075,-0.293858380849943,-0.228503077762546,0.418625646976217,-0.481792717086835,0.252188128664512,0.252156747041753,-0.401660622159708,0.155985026815235,0.367809818170867,0.302394023282386,-0.0889201435573248,-0.254713354054247,0.159387299137226,-0.500840336134454,-0.677769986543344,-0.651265925702563,-0.103153494143998,-0.103921568627451,-0.411933609806321,-0.679023519614226,-0.658543417366947,-0.488515406162465,-0.460224089635854,0.283626004180914,0.154835057766647
healthy,0.0900649670380356,0.117467974993323,0.0589027797399377,0.280559423618026,0.354369120460217,0.236800411665702,0.156368997644388,0.244210104483569,0.40561824729892,0.0872498614400299,0.0976734653488851,0.106510353851935,0.0060923997639442,0.0829765082002207,0.208873058226483,0.0941842871133329,-0.142721401624648,0.365610295838088,0.401200480192077,0.391667104670123,0.364964002633513,0.200789516490445,0.333013205282113,0.400288499136069,0.155257330649116,-0.17419829073251,0.406290516206483,0.4336418690965,0.115687956209732,0.089044436252007
healthy,-0.778204230712349,0.384460337009083,0.367630023204074,-0.705359004323334,-0.817265092713861,-0.661814972977726,-0.325631451634984,0.416417703444565,-0.770967741935484,0.419332157251123,0.182409722531007,-0.154400011519124,0.35078778110617,0.310815775014594,0.431491945037074,0.080414192043806,-0.163299316185545,0.107070925560728,-0.730241935483871,-0.785745538610949,-0.223766950084133,0.193627920862025,-0.448387096774194,-0.68837584783747,-0.796864877677979,-0.183541765639095,-0.733467741935484,-0.752722933368245,0.162529003646445,0.41979883644376
healthy,0.0235082911776177,0.574002574002574,0.311791977378476,-0.245832717083767,0.149102887100806,-0.398944815227929,-0.009312634112355,0.155783123978083,0.159073359073359,0.0711854765180512,0.480343494044422,-0.385452826016111,0.458046958686157,-0.268566941584715,0.601152337505497,0.675160831320835,0.135591952675889,0.0328667654361992,-0.207979407979408,-0.368579207560364,0.163568933989804,0.403384458727094,-0.142783623711077,-0.051804166725499,0.0068841118441242,0.241282900658186,-0.155469755469755,0.116461095002921,0.236230322074718,0.523116657064617
healthy,-0.47240387794784,0.197534532675465,0.417408493269553,-0.581386009344631,-0.621123470539361,-0.462473470962763,-0.43855462766584,0.199051878494983,-0.0255645504908133,0.65562795432709,0.0590639775355503,-0.436504663537704,0.328803672263642,0.520500763128667,0.282062448787319,0.119715336689237,0.0495020321138157,0.0720867661372849,-0.362254989834718,-0.577589349999656,-0.535016014309165,0.108866308815725,-0.599524085150171,-0.350408386391408,-0.59469966378797,-0.388751697357295,-0.473020773040067,-0.634762187592613,0.424907761126528,0.401626111978571
healthy,0.283837295141799,0.531456062452474,0.451534554414509,-0.0884242034852792,0.0095949066182652,-0.011896386921076,-0.343841018258967,0.583244311489783,0.362367555717939,0.298977233509105,0.484552218169537,-0.543831291116365,0.283966245707648,-0.0812669629274926,0.493931413849964,0.432803517712358,-0.425517271488688,0.168476665374363,-0.0378530454416139,0.0395830347726191,0.0409977030087592,0.478479220344874,0.31875399785868,0.247410250415673,-0.0782998318519438,0.385832742615687,0.26218487394958,0.245820210549467,0.557119209611242,0.433449328523672
healthy,-0.202027128415907,0.60667517503123,0.447136220029697,-0.176070583105823,-0.33950599641359,-0.242914355171756,-0.447074743095329,0.449617165639554,-0.253358070500928,0.233326270065027,0.308786717156218,-0.243661669512818,0.488581424102829,0.323972041285272,0.486781663620567,0.493519949782885,-0.326625611505978,0.300639695056192,-0.27398353118106,-0.572493245414163,-0.355146032971575,0.689829478964295,0.0898168831983918,-0.0180400903296949,-0.434159324518763,-0.070146953183481,-0.247968435002703,-0.207139336220454,0.381800900970873,0.575519720411004
mild,0.32466924188091,-0.243650709493988,-0.288332009449359,0.517124299060846,0.387790527358024,0.180892869344263,0.413729267424547,-0.252899044617984,0.314707305273343,-0.307628516850629,-0.164977407984808,0.206240765171167,-0.16003050917691,-0.438410440210499,-0.219126941326074,-0.178372596979522,0.0851759960216806,-0.279914018327386,0.214647126457223,0.481278606548673,0.243443463541635,-0.0867532541188725,0.388001935171746,0.174846737422688,0.458426809942611,0.221649239568193,0.153926786002258,0.24507603638748,-0.190260406858647,-0.375398557246567
mild,0.642573670592925,-0.393606493229701,-0.435416953781856,0.613356974843174,0.415105586711107,0.580141825595974,0.237977168934654,-0.101991079090764,0.207627815222752,-0.501177390522034,0.118650205507312,-0.136072627397106,-0.150878992727733,-0.316268674385675,-0.0683703521666843,-0.162368136153095,0.231295047589279,-0.269402281632984,0.318418093075094,0.676895656028272,0.469734628727567,0.0291795123591445,0.230795019661908,0.55847269294358,0.614202682874035,0.461612136335753,0.158500730290162,0.691550079778767,-0.160394490485184,-0.391256075101428
