group,CD33,CD11c,CD45RA,CD123,CD32,CD1C,CD1d,CD39,CD303,CD36,CD305,CD328,CD101,CD33,CD11c,CD45RA,CD123,CD1C,CD1d,CD366,CD39,CD303,CD304,CD305,CD328,CD101,CD47,CD11c,CD45RA,CD123,CD32,CD1C,CD366,CD39,CD303,CD98,CD304,CD36,CD305,CD101
healthy,-0.250784629597341,-0.419938498359879,0.38567321895946,0.574612564706778,-0.387413688519876,-0.198916875628558,-0.0979675630430072,-0.541241971823484,0.475729813406337,0.215718253335644,0.325021797389741,-0.119926943101062,-0.304008002591161,-0.478660684347534,-0.552343349574357,0.672979501312849,0.436181756931515,-0.428919298410771,-0.238272480781463,-0.558865010751416,-0.510353375475807,0.599837858903326,0.350409005318999,0.460562802258655,-0.269467391221262,-0.516085441524516,0.0825251264518921,-0.410773173990913,0.209205117155859,0.0129389155916068,-0.192093260868642,-0.301973886635501,-0.12469789327841,-0.185638927303455,0.16062914699482,0.0611364662260717,0.113607576229734,0.194935271122576,0.081447542608304,-0.210105331132115
healthy,-0.578029122770767,-0.497547424199991,0.261442358465813,0.33264057855814,-0.598371169859564,-0.676822217935372,-0.742016981744839,-0.463085130312482,0.303854184978421,-0.217366946778712,0.115686274509804,-0.598044074552784,-0.636810246683572,-0.244016180562447,-0.270777922127995,0.208336879402445,0.318774598274453,-0.388003411364283,-0.348333799755713,-0.77827653537691,-0.257899307579167,0.592096814087023,0.547644938995643,0.101120448179272,-0.34210268034172,-0.214007691308041,0.524089635854342,-0.232796132843996,0.765360832874809,0.536341835303025,-0.209589127710849,-0.475494376671915,-0.482503202331674,-0.529118689286049,0.72193926656527,0.540085205561806,0.651623708683078,0.317927170868347,0.436694677871149,-0.374760012428828
healthy,-0.08646541301462,-0.456075808843518,0.556304719500168,0.574485160313108,-0.307945447204485,-0.356940275015185,-0.483088619377514,-0.114548332818308,0.582466843179291,-0.229018041014902,0.647314899131193,-0.217330570674568,-0.44416270175893,-0.0892971430851158,-0.223157388386164,0.0719637651240292,0.352008626735253,-0.0715170934784318,-0.416749155281232,-0.297665581651517,-0.0917447295257746,0.323680293840887,0.419686450838988,0.23818343159063,-0.246662008735466,-0.343512149153903,0.22101117517905,0.506563905763464,-0.532234080820751,-0.398726731708499,0.342413710146012,0.296689233042377,0.0780643759678223,0.159528801892164,-0.481851215020769,-0.31265441360764,-0.451318428926218,0.3638585623139,-0.301285700694443,0.468723362920922
healthy,-0.5818368249854,-0.659791692717934,0.86822835775216,0.708753587314044,-0.695063918243975,-0.837023895305176,-0.743736556625929,-0.528985481632573,0.784739784321527,0.221056895758734,0.845905675923478,-0.373649152712962,-0.48121310318048,-0.582845907234768,-0.630049472899003,0.871493908698101,0.779749962594222,-0.766895974630416,-0.724836800509493,-0.379932490482798,-0.427217564082529,0.777699504295573,0.771613827318896,0.792255005967435,-0.446116981658413,-0.421415001357885,0.516246478776501,-0.848159084904502,0.645354505691662,0.465510324280255,-0.814692772317471,-0.866756493252077,-0.743947191948677,-0.75100569359379,0.773676487137885,0.34487457195314,0.722082920845311,0.281565170145249,0.683340112071708,-0.684041799903067
healthy,0.141312741312741,0.0525231737284963,-0.465211696133519,-0.198536639992651,0.089452345896024,-0.16082644694819,0.0190906645692907,-0.0412790775406129,-0.14587478279019,0.268924517757144,-0.137612101046052,-0.0166099445208786,0.159819736931854,-0.0324324324324324,0.0298661183946352,-0.0152309400801899,-0.0935233162818677,-0.387301722240804,-0.0982911243364832,-0.0837960330432779,-0.163045886210571,0.138090281620412,0.013914694153017,-0.0326404414245855,-0.198792034424484,-0.0392788233394161,-0.0139499749845204,-0.177651911140502,0.299007402626886,0.359396743997463,-0.162558723549177,-0.0316379895635783,-0.0015736344233479,-0.240686784406081,0.36282544582618,0.472873051074442,0.13182341829174,-0.104883145253987,0.438426409215032,-0.035544115546488
healthy,-0.641946996851795,-0.70922619395034,0.719646061146582,0.531784895012982,-0.609574657314122,-0.737739667828775,-0.72747691355236,-0.661740467436038,0.732039324993955,0.175756484983544,0.663706429487503,-0.376555173705882,-0.712866983954251,-0.609212335008721,-0.653924898448292,0.687812134608872,0.727223082381637,-0.699767057237087,-0.713393172408147,-0.581484807763892,-0.628469142262986,0.728540877573782,0.708432817391851,0.638993613728442,-0.398753555625164,-0.68193170363189,-0.294974434807848,0.651502236554218,-0.741590580042234,-0.596641419413839,0.63550439777656,0.392351187558051,0.539598738890229,0.498116034940188,-0.725301574406956,-0.32787090365464,-0.681582933845462,0.202654700702249,-0.469849191804605,0.703410502854144
healthy,-0.284125994021391,-0.417103734872174,0.78624925844973,0.773394537572855,-0.333257303259768,-0.289004266353608,-0.266971981268403,-0.386290938530802,0.688770592036909,0.449790404761014,0.718961383257448,-0.276528430993063,-0.396627311495441,-0.587418056640518,-0.655509126567071,0.703573762804383,0.682759284644545,-0.480550695369133,-0.460013260031711,-0.632326055922805,-0.619592431196196,0.780185483417323,0.77429597884492,0.591188356747271,-0.564088734920682,-0.671655043904688,0.179425587964653,-0.0394676826254102,0.0174541359745322,-0.186114900978954,-0.0284515334169202,0.0540041947319879,-0.204207386734623,-0.106106778951711,-0.236165880646625,-0.306340721348736,-0.197309633205657,-0.257551318369993,-0.223346371167588,-0.0660798929391594
healthy,-0.316602500984296,-0.384180674964832,0.415294847474295,0.607718501770942,-0.121615693779683,-0.160489522832634,-0.416272280823551,-0.235674590889208,0.640433081014289,0.258251000489399,0.497030472252293,-0.248216224399968,-0.384613882729342,0.186695050540258,0.235118672652293,0.147180727706253,-0.0657822751927302,0.0806897658019236,0.258961767093611,0.120578576737559,0.068354949586292,-0.223503149724629,0.0141076709607553,-0.060628561464681,0.189896397569632,0.188865031871669,-0.42681238634197,0.607188682265581,-0.728522369407628,-0.795810762811211,0.481708536032347,0.460972190031428,0.370380656185456,0.464558363257425,-0.770208142835611,-0.669717852096185,-0.573451328763811,-0.111851252931044,-0.70596391896507,0.501857240364038
mild,-0.46821161173836,-0.649070989811,0.600100324215369,0.554438869372524,-0.351391673330731,-0.480172924825889,-0.518206049432487,-0.30319567254765,0.609791555885175,0.112000585380049,0.465612179803354,-0.348708935366269,-0.628660971164585,-0.321117829091762,-0.445780724721705,0.426195038293686,0.470662296647071,-0.203281063646967,-0.233482998404798,-0.337737213315681,-0.292012408211212,0.565552525741829,0.510579366480707,0.44179879682104,-0.146278253038027,-0.424722768975403,0.12253801819374,-0.346484364164145,0.433000384230272,0.109440088376254,-0.41992120790815,-0.367573727414908,-0.0642267650262195,-0.364369465113106,0.218997531508747,-0.0118218948122736,0.139284299784113,0.0575412131261007,-0.103245141811458,-0.519888530521189
mild,0.328626147891731,0.263673591521089,-0.295634095467392,-0.195741160789285,0.225219213271485,-0.0145276248609788,0.0963313192528001,0.251130668632392,-0.418525401386682,0.0077920484530859,-0.251116490488009,0.209581409164231,0.258157228769397,-0.439596103838616,-0.477294449642342,0.497291699148689,0.439594220221928,-0.493733907819413,-0.258490745275935,-0.200596394185745,-0.219747555692735,0.619615458065278,0.495757996253917,0.367233692159754,-0.154032003491875,-0.587879659049194,-0.273813421027259,0.532379073434614,-0.56127394752234,-0.334510084017268,0.520741334616092,0.543849080153443,0.322874875173279,0.459448247315671,-0.66601671980689,-0.43316895339092,-0.535176744288758,-0.127100640264937,-0.43255757046161,0.588399625957209
