group,CD86,CD47,CD33,CD11c,CD45RA,CD123,CD4,CD183,CD32,CD95,HLA-DR,CD1C,CD64,CD1d,CD366,CD58,CD39,CD244,CD54,FCERIA,CD303,CD98,CD38,CD26,CD304,CD305,CD371,CD328,CD101,CD224
healthy,0.509748090403543,-0.320695068601654,0.467773440855819,0.496896924466235,-0.73954476586244,-0.469698225030255,-0.209650229331829,-0.211872480256822,0.734641466866033,0.384367778394572,-0.156297191180912,0.629061220232576,0.038923844596442,0.395712117389402,0.219359067737934,0.255073385543365,0.65434648382294,0.278996252085615,-0.255209906372697,0.367820119522553,-0.65663666501187,-0.480573441335855,-0.227866042558877,0.12404757588396,-0.18805419261008,-0.445733202519596,0.11280579885231,0.3845104316621,0.588598328370113,0.423469776956452
healthy,0.0869529272576031,-0.455742296918768,0.0940683780073873,0.162018259823997,-0.474739639758793,-0.396967291214419,-0.380345128391063,-0.259771919982684,-0.0308304448911677,0.294565783711732,-0.319047619047619,0.448866691578288,0.0962960805631893,0.263391458420685,0.537589926251274,0.413772515456685,0.405837152146557,-0.0084151555417026,-0.344817927170868,-0.145301685686733,-0.715466182424126,-0.526375929772092,-0.0694677871148459,-0.0554397086880738,-0.689561908433899,-0.397759103641457,-0.385714285714286,0.317808022613076,0.290227678798265,0.0705553362915931
healthy,0.218212966487565,0.0387449292163625,0.260470343553358,0.551281934463988,-0.547470546953908,-0.453116441287877,-0.310881611663371,-0.391519756561048,0.326676099895399,0.490376851207478,-0.254261704681873,0.31713686837417,0.44986906861016,0.47158075315673,0.267036992437739,0.422951518097613,0.130072138865234,0.610339283430993,-0.337142857142857,0.517458418025533,-0.467902092370703,-0.312968271141795,-0.268091236494598,0.027941792941261,-0.533537877587405,-0.322768346764058,0.534117647058823,0.610897920628742,0.70672098539654,0.111245940133499
healthy,0.33035917002467,-0.508779270131181,0.50474294113371,0.580681434560096,-0.417582327212252,-0.469544209239356,-0.453214778193245,-0.409879123714965,0.578273714945104,0.282457893608284,-0.464112903225807,0.46013758477825,0.267411734289788,0.414963876050993,0.423078076502344,0.330227577163152,0.344349402648922,0.339209104509659,-0.41008064516129,0.432089019179237,-0.767641961401353,-0.217038748869188,-0.153225806451613,-0.395276057544104,-0.774527410052636,-0.702702759875393,0.497378015457152,0.352285804295516,0.679597346389225,0.143028535504795
healthy,-0.139839508144373,-0.0258332870083711,0.106563706563707,0.0700308983046618,-0.0670695782478537,0.171281273533363,0.203548554769229,-0.0264478808790883,0.0526417402467249,0.0374093265127471,-0.0555984555984556,0.197473784859335,0.156377534865449,-0.0844890898167933,-0.222538134701788,0.186948747521732,-0.0027174314368428,0.294781203039116,0.151351351351351,0.0971650291319062,-0.172274395452916,0.0537799050426443,-0.415721994667811,0.0843429006411288,-0.0604923019494318,-0.185397707291645,-0.248970142134588,0.210919930423855,0.281777263825057,0.0926098082093715
healthy,0.50511149324302,-0.298600377106349,0.749453162590113,0.728510582627165,-0.755562243164444,-0.510101711755949,-0.461283683838189,-0.564963966935649,0.775473394800172,0.561337368456571,0.143675989425099,0.436003462127129,0.779946120862965,0.824286482839533,0.565008757488239,0.833880223940064,0.573986943121496,0.582474526073805,-0.131063980742278,0.759401239698986,-0.730657222309443,-0.295987881727645,-0.0970801980834781,-0.495255769725696,-0.622909526964061,-0.410206999084005,0.549820297273573,0.564571218503809,0.794086214972739,0.707038427248797
healthy,0.364840284549488,-0.0414425149104239,0.621946241289873,0.610508247635071,-0.625039606030567,-0.627480605419157,-0.365279382742531,-0.55685495306038,0.569180413251125,0.582257048983355,0.171830471318962,0.493931413849964,0.429895619175895,0.417734846060906,0.477777686296984,0.463742972730621,0.580159105033213,0.426625975095118,-0.25306003159133,0.372219240840748,-0.71915626585259,-0.694947843919015,-0.260052983637327,-0.0489280412889965,-0.691135571906477,-0.571352033967667,0.129635719330933,0.563010576309277,0.628249080084871,0.28986338883084
healthy,0.322228422959343,-0.369103792138132,0.662358657943713,0.729639582294869,-0.682506953287468,-0.73530063247421,-0.586928087800865,-0.502790901239086,0.47146622412197,0.328816551567801,-0.382807668521954,0.508443687284238,0.130115002941702,0.628221130986412,0.487956653713944,0.398078844324466,0.476059354775118,0.593373603434098,-0.357249094773182,0.430494049358596,-0.79285475470232,-0.622817224096171,-0.0648354412397814,-0.304428265662869,-0.572091553249521,-0.697686264348769,0.55308992928506,0.472472095127327,0.725440934991046,0.15752226219199
mild,-0.0361303950182666,-0.359945338027593,0.335861296297939,0.569779687212426,-0.618794527511052,-0.510967176996086,-0.45853675057641,-0.400910008132977,0.290894904711105,0.397781626999132,-0.285518464763748,0.404684746336713,0.0994836091814908,0.523086054444191,0.373940698771823,0.34510025613121,0.392349903373198,0.320145156371264,-0.375551837518602,0.143842754835935,-0.675624583463503,-0.140792442743703,-0.211578777616513,-0.28353476827616,-0.512476707623418,-0.583064628072058,0.428721617013803,0.311728214151708,0.554553165365101,0.244595487932559
mild,0.0487742677826061,-0.547056476644797,0.532998994594368,0.527993597173196,-0.72140737290898,-0.511432711565379,-0.556350360590313,-0.356527621772758,0.361037329036324,0.243124680427174,-0.192402534174686,0.558415205787022,0.0706848842690617,0.325700129592646,0.315312178132644,0.144571220324852,0.346148106971072,0.259437841561132,-0.316065717283221,0.163860208133794,-0.690283737341901,-0.472222874322806,-0.242836278976762,-0.416549001107217,-0.513557248408719,-0.589378139232623,0.300326277252643,0.261609694897983,0.547804160772947,-0.0297480526320416
