group,CD86,CD47,CD33,CD11c,CD45RA,CD123,CD7,CD4,CD183,CD32,CD95,HLA-DR,CD1C,CD64,CD1d,CD366,CD58,CD39,CD11a,CD244,CD370,ITGB7,CD54,FCERIA,CD41,CD2,CD303,CD98,CD38,CD45,CD304,CD305,CD319,CD371,CD85j,CD328,CD101,CD224
healthy,-0.23621511857796,-0.251974696758443,-0.357313282929465,-0.152250429600173,0.148407802930237,-0.0530027867607988,-0.313287678795101,-0.199182887925247,-0.0862053217896381,-0.128548810173295,-0.359705936977952,-0.157656297191181,-0.138123958288652,0.123688314536429,-0.418686471389291,0.216780157536312,-0.0697478344014525,0.0518651804345332,-0.6159075898125,-0.339006186780979,0.393420641456611,-0.314482492279115,0.238900634249471,-0.39354608958075,0.419916626827695,-0.421529451650147,-0.0188975467052729,-0.0018633756034071,-0.238275394953197,-0.094536942718488,-0.10687678625562,-0.0443351246084825,0.166043612623859,-0.275596496526729,-0.134003909484623,-0.273886160294798,-0.0574945274361527,-0.005516464527402
healthy,-0.100666979543198,0.116526610644258,-0.373605901309937,-0.316888655243994,0.640475420571943,0.324349580037997,0.414304786478052,0.586312756057984,0.462818953117297,-0.329581798202764,-0.190367721216192,0.166106442577031,-0.48169341447149,-0.208806965070008,-0.530573732074503,-0.613581355658312,-0.693352369222453,-0.204619011068306,0.0518207282913165,-0.189902010057757,0.237732463783964,0.192122448466755,0.22156862745098,-0.019915868115363,-0.303965717628151,-0.156552245867997,0.658350734119911,0.268310111884401,0.0389355742296919,0.433223616161493,0.567667877753021,0.515126050420168,0.344246591974498,0.0907563025210084,0.178273126310019,-0.158762763296488,-0.345314582880849,-0.0018039716665464
healthy,-0.258994251171778,0.0133033967484753,-0.27267607661584,-0.658605203345246,0.477094947680892,0.479081872262481,0.0413768849194652,0.257170339550923,0.36148598764281,-0.425736149693738,-0.279694075923256,0.144201680672269,-0.456002119972124,-0.273771266979523,-0.469018077065547,-0.379438135873209,-0.456306518927393,-0.257251643063338,0.180888355342137,-0.544202700475962,0.342717740415591,-0.136758694203117,0.182521008403361,-0.646931641007572,0.0662503079097186,-0.301766296803383,0.451223793549971,0.361616188935857,0.24859543817527,0.116063960308993,0.652246649285547,0.312723888087213,0.381855605736925,-0.410516206482593,0.0486456545435114,-0.655813236102705,-0.683412436372218,-0.0969385877246331
healthy,-0.188842307204644,0.748940845480687,-0.544500781758796,-0.514115514012963,0.866187388410946,0.819282035193412,0.128715562237032,0.565911488663619,0.33983049749116,-0.560430767218887,-0.564708097588914,0.57741935483871,-0.661088936419375,-0.393306605759551,-0.595653852109233,-0.362339144727255,-0.52706273399439,-0.376748984562814,0.319354838709677,-0.352679502161667,0.183711730708738,-0.339798673194613,0.515725806451613,-0.334813490340194,0.355490341645327,0.316532258064516,0.784739784321527,0.155182705441469,0.356048387096774,0.530497028605853,0.778412187030957,0.780556739586042,0.538551158572938,-0.398547833959178,0.121841824130825,-0.302856880506134,-0.468283783867486,-0.013890479927628
healthy,-0.0477540511495353,-0.231466251595005,-0.37966537966538,-0.272914530157873,-0.0558467802940296,-0.180099186211368,0.172228830712773,-0.0148811721541394,0.0219778165051579,-0.320998777934797,-0.330270911212539,-0.195366795366795,-0.331407940678483,-0.399855056981323,-0.197227203557064,0.221489045086223,-0.474456387198275,-0.119955187712063,-0.395109395109395,-0.510338331651567,-0.0365055257204318,-0.208423390571019,-0.0113256113256113,-0.401288992993045,0.0265273068834659,-0.328527302340987,0.184797288639081,0.0147685749598971,0.318556965535905,-0.0252577529308403,-0.040279377811365,0.0138395471640242,0.281934324975007,-0.228372819103805,-0.0756016390985535,-0.32086194415729,-0.385576383862989,-0.258632993794799
healthy,-0.601656678881555,0.354746079186252,-0.734164112073436,-0.753318640422476,0.761292733251605,0.523613487672794,0.206451588499092,0.486494308315647,0.597375300978416,-0.795597969487438,-0.537436815730361,-0.196284297101792,-0.492313273560102,-0.712595951192797,-0.809007561827577,-0.549503790725886,-0.841535835525336,-0.674285923380784,-0.439302826866367,-0.640206256974179,0.140611776023109,-0.157671593109436,0.087488543641116,-0.720321639370695,0.0231003388479363,-0.289590710523245,0.732859948462885,0.332889686621046,0.133159688725963,0.178532381503634,0.661804944373519,0.494417205908828,0.663805885800262,-0.501266534806293,-0.110314809204665,-0.615212298905824,-0.740461834946028,-0.635588881215895
healthy,-0.485166049463739,0.110269306457771,-0.86382641616931,-0.838472258924177,0.67150202432897,0.543980508097385,0.054481435376864,0.509333481204653,0.586474394016773,-0.884281145843516,-0.742763149547633,-0.474388016075996,-0.615224257633038,-0.526838555055489,-0.679845940161543,-0.579602813749324,-0.643583679679462,-0.772100078903599,-0.39879408668607,-0.621378169703039,0.296252024690502,-0.501827210289466,0.323175856111076,-0.699355683043806,0.254637783388703,-0.633300706170073,0.665304428100047,0.541912980846659,-0.0293413721878283,0.0918059746225635,0.703616000512859,0.347987346712563,0.397854856239711,-0.425444846643004,-0.0214629955428977,-0.826581851133132,-0.881952962351702,-0.462804717310394
healthy,-0.191920183556791,0.387990485559141,-0.605105839932995,-0.685179873522292,0.687779288375781,0.703806172870652,0.012134372525084,0.560889400715617,0.578731013591316,-0.484938658894469,-0.236128507660459,0.390513296227582,-0.553821046251841,-0.111664996591618,-0.560991399375524,-0.442536387803412,-0.459649712096108,-0.52279090854457,-0.129842016531277,-0.471474337937812,0.263902184534672,-0.127478006261235,0.428207879432719,-0.390950526626383,-0.0400882721520826,-0.34786689615673,0.796457963165004,0.624520489445069,0.208290041570702,0.38056176836106,0.547156669756235,0.680759759841895,0.506521652168201,-0.44393094403579,-0.0387986638842869,-0.460045310338214,-0.606955619080544,-0.088556507242011
mild,-0.101939328801538,0.183322687297749,-0.422873319520521,-0.440030282960215,0.553774776574751,0.713478637035423,-0.0437859618558298,0.333172657478576,0.529164232102958,-0.343944629890694,-0.461355579303101,0.460328979196904,-0.265147315190728,-0.281658846596449,-0.409583868913354,-0.242652443907382,-0.302451112333324,-0.264923066710996,-0.0238316065975395,-0.489767399536696,0.0652411884421384,-0.160771555440268,0.699820589978302,-0.0943217837934083,-0.0251199748392324,-0.181059017360664,0.61724435146008,0.339770013863865,0.261731978713111,0.0814498421327296,0.636387679174286,0.623103400815203,0.460500642388965,-0.392153947552825,0.283705215776665,-0.328362490276174,-0.412249979802594,-0.460084840454528
mild,-0.180204549435701,0.32370138219762,-0.690009406490808,-0.643334157805888,0.647386011601114,0.310202273749671,0.351246663200006,0.467721452613953,0.458190091811723,-0.510666118978298,-0.304359667135063,-0.0019853564157361,-0.570825288155013,-0.181254503922934,-0.537150700650339,-0.363417563018436,-0.335143533778828,-0.50414221955748,0.0813846140897735,-0.391879650919141,0.156130199313139,-0.374222258695672,0.273065299582331,-0.377438301324835,-0.192689028918924,-0.139480314010824,0.68189602374782,0.432147289636584,0.159192531236081,0.35664314156533,0.476177105769857,0.395862193558113,0.309776075846742,-0.482219188054596,0.260395273568471,-0.465943411798501,-0.684809099974941,-0.0838553152584123
