group,CD47,CD3,CD33,CD11c,CD45RA,CD123,CD4,CD183,CD32,CD95,CD1C,CD64,CD141,CD1d,CD366,CD58,CD39,CD244,CD54,FCERIA,CD303,CD98,CD38,CD45,CD26,CD304,CD305,CD319,CD371,CD328,CD101
healthy,0.291265152183148,0.0492319963688954,-0.514573466698675,-0.550904166408983,0.715693511820081,0.401574054987699,0.234529127747473,0.323563571567375,-0.533711915997434,-0.417791063472361,-0.603947773271003,-0.178751314209444,0.664163733275746,-0.392715462519851,-0.127883605880414,-0.235167477052685,-0.436282214084859,-0.219754690433726,0.322561159770462,-0.30427084824784,0.522761348184066,0.280482394398567,0.0676228002258754,0.47585608068044,0.219700856858859,0.171125236008522,0.354296810346122,0.345994970294856,-0.25369978858351,-0.157990374945032,-0.690389431034119
healthy,0.233893557422969,-0.0136999054655741,-0.469780287780176,-0.409390429883992,0.675198233805683,0.483022137923487,0.530292930946122,0.500101034225923,-0.28210580794782,-0.421681308632977,-0.614972727162343,-0.282600868731834,0.321080079871,-0.663392665798366,-0.768954166713594,-0.768029806087409,-0.301543805784872,-0.323983488355552,0.166666666666667,-0.143899159763115,0.70328155345256,0.36698676729388,-0.0871148459383754,0.431963023679937,0.326762848218566,0.626331575515864,0.51484593837535,0.399933540676255,0.0224089635854342,-0.356227481346746,-0.494936813406944
healthy,-0.0545245056515979,-0.198550786853843,-0.16658384483675,-0.442612316331532,0.626332907493275,0.577189892706296,0.36430463007933,0.442258623748677,-0.244126058396783,-0.37149761455112,-0.330139976279339,-0.243628400033738,0.445495595701658,-0.335565510807721,-0.173610163703886,-0.329557515774231,-0.132145193710009,-0.352647984296718,0.404081632653061,-0.40275730773272,0.572763105683593,0.35638523003327,0.509435774309724,0.188153376649983,-0.0465531115078203,0.54763602512441,0.439264843571097,0.371591605400488,-0.261080432172869,-0.525931047599543,-0.5374932141745
healthy,0.640767228348472,0.209292359707013,-0.555398870051967,-0.634096033418585,0.702501647245635,0.60830985183243,0.465152131726014,0.395680077858789,-0.694658396704742,-0.427632943337835,-0.718298555917205,-0.398820249765526,0.212630873006336,-0.654014637479769,-0.407998065854736,-0.484360892119844,-0.388587293339043,-0.494322774441874,0.33991935483871,-0.519677358424351,0.774682241427307,0.240044856249322,0.193145161290323,0.360721848793566,0.247654532367928,0.755103525161034,0.856393776817141,0.585135361652304,-0.397741056967358,-0.372392485158994,-0.555960730458724
healthy,-0.220099605311322,-0.135742413346254,-0.557786357786358,-0.356591154970429,0.153912657652445,-0.195597335766649,0.11361451435943,-0.0067050965608956,-0.50041830337229,-0.404555145287851,-0.2625953133777,-0.287746162500578,0.281867537654179,-0.293325481287615,0.120383033386118,-0.472255371774914,-0.249615487698565,-0.46519752077135,0.0398970398970399,-0.60773246337675,0.102552341497512,0.148521706672173,0.184020771353265,-0.0443299337153524,0.0851262712353189,-0.0954987430291272,0.20785433099176,0.279903585539413,-0.259268803649979,-0.200637583815692,-0.632195881223585
healthy,0.438255559145511,0.106375766944499,-0.644232307560604,-0.672757056904889,0.781071548535721,0.737646452374632,0.481027718824362,0.562601175547428,-0.693749561054128,-0.460948534594304,-0.65468675286798,-0.524366810662836,0.563183393230271,-0.696822165052684,-0.584171472150688,-0.683836697300451,-0.661206962221893,-0.486783090845771,0.20088115708665,-0.633073410019204,0.730700413018334,0.371372751901122,0.277541964113448,0.373882564795164,0.502866458729976,0.715893277074784,0.672072747322602,0.662701162917489,-0.43843130792333,-0.544269016483376,-0.726503036052527
healthy,0.291635224184132,0.0974308548807621,-0.672056000791586,-0.765897312019138,0.767206663729953,0.630616318540978,0.65671345127912,0.459811065837435,-0.760442103023553,-0.629379847847861,-0.607600136023816,-0.312041602322513,0.410584545102675,-0.73836499265411,-0.620793427043012,-0.525660081557028,-0.675073342160469,-0.546252491856309,0.418758449620017,-0.601473210325938,0.744298584356371,0.59978981370605,0.103352517102456,0.274413082354409,0.248015211631324,0.747318725853914,0.511513376053569,0.215858963708979,-0.218787679637437,-0.655039114925641,-0.76680787042917
healthy,0.410170588153209,-0.0171024235405111,-0.609664975495062,-0.677935878419929,0.566388537125608,0.66430283450654,0.57018539755389,0.543539661867398,-0.406468625636212,-0.355654562580098,-0.46365530470935,-0.330980762451822,0.378457741280073,-0.58515326579811,-0.395226999140508,-0.372612134269233,-0.532849489361377,-0.556975899262284,0.345455613655373,-0.365394555856701,0.775821405605992,0.641066495691507,0.112138092358042,0.223608033222391,0.285601100467014,0.544216155206583,0.602202466629801,0.42995569288241,-0.492013614615774,-0.504790863332802,-0.677017044227307
mild,0.265983379412631,0.371983389663264,-0.539627944216836,-0.683654632517426,0.595590757630884,0.563528031165516,0.680894339301195,0.51018186738275,-0.428414184415607,-0.269660219792666,-0.366176606702558,-0.320873956182014,0.296586809519039,-0.552197808479528,-0.330609905216933,-0.415839433886625,-0.454370237860535,-0.445258388309259,0.370310641718557,-0.30477573796921,0.556284305603806,0.29326083098101,0.180696661828737,0.419276987153021,0.352034842884177,0.640571559642827,0.336454848373853,0.250208814047458,-0.581127268100615,-0.219346895336173,-0.665674377995584
mild,0.377772023039275,-0.003064572321673,-0.202860197818595,-0.221466551201653,0.581926618545045,0.686004636951586,0.587793606673407,0.566703347325811,-0.47928300603864,-0.227217568157645,-0.151628876088749,-0.299467483341984,0.171671131706711,-0.0882610772920305,0.0868753663419984,-0.0331457834883814,-0.0845870910791869,-0.030257145033466,0.644791263424852,-0.055405785331769,0.637304930965614,0.457474663675533,0.376643508274911,0.475587450273136,0.139785701273712,0.545798049713183,0.45977373245765,0.349908062278054,-0.159483522083253,-0.14155174054346,-0.382695644298749
