group,CD47,CD33,CD11c,HLA-ABC,CD45RA,CD123,CD4,CD183,CD32,CD95,CD1C,CD64,CD1d,CD366,CD58,CD39,CD11a,CD370,CD54,CD62,FCERIA,CD41,CD2,CD303,CD49b,CD98,CD38,CD45,CD304,CD36,CD49d,CD305,CD319,CD85j,IgLambdaLight,CD328,CD101
healthy,0.409136518457266,-0.107511529480681,-0.31003035241468,0.0539607638542379,0.470789458875331,0.580848186678636,0.387595033243721,0.34517362498603,-0.289983986607301,-0.13710036840161,-0.162931143701914,-0.0382457288369221,-0.0993506345212614,-0.321605272202226,-0.0154309368144806,-0.199853828607735,0.267391816033389,-0.0374543641904618,0.293415886439142,-0.0971871250562891,0.1483837201571,-0.226484754007957,-0.0431057277389232,0.546117866583842,-0.139247523602676,0.298317560888321,0.35566553691834,0.604522973965028,0.310228228806867,-0.0831319288522736,0.405466626396859,0.584424536866755,0.241315301466771,0.121154219534043,-0.0889687876490102,-0.0682971149786916,-0.250002588957202
healthy,0.421288515406163,0.124816101565026,0.179957997935997,0.355851523955993,0.535431615831214,-0.0122935495298668,-0.0120744485203512,0.155742887211841,0.0235932512547433,-0.0815861662355108,-0.11468219929213,-0.109863569577247,0.0949107813925281,-0.22627931210051,-0.0695761318798742,-0.137735234597225,0.252941176470588,0.203770683243397,0.05406162464986,0.156420291472017,0.159887955292351,0.319220502713578,0.215136703139996,0.252450281504628,-0.176046442816552,0.308082076812802,0.128851540616247,0.242313888121365,0.259946924218586,0.463305322128852,0.116526610644258,0.248459383753501,0.0388888195479212,0.257920958548528,-0.121959019884013,0.106500999577893,-0.0345173695658131
healthy,-0.054912925994619,-0.175957847828736,-0.331346167500335,0.108570221172908,0.69442551835546,0.399710270760567,0.337689205436847,0.540664722666389,-0.129714597372386,0.12252811002348,-0.375998265227342,0.0583819738739411,0.0988806152163963,-0.221190424935353,-0.0187495534967397,-0.0338438256054092,0.378535414165666,0.339133576637976,0.140360144057623,-0.234870399093379,-0.0737157388119217,-0.247081460173809,0.216268249022969,0.550505157802835,-0.327025284043699,0.343098594420698,0.387274909963986,0.442532897111889,0.385092677050707,-0.175553724118613,0.205378151260504,0.559509990027868,0.382957391083774,0.365111846236445,0.227020933674164,-0.059655479778678,-0.282640235999475
healthy,-0.803027654046794,0.550958908154749,0.529087787935418,-0.0996956259480772,-0.873943071907557,-0.803146495357008,-0.582097730741949,-0.296286756865552,0.563674939532745,0.514239518069199,0.694307425160051,0.293142072984338,0.585892439609536,0.418889184655787,0.488021049994805,0.450271112752029,-0.393548387096774,-0.142886901662352,-0.543145161290323,-0.385253739395901,0.362865976872615,-0.32696208998227,-0.363306451612903,-0.793288695781614,-0.201090520624331,-0.231797383792293,-0.313709677419355,-0.572436740483473,-0.761416287750805,-0.173053664745433,-0.533870967741936,-0.785800790032873,-0.546420111795804,-0.0664591767986318,0.224536559755125,0.243374616285012,0.463839330353645
healthy,0.061741555950007,0.192792792792793,-0.145468593904904,-0.123063997385262,-0.0831021467533167,0.270148779317052,-0.456528481389599,0.227973283070452,-0.0486517794945282,0.119977054315882,-0.200373933902663,0.253251118044964,0.214383003474062,-0.0520610721724277,0.145267017941832,-0.18918498860306,0.158815958815959,0.290926689669972,-0.442213642213642,0.234750054725619,0.301804374306266,-0.0161751871240646,-0.0133882599700089,0.220335228761981,0.342215825778857,0.325744606190939,0.132216604627766,-0.564433458352452,0.38609614513003,0.103074815163401,-0.389446589446589,0.0947878418969962,0.109321472949493,0.241465311189296,0.0710758802458002,-0.0384928873023536,0.189182267165909
healthy,-0.439077439399838,0.559740186284232,0.609509430390279,-0.115474002820495,-0.719646061146582,-0.774932519726117,-0.532574442086308,-0.579551635506403,0.677237089515858,0.416599007600984,0.595877889284955,0.470291120792325,0.636449430652375,0.538368699773383,0.629795185983321,0.595084649317236,0.187252789754986,-0.15045645783186,-0.322040167624384,0.161929308688309,0.560457872254553,-0.0303246347197476,0.277198532736044,-0.727547491269289,0.0939524315070906,-0.427885623111882,-0.362081162775741,-0.351019358158081,-0.738158086441037,-0.0331798349584036,-0.252267026818445,-0.652942839811193,-0.646130319675904,-0.0948198569683707,0.0942225358613368,0.517984039954505,0.639555049418786
healthy,-0.473769951816074,0.321616872480702,0.491149298735775,-0.227546158419396,-0.814652413632555,-0.783102104542802,-0.752633781461497,-0.413252711362848,0.436918219090626,0.39843636461343,0.363031406725976,0.0664002249345266,0.395615925382776,0.492597392973433,0.229224221917664,0.49421372592423,0.0563128092718074,0.246241423361871,-0.442069494978848,-0.117921627350973,0.266767584076421,-0.150405645690822,0.204220277858365,-0.692509706070805,-0.0634062965820087,-0.594369909625571,-0.435388692782151,-0.470174478987397,-0.697248434897358,-0.384661222759562,-0.530069419071977,-0.745409813630254,-0.217211554283859,-0.197567496689846,-0.0455069005498739,0.286636167974986,0.468144508807428
healthy,-0.455592749768576,0.501387056622354,0.611470356346702,-0.171747194322167,-0.628386115995398,-0.716785212056058,-0.587670283157214,-0.47807923487774,0.339689755513866,0.124703130238535,0.478117947241569,0.0771387817795878,0.562844187254564,0.55859232960731,0.226817372532512,0.410755167644685,-0.050575908868972,-0.141133911103289,-0.447335953421908,-0.006263420014485,0.378005062792323,-0.0448499609791358,0.299212088527639,-0.732478679015598,0.0813461281362118,-0.658129564633147,-0.0134001494012754,-0.383840659950477,-0.535904527375487,-0.14854648909443,-0.457606154718426,-0.730574165649406,-0.372134226272523,0.0744421257654436,-0.0958576167036568,0.381077200492599,0.57586297521085
mild,-0.343881394931049,0.384097148544737,0.546048990929094,-0.143017949736465,-0.514008598511566,-0.564350579744067,-0.570240926373449,-0.443681959807733,0.408332269521126,0.280961315175595,0.437386103010162,0.397579319304102,0.610168902497873,0.357094334174781,0.358014268814466,0.154026074944486,0.234686887305719,0.067700677688965,-0.452113613090027,0.10991855561479,0.297695500531741,-0.14412636127566,-0.190625016471613,-0.537365670682894,-0.0991795103429665,-0.200631663398422,-0.192872117400419,-0.306183598820063,-0.71539491034767,-0.320835855006137,-0.31277213352685,-0.420972177128033,-0.127339342421328,-0.125873416552158,0.277286122298668,0.173579141253604,0.606145156943539
mild,-0.316907696428485,0.387530475023216,0.343651496751011,-0.0786607419468383,-0.480578080612434,-0.444941421842961,-0.441586312940535,-0.464785964338934,0.57337973276551,0.202583730729263,0.315051822183894,0.192298511041262,0.240649243635248,0.146165380746571,0.209561952397492,0.377557525956781,-0.197586919335591,-0.263540203561974,-0.370752130853413,0.271970397330119,0.152125711171042,0.251440640293756,-0.062215061045155,-0.57862678073694,0.059608490033085,-0.376499571920559,-0.265173320941081,-0.293875062052572,-0.394273136037317,-0.0218253624697367,-0.17621730306314,-0.358110743047477,-0.236096865806344,-0.130112555455617,0.121589010997603,0.300491559857097,0.454172070971195
