group,CD86,CD47,CD33,CD11c,CD45RA,CD123,CD7,CD4,CD183,CD32,CD95,HLA-DR,CD1C,CD1d,CD366,CD58,CD39,CD54,FCERIA,CD303,CD98,CD38,CD45,CD71,CD304,CD36,CD49d,CD305,CD319,CD371,CD85j,IgLambdaLight,CD328,CD101
healthy,-0.203426608996276,0.450399081683212,-0.270895787713981,-0.324497930550816,0.541719658805223,0.308507397057708,0.172349016003815,0.24514816975415,0.21093291271688,-0.463482619823858,-0.365952521810451,0.279522802778617,-0.632430097264006,-0.28276127999864,-0.500308579114596,-0.161716217815757,-0.521110598084451,0.191633947447901,-0.230155553556368,0.625423863150352,0.465222775650644,0.206515473049359,0.355042096375663,-0.0144865986411057,0.31899865210647,0.29581617018601,0.164602839021444,0.635213995040424,0.104679668828085,-0.0215946843853821,0.0303905365497852,-0.0603523025972706,-0.301949220024976,-0.41262563225946
healthy,0.151146363488048,-0.350700280112045,0.346789393549622,0.230974128191996,-0.814089486740647,-0.298047101974096,-0.651570387040961,-0.414743266617645,-0.646824063105031,0.458838076549303,0.233452550576518,-0.163585434173669,0.4857791439303,0.547000598084748,0.444083743598005,0.623634534426326,0.268527026298089,-0.114005602240896,0.191585041166097,-0.516323652670098,-0.264694478709092,-0.167787114845938,-0.503256531803506,-0.187505174445421,-0.429614984215312,-0.0134453781512605,-0.185994397759104,-0.663865546218487,-0.214693897267518,-0.174789915966387,-0.18373633501952,0.0851412025605375,0.175995020522619,0.48169341447149
healthy,0.218569357240111,-0.387594949792258,-0.24611640147188,0.309227572659216,-0.35783361830638,-0.526980224098208,-0.135743383522139,-0.567427401538569,-0.261828481686837,0.0760329329592513,0.142782001322139,-0.249075630252101,0.29207362603787,0.163044222254126,0.242861596548876,0.0868746157975621,0.0194288628475497,-0.220168067226891,0.0903222968677836,-0.424538515436801,-0.369567246467789,-0.227851140456182,-0.455076455555221,-0.271038954996103,-0.510554342947246,-0.219329202366091,-0.114237695078031,-0.48924683890085,-0.187999373393942,0.0533493397358944,0.108901601259039,-0.0273113279854299,0.0928580721014197,0.267036992437739
healthy,0.0680016094070252,-0.819172970036677,0.4476288858195,0.428733087049771,-0.830266328005591,-0.805970214828378,-0.149476136791392,-0.670717406120807,-0.296286756865552,0.471621550127038,0.444871182433047,-0.688709677419355,0.576812400169883,0.495132072325109,0.345164688156368,0.483547523703186,0.389625741477309,-0.655241935483871,0.248637866244195,-0.793288695781614,-0.236138158769677,-0.385483870967742,-0.673253355573905,0.485837312725302,-0.772099424441186,-0.200080693971409,-0.642741935483871,-0.826139639623883,-0.546420111795804,0.314239638313967,-0.152243362453603,0.183711730708738,0.159177890169199,0.421415001357885
healthy,0.0324336388353499,0.331182739447318,0.46023166023166,0.262615868642482,-0.306222058454344,0.0753530719756763,-0.372754341353079,-0.272390151169248,0.0346429988979608,0.412767875235322,0.223387121176118,0.214671814671815,0.105459965211928,0.353435276485517,0.0605849252988957,0.312544190117275,0.211571447582765,-0.120978120978121,0.415464262495047,-0.222027511624976,-0.136818307647349,0.0389175580873152,-0.160824875804534,0.0236712610932247,0.060052890555126,0.439424212012393,0.0321750321750322,-0.0227177472315115,-0.129290410732837,0.253347073278629,-0.146603938936358,0.069722053955404,0.195100935642066,0.422665895737585
healthy,-0.414634376490569,0.363448340702655,-0.579535483268982,-0.672660150429126,0.726430654761482,0.595418925402315,0.16036710211237,0.375940574956589,0.56131704979296,-0.648598271691672,-0.430828628229531,-0.175125210028892,-0.857596805363053,-0.638258351533283,-0.612106307883277,-0.632282452194569,-0.686960713922899,0.0717306364975223,-0.583728364161379,0.728713640409346,0.332803748556552,0.25361759598688,0.273972602739726,0.276381647125512,0.605929209873219,0.120832583426186,0.137018457778635,0.742398084355713,0.637734425766834,-0.35189013672875,-0.137571388298361,-0.0028552283594344,-0.565878928778877,-0.750822007072765
healthy,0.166957570438436,-0.391983221860344,0.371690055515625,0.519899860275664,-0.801131604074819,-0.813971040903718,-0.1689084618462,-0.726903961515453,-0.446941276795679,0.501570585157759,0.462912200610152,-0.0268176835951772,0.389465545537748,0.415210199237338,0.450422513446848,0.304214003907358,0.509186530219197,-0.450363550302445,0.306644261004108,-0.696420733393615,-0.613417001108394,-0.442897599363221,-0.421923816504175,-0.259119224961068,-0.713379601123294,-0.376570413753198,-0.518450858604311,-0.701725944905086,-0.233756635423016,-0.0580583872651781,-0.147708584413211,-0.0716545119155473,0.334729743176592,0.500509415788545
healthy,0.2068484450375,-0.402615910784805,0.570078032424163,0.545851211708116,-0.571343261666431,-0.671292515812883,0.14069019384283,-0.597955873803951,-0.495261238949072,0.314908754682327,0.413719272819188,-0.58235003092146,0.32668557249246,0.596685925045197,0.366327174253211,0.31773094343431,0.399662646413968,-0.485474599490878,0.348411000524811,-0.763537740392294,-0.627805358332229,0.0218634016547125,-0.326602348657494,-0.141025600236847,-0.588187895899925,-0.0541099245121122,-0.547032121651264,-0.606199002416147,-0.430142515068549,0.462103483412114,0.103694092000072,0.10880057024496,0.343712088411586,0.620180290369159
mild,-0.258372028111396,0.156683987690415,-0.516021352216194,-0.554472173227615,0.25868513771,0.237017372909566,0.195276588678638,0.26657045714807,0.389569894144281,-0.24374424203177,-0.219842282467918,-0.0840993388163199,-0.294705150261389,-0.535454343008337,-0.270108778515059,-0.390134790806896,-0.187976861495744,0.270687604626934,-0.467010833734662,0.419076428096581,0.124154220415318,0.0095145944202548,0.121811508204449,0.0892256290300228,0.45365913219939,-0.146265789813844,0.119174326721497,0.147400804493919,-0.0074844348198658,-0.526558295571651,0.149906120321765,-0.0765028307821906,-0.128328271457389,-0.565730080338137
mild,-0.0567326164672723,0.307604402856574,-0.370141368524323,-0.413210727163342,0.400237822607555,0.312604639695352,0.185121501740266,0.455876394157993,0.334111214415788,-0.0564659278499377,-0.0669497142772467,0.127480114821887,-0.311625253422515,-0.162031529954026,-0.0622615294306571,-0.083967617732783,-0.410308553291127,0.266640531290551,0.0060081649296184,0.564987784914087,0.448790521763674,0.180922450882005,0.27997018009641,0.317852448511918,0.399618051025092,0.257518939006637,0.21082848056467,0.563408907519711,0.254370556715358,-0.252345904341386,0.366762403673432,0.0975410933015392,-0.356326461740691,-0.290534680383087
