group,CD47,CD33,CD11c,CD45RA,CD123,CD4,CD5,CD183,CD32,CD27,CD95,CD1C,CD141,CD1d,CD366,CD39,ITGB7,CD54,CD62,FCERIA,CD41,CD83,CD226,CD303,CD49b,CD98,CD18,CD38,CD127,CD71,CD26,CD304,CD36,CD49d,CD305,CD319,CD371,CD328,CD101
healthy,0.494088854510685,-0.463085877685775,-0.573703857607815,0.625744664876019,0.359015935029764,0.0415659644261368,-0.252699975402178,0.134710496039121,-0.36344044956347,0.0279521343132614,-0.408137250549408,-0.679134983381566,0.318708885014887,-0.302047443389852,-0.280646110176471,-0.498597267910646,-0.196590135016483,0.376019329507702,0.375849708168437,-0.425397290605184,0.432817173988917,0.215369565223519,0.436427542026279,0.655044175120977,0.338331443130464,0.352976578588263,-0.0820622410430837,0.113439146895766,-0.0827033083337505,-0.0707485049914463,-0.376135675373466,0.374680641892318,0.39320795544725,0.221232256115977,0.368511711650402,0.0083871134253739,-0.0306553911205074,-0.214349061198731,-0.506680004318602
healthy,-0.413725490196078,0.147701393528017,0.261808053071995,-0.400041823054275,-0.403399962480047,-0.359004242634163,0.398111514395246,-0.228903960355112,-0.0742536067097136,0.349259002555536,0.279593041593604,0.536075882440485,-0.422620878824401,0.303826820907442,0.553127207356802,0.505879411020674,0.257163902374771,-0.304481792717087,-0.140318202644015,-0.139691581992264,-0.172605068281413,-0.174037157474688,-0.160114184876713,-0.722700805875993,0.0324296078872596,-0.528183746359747,0.129222176087998,0.0086834733893557,0.318159106988424,-0.0956020312802144,-0.0572475252757284,-0.705018212036085,-0.38515406162465,-0.24593837535014,-0.302801120448179,-0.455160266661468,-0.289075630252101,0.4966280033367,0.292622761584464
healthy,0.193918856253323,-0.125426112950061,-0.475117033967612,0.626680318773184,0.67254400380432,0.20518858961741,0.13704936092831,0.251475932552142,-0.129521497860109,0.0504309734365389,0.0635115494769957,-0.475308261098502,0.500829649413651,-0.463312496334234,0.0285577883707086,-0.0758834494343506,0.1295889149817,0.33406962785114,-0.17160644291892,-0.313159134035977,-0.084218121657532,0.0329263611911972,-0.0753844682462711,0.591806690518901,-0.166669454919148,0.446880819048029,-0.0485012778869803,0.28374549819928,0.180683874721019,0.297298605327276,0.0783164285280814,0.481884160561068,-0.185895178842215,0.340408163265306,0.590989035163433,0.113541879427927,-0.229003601440576,-0.277184571184623,-0.485289769665481
healthy,0.393743893703266,-0.717861112200162,-0.764192954123164,0.61759732265116,0.44816461895612,0.117754911119852,0.142435803487688,0.349296528061945,-0.802527126140505,0.171699492008552,-0.484539901314798,-0.806266035360106,0.118667437424698,-0.829304683219027,-0.482560340723466,-0.555362064344523,-0.469899948781611,0.110483870967742,0.209538436416614,-0.768113408218672,0.241984319071036,0.409879123714965,0.393132903014377,0.738977964152825,0.229734228503959,0.28323556727429,-0.593832756248739,0.0491935483870968,0.10726296853086,0.239512030113768,0.209292359707013,0.672066417249435,0.0371117416237291,0.179032258064516,0.596611585451037,0.551456241858438,-0.530455872121781,-0.567175956023935,-0.595152729626236
healthy,0.0749165323242763,-0.257915057915058,0.147270859670098,0.0550451518687564,-0.356724649246553,0.260614614942929,0.237581148478261,-0.259636239052459,0.0809575907461858,-0.129905160836675,-0.0681384161482179,0.0100186966951331,-0.130410163834145,-0.324799279631581,-0.081435581408256,0.243533617339917,-0.113564026913697,-0.0097812097812097,-0.0906098653946492,-0.231443491141782,0.0183750125729374,-0.563728666929659,-0.0629508799959092,-0.136736455330016,-0.0994312123719671,-0.432747111560759,-0.354874559188852,-0.16469085839599,-0.153258796753649,-0.233991776323831,0.193753660296339,-0.330144427588424,-0.28674948579292,-0.0285714285714286,-0.349383285008763,-0.266365322635451,-0.289649855120384,-0.0450841351280991,-0.302640114254517
healthy,-0.320436607392879,-0.132387083737035,0.0714846769544591,-0.101270600737664,-0.419604984008126,-0.31329989066821,0.0317458102133141,-0.442766560140494,0.259877921201904,0.0141370612973021,-0.132885770675287,0.395921262058124,-0.521322184450101,-0.0177338850646173,0.177028524474545,0.234726127399195,-0.214738934241019,-0.175105723258914,-0.0045933198106131,-0.0037387493922323,-0.0348332916614322,0.0,0.0425364553623407,-0.349715169890616,-0.0845753084010309,-0.277837762506671,-0.214515528127439,-0.438259695157245,0.0585561344037312,-0.560725916842937,-0.129101220849017,-0.33090247218676,-0.422930148707651,-0.474564280661136,-0.367426154615682,-0.274700392030177,-0.208560845205596,0.228031979215014,0.133972194698091
healthy,0.102507987410943,0.178054240331634,0.139947586319165,-0.0475781214647054,-0.107646966032319,0.177842761161154,0.681807143093735,-0.219259567718736,0.0851299828816796,0.550521428046199,0.107080010312577,0.151269503746606,0.0498409803908601,0.0275073459881347,0.241033800693767,0.15673264693915,0.292364213292394,-0.0832693924338206,-0.0023228160344906,-0.0371443861011598,-0.0768545889619349,-0.154061672435201,-0.0168269810396431,-0.336649198017291,0.0449785515285259,-0.337040606604587,0.101821320470374,-0.135690143984434,0.555814014240826,-0.0238628710101905,0.405782403223358,-0.25839581267703,-0.323998460209586,-0.23799780781878,-0.212484931270722,-0.0968792999257821,-0.0865577844123392,0.120022156848204,0.127092366156704
healthy,-0.366939551824407,0.52410829956637,0.641691009454154,-0.574621002516515,-0.722988475573658,-0.498854238847439,0.343805391806242,-0.482199238772277,0.366295932564583,0.0854513158974659,0.248243389498079,0.450593117155365,-0.264321262439092,0.491064411940726,0.507642313653408,0.44536025976951,0.220500763195772,-0.423347010969899,-0.0072523810694037,0.32878500743858,-0.0631695935340281,-0.183487586424666,-0.0650407700872768,-0.767766299084039,0.0024788593916998,-0.667086915441191,0.352357400996251,-0.103365510709377,-0.104238307041669,-0.313923478363173,-0.34923022742942,-0.539218980191569,-0.159320322784829,-0.411681035047385,-0.642254436723918,-0.369160639809817,0.43405577452792,0.367985393642368,0.654973845080828
mild,0.0929125552970979,-0.509203563912759,-0.553014314752871,0.300911079364723,0.482013467031079,0.193097884210655,0.220051383235955,0.370402636261214,-0.245877945489309,0.0302364070017842,-0.303521179741517,-0.310772038453417,0.107563630668266,-0.483457048228458,-0.340409953852712,-0.142486371904098,-0.380573164120904,0.359142862975384,-0.163839232896691,0.0246587579718746,-0.122646962500085,-0.188179376866538,-0.234450265228678,0.478507695373387,0.0155744317783271,0.0402820119529324,-0.25647549751935,-0.014352523786486,0.0639211359350731,-0.138583605887783,0.0828480632083457,0.545461253642848,0.0042172559303132,0.0928076116755362,0.374152644484838,0.0377340255501568,-0.540927048693183,-0.165543940074837,-0.342677733702314
mild,0.292724203056268,-0.254646177260475,-0.266233898471397,0.615353855617555,0.618428407769829,0.538310399904444,0.269291292812726,0.389666305001256,-0.534604620885329,-0.0821095433859161,-0.169250060977647,-0.401665726942503,0.120260587224939,-0.312897733074848,-0.0118350469708418,-0.131201404682769,0.124753858672134,0.487156791006058,-0.0592389873872202,0.0090570844461412,-0.0889148359782092,0.0158187602460212,-0.263598501279435,0.508926314567327,-0.0250514355015437,0.250175792231177,0.121181698617391,0.153032769380689,-0.0481170671397073,0.375509088124366,0.290542274424838,0.444073353567644,0.205783804905397,0.125533488877488,0.434784231681483,0.418911701083737,-0.252485014542236,-0.140939962947949,-0.36197306069641
