group,CD47,CD3,CD33,CD11c,CD45RA,CD123,CD4,CD183,CD32,CD95,CD1C,CD141,CD1d,CD366,CD58,CD39,CD54,FCERIA,CD41,CD303,CD98,CD38,CD45,CD71,CD304,CD49d,CD305,CD319,CD328,CD101
healthy,-0.258801223762735,-0.129381686457457,0.485389605672274,0.495609234265636,-0.679838685481893,-0.266728729846255,-0.147149582092528,-0.287037883452146,0.572745266605942,0.449672983461611,0.629520612555044,-0.669728887118852,0.328863662607114,0.186288336917139,0.252604435653048,0.483690830867239,-0.366807610993658,0.254656477421318,0.0313735200193025,-0.614807263877727,-0.406748274572297,-0.187444323772174,-0.448219881770723,-0.0591255363142802,-0.151952682748926,-0.380247659317427,-0.445272178693511,-0.269024625568323,0.278537496161679,0.60513369378051
healthy,-0.317647058823529,0.295777446205473,0.0091260366723584,-0.0149964998279997,-0.60400187725919,-0.291614430708468,-0.500387610773625,-0.349369179421156,-0.1224533163283,0.227341227262996,0.108060499824403,-0.232736479558331,0.117094070534569,0.552844711336702,0.319681779065165,0.078786821436273,-0.374229691876751,-0.298457516545721,-0.0384194587336696,-0.573058331318951,-0.471538826613237,-0.0431372549019608,-0.584354648116957,-0.129745613880291,-0.558183327815316,-0.458543417366947,-0.536414565826331,-0.412819776739471,-0.0514142756582932,0.0584681974278058
healthy,-0.0768586753753156,-0.0733026152018837,0.274824285634837,0.661874908669586,-0.546924614942622,-0.388399571661781,-0.284650525282873,-0.371952301053711,0.520837659490389,0.313591580681586,0.567818921920012,-0.293557934303236,0.440586878167141,0.435590549431803,0.319652091285387,0.174763344472377,-0.168691476590636,0.746184790318189,-0.137160717246009,-0.462746981826113,-0.351049651952631,-0.231308523409364,-0.106692336184665,-0.402751560108867,-0.649640269068622,-0.135174069627851,-0.307197032834404,-0.358022249023504,0.500867805263243,0.797065691945359
healthy,0.517255561025869,0.0582716546748065,-0.0306761003807772,-0.0513913185986984,0.469831142347313,0.551835462405016,0.596260692560488,0.0833010690229028,-0.0762380493756518,-0.19979742180233,-0.0906331606381401,0.198073157634533,-0.0674991289872737,-0.181797906140611,-0.206595577831134,-0.119006156645255,0.577822580645161,0.192129260279605,0.312192144085794,0.375397788526767,-0.006945239963814,0.30241935483871,0.500856943769266,-0.525668635019933,0.440922187039369,0.501209677419355,0.502622065903984,0.120867121503219,0.186405687171825,-0.149091213327957
healthy,0.155774720660478,-0.168609178782453,-0.107593307593308,-0.435633382101058,0.322789045909989,0.257055515037591,0.061595112568438,0.144159576059256,-0.367462514436185,-0.0184374537812825,-0.0340108387808467,0.132748742721466,0.134279606869133,-0.0845828502549519,0.131648235009785,-0.351713268825661,-0.181467181467181,0.0564433458352452,-0.0833345640631808,0.0609221830678288,0.318220992532123,0.203608416483305,-0.0693299544734291,0.200797594101148,0.271556241680984,-0.0499356499356499,0.443910003374362,0.188181854365071,-0.0324289393026678,-0.111010969569104
healthy,-0.413276845533614,-0.0806098056034206,0.638309812202565,0.667427200737927,-0.765815795661539,-0.766600257910729,-0.471155701331275,-0.56491260190547,0.70826247549206,0.437992281635207,0.643100238354106,-0.581429228112093,0.707384970910845,0.533642760008657,0.655669215012024,0.66526483521433,-0.222572398654719,0.640615370000086,0.0152841729528923,-0.732168897120628,-0.383954084542934,-0.260209659785195,-0.366904624091581,-0.448888752619881,-0.723897728609598,-0.190848286063412,-0.690719982651217,-0.672400629828231,0.569180897223424,0.731328100641147
healthy,-0.0884863591329458,-0.0045209755705583,0.835479654407392,0.834611889407952,-0.608871365230757,-0.493846651598817,-0.457892115332412,-0.483516081682728,0.876007739415701,0.693362052591369,0.670229599647045,-0.490933656849972,0.754153455625381,0.551151948300303,0.603480029901661,0.776918060483662,-0.333187182801233,0.691823421846354,-0.333998500251571,-0.634360036095394,-0.525769409406949,0.0272951494698726,-0.079766146308878,-0.0451816838713606,-0.684789231509695,-0.198976982097187,-0.308021643753102,-0.304671026991727,0.771576509119125,0.833368613414906
healthy,-0.126453469759028,-0.250413087393745,0.498012676015872,0.322507142778908,-0.128505227513919,0.0061969721752906,0.0252470120384751,-0.289068833087228,-0.0223725208722088,0.180336980239057,0.0755460386388813,-0.0191193086383369,0.180867388192023,0.349719158003044,0.304653055688922,0.299740602462242,0.0398517002218981,0.264479485844094,-0.0933548398687664,-0.221314423922916,-0.0874292186679906,0.414464270078045,-0.0091808964503659,0.0772425885241412,-0.147807598403287,-0.0720973667014543,-0.0954219318399225,-0.200553616819756,0.256841951722107,0.289675846088279
mild,-0.23732659650171,-0.27772140160188,0.486704862511426,0.694669563215491,-0.621828235940615,-0.48419322076424,-0.517702782908851,-0.461431703442214,0.32654030364881,0.404342187989222,0.392896540326257,-0.275388813457909,0.530826752048963,0.42747650164992,0.443148046694529,0.483776430936427,-0.351402019947626,0.259974925218329,0.0906907948302076,-0.614664537607229,-0.263146621562091,-0.0728914691178842,-0.341701864963176,-0.138376393558405,-0.55120192684387,-0.0986937590711176,-0.358411594716868,-0.162578556364863,0.397343047764071,0.749987193118275
mild,-0.31837797170688,-0.121978818515055,0.410690527684754,0.423173109653155,-0.379667215178318,-0.308213218074214,-0.513112730098129,-0.550165869830051,0.348357814839413,0.293172247516933,0.235624728310574,-0.0673938960317534,0.335445810058741,0.0619426973463133,0.239417388775446,0.480835062755689,-0.36716033125722,0.119945518626902,0.17187322886632,-0.642394911009886,-0.47120121056847,-0.26629902690644,-0.339929448149415,-0.35271017639834,-0.472853665040279,-0.138394127357231,-0.270723833001285,-0.306542139076064,0.454686704041107,0.516504689334409
