group,CD86,CD47,CD33,CD11c,CD45RA,CD123,CD7,CD4,CD183,CD32,CD95,CD1C,CD64,CD141,CD1d,CD366,CD58,CD39,ITGB7,FCERIA,CD303,CD98,CD45,CD304,CD305,CD319,CD99,CD328,CD101,CD224
healthy,0.423592096757976,-0.291720253983435,0.532114025657549,0.533633968424486,-0.651154824411343,-0.560582415270096,0.0907636829842577,-0.310531128395263,-0.205178061534738,0.596257481736263,0.442939651759047,0.588328434307098,0.153254161651496,-0.677287528905757,0.491374561301985,0.14214346228938,0.233315764634947,0.448653020084799,0.118200975998922,0.365063765587746,-0.638163782277503,-0.417484867334786,-0.325895722662136,-0.247611485714357,-0.396326815824181,-0.301936083313462,-0.0968314480828714,0.370711468590356,0.671730257222386,0.381203923739151
healthy,0.116131761907806,-0.130532212885154,0.153317416095622,0.200560665923996,-0.288286886344,-0.373237881656769,0.116812771267374,-0.531135334331263,-0.206654976467706,-0.172534696292356,0.221229903949475,0.282337994326079,0.0473207543661033,-0.201994769783448,0.272938696785613,0.712172466673391,0.446647592027217,0.234093217648782,0.0032878097579876,-0.190463020427204,-0.596285280295998,-0.50543538763176,-0.230268226630939,-0.533593753902747,-0.190196078431373,-0.515219331170388,0.0686152344805705,0.131643145366839,0.13116600435009,-0.0825818140685692
healthy,0.251611871297607,-0.0868119466652333,0.13314013624555,0.514353497859685,-0.377139759432757,-0.455870350633668,-0.12078284106074,-0.220081697269341,-0.405854055362934,0.204540658379903,0.0809626829719237,0.493919579665061,0.0847173207844689,-0.0243818882311658,0.350312986426793,0.593549311414811,0.448523685400444,0.453709747539182,0.147319585218448,0.358923718445735,-0.585317316068652,-0.273212983482132,-0.171620870502449,-0.524652490484251,-0.387648821470948,-0.237753680109551,-0.278896522527224,0.508610113786932,0.548376958140402,0.0910650430515196
healthy,0.287168958644532,-0.226639873207979,0.525530035470684,0.629644816847044,-0.600861374053211,-0.422347755217874,0.04844134062684,-0.299445478449109,-0.23665076426961,0.688981095155492,0.506555001846032,0.651451473636586,0.32300764468337,0.0714651481888515,0.734390523381538,0.273953526764884,0.623853575576693,0.434486701050389,0.266667210830493,0.527951832869166,-0.647454323815422,-0.0449270210159219,-0.0092751285883197,-0.622535510775849,-0.60790646333652,-0.436254766675682,-0.24913625117251,0.600687090796398,0.428283702242913,0.347696075688439
healthy,-0.321239709268717,0.0147249735947715,-0.267696267696268,-0.0007723996136543,-0.0622598076962148,-0.332408587013267,-0.0116995888161915,-0.0852755865180686,-0.255166174678528,0.0293455177903503,-0.15765359030372,-0.429749358238605,-0.279122401386675,0.0570888375434282,-0.302612831618621,0.0587490184716565,-0.441578719311818,0.0181162095789524,-0.214034789547932,-0.312886857735104,0.0599068133500316,-0.247721946025444,-0.0884021352579412,-0.309492092056052,-0.197148266204496,0.0060922183067828,-0.345132714431838,-0.132879556167029,-0.337669097691636,-0.183144326598925
healthy,0.450447881092751,-0.300292483512317,0.704616010232784,0.730190294873722,-0.753109056772615,-0.672436048128333,-0.146502884558351,-0.325262074731494,-0.56054657434028,0.772861070201344,0.504451448003318,0.58445365088472,0.685964129672138,-0.560092375704309,0.815887921606745,0.533545651657327,0.753157129629538,0.644102461719906,0.216681101267618,0.669687369584514,-0.732298469247301,-0.361249247903817,-0.245578493793813,-0.687294848290207,-0.560189335350914,-0.671273812487803,-0.0612738399836859,0.493922170893251,0.768734454207779,0.66239477986548
healthy,0.191493923276833,-0.434890136590924,0.308449344436456,0.498870037768226,-0.849087930002677,-0.860818970478223,-0.134342172758821,-0.746146504415442,-0.385147363234896,0.46147638477681,0.381083327481215,0.364898931463589,0.180424798546316,-0.332474383646374,0.369201336974992,0.49443592801224,0.259354904539967,0.475831273126449,0.114564875297007,0.205918728912692,-0.747393023556836,-0.649769072048172,-0.475856400998863,-0.743604312578205,-0.76815839432487,-0.183952318183684,-0.553120480766097,0.286520650980907,0.45429232861951,0.279975261531543
healthy,0.341085943088106,-0.458697964131745,0.594436842427206,0.717292429130704,-0.725511421417435,-0.692450300001211,-0.212401661224197,-0.726776247820943,-0.429474888730434,0.49906339032262,0.256560873449503,0.475892925313535,0.054018376332516,-0.359592791514974,0.582103097997241,0.525614001294361,0.197690002350964,0.463766952076407,0.173700653588894,0.358298431934246,-0.757879809748409,-0.668668518979453,-0.496943860021629,-0.606561862536764,-0.714724127437926,-0.415056623537859,-0.449379766250751,0.420143986671176,0.654805338179086,0.0573610920228676
mild,0.123180824773816,0.040119496075289,0.0225839237551266,0.260227737741795,-0.290580072280266,-0.299119790590191,0.230481382130562,0.070239456416517,-0.244367130245543,0.0919165979649501,0.131803786600904,0.190445017102248,0.0015726628682438,-0.0921973977156563,0.28951891802195,-0.0026727405370305,0.171295741483314,0.222685080292896,0.237535602108278,0.0560315342034181,-0.145233965049431,0.003259534783631,-0.183484133962036,-0.177133823092545,-0.297223308952141,-0.108212453437226,0.053031057993935,0.298101264784208,0.0977575099453303,0.255094486777093
mild,-0.06217250037831,-0.383019384808719,-0.102949103460919,0.0438927869748368,-0.375755517223024,-0.662290960197437,0.076959929068089,-0.523640263335458,-0.471461497162367,0.226666045804327,0.0328495987104466,0.0758721892032743,0.169627528686924,0.111832067436524,-0.0981858122548787,-0.26139129602842,-0.12743080747053,-0.0572551092314882,-0.0451887072908411,-0.261553738524561,-0.53661652290676,-0.464593353060585,-0.5192632032419,-0.532778384999372,-0.541816655576148,-0.303425091586253,-0.273463690387073,-0.0581868468618908,0.157613383726963,-0.255915316229025
