group,CD86,CD11b,CD47,CD56,CD33,CD11c,CD45RA,CD123,CD7,CD4,CD146,CD183,CD32,CD69,CLEC15A,CD95,HLA-DR,CD1C,CD141,CD1d,CD366,CD58,CD39,CD244,CD169,CD54,FCERIA,CD303,CD98,CD18,CD38,CD304,CD36,CD49d,CD305,CD158e1,CD307e,CD319,CD371,CD94,CD85j,CD328,CD101,CD224
healthy,0.573946613668583,0.245613528098106,-0.222089678539651,-0.142570369451677,0.514649072556257,0.461599063673359,-0.718031870059528,-0.298842183001327,-0.13094445949639,-0.0317054254199365,0.0898904740571083,-0.303715207286109,0.668484547822873,-0.194466385657137,-0.164375260107623,0.479040044622193,-0.0391120507399577,0.651265182485186,-0.657934083451374,0.493910192345451,0.192204660320859,0.428054187233693,0.422758848519706,0.378193211998181,0.0161374803426333,-0.380398671096346,0.35587591913839,-0.601961178757851,-0.3004471330065,0.126474202955914,-0.0412575062052251,-0.154400242739513,0.117871366274118,-0.287224403503473,-0.361750028867826,-0.557371461812825,-0.124063314322643,-0.218064949059722,0.233766233766234,-0.24574915125001,0.116870989550516,0.360323485154323,0.692513239435455,0.556757294875887
healthy,-0.307253128866631,-0.58969356642336,-0.211764705882353,-0.635113566198925,-0.233766939376567,-0.154449932807997,-0.339641635328356,0.0303050290736251,-0.260760520562863,0.0553178222909114,-0.0679235610811324,0.10242550240058,0.0743983505824421,-0.080723166936623,0.0271349780281152,-0.210229521985136,-0.240056022408964,0.0898860480938316,-0.137250865863619,-0.156265827943615,-0.146897930452266,-0.0559726519196544,0.0501628323533105,-0.344460366840362,0.0,-0.0745098039215686,-0.111080053150475,-0.118419362817405,-0.0013558624407409,-0.299789842355994,-0.283193277310924,-0.127514504718036,-0.288515406162465,-0.07703081232493,-0.352380952380952,-0.189472078829734,-0.0679235610811324,-0.0352070378155736,-0.388235294117647,-0.64061038292026,-0.337281253486536,-0.345210136562826,0.0102847672583851,-0.0218481012948399
healthy,-0.0030547778789673,0.313872743603361,-0.0292771833552213,0.0655082357978608,0.227124280826659,0.478386739291951,-0.518436889990075,-0.498555945493433,-0.120887460238791,-0.308959920353445,-0.309392284541767,-0.519732095844587,0.306400651106265,-0.0772983935046547,-0.114231222050834,0.182020610574371,-0.31390156062425,0.472082299213632,-0.196133041960599,0.47022688654252,0.331857874641742,0.332994091617299,0.14964563344614,0.388564493580326,-0.380188948040188,-0.283073229291717,0.51842391558692,-0.590108536457153,-0.206675186241222,0.3192038467284,-0.38391356542617,-0.556876827711691,0.149097672471341,-0.202112845138055,-0.455172574777009,0.0775086032468902,0.0773028256816016,-0.352803265801587,0.177527010804322,0.139710704051451,-0.142213831963558,0.380862023146069,0.636313756732163,0.0138053400436427
healthy,0.360224741723701,-0.040137110805096,-0.438950778474938,0.0410208459041287,0.60524753317073,0.796970094331783,-0.726993279340196,-0.502218677408074,-0.059513647055832,-0.323117857488666,0.0,-0.265048855981964,0.757919756824964,-0.335324767189455,-0.108434998784175,0.45629411195397,-0.289516129032258,0.804010458964134,0.084258292000436,0.814558719655653,0.542880383313899,0.560207496973204,0.528777792004919,0.645762699559904,-0.163299316185545,-0.133064516129032,0.586276786882618,-0.76110455852011,-0.108953451932332,0.465759115803951,-0.140322580645161,-0.732280460413402,-0.24445342852152,-0.288709677419355,-0.77168219267602,-0.183711730708738,-0.204124145231932,-0.51085244322845,0.425978251681065,-0.244282760589636,0.244862002460207,0.43145586019546,0.55838497782991,0.37157033806405
healthy,-0.113599227478587,-0.112281164581038,-0.063549886040593,0.0362197966783945,0.113513513513514,0.225283220649188,-0.357793487146917,-0.194528497866285,0.0685650321320992,-0.105332818551909,-0.112367582102884,-0.133356920488924,0.214299504916374,0.10801713395414,-0.330514915964306,-0.0243160622332856,0.202831402831403,-0.0490388838235464,0.195890372679137,-0.0037407383277664,0.151855721853076,-0.216387328809187,0.438153468816662,-0.329905176922859,0.391212319078375,0.163706563706564,0.0270618781401861,0.152643914242171,-0.334661481638424,-0.677322714943051,0.167010447950863,-0.142808703149385,0.0299666129297105,0.122007722007722,-0.393513161814802,0.175658961178906,0.13165960674103,-0.0121844366135657,-0.084191557888325,-0.0638350215688854,-0.182536276910956,-0.208019781380527,0.0593689756048223,-0.0985762664413479
healthy,-0.314400756823237,-0.268606604125242,0.364495835144444,0.0012376403983049,-0.461310888431605,-0.499359069606409,0.58937803063676,0.700939461133869,-0.122791185377179,0.629526014534697,0.0999329925802057,0.566248092690117,-0.629376722791656,0.0225492482484544,-0.324290875882993,-0.326402098811338,-0.0714360363714991,-0.553166816174988,0.512049131872215,-0.549201300307145,-0.433524049787453,-0.545325041276628,-0.519181407486585,-0.399773240466098,0.263763172989187,0.343795727180794,-0.480493758098274,0.720896122100071,0.450796711105782,-0.426167846596308,0.407968358093768,0.709404231413066,0.0272525634706887,0.308637211396231,0.579978894845475,0.2099863209124,0.191785546557279,0.603068221705437,-0.255651079224873,0.0206618010333085,-0.0497226079224383,-0.572188630856081,-0.508874872031994,-0.540848425694568
healthy,-0.232352469309631,-0.270498992659562,0.285741014908002,0.0675868629659048,-0.409071204574567,-0.564441171408113,0.680616751890968,0.674891836752073,0.0501181168933385,0.589209221960449,-0.0858755510805514,0.477507025769849,-0.537659109123432,-0.0169178922249576,-0.139806361704411,-0.566346933975919,0.017427840701498,-0.417151118452043,0.433947504660891,-0.437781295465958,-0.437924189395156,-0.310991000893333,-0.535240692148311,-0.330789569264148,0.0042741287809273,0.472541927313121,-0.380194576226285,0.618672948481924,0.512219649205754,-0.289818964592645,0.275107336490858,0.624764312974239,0.366173175030088,0.4560467665327,0.57268910835632,0.100693445691848,-0.126299552268187,0.206076835444222,-0.0141035478189797,-0.0213799249466177,0.127636324558296,-0.391179047616588,-0.50241432174229,-0.340232298502365
healthy,-0.218738469347967,-0.0104022525342001,0.429232033897687,-0.109822909915603,-0.591130693781516,-0.70506974323634,0.629465991856859,0.666165071830282,0.0874142814134838,0.561260498393792,0.0021152510412818,0.571953481829716,-0.4345550143286,0.0989090655443138,-0.250571390218285,-0.301998250233114,0.352442795299938,-0.646591372286558,0.320958504879931,-0.528636933487794,-0.523937561235963,-0.249570887435299,-0.579478925559084,-0.534967695129617,0.0157102791822877,0.297873524656726,-0.292746126328909,0.761378793172917,0.650373624205129,-0.439425827311965,0.217854506471151,0.528272787301537,0.0669970613969028,0.377295946793817,0.624560795316878,-0.0116756291028648,0.179859923020742,0.42844554687779,-0.433721652251338,-0.0328385786700955,-0.0484928008798859,-0.443928305092312,-0.694404460088601,-0.0428158453513186
mild,-0.151271214307248,-0.243573164695496,0.290684719048523,-0.102038588128511,-0.329810509178641,-0.521751349683362,0.49580634793419,0.47794185156725,0.233231756618993,0.593196053671827,0.123694232145917,0.460199082356486,-0.216968355505795,-0.0759333851345439,0.0531037399306941,-0.386184248216651,0.217464925012095,-0.120894601640561,0.098584566834512,-0.238951969538604,-0.476800713378757,-0.398565913737047,-0.39226079369721,-0.3184623960224,-0.0636986731520741,0.341967867507545,0.15666042605894,0.650304188241069,0.404668810899144,-0.271083573611599,0.287050475729721,0.529504128134923,0.288679278537499,0.207385905499113,0.419761327145881,0.0367628918999351,0.0073934949535162,0.175988168750456,-0.49273521940355,0.300645702242793,0.439065566741178,-0.28541410502826,-0.513490151659813,0.0436592031158839
mild,-0.102535095816997,0.0082443338745235,0.308871881544845,0.0059754232062505,-0.48390781820641,-0.490222732262709,0.656549779538341,0.421253576980701,0.432770045348514,0.539767278751969,0.0107282941460905,0.516565156883463,-0.476099974466386,-0.197328587651824,0.0958118120042789,-0.190939132905584,0.154819863680623,-0.501934572383163,0.0145100737007868,-0.354502324355963,-0.185789832188819,-0.213579236660224,-0.339071780583169,-0.0974132474248172,0.0665676663531779,0.514955296331516,-0.262296752524386,0.662683141327191,0.43936484970754,-0.0822969376108215,0.291102503289243,0.502901680708732,0.112050419435486,0.18224928394302,0.429987367224957,0.0597427309627075,0.269318921825693,0.374026217230464,-0.34136378650331,0.0885557481128643,0.279484429843852,-0.218132700443701,-0.564468466068829,-0.116188371084686
