group,CD47,CD33,CD11c,CD45RA,CD123,CD7,CD4,CD146,CD183,CD32,CD95,CD1C,CD64,CD141,CD1d,CD366,CD58,CD39,CD11a,CD244,CD370,ITGB7,CD54,FCERIA,CD2,CD303,CD98,CD38,CD304,CD36,CD305,CD158e1,CD319,CD99,CD371,CD328,CD101
healthy,-0.272150876571129,0.597286274892673,0.626726395279516,-0.622782744439386,-0.400015149494735,0.0624127797599615,-0.289141343781813,0.0467430465096963,-0.231133614825624,0.399553982606774,0.368954127509184,0.564286902764616,0.149456713398185,-0.618479634563683,0.361903703476521,0.211167235332783,0.18301091061974,0.503207506171493,-0.03799380888836,0.254254640085734,-0.25468967649514,0.0836356775344851,-0.286016309272123,0.35664157300917,0.3625184019113,-0.564909247296388,-0.38208073087005,-0.0721816406905411,-0.21946454582261,0.0712992820448332,-0.31933583686803,-0.559813279645528,-0.276668577044614,-0.198243829272437,0.320900030202356,0.263885788181006,0.644424149205216
healthy,-0.147619047619048,0.520745692581194,0.489979097183991,-0.407336531716825,-0.352081540605371,-0.0115820028168784,-0.550651012753691,-0.288675134594813,-0.356384624791059,0.176442780856025,0.335511649912325,0.616099824944084,0.256458633802308,-0.176531939464858,0.638401365372523,0.84438060408043,0.76562085651112,0.510413904340747,0.396638655462185,0.51725156062999,-0.186789792973114,-0.002001275504862,-0.157703081232493,0.121458744985242,0.357673528607993,-0.666727666537863,-0.405854823928453,0.244257703081233,-0.550455176014223,-0.026890756302521,-0.151820728291317,-0.241093847643315,-0.487145745461238,0.11116845929792,0.102240896358543,0.511317796381927,0.440977007106102
healthy,0.0394246648166496,0.0140121815557289,0.315766983307895,-0.393567349954174,-0.315912743524346,-0.10760082462622,-0.107086248245658,-0.350459125992398,-0.462963722018069,0.239105471077569,-0.0162348423725543,0.390341388069303,-0.0334744469766347,-0.372401261299174,0.271740370423544,0.112449301594611,0.240509771134728,0.0022658971559177,-0.255126050420168,0.216802477409522,-0.473181301920794,0.018651114866525,-0.22890756302521,0.428536092621761,0.169025651514174,-0.328107624073299,-0.153842501325091,-0.257142857142857,-0.3523944525111,0.163656031062819,-0.192911278128488,-0.157261195789661,-0.329955717030084,-0.163624450803073,0.17608643457383,0.257382128229804,0.421528366962584
healthy,-0.458325157662797,0.686377746019891,0.704101530407363,-0.752301299171241,-0.602662412889688,-0.022144612857984,-0.262217121668949,0.0,-0.32184503940667,0.773329575315787,0.594823093598621,0.783915323800022,0.544931815923864,-0.0449965747855732,0.847165991197198,0.405484730746801,0.557157365410736,0.476024626581019,0.0012096774193548,0.493098192837146,-0.244948974278318,0.358788610935572,-0.177016129032258,0.663168854284434,-0.0479838709677419,-0.758590172796555,-0.190125944009409,-0.236693548387097,-0.7177125467447,-0.0601048858906048,-0.6510690323989,-0.163299316185545,-0.564676083272852,-0.24212413814282,0.472771317206636,0.629171555352991,0.517172772519743
healthy,0.112374798486414,0.470785070785071,0.283470658211149,-0.218042931674297,0.278966691995057,-0.176854249547081,-0.140400624236881,0.150951631379176,-0.0767361050858056,0.415342043462546,0.326262769086173,0.111523913211614,0.208407560252666,-0.108124882672613,0.170139098424962,-0.0582244736638738,0.325750282657441,0.181809103274486,0.257142857142857,0.267722734269418,0.283104077015593,0.352449297645096,-0.0913770913770914,0.451031302336435,0.339598363470033,0.090706361456545,-0.0362248065054081,0.0231958955487309,0.0603458314846632,0.0196332981263621,-0.158501983557787,-0.0043999354437876,-0.156705393113359,-0.0064583217520927,0.233522149861501,0.178227341208158,0.473663974565155
healthy,-0.356212571404757,0.665347291011004,0.718367704830644,-0.760928588396568,-0.446403339576536,-0.24985825093457,-0.238761335134092,0.0770911657047301,-0.567121298203155,0.675592292546226,0.589275616738706,0.619862298880902,0.557262993437266,-0.505072263742186,0.743951014432059,0.61524614457628,0.731514683375815,0.634547868339306,0.348522365681699,0.525066131666853,-0.186956080009589,0.324633218496107,-0.0080879870339057,0.592253357387633,0.238444813110615,-0.733982906894051,-0.276754942894056,-0.0710013505691685,-0.554094557701173,-0.0491254837976363,-0.537777256996504,0.0405769244872825,-0.64493721896251,0.0147469718670414,0.471658228512068,0.436317533276498,0.768815140906585
healthy,-0.0329123859580133,0.75365809819912,0.692237785107159,-0.430604691523373,-0.333775068583725,0.0777391238073989,-0.2805975747667,-0.121355606022966,-0.482475142863174,0.825468831372487,0.665187099523308,0.596837802742112,0.487267641559031,-0.559795980147812,0.697405424038901,0.344474610452939,0.535864082700684,0.53272051716797,0.283829714220719,0.590997428199413,-0.445429508285764,0.482327596241508,-0.35927509249748,0.640426816028447,0.564919589808892,-0.557514795950505,-0.480280928731508,0.0848268935666791,-0.57114941049172,-0.0854843395016253,-0.167995154694859,0.0012570967002727,-0.316578654731295,-0.13153882504923,0.37337864031646,0.750783450184884,0.780918969872937
healthy,-0.382304313803207,0.602860388132358,0.693195565697415,-0.606686963390972,-0.62881966387848,-0.054019685951889,-0.511533409518402,0.0328420556409545,-0.527402283529976,0.344011220857558,0.274181325232853,0.455252574839953,0.218736790765536,-0.275626101249639,0.456453830200287,0.567062105126227,0.264285305590098,0.580717101116483,0.060955847112873,0.427644968234514,-0.292684524194696,0.261218270128216,-0.323396176242042,0.408107763313018,0.271701776569067,-0.734324951120445,-0.617813882133783,-0.0226057922032596,-0.538930027894782,-0.0839168622887139,-0.580289572271852,-0.0871010280748874,-0.430126946553037,-0.395333340487495,0.491190683823451,0.351581516134808,0.617640204850298
mild,-0.265014699426909,0.493948762583825,0.594806257695531,-0.471618672617407,-0.573727633539552,-0.184385105704449,-0.40066396485233,-0.0300442151539254,-0.595540877569402,0.317503441946293,0.389612670411472,0.339805953256946,0.213831419020899,-0.206611035844724,0.496919131019365,0.44318897632216,0.46239568343263,0.29976495002213,0.251744027053197,0.502219826118285,-0.143168163525804,0.19832099692321,-0.437801116866827,0.156782499118206,0.17799299200459,-0.604440830857039,-0.3571379827856,-0.245524915336236,-0.669128976329266,-0.108878193970106,-0.508153375842947,-0.0160514035056055,-0.303535412139002,-0.37319949736998,0.517194389043012,0.268826818384372,0.529283618469539
mild,-0.151983369510617,0.315126709951801,0.311508237216449,-0.302089764820185,-0.159499016468946,0.0570818368364319,0.086323238843756,-0.137743633768555,-0.279559843562721,0.227218472771413,0.29938449254527,0.326512218827758,0.137629056449658,0.10599034945309,0.203597752414408,0.108300882409902,0.0283377956564769,0.169634537964278,0.289152514675135,0.197498488313481,-0.221043464584843,0.116104048111822,-0.167334860764847,0.147744490689316,0.431730210824239,-0.380386395984538,-0.232626245483304,-0.0044016368083709,-0.294055980016534,-0.0461548579659953,-0.144491227502119,-0.112442156367431,-0.295749362142594,0.106805455629426,0.256848016296159,0.223448367995803,0.435681540437407
