group,CD47,CD33,CD11c,CD45RA,CD123,CD7,CD4,CD183,CD32,CD95,HLA-DR,CD1C,CD1d,CD366,CD58,CD39,ITGB7,CD54,CD303,CD98,CD45,CD26,CD304,CD36,CD49d,CD305,CD371,CD85j,CD328,CD101
healthy,0.342995056815676,-0.0257815974352407,-0.27367204086837,0.0606414236763257,0.362133746015693,-0.388142221840545,0.363171236628363,0.176286359681535,-0.0900533206952192,0.0090048170962004,0.360767139836907,-0.0748809485622516,-0.263628791216124,-0.323273978803276,0.0797779433308649,-0.182488597825209,-0.126070753774307,0.243279975838115,0.319028808142388,0.228840270532713,0.13682183722516,-0.381015944810961,0.475438528171471,0.541267741140351,0.21232256115977,0.319489511476725,0.127755964965267,0.121970072864238,-0.346912133404818,0.0814632222512243
healthy,0.659663865546219,0.214251260954139,0.118850764991998,0.398874669668267,0.487024688933211,0.074124818028022,0.408565641793279,0.435759378119101,0.333924114384619,-0.403652904858089,0.567507002801121,-0.017470015616983,-0.0349597404833425,-0.383912091316596,-0.115912985494373,-0.242878798456424,0.247872266102198,0.558823529411765,0.554781387861602,0.671754513695981,0.664052106117568,0.123835436254339,0.604552238621875,0.660224089635854,0.678711484593838,0.507002801120448,0.556302521008403,0.341594312994037,-0.243229073306541,-0.0171882411715477
healthy,0.0203920680086118,-0.00663991878599,-0.493196581055136,0.487169874798256,0.697968488300286,0.0877231807963883,0.362767277031389,0.491518555345636,-0.364523604301782,-0.167477999328597,0.284033613445378,-0.386519863990303,-0.476319286306465,-0.278787583268182,-0.352198486034445,-0.11676601939644,-0.110211133302193,0.348667466986795,0.553658872488937,0.232516123220003,0.260627269878125,0.103677451961446,0.568131651375686,-0.160744359344524,0.130564225690276,0.611606608236956,-0.297767106842737,0.101063429328564,-0.338428216814314,-0.62167367635325
healthy,0.666801550382158,-0.557417034550702,-0.583514026923803,0.813530379407642,0.756756818327346,0.130791619692468,0.515936466246775,0.354029543347337,-0.665460845880025,-0.583815543333004,0.510887096774194,-0.69697310635529,-0.658999188543444,-0.343070242233089,-0.564681023264823,-0.328980370202589,-0.35434415742173,0.391935483870968,0.783734030032105,0.150190814217478,0.403871360052271,0.215605122296784,0.780840172642407,0.0625252168660654,0.524193548387097,0.808793934299749,-0.390076675545066,0.0553826473321932,-0.414700292809229,-0.4541423408689
healthy,-0.143891408636627,0.0162162162162162,-0.122039138957389,-0.162463360855359,0.182504071487188,-0.266913875085672,-0.55888506551068,-0.0122926770283087,-0.0517407813671966,-0.20334641054429,-0.0141570141570142,-0.561310664840485,0.128861985842712,-0.142413915312989,-0.0211847734498505,-0.166927931120347,-0.252512953961043,-0.207722007722008,0.293103391870776,0.213726358381908,-0.0283505390040045,-0.537392227614375,0.212235703449701,0.325499416305476,-0.260489060489061,-0.0415186414920727,0.218846557202068,0.127056747078177,-0.342481237025735,-0.146426302088249
healthy,-0.463089235065468,0.336391298841662,0.302768132441999,-0.404679927058246,-0.150559788787704,-0.379862284696551,-0.0587497588269342,-0.016385444627009,0.289355262971393,0.231906997978287,-0.042221704143947,0.268534512850965,0.359361514287554,0.225550330689089,0.227504102932786,0.351725437543693,0.210530905683386,0.0698975738297981,-0.159416906516767,-0.0892724613955861,-0.414303170621905,-0.458698283230935,-0.146294951595015,-0.0721258742445297,0.0759212811113255,-0.165781805717038,0.35911128258758,-0.152967225701588,0.0316792814135266,0.379146797691118
healthy,0.117261815599018,-0.689393246049843,-0.721153791054886,0.693702626316078,0.580576345668811,-0.0097273980871256,0.514833961178914,0.547297242080841,-0.663295090896042,-0.556132564197875,-0.262623310193643,-0.64077276615687,-0.522488848591063,-0.686274988122157,-0.36035526302981,-0.720881228567844,-0.529702372847548,0.236033468680334,0.771331949038214,0.604280591372731,0.286946196501887,0.171991789722038,0.737491449587324,0.271206846692951,0.342053343076361,0.584594565241586,-0.22287990076626,0.189098539067503,-0.658158073765777,-0.733906630703796
healthy,0.42306193263061,-0.712230018377751,-0.7563875985749,0.661684405794111,0.639313622851459,0.0855757401218044,0.499924237152842,0.526257373725612,-0.360876852656092,-0.311997626673926,0.316709956709957,-0.571948430783173,-0.578460542235046,-0.6440344742254,-0.379732477103165,-0.556336530862549,-0.397691855450165,0.256877726895869,0.760947003729041,0.622224122769322,0.395780774606276,0.354385646655103,0.560363489438773,0.0590587990812586,0.350839218817422,0.634347977381891,-0.570031166197684,-0.0360857799189786,-0.493472448645551,-0.730252743185252
mild,0.299241392255727,-0.412476192357783,-0.514705033722099,0.636094864771531,0.599308894332499,0.126077166549701,0.482138501178969,0.489720357359668,-0.475271985836064,-0.505967394035713,0.279551685212063,-0.362727464943943,-0.361793475005633,-0.385441582294803,-0.469058326918896,-0.399790561318158,-0.290904098761418,0.414497954002012,0.706964544342591,0.367938232367183,0.0555376525146858,0.374528786302756,0.609678953857668,0.25044012140014,0.0937751975487825,0.434856590256704,-0.474007406346272,0.437616786726698,-0.4119567762237,-0.614163378554631
mild,0.174797985899502,-0.528346645925804,-0.47719305134728,0.407021746334218,0.221237238083778,0.104294239553177,0.0855631281406998,0.394780496018731,-0.469576075045569,-0.303431864306156,-0.0233816816095297,-0.408390528556596,-0.381347709261915,-0.356135438212024,-0.253458753769947,-0.221562672870301,-0.410394193766067,0.0910217665274436,0.471611742552636,0.316929983663696,-0.01160216265132,0.0322931812100568,0.3013367135736,0.0508580519751989,-0.0136193782130608,0.168424654671148,-0.36792118848371,0.227492003392024,-0.172929133664311,-0.558393730728854
