group,CD47,CD33,CD11c,CD45RA,CD123,CD4,CD20,CD183,CD32,CD95,HLA-DR,CD1C,CD64,CD141,CD1d,CD366,CD58,CD39,CD244,ITGB7,CD54,FCERIA,CD303,CD98,CD38,CD45,CD71,CD304,CD36,CD49d,CD305,CD371,CD328,CD101
healthy,-0.255160409360446,0.479794772211254,0.471597599348594,-0.609999719397076,-0.320822750452129,-0.211167235332783,-0.202594250799899,-0.351280813995651,0.508125093649731,0.358164571889413,-0.232256115977046,0.624467297007898,0.0792039207119237,-0.66059206737644,0.643819773127339,0.281252912576853,0.300594649146083,0.383110799476419,0.359982770867834,0.325284148049252,-0.451676230745998,0.628448697135952,-0.52860047778401,-0.301600651237181,0.0969513405485584,-0.380110998118905,0.0345320083886821,-0.423631841704052,-0.188260444718379,-0.363485351857445,-0.359137560520012,0.184385382059801,0.566765275379358,0.483621513104103
healthy,-0.564705882352941,-0.232643734863046,0.0064470933839998,-0.454606243850153,-0.449858143842916,-0.181818730626219,0.109607091817728,-0.256564859242157,-0.0422652108367181,0.176617243760769,-0.39187675070028,0.348695876226071,-0.0142293177464507,-0.458330945734619,0.100105602267563,0.09378867867337,0.184780602792986,0.315572394493849,-0.214025455943971,-0.049603042870509,-0.387114845938375,-0.06311366656277,-0.466062058162389,-0.454816523177432,-0.135014005602241,-0.285454164156845,-0.367328042805824,-0.455258397009849,-0.624649859943978,-0.335574229691877,-0.505322128851541,-0.508403361344538,0.149722890653271,0.310656326092318
healthy,0.0362201969867249,0.0606869047866588,0.379430069328856,-0.516997614687595,-0.555552033560793,-0.357002203101609,-0.299743004693506,-0.300622099872895,0.164858708606885,0.339080812028723,-0.32484993997599,0.27619196752774,0.337547227570078,-0.31809381340744,0.400406051152556,-0.140766299169614,0.0442206450394804,-0.0715927080114426,0.450066688240698,-0.0370600074620561,-0.480432172869148,0.373213082354268,-0.512903175007004,-0.379715306738809,-0.284129651860744,-0.292490791900842,-0.34924816998638,-0.455583414735732,0.248596523258614,-0.385258103241297,-0.372606163261129,0.404465786314526,0.366370009755575,0.490490850852727
healthy,-0.735217326889286,0.494652118640033,0.446740281361913,-0.852308796890695,-0.828156582103434,-0.663433597185559,-0.088447034225012,-0.325631451634984,0.517445484060275,0.553077478440338,-0.662903225806452,0.601418688125939,0.299115187324145,-0.200720014974861,0.559308167269932,0.284425756381279,0.558784102244052,0.356810780308111,0.277571830405016,0.258990427488403,-0.604435483870968,0.282744846272822,-0.788259924334504,-0.161693867907545,-0.41491935483871,-0.609940521297114,0.518855382522167,-0.787638532354468,-0.113755555846648,-0.63991935483871,-0.806776991820199,0.352561545425427,0.276885751057475,0.427071578557319
healthy,-0.0307416115399617,0.54980694980695,0.316426375060402,-0.14242265022353,0.214301999023023,-0.29205917871211,-0.249578594211115,-0.0361330203559376,0.382907523799527,0.169143597732635,0.173745173745174,0.0529936325189937,0.365647471229506,-0.253942154470286,0.42696013327265,-0.308694619380088,0.529206645854382,-0.0197984290398551,0.487442704231053,0.0077490747776404,-0.124066924066924,0.517010738563936,-0.128275041015039,0.0509933814653052,-0.0329897181137506,0.221134204231235,-0.18311216914644,0.160678099851154,0.163266373892906,-0.0749034749034749,0.0104449412558673,0.272914530157873,0.142898252862162,0.471861012182362
healthy,-0.359032748748036,0.611111396020266,0.627307919772072,-0.674722085346225,-0.532846534549305,-0.601517782494051,-0.0785711579046933,-0.588078230516069,0.640213032238645,0.505558558075104,0.100891543603681,0.581694956952846,0.525410870871798,-0.451306221747739,0.651243819285517,0.596180538265161,0.701667488840831,0.527054651101394,0.518049729759611,0.134333219339799,-0.139859465647937,0.590255060298681,-0.731305082942808,-0.30305199062899,-0.219885523184771,-0.313074795806804,-0.362512319894426,-0.641988098340728,0.000644268639969,-0.199144639526658,-0.568571742258772,0.418858625272558,0.633683706541162,0.701377198044224
healthy,-0.128391254232206,0.715947760939072,0.771412125613746,-0.653953337238649,-0.624720426802944,-0.496066542794974,0.0824747761727109,-0.618223028013164,0.828239112257819,0.637088089724972,0.296857873584216,0.738403878986071,0.296422115646199,-0.504016914202573,0.647176256638649,0.540585014592409,0.38651986218873,0.724772675228665,0.582547901823249,0.537465076344736,-0.436186927106165,0.601731670268988,-0.749713852957185,-0.569360923654223,-0.144660638221186,-0.209463780905013,-0.0764992368996106,-0.720978229424459,-0.336445858680915,-0.403544026306175,-0.517777477983971,0.230735503826054,0.661488813761725,0.794290300014278
healthy,-0.353631490267967,0.582570684154779,0.610275470556622,-0.686229348904036,-0.68001860759677,-0.532457133606144,-0.14301601941614,-0.538700955467933,0.377234445713205,0.283247776933457,-0.467062461348176,0.382232590507604,0.236723617039886,-0.474407560684587,0.499307427402579,0.405241851877426,0.424162842165705,0.383604658257189,0.447209201823269,0.216047887398244,-0.50757732708136,0.307136867150671,-0.77781657062252,-0.625280875761541,-0.124251431475169,-0.430796862146082,-0.101508282718472,-0.556386146059476,0.0301279458567625,-0.516172123380527,-0.70820346378652,0.449685272132481,0.374446539353811,0.599797196254663
mild,-0.31409448537012,0.116754624696315,0.300804798622168,-0.54795333607478,-0.626535252282548,-0.167475435782535,0.24424595019507,-0.366519879841171,0.411260882109904,0.385295398017993,-0.342364134816965,0.409007088540546,0.224637134857543,-0.232252279988536,0.254012674660932,0.298132058085137,0.239320508929509,0.216670177163736,0.0631876510998211,0.373745992942188,-0.382244441386351,-0.248215220508969,-0.5962236459924,-0.222183512788698,-0.330430575713595,-0.023732659650171,-0.192293041662474,-0.515492993542599,-0.471967709354959,-0.0987743912272214,-0.541492112018187,0.280271409202019,0.379534034625165,0.288898954411759
mild,-0.257032003194547,0.247629520252149,0.147572543675433,-0.399964277295996,-0.51548831859196,-0.321020086924094,0.16630121977923,-0.211498086470344,0.20498986385774,0.235056829741022,-0.321438055615271,0.245673429959114,0.201366903982997,-0.0749144655177574,0.138473074024172,0.273213589715888,0.0123196717390444,0.122520409485714,0.0795999576658381,0.0139969661794137,-0.515410594871879,-0.101728865044989,-0.452380937667062,-0.256058598042436,-0.173877302312284,-0.360578008069757,-0.32282823962207,-0.290578359046924,-0.218749366768607,-0.328787217771198,-0.271830801722021,0.106128436866439,0.0962937935333581,0.211436299766329
