group,CD86,CD47,CD33,CD11c,HLA-ABC,CD45RA,CD123,CD4,CD183,CD32,CLEC15A,HLA-DR,CD1C,CD64,CD1d,CD366,CD58,CD39,CD244,CD169,ITGB7,CD62,FCERIA,CD303,CD98,CD18,CD38,CD45,CD304,CD36,CD49d,CD305,CD319,CD371,CD328,CD101
healthy,0.355750405761638,-0.578737789363912,0.492042921139433,0.572491913889604,-0.257445063678767,-0.695583630960836,-0.600646286439288,-0.444179357079301,-0.260377654506305,0.485842275388968,-0.247919121680474,-0.034581697372395,0.480064976978852,0.207503422413088,0.434514956084867,0.425065081467282,0.234550239580106,0.456874611649977,0.314341412085445,0.144409759989205,0.0921226927824494,-0.224795929491634,0.224642845686755,-0.552381660154691,-0.406925738915479,0.183256970868684,0.0397378927170032,-0.498886246438538,-0.317570908778627,-0.134406731684515,-0.222893385684083,-0.41207846321541,-0.153728357467613,0.29855028692238,0.267839423667854,0.636232316800065
healthy,0.531054790633684,-0.410644257703081,0.575642313179534,0.377014808759993,-0.264751291355995,-0.671696773647659,-0.612819149238825,-0.551493416138832,-0.513129718484314,0.35389876882115,0.188952103098217,-0.0941176470588235,0.517901430709914,0.563547165632685,0.778521128434273,0.642960941748765,0.866796738715255,0.570354237915465,0.391585237873897,0.0,-0.137659165084439,-0.178560663610519,0.265638409933081,-0.698331547932861,-0.529539608800488,0.223826263787996,0.0823529411764706,-0.467539744826079,-0.589095935019688,-0.0302521008403361,-0.207843137254902,-0.350980392156863,-0.380374075223158,-0.023249299719888,0.550867239195998,0.500994963983802
healthy,0.259299728959675,-0.221351042979194,0.0177715473389733,0.4865610026028,-0.398846110019303,-0.761277374646541,-0.561649975683617,-0.682440626437674,-0.435887824281172,0.353034183321273,-0.132032597809659,-0.25358943577431,0.420814320335616,-0.0802223318539571,0.351521795903766,0.294294510511636,0.280030393330013,0.0532726884529589,0.205409606185152,-0.406134436225472,-0.113699134004504,0.0078783765647968,0.447459844824952,-0.517694395395505,-0.40377771769071,0.128903693907956,-0.457863145258103,-0.526012441234755,-0.593366150748644,0.0015060370956701,-0.32484993997599,-0.646882362633147,-0.37019987654131,0.124801920768307,0.365873707927133,0.478258678430872
healthy,0.1176244054608,-0.79878950859945,0.498688447637504,0.511282921649255,-0.160853446907822,-0.838430205370445,-0.7708754156842,-0.58654894731349,-0.295340153808474,0.550292728738083,-0.0850020117587815,-0.625,0.646325163645741,0.311520886337588,0.589215473651986,0.347259134079647,0.54333010232755,0.366987572063116,0.296348748344179,-0.163299316185545,0.33090976616693,-0.49126038931533,0.333400775191079,-0.785242661466238,-0.205101617681383,0.305717647254461,-0.393951612903226,-0.53916725750363,-0.759959496383935,-0.173860441737253,-0.609677419354839,-0.821298977672962,-0.544531563022316,0.338846336564483,0.288195759043181,0.444849392612686
healthy,-0.102679359126987,-0.219841272441238,0.0298584298584299,0.0556127721831138,-0.43930985113111,-0.223387121176118,-0.0411502591640218,0.268637507756465,0.179175080321711,-0.0518694897785578,-0.216008037465124,-0.115057915057915,0.40892101510925,-0.0215594027847586,-0.206901526818529,0.14962640642,-0.0580517817911487,0.177280050879748,-0.0707683029361337,0.205878693081727,0.0563811992442117,-0.470022356514031,0.172165091406136,0.0081229577423771,-0.183074599031178,-0.191704897105674,-0.15773208973137,0.0760309909652847,0.075432289355829,-0.330666073707151,-0.003088803088803,-0.340243961409879,0.0379071361310934,-0.374613812622364,0.219620377553839,0.23644563820055
healthy,0.682241313584424,-0.379805369293672,0.623793261080415,0.713522381042497,0.0027501468638307,-0.687352162160404,-0.282943021877748,-0.347675091645765,-0.572155071160669,0.586095986845645,0.338931547480419,0.237171499553451,0.499777974787528,0.484891391333521,0.680574179283099,0.623435615538441,0.770794108218392,0.56737471183103,0.578254984834657,-0.206273946200347,0.310293551949714,-0.093305504994128,0.573511264529158,-0.703447075708098,-0.206904484073944,0.588502182968692,-0.0320277831371792,-0.250466267927198,-0.5226207434138,0.0635248879009435,-0.0400990417390186,-0.459696986893167,-0.610094259239869,0.449480143569246,0.408234455119408,0.642298397178202
healthy,0.434883506319999,-0.183013367524036,0.582882574758611,0.65205317671445,0.145393034406454,-0.645405916371381,-0.5654798585434,-0.661208860161738,-0.40998794870152,0.517630727047047,0.147371942873952,0.273620752648886,0.42104019058604,0.29971775770866,0.386986908627594,0.734504033534109,0.475775992947196,0.685154042081833,0.526067512179919,-0.180644795829195,0.347873114615583,0.0388684549771428,0.369228490071171,-0.692122901170747,-0.41044159329449,0.440047745807249,-0.106659359173438,-0.305873756642977,-0.702384937827196,-0.109500496552189,-0.1758129338692,-0.466803806427517,-0.293632921764581,0.225875991235577,0.603383765739928,0.601007075523051
healthy,0.30954962553737,-0.515129522125622,0.538077242812321,0.614345550279084,-0.278499163890106,-0.80645129333945,-0.731003645676522,-0.678261411360924,-0.483486217676452,0.357414662714556,0.0764024393701936,-0.463030303030303,0.414115845899897,0.163483267564395,0.533791969151246,0.409051374248933,0.219553474399509,0.400849763185495,0.358291069432311,-0.0529651528448497,0.236836529450106,-0.0375594783623378,0.322228536296941,-0.773602901221942,-0.65887474322329,0.300164240403696,-0.193318498841669,-0.574461806465757,-0.578839439239184,-0.0424600062696083,-0.481898353757996,-0.81250933585739,-0.373426413059981,0.423796983146938,0.473358791208817,0.5559666788125
mild,0.0493318855057102,-0.297384755616428,0.505879892114835,0.566620993850481,-0.135972730537624,-0.539672131983271,-0.543992502424922,-0.451666377969501,-0.545126675163134,0.332272016858277,0.0486370702168974,-0.213030156426383,0.325398145910834,0.283434433705757,0.386614190151369,0.412816924764995,0.4683180331982,0.317497775543653,0.441892867611532,0.187685555090567,0.359841876029435,0.164445083203229,0.0725113972044235,-0.681453051797724,-0.251470676068487,0.13415829213411,-0.262215771649734,-0.179609414019151,-0.621500848669941,-0.227042461094459,-0.102080309627479,-0.45423018997113,-0.246674497604744,0.541411388686043,0.244063362119984,0.613353457179773
mild,0.0263767210624696,-0.481781324198822,0.327660086419571,0.299644636694229,-0.187219039968615,-0.626541858860318,-0.657253741279072,-0.56514230772233,-0.386448029033873,0.325760921281017,0.121736846510991,-0.386031689829158,0.337882780335556,0.153725453921238,0.394827954945989,0.164326056270794,0.098825192863204,0.208514874028666,0.109793483807308,0.0108116612466235,0.109341468946487,-0.0029401444701802,-0.105777010285414,-0.683204363688777,-0.395235566899274,-0.139355127424988,-0.195923431499039,-0.646456814074746,-0.535416580217697,-0.380208745971051,-0.243239312839577,-0.519333739144637,-0.337284019944321,0.191478868278687,0.293367749633818,0.313996601842282
