group,CD47,CD33,CD11c,CD45RA,CD123,CD4,CD5,CD183,CD32,CD95,HLA-DR,CD1C,CD64,CD141,CD1d,CD366,CD39,CD169,ITGB7,CD54,FCERIA,CD41,CD2,CD303,CD98,CD18,CD38,CD45,CD71,CD26,CD304,CD49d,CD305,CD371,CD328,CD101
healthy,-0.415507943661273,-0.2663594362591,-0.0272687336597324,-0.274211476212486,-0.534081021889696,-0.44357255467892,0.189172048625094,-0.33730474683902,0.357600814433063,-0.142292335015635,-0.748414376321353,0.0771779101745906,-0.121247097802157,-0.0669479701125877,0.192631121999074,0.491509944309063,0.147681298955812,-0.0062067232087051,0.0021603311540272,-0.258683177287828,-0.0179163005762443,0.0260300981182047,-0.0013830714782542,-0.535713599296669,-0.28731477161106,0.188251395651269,-0.37435678282347,-0.48521916446406,-0.19523218401211,0.348983630866676,-0.499914128077338,-0.268045907580791,-0.583886675736323,-0.335246149199638,0.294507082637968,-0.0611353418384421
healthy,-0.0182072829131653,-0.251597811028714,-0.222845184359996,-0.0466861354403238,-0.125508563804919,-0.202878815254738,0.541205625567529,0.0300661944424403,-0.311488814111703,-0.0207784992659728,-0.307002801120448,-0.194142592904859,-0.0814049340843456,0.121724749815698,-0.174798702416712,0.209047054874379,-0.298709747459826,0.0,-0.186690414953558,-0.252100840336134,-0.244600521078824,-0.327695383316594,0.131744951759998,-0.126415525579995,-0.116754821286025,-0.0721794150599986,0.0941176470588235,-0.267385671921206,-0.256645929210576,-0.194792237319781,-0.13102730099126,-0.319047619047619,-0.0826330532212885,-0.231932773109244,-0.433631390854286,-0.270785242063236
healthy,0.134830411571226,0.0287078841629568,-0.555994156843183,0.637400438267522,0.573206559545419,0.443766565744794,0.0932555743326249,0.500733461718277,-0.371088987719216,0.0528822227119032,0.208259303721489,-0.585785048109598,0.0965100564492233,0.41952246844909,-0.431980154691093,-0.273586502080937,-0.144004995845238,0.419823466801756,0.047233342843797,0.256470588235294,-0.545361297549626,0.114196506092387,-0.0652649515940427,0.550444509443487,0.367161005372599,-0.144204692288968,0.358271308523409,0.407929977268214,0.501833830490588,0.145962367744669,0.627012149912589,0.315342136854742,0.546726133530066,-0.156494597839136,-0.345277182046808,-0.565521262794656
healthy,0.619778317561624,-0.58809313493148,-0.647652011159187,0.801284563360362,0.667607960731214,0.433184303621312,0.119002816462294,0.308592596607572,-0.716556559823281,-0.457955628975195,0.415322580645161,-0.799909410971458,-0.408469126775982,0.116461722974425,-0.711129285084385,-0.407160287485424,-0.498247416739906,0.204124145231932,-0.425455413643195,0.261693548387097,-0.55842611680007,0.301671086734879,0.169758064516129,0.769150592835486,0.257407956158857,-0.39190938632157,0.229032258064516,0.359713682642661,-0.215927694544579,0.169473395679229,0.735194043147142,0.431451612903226,0.832593855558445,-0.358612372864078,-0.482979229908122,-0.476364608438107
healthy,-0.334541066758406,-0.168854568854569,-0.229917618331114,0.0248504811834677,0.0398142117885665,-0.196043267943663,-0.387945687983565,0.159804801368013,-0.23553639279097,-0.0889807552053199,-0.232432432432432,-0.298188051636726,-0.052604942794811,0.375410693147026,-0.179555439732788,0.214538826383103,-0.270190325720375,0.152375914214334,-0.0088179126780046,-0.0602316602316602,-0.0641753110181555,-0.247933268237662,-0.440010313245099,0.353687118366006,0.224872452691264,-0.140860296520137,0.239433188497456,-0.0984536899957246,0.161345492279106,-0.0987046948679464,0.310956796703738,-0.0512226512226512,0.1574574894322,0.0741503629108183,-0.205646932163259,-0.109980705350365
healthy,-0.0423510060464939,-0.548571132538365,-0.416794752256387,0.358721013248837,0.149015585825779,-0.116277574120522,0.0929837501107229,0.136836440396088,-0.330378434449281,-0.35564282953087,-0.284200625456362,-0.160880539062392,-0.470042535028287,0.13808900010269,-0.536506551982201,-0.130319407484827,-0.295497221337728,0.0907382464825478,-0.331657389242309,-0.253766623000201,-0.458077377043984,-0.0110888589646838,0.0618965139864622,0.322332260453707,-0.0174110518663321,-0.431958607703527,-0.260820631551868,0.0069136278860376,-0.177635296587515,0.2526299961863,0.190941140010068,-0.252492121679851,0.11093415667886,-0.445491626480182,-0.114653498366602,-0.460721050184354
healthy,0.231887711521754,-0.743819028632726,-0.811523203158527,0.713066694829535,0.594640112903803,0.516898925421743,-0.181306752961592,0.574645543794571,-0.864926615874374,-0.632949181524947,-0.360431128973328,-0.752304423940259,-0.371548829422173,0.485871682279025,-0.710556196298981,-0.575424325024762,-0.71213473893019,0.0965450265809479,-0.468603582163944,0.405020278687539,-0.646186780473557,0.296748326451345,-0.56994109727386,0.747049196979006,0.625108508481997,-0.447741403066218,0.106330501950909,0.261569380830098,0.162405572536296,0.26809363231617,0.739444169709412,0.373109243697479,0.515378070519402,-0.258431071822911,-0.689771224478762,-0.841210168020617
healthy,0.483082634498799,-0.59934954360429,-0.710583643288482,0.780267479804483,0.66227073094043,0.659669417684379,-0.153180018033946,0.486854091042574,-0.365348847997243,-0.206399743932027,0.357316017316017,-0.49275073850946,-0.108538531080411,0.271627014520408,-0.519461222086833,-0.596130825094034,-0.461596953676842,-0.0769216989008279,-0.250592964190598,0.349277517866598,-0.344155807333549,0.0542703831991436,-0.274535188916887,0.740742235613904,0.657703748295922,-0.273204286163784,0.101930222315519,0.572395486105635,0.260938892846613,0.393636788311405,0.581066071643833,0.461663100382875,0.765355162848839,-0.496394328908739,-0.436410947872035,-0.644226849347466
mild,0.382144254367039,-0.336543075128282,-0.476719721241271,0.423571290462713,0.63122377918029,0.294132775488729,-0.260514861197617,0.534587764880161,-0.212993809849595,-0.411410663378545,0.375181422351234,-0.203281063646967,-0.157012631523057,0.0644270971988923,-0.379630734703585,-0.443593937009589,-0.223130628672834,-0.187245495172418,-0.0840907669573645,0.547664644213922,-0.0489919877857047,-0.0045304946569952,-0.414771910169631,0.616002218864263,0.338797018406064,-0.0238449375767633,0.359941944847605,0.027042316268052,0.337963309214973,0.301863166617224,0.593673178576853,0.142315755523303,0.691960403133556,-0.372296007845539,-0.238142687567208,-0.354016632950322
mild,0.372575360417363,-0.681950419999361,-0.627946966530274,0.577112221061606,0.30748992510132,0.374531880419255,0.0122663207169905,0.355635426455067,-0.421699071231506,-0.248731836654049,-0.0318289305631078,-0.639305329019132,-0.0344113125021205,-0.0757196289934799,-0.43954042070645,-0.375584195356996,-0.513691314274241,0.17027621858663,-0.393527063173459,0.174139044506929,-0.325401700164685,-0.0493406852985777,-0.116195589473867,0.688079274153713,0.406819915597635,-0.276963055027772,0.11999519655464,0.232878305082001,0.381531698675725,0.345121329624273,0.510525037021424,0.0331189893593373,0.467955121968381,-0.409123100699017,-0.430025269413194,-0.616503203229413
mild,0.520436983758799,-0.825671810010337,-0.831850878630416,0.695738327594943,0.58044828934411,0.458902083676963,-0.175903805861511,0.532313235371603,-0.713100465366633,-0.609580724190591,-0.0740449133517385,-0.766914737446215,-0.134193975940447,0.0978800153055635,-0.803721632022166,-0.642891846349985,-0.747334974077557,-0.0121080498445078,-0.639934800618697,-0.0390691977954685,-0.687773591892926,0.278913270097099,-0.25868115350429,0.743967699787645,0.617757709316832,-0.414287514534308,0.10889841797677,0.205249806275035,0.0099005905593281,0.271719996033898,0.679378778139034,0.0416765084130059,0.570495725681319,-0.23408275741405,-0.617885362834056,-0.831601235756058
mild,0.0252360659358571,-0.300177273745672,-0.22266801645704,0.0728762455541741,-0.1394696991821,0.173477062525958,-0.0017243922002362,0.307682058430474,-0.159546227283638,-0.418409097546299,0.14605614973262,-0.228343691864973,-0.356245073618467,0.280097639428512,0.0732650678714199,-0.352253724656407,-0.437910636489479,-0.0371305328616253,-0.406989050794629,0.0481283422459893,-0.164285117979785,-0.26686357052877,0.0899064171122995,0.35955183073293,0.17917984379945,-0.0893126253088355,-0.0635026737967914,-0.122994652406417,0.150288393464266,-0.034166190341345,0.171111719509418,0.0066844919786096,0.0522263871969134,-0.32620320855615,0.0122595553268704,-0.466689639439085
mild,0.736513735486229,-0.747043779270581,-0.827734919191793,0.768367868355677,0.780619813639204,0.807509881422925,0.041908662309394,0.839382869155707,-0.566852730149624,-0.459922538074595,0.533333333333333,-0.7571994588667,-0.500875112654989,0.119365979676941,-0.697259051255695,-0.748081418819307,-0.662451479662897,-0.0937076722754918,-0.599483505527603,0.696837944664031,0.0586062246708699,-0.152761163702846,0.0054414190139602,0.876037760929662,0.790331321841237,-0.34192230953825,0.619235836627141,0.622529644268775,0.674881663786872,0.7084375269254,0.839089140680525,0.620289855072464,0.803136125038146,-0.171127261966507,-0.627597523371731,-0.774580144506852
moderate,-0.238843691070382,-0.475183666040905,-0.238958728812074,0.134384066864537,0.018823771550619,0.287335884243001,-0.0436473030143923,-0.188968337779548,-0.124498963608193,-0.121285755230174,-0.0736373748609566,-0.229841876538893,0.163529188476853,-0.0370416375475442,-0.350201158964428,-0.139094630208866,-0.296321806796034,0.139452124463747,-0.533296813336921,0.0683057073978646,-0.434037819799778,-0.104606118072263,-0.213824388801653,0.408427582651015,-0.172162414692103,-0.512715347094198,-0.422655224936073,0.0413180151939168,0.0425811972972277,0.103132855007099,0.489736668229466,-0.0865406006674082,0.228700797613896,-0.448275862068965,-0.142401321958144,-0.594035224666592
