group,CD47,CD33,CD11c,CD45RA,CD123,CD7,CD49f,CD4,CD183,CD32,HLA-DR,CD1C,CD64,CD1d,CD366,CD39,CD11a,CD235ab,CD54,TCR,CD2,CD303,CD98,CD18,CD38,CD127,CD45,CD71,CD304,CD49d,CD305,CD328,CD101
healthy,-0.210105331132115,-0.300608889743452,-0.071277439927245,0.0553411450002458,-0.145913554141493,-0.164598409366957,0.657177570557385,-0.143205366490048,-0.0351163368053158,0.123170198868973,-0.121111446692842,-0.228164853492341,-0.0336345416721868,-0.391562902954639,0.0003034012001907,0.122939686955931,-0.520054421861548,-0.0943421927723175,0.207188160676533,-0.0406025392328649,-0.507126208693214,-0.057648134050355,0.0860702064430908,-0.206692348694658,-0.396239217053865,-0.0678400693520752,-0.248121720265936,-0.295290783928584,0.0032634133207823,-0.0166112956810631,-0.0444887992171774,-0.170626504050057,0.0003034012001907
healthy,-0.472549019607843,-0.17255229338967,-0.299089071335994,-0.507128146220517,-0.171537900416746,-0.410002899717497,-0.301032586590675,-0.103334815243936,-0.27861340183328,-0.130269485455638,-0.443977591036415,-0.217529871875981,0.360696659154214,-0.142366172088792,0.109043463758798,-0.0202635170240774,-0.425770308123249,0.0147078782653218,-0.281792717086835,0.101885341621699,-0.153749161787997,-0.22389255735252,-0.408566548809935,-0.350805972611993,-0.163025210084034,0.11216601224927,-0.552839836078051,-0.358223087445803,-0.243436781734433,-0.404201680672269,-0.301680672268908,-0.1655426677789,-0.121585673205293
healthy,0.0518055632504496,0.209792139877935,-0.165841377406567,-0.100004818430979,0.0520292158544143,-0.185228254740615,0.426276602990707,0.146961342926635,0.264331295763357,-0.292594035978427,0.0300120048019208,-0.307756763816624,0.187573243959121,-0.153373746438342,-0.399086664802803,-0.210921277811489,0.0434573829531813,-0.272611496925433,0.0024489795918367,-0.246351617860209,-0.275717987698838,0.113776322137063,-0.0321703972509116,-0.209209877234712,0.0361584633853541,0.0272218802850995,-0.152877622253792,0.147665213203495,0.246717581897584,-0.0214645858343337,0.0005286557198339,-0.144870503722097,-0.236504719542243
healthy,0.701513979760406,-0.105348186833985,-0.124836392029122,0.633108689644381,0.663977464268023,0.081658259913816,0.188702050105855,0.643200794587646,0.0255582825411179,-0.146798797202053,0.697983870967742,-0.228633425591688,0.0087299363427937,-0.194189801855695,-0.182216795325267,-0.197928215153452,0.662096774193549,-0.648867668293626,0.664516129032258,0.0522563671330374,0.452016129032258,0.492819601816787,0.222464717590918,0.0044512165715408,0.399193548387097,0.35984995894224,0.668817424509926,-0.615289110182853,0.467144431643032,0.626209677419355,0.622025060693373,0.0938311773628962,-0.06545467902203
healthy,-0.0472749152253192,-0.435263835263835,-0.243048411763238,0.224723168551574,0.0865758699295004,0.0236712610932247,0.241511852781302,0.310692994279033,-0.0916363196655737,-0.3256322807438,-0.204118404118404,-0.139207154079745,0.0005749174075935,-0.481007352560034,0.0618962873183524,-0.136906783818083,0.105791505791506,0.0133646149974809,0.435006435006435,0.203002317931883,-0.151390324276254,0.246734841424706,0.0117033990248241,0.218164842308351,-0.297165195196519,0.114526119028636,0.0520618988982627,0.155903823062273,0.0216776287857528,0.196396396396396,0.0762480711678316,0.136307005036417,-0.416999442534522
healthy,-0.167373496498815,0.173361739121729,0.126398346553456,-0.178526806561571,-0.0743469384376891,-0.306092553910683,0.201855583101418,-0.0021544793877419,-0.0510054749674606,0.148934753054157,0.100618211931767,-0.0946069742519414,0.272019115395209,0.189161440689251,0.011653002159597,-0.0060302256023072,0.0865678361704312,0.0,-0.104275538598169,-0.283544678603483,-0.0493755863001732,0.0228478850033514,0.115105443582256,0.170763110872892,0.0727699530516432,-0.144900750134145,-0.10547302077304,-0.230899671168406,-0.0081987343390566,0.157952279889382,0.116822757308949,-0.131294111616845,0.140088246467614
healthy,-0.427604747485646,0.389319912508199,0.541536312278509,-0.838838589051219,-0.849027187002155,-0.187862877460413,0.0894999909561386,-0.774763619497477,-0.382545016186011,0.479820136585087,-0.0450127877237852,0.350305284544927,0.206256133866878,0.401155075876277,0.539210756078553,0.532127534819655,0.139338573493447,0.0884929021552518,-0.277247981477767,-0.0655791456318877,0.188232684238283,-0.745029215834258,-0.640864943915958,0.174892658551969,-0.477920893562515,-0.123398565518011,-0.433104962070147,-0.332324991233653,-0.724926120106069,-0.444172451589331,-0.771748347477965,0.364417610654926,0.488007314577553
healthy,-0.226962940726208,0.685061292171148,0.667057439039405,-0.372036290906337,-0.444093270974028,-0.0180845607054282,-0.0404032822153099,-0.263627790575199,-0.527602851670886,0.415117828406824,-0.170142238713667,0.525628709587227,0.273314843022898,0.604664256524329,0.351871006436211,0.666304390934613,0.315697347006847,-0.0249432830151724,-0.0944777194739194,0.0885806674167689,0.405402641607292,-0.658344898289535,-0.417391256838001,0.614558395878388,-0.0142786448837228,-0.0764867888119799,-0.043194756749633,-0.203354977653917,-0.432459605125901,-0.137206397121158,-0.341338801046154,0.514270687615788,0.638753495539011
mild,-0.249919436316086,0.363729005988227,0.19284227935363,-0.313783842160434,-0.679096106451978,-0.0950529423201934,0.217904485573553,-0.323149996263791,-0.436101340130507,0.296375593984391,-0.572085147556846,0.0371546789440654,0.22504298333967,0.0826235331291935,0.213414282275017,0.150105249201034,-0.0145167146787043,-0.0596760664105242,-0.451508859728483,-0.0803655651284651,0.183430076969361,-0.615715572880613,-0.319093860385608,0.0649021765101321,-0.36945653926786,0.0761980525194284,0.0578786291468455,-0.514922638503499,-0.599267902459204,-0.142799548459926,-0.463432649835482,0.167000613972742,0.218759763349078
mild,-0.315766965609041,0.554938759080544,0.477978888134008,-0.50369265943917,-0.453879256436573,-0.167486462717628,0.233457951117888,-0.603249190968884,-0.549225878334627,0.622703569112416,-0.120095094778639,0.388703800167248,0.14883499915623,0.310633972651621,0.15200638453175,0.39989135905466,-0.0990906684371989,-0.343207287335172,-0.313131571134219,-0.248370240297473,-0.0833968126369894,-0.68236200783638,-0.439348371259889,0.085765830688482,-0.270713312096445,-0.137331382719973,-0.366815593879028,-0.350602942458248,-0.589568106744482,-0.172044234529891,-0.473159147333683,0.435531267772788,0.55956048574196
