group,CD47,CD33,CD11c,CD45RA,CD123,CD49f,CD4,CD44,CD146,CD183,CD32,CD95,HLA-DR,CD1C,CD64,CD141,CD1d,CD366,CD58,CD39,CD11a,ITGB7,CD54,FCERIA,CD41,CD226,CD303,CD98,CD38,CD45,CD71,CD304,CD305,CD319,CD99,CD371,CD328,CD101
healthy,0.379554901438665,-0.319888383426696,-0.347752100643976,0.526442384974169,0.381308283579159,0.703441843429672,0.328583499806614,-0.0432574235619863,-0.196860138185067,0.298430139873938,-0.348072988693978,-0.327499519075325,0.247508305647841,-0.477002361495734,-0.0613016646605985,0.37128712953259,-0.649044709822966,-0.442965752278538,-0.209706431308792,-0.319105324954987,-0.276153807745217,-0.301057577250517,0.39806704922984,-0.489252823428208,0.638996924772703,0.586352192039383,0.474137323515443,0.401335612105257,-0.174451628447876,0.332011930617565,-0.128189553091644,0.446883661614626,0.428828995563155,0.0526583323922211,0.105835351085683,-0.199486559951676,-0.517926248777115,-0.37348687743485
healthy,-0.280952380952381,-0.0838191368215078,0.186685399727996,-0.391579961005716,-0.306909893495628,0.45467870829102,-0.5491066065476,-0.599341692064348,-0.118866231891982,-0.344959470902931,-0.101175967037212,0.0226118962600292,-0.346218487394958,0.307415919969813,-0.0641973870421262,-0.47758332963404,0.148684197477348,0.318090518633176,0.299985073706097,0.318831561567651,-0.295798319327731,-0.170823159165009,-0.374509803921569,-0.292566907666529,0.337300248000011,0.231817493756284,-0.607708369956841,-0.319983536014861,-0.114005602240896,-0.377337349479166,-0.0827981878051857,-0.618603423714771,-0.64593837535014,-0.414660667605645,-0.389457715023839,-0.353501400560224,0.206222094673374,0.132715763799983
healthy,0.215913158176897,-0.0952535408196068,-0.128912940802264,-0.150726865297708,-0.396661299699155,0.334866629618688,-0.126687499606909,-0.186612866672,-0.254150759106564,-0.249655704132855,-0.0405991724563367,-0.402856772619278,-0.379495798319328,-0.123579155281954,-0.371867790110103,-0.0662674056977579,-0.0662911117172026,-0.0626537650426507,-0.0710057214633943,-0.0288781360935044,-0.592124849939976,-0.334605845150878,-0.327923169267707,-0.0243788134250298,-0.030987272372566,0.0901921316517886,-0.318585831655645,-0.0658577725835735,-0.48187274909964,-0.276631120305824,-0.116536909753723,-0.150163042043308,-0.44532035454374,-0.0357790294213641,-0.268694170541572,-0.507803121248499,-0.0415404630405603,-0.256249564790119
healthy,0.723511972796621,-0.633703652602898,-0.666063861523287,0.88210694927241,0.740621278490942,0.353499019873189,0.381792985022613,0.245005170146471,0.0,0.235704161212532,-0.637479859673004,-0.497624347856947,0.404838709677419,-0.826361170524219,-0.262817030951476,0.10366857916284,-0.737713557423988,-0.547069275160457,-0.416241287224736,-0.570731096790856,0.265725806451613,-0.534546545346579,0.357258064516129,-0.476085005251668,0.371878911749636,0.372988382763841,0.785242661466238,0.252416064934866,0.191129032258065,0.380885171811652,-0.179765046671822,0.7177125467447,0.745461940441863,0.513370508259767,0.530033249597144,-0.419927424242413,-0.2425368379157,-0.501415164607032
healthy,-0.143891408636627,-0.443500643500644,-0.192842436875705,0.383445596755658,0.150973353426444,0.0440999086711293,0.216359302971488,-0.0831831841669551,-0.18852031093767,-0.125534307834546,-0.283029796583247,-0.355655811346188,-0.11969111969112,-0.417885112152263,-0.279697318794268,0.217625399984828,-0.361819689978787,-0.0963851084300614,-0.272925912496775,-0.11620254429928,-0.149034749034749,-0.280035529895421,0.37966537966538,-0.465722036183964,0.129401496992517,0.000707313258381,0.324579853122488,0.160782410412465,-0.0729382048921206,0.271391977920152,-0.159168824592373,0.0180158671665378,0.0987046948679464,0.149597805088779,-0.336349396848992,-0.100411949775067,-0.24730361842197,-0.450225463588848
healthy,0.359999666694303,-0.630842318055472,-0.632573171621858,0.732659448334484,0.57585902121793,0.182210094496468,0.377869959482925,-0.237397180450324,0.0428284253915167,0.553920485447226,-0.582838643827353,-0.553750408258741,-0.0366103657028817,-0.572120666248104,-0.485786300084059,0.357710211061611,-0.705737560822875,-0.495932350242183,-0.634446696819941,-0.601486711886978,-0.345145834181738,-0.384646179618032,0.254908267293257,-0.541135628628318,0.27602032612877,0.012259415082596,0.728454496156,0.450040456138241,0.187729114412502,0.376744485175896,0.189497310489873,0.642026954901577,0.590372435848309,0.65114576156369,-0.0514253377927596,-0.498387726100879,-0.572057859828574,-0.705250159586929
healthy,0.314333421396555,-0.589356609380365,-0.673781542277205,0.705748438467516,0.6338459152892,0.0833315412369869,0.621901443468598,0.0889539672322378,-0.0282052212256993,0.500171102795588,-0.734349051981983,-0.639632189260768,-0.216660577274388,-0.563280115962128,-0.277274899438235,0.582458050919282,-0.656332811536069,-0.412500406888817,-0.41052814412484,-0.596391996818351,-0.145441259507977,-0.368319852774443,0.528481128636587,-0.569202640293718,0.357920630215019,0.239820312398048,0.63711064871803,0.577839202180113,0.190791998603668,0.289778022584772,0.0961022896137671,0.672839433371271,0.506384871549147,0.269165524401126,0.291769939340456,-0.177427016085403,-0.55253703551277,-0.705998833769793
healthy,0.431987743613919,-0.644705188814948,-0.659925464479862,0.653121625433816,0.63502292739608,0.0581478500576227,0.539421400033219,-0.152579879029759,-0.0756341408510965,0.570215224608492,-0.312017324314486,-0.341483304378501,0.447965367965368,-0.457163476025205,-0.233172569792589,0.402720751577209,-0.528813389476274,-0.479855945222808,-0.37587083955815,-0.449815138836852,-0.226713192275908,-0.305605870657471,0.385437184408721,-0.322240942107995,-0.0029664034449614,0.153601818656299,0.794373462401468,0.612202231118217,0.0605666955856354,0.41566446813153,0.124712593141387,0.56520768970843,0.691586288674874,0.422280414735217,0.281160266062619,-0.547880096750207,-0.459973592272799,-0.707604167391772
mild,0.17864073403343,-0.135759209592138,-0.424155824013003,0.290908040759138,0.375740190682247,-0.0709080591130372,0.285241705056258,-0.111126312962285,-0.346461095726243,0.297061681660408,-0.0871889805002076,-0.260983348805772,0.18682470569263,-0.120719961551517,-0.247618305158009,-0.0111081202067056,-0.499190857490331,-0.326479306205159,-0.219497088186422,-0.0464261411895153,-0.220775035738628,-0.324040856433725,0.498639305038118,-0.0780860669109364,0.111684783463962,-0.184489327096824,0.41267466779506,0.173679689217353,0.0280599903241413,0.238941063144579,-0.119561514050913,0.530866321775843,0.461091673203322,-0.0194387404349292,-0.0090205384688386,-0.491362922757111,-0.125461913142156,-0.312224690007662
mild,0.514051331602211,-0.479992726977127,-0.51488786753647,0.728656323665294,0.54380007210236,-0.0688948729566643,0.535814703096076,-0.0319016146226989,0.238321391388154,0.40849799902822,-0.49788138059718,-0.200593660893345,0.162483086533719,-0.647069651493418,-0.0236587894426344,0.0417657139108832,-0.354579061997428,-0.26098319096046,-0.13626883284854,-0.252472276981028,0.225587779567877,-0.199745095075322,0.40095360069745,-0.218458926534718,0.0303410288747239,0.103883569976888,0.693456013637098,0.41626206610142,0.203310086372857,0.542113264036103,0.486213642796417,0.548504769482633,0.647080474273316,0.407144846809702,0.188154004539414,-0.285403546616037,-0.123891760619722,-0.566383466144688
