group,CD47,CD33,CD11c,CD45RA,CD123,CD4,CD5,CD183,CD32,CD95,HLA-DR,CD1C,CD64,CD141,CD1d,CD366,CD58,CD39,CD11a,ITGB7,FCERIA,CD303,CD98,CD18,CD45,CD304,CD36,CD49d,CD305,CD319,CD371,CD328,CD101,CD224
healthy,0.396241967449158,-0.408800871942365,-0.497654389290116,0.657078665284609,0.594410664467429,0.288686241981527,0.252543116323716,0.341063016998786,-0.477697521128138,-0.18658630019154,0.107671398369073,-0.294164217153549,0.0004068694557119,0.549538176507296,-0.317491741563691,-0.153217606096344,-0.159864505398019,-0.388719922693783,-0.0098194734701526,0.125299206933583,-0.111785465133832,0.520001032373184,0.207012156321372,0.0793729353909227,0.658285196980654,0.253322459025726,-0.126214899279364,0.459528843249773,0.391947089476376,0.249914746877598,-0.0838115372999094,-0.220085708767884,-0.469058255494945,-0.373010351426392
healthy,0.399719887955182,-0.335978550106982,-0.221023179707996,0.650104436006509,0.350223213350856,0.423728902725813,-0.396470944967793,0.37562698923422,-0.126071913146512,-0.285704364907126,0.165546218487395,-0.425479412607165,-0.18961393183061,0.0723517007833104,-0.427098516266377,-0.752004405507563,-0.576730869146818,-0.339945296089243,-0.117927170868347,0.0473158708649524,-0.097054793914304,0.580292954770818,0.460089321558091,-0.231254436599996,0.421458086333635,0.484414606077609,0.357703081232493,0.218767507002801,0.351540616246499,0.445035366897512,0.141176470588235,-0.194922253869353,-0.379268403555791,-0.106434328326239
healthy,0.0081568272034447,0.198318750799202,0.343463310761122,-0.274951212956636,-0.315027558377484,-0.233533536438827,0.0222360044772337,-0.244991368808431,0.239588219858263,0.202433148541165,-0.314189675870348,0.134894836970422,0.0505554049125794,0.136076601475411,0.471870867431204,0.495114034130278,0.330265046094862,0.218297496212668,0.0525810324129652,0.0148724474390212,0.360758163812371,-0.495254502436702,-0.347283361542768,0.334841659539182,-0.0879010283251134,-0.435206260312498,0.396388963580374,-0.0925330132052821,-0.360062604817796,-0.184636028650929,0.220456182472989,0.203831160940957,0.43299000883818,0.105422596696908
healthy,0.564480610296276,-0.544500781758796,-0.638951906042084,0.547387977313421,0.480839087124838,0.477494141310741,0.0408928597109814,0.409879123714965,-0.652078635085362,-0.341234058234125,0.428629032258065,-0.610235941310192,-0.34138645803662,0.221894873697483,-0.532931584557982,-0.446535870843068,-0.42681507664129,-0.353903125520967,-0.0096774193548387,-0.297778385427383,-0.496266650239021,0.768144838546064,0.220945446348833,-0.501571176402257,0.365561046317906,0.756074719405614,0.0439693460542008,0.444758064516129,0.798709221901997,0.593004314875169,-0.461476439321154,-0.357312474511386,-0.636768976164934,-0.136951450536458
healthy,0.132524762352944,0.0285714285714286,0.286045323589997,-0.240755737057037,-0.347639527093457,0.0058230673646632,-0.227358430215852,-0.112869125441743,0.307870519975956,0.164333827180996,0.106048906048906,0.103087115994659,-0.322816124363785,0.193276666863896,-0.116349861091218,0.408620405262682,-0.313919824756875,0.439447483786587,-0.203346203346203,0.206552924245382,0.0652062397092102,0.0274149823805229,-0.428845978552485,-0.453969648085155,0.0603093284267004,-0.20403335742266,-0.0356499360715522,0.224453024453024,-0.142312324611193,-0.0291072652435182,-0.0321833172355982,0.0859498716477211,0.0139085669529736,-0.0817145366553278
healthy,0.375518699731888,-0.62173326269501,-0.651954466774445,0.733291910451127,0.658441708785886,0.479805775291016,0.18752176265539,0.560289749189386,-0.763992066933719,-0.473159307444888,-0.0568369094245441,-0.622978000262784,-0.563593644228113,0.529747415078008,-0.727799935138236,-0.544324678654954,-0.68425662536209,-0.569508732687611,-0.237000353854412,-0.168774314611497,-0.63334737010398,0.72465371377359,0.421337142597497,-0.471754004868141,0.327287928484147,0.67155794114652,-0.0618820028690226,0.167309794842112,0.626588938630632,0.618622719894872,-0.424423249921011,-0.60246212372391,-0.717611361844065,-0.682959108976559
healthy,-0.68647402569378,-0.222604376881332,-0.089229683960755,-0.234014011576204,-0.253955209416904,-0.444223148486076,-0.403848477346088,0.0868237606309624,-0.0687329149387704,-0.122724323875975,-0.364121300694191,-0.0343085472414982,-0.295052799577993,0.0260886381733408,0.0792060839274783,0.0593902530717827,-0.204041517208416,-0.101214674578108,-0.244107440581228,-0.0268908963251849,-0.0815625734567218,-0.118963995929001,-0.147111682184405,-0.177763975615125,-0.465607017563389,-0.109691930336364,-0.28131120545203,-0.24318597004019,-0.326374363443927,0.0786434805680246,-0.169388724582357,-0.177337838743793,-0.0914169915472333,-0.0171932335897992
healthy,-0.0917449698209173,-0.0223490686124178,-0.116675618710566,-0.210588497406892,0.119774574896633,-0.117637963981332,-0.219016818162867,0.285784529779819,-0.10311932034202,-0.078240850219204,0.0361657390228819,-0.199859322594546,0.145921023026135,-0.0763924482622685,-0.0341568377700615,-0.110275976826438,-0.102512839066751,-0.209047434056901,-0.370442551690116,-0.0865423469121974,-0.0438979624119014,0.163335524114262,0.0597663644747266,-0.228838209060235,-0.455864916335356,-0.0477791121333533,0.0907249086554585,-0.114509765126448,-0.0865874843122118,0.0673182610719319,0.0174857324744608,0.0380431737903867,-0.237700828395223,0.116976894369889
mild,0.339603058327447,-0.476819069471446,-0.585573154022152,0.712675504588057,0.635706668933395,0.659798254002334,0.193908313112576,0.399184338612958,-0.581455110840636,-0.465334242097091,0.197145621673924,-0.416341972280385,-0.415994694180635,0.38822880122436,-0.437854242774259,-0.218354802661649,-0.541031327542137,-0.450583076631064,-0.0931892433957933,-0.435357049920851,-0.0187178690875616,0.704862473795822,0.255508607218359,-0.224817884149517,0.241443486441025,0.622960341856642,0.266295381676606,0.108611514271892,0.380933404384887,0.119439105667025,-0.573862168207706,-0.328973353523683,-0.658385085621864,-0.0725574375592546
mild,0.41604987942507,-0.604284162171702,-0.520160578879679,0.574267349821393,0.354142321852946,0.456598499325896,0.1640174767992,0.430994066681412,-0.540128890556183,-0.327258916665923,0.0882788097977971,-0.495671780040268,-0.162696685510026,0.0216366270178202,-0.426981026719959,-0.297100489474926,-0.218285198225139,-0.522503839701555,-0.0299105846654723,-0.280922256606491,-0.343439005539744,0.672683876766287,0.376713791740017,-0.116271684518497,0.346306209301285,0.529369288580887,0.139481480710787,0.109979324344466,0.417327207717683,0.351115918180356,-0.361496826480832,-0.420563109269297,-0.650542012524808,-0.177571938998527
