group,CD47,CD33,CD11c,CD45RA,CD123,CD49f,CD4,CD183,CD32,CD1C,CD64,CD1d,CD366,CD58,CD39,CD244,ITGB7,CD54,FCERIA,CD41,CD303,CD98,CD38,CD304,CD36,CD305,CD319,CD99,CD371,CD328,CD101
healthy,0.257284217761781,-0.363815386681461,-0.40357725816404,0.319263844959165,0.19236893783184,0.479831191213617,0.52549087873043,0.432788298085581,-0.315570808955004,-0.497828146780941,-0.181870646703236,-0.622074815997009,-0.561595621553133,-0.0550884444276959,-0.313188852520233,-0.206000812955531,-0.421881812507901,0.210661431591664,-0.539020325028887,0.300147641644519,0.422222153072305,0.317483709951937,-0.0734733121555298,0.457081828242071,0.12667000107965,0.293672177215979,0.2733774312701,0.182763434636023,-0.32407127755965,-0.589711865655967,-0.37379027863504
healthy,0.545378151260504,-0.199930403406746,-0.270777922127995,0.73238874972008,0.517472666257183,-0.0674335756351512,0.514568067756828,0.474244107005424,-0.245485608147513,-0.571720349788039,-0.118467343098357,-0.491542375229646,-0.428828958512577,-0.546406445068828,-0.512964556833288,-0.118092682768561,0.127938684060823,0.342016806722689,-0.041234262154343,-0.0067799044824122,0.72193926656527,0.442312458446154,0.208403361344538,0.677618401104937,0.305882352941176,0.759383753501401,0.449867705421219,0.315836218800051,0.394397759103642,-0.317243030572875,-0.462814526627331
healthy,0.146531574404739,-0.133579542635799,-0.559071526560209,0.439524899267864,0.535340306040789,0.142199238436448,0.484794675211726,0.359665759223522,-0.377750920892788,-0.383492422836809,0.0068218067298355,-0.578874682332859,-0.245847402415628,-0.388484683906841,-0.163192805803861,-0.479224714594595,-0.125228914103811,0.228523409363745,-0.486755595573416,0.178380995843934,0.479849819162281,0.300204731419483,0.215270108043217,0.5470436659842,-0.0881031700967018,0.495062051819023,0.275736280224613,0.222034124730412,-0.278175270108043,-0.43590189592024,-0.576308690442276
healthy,0.764884345020696,-0.505752023383077,-0.552760166974976,0.829449940269106,0.749899213896875,0.408713408973669,0.5980816447943,0.33983049749116,-0.555158987208869,-0.662729355616445,-0.292682602650507,-0.579869440407594,-0.419726963025098,-0.487817707890641,-0.387756534828431,-0.384110430016353,-0.382223002190373,0.501209677419355,-0.321089971748793,0.42670980678998,0.78624841575566,0.151276007961824,0.292741935483871,0.779868978397827,0.189592593077747,0.840258236980737,0.530052689092243,0.456612301403921,-0.386849567577785,-0.209444592327893,-0.517172772519743
healthy,-0.217516276610485,0.119176319176319,-0.0296086518567504,-0.12451961539243,-0.0881791267800467,-0.214273673896193,-0.141953442200791,0.0029800429159536,0.0642254972692316,-0.10176886642951,-0.187997992283095,0.195808302812049,0.145954592765522,-0.0752472147861572,0.0874754119669413,-0.145309180844966,0.12451961539243,-0.0213642213642214,0.142783623711077,-0.104556409569954,0.177351244041901,-0.0496001196766356,0.342010593257399,0.0760181712149034,0.0576082300286676,-0.0556193121874936,0.169566742872123,-0.103074815163401,0.105046347456993,-0.331935240504542,0.159562170877169
healthy,0.344577325451345,-0.576220173367471,-0.649531804880372,0.724207454593888,0.700939461133869,-0.0872810637651671,0.589137565116728,0.573233736794421,-0.719324541385862,-0.593054284907624,-0.525609739483029,-0.669268423777423,-0.516422212372808,-0.687163819634979,-0.614937510013304,-0.510612990410921,-0.130610732538817,0.268591919312847,-0.617941144160126,0.0071198482206525,0.726986012053705,0.418140246598348,0.332240015435076,0.722188039932259,-0.0510582897175433,0.663545538759905,0.649665432900775,0.0750583055284029,-0.35591081927821,-0.641824203003462,-0.65114165936738
healthy,0.288376934584284,-0.607315654574045,-0.673726394141259,0.784717530373958,0.629114180518549,-0.144479651496403,0.641673932944181,0.490424130212493,-0.604707393794095,-0.504154667825966,-0.340054559853437,-0.450140760512681,-0.732554072129313,-0.365977090074994,-0.693641101942099,-0.495893314654376,-0.471184959642674,0.127187694191369,-0.43738806933831,0.0335669252185526,0.780572288317381,0.599092968895702,0.239755185069035,0.757400704745124,0.276002756103963,0.633498518908755,0.341070205497873,0.480916195605655,-0.146260367666777,-0.627064749526148,-0.668695966694986
healthy,0.493661871311849,-0.45787987725863,-0.564322154546444,0.812638346804529,0.735854270597485,-0.0198815294498463,0.663337099737004,0.438642524171218,-0.410413765986259,-0.504333940899517,-0.0391966139090175,-0.516587510274444,-0.375572616067805,-0.185329891100932,-0.376367075359817,-0.361059240150414,-0.183709999762013,0.436482487579352,-0.276252600533622,0.075749460637932,0.719018759799619,0.686461558784906,0.256743398039211,0.590295547947074,0.0829538380482314,0.740831528395166,0.414791958774163,0.493661554211177,-0.303017967612092,-0.379844953732293,-0.539702642296157
mild,0.183080517301319,-0.450741029210809,-0.487896636214308,0.448578886976675,0.541401474402485,-0.289517066606474,0.386761563812467,0.455946539610725,-0.16584314717026,-0.192846318326601,-0.37652592929374,-0.386025224029266,-0.391192024056293,-0.232575610585388,-0.142842810608048,-0.3874555703258,-0.347436406448596,0.621001068523781,-0.0898050806005402,-0.0167061990476698,0.534021467540308,0.287130959596868,0.0543460732139977,0.624663083907792,0.161188387721107,0.548918658575383,0.315281816786847,0.213418659020596,-0.515257029071569,-0.156427980842785,-0.451774142895652
mild,0.37092763812261,-0.44417218449622,-0.487307531279685,0.399854859171372,0.463953694273303,-0.273790014607004,0.478869742925444,0.493001641260891,-0.366193314062454,-0.302564738270703,-0.112723362977535,-0.248220690926493,-0.218961122243948,-0.0896555821174764,-0.264862424671371,-0.339584921698138,-0.295705569200478,0.275038259923901,-0.212796647432605,-0.0860699676366696,0.684261789120509,0.462846637609623,0.23753660707243,0.536341661657889,0.211097143002281,0.408446010394992,0.285385179238974,0.170064812524045,-0.284366543300612,-0.262085521916713,-0.569858366944591
