group,CD86,CD47,CD33,CD11c,HLA-ABC,CD45RA,CD123,CD7,CD4,CD5,CD183,CD32,CD95,HLA-DR,CD1C,CD64,CD1d,CD366,CD58,CD39,CD244,ITGB7,FCERIA,CD303,CD98,CD38,CD304,CD36,CD49d,CD305,CD319,CD371,IgLambdaLight,CD328,CD101,CD224
healthy,-0.166108755748653,0.568573849157521,-0.250784629597341,-0.419938498359879,0.139079517159794,0.38567321895946,0.574612564706778,0.0350816931984097,0.488475932307155,0.141251600154973,0.156085657572792,-0.387413688519876,0.0703349227243762,0.159317426759287,-0.198916875628558,0.0268533840769878,-0.0979675630430072,-0.500915381514977,-0.0587918692631712,-0.541241971823484,-0.0346536242607029,0.110176888855392,0.092490987590184,0.475729813406337,0.331059732205332,0.236983723488208,0.344901995340179,0.215718253335644,0.127604953186349,0.325021797389741,0.0514905064722324,-0.0376019329507702,-0.0212928348489247,-0.119926943101062,-0.304008002591161,-0.319711569154287
healthy,-0.496331977399943,0.0896358543417367,-0.578029122770767,-0.497547424199991,-0.0323756211239994,0.261442358465813,0.33264057855814,0.0314368647886701,0.113022454173055,0.416522349081106,0.313289746090227,-0.598371169859564,-0.260342373156012,-0.278711484593838,-0.676822217935372,-0.142293177464507,-0.742016981744839,-0.27034869123619,-0.639505261046583,-0.463085130312482,-0.500421249546585,0.010435222275352,-0.503506806578543,0.303854184978421,0.0658346540670877,-0.0224089635854342,0.159832230431698,-0.217366946778712,-0.225770308123249,0.115686274509804,0.0717947437807776,-0.226050420168067,-0.149112160160077,-0.598044074552784,-0.636810246683572,-0.225496458318302
healthy,-0.123514852239578,-0.128275818282744,-0.08646541301462,-0.456075808843518,0.255178588218563,0.556304719500168,0.574485160313108,0.0719256849105748,0.224693756413164,0.234616491684625,0.369449486977191,-0.307945447204485,0.126864452285856,0.236974789915966,-0.356940275015185,-0.0101533867606854,-0.483088619377514,-0.207898773012393,-0.203920345982061,-0.114548332818308,-0.233795234489939,0.122031580126692,-0.469473189224583,0.582466843179291,0.367474862906755,0.333013205282113,0.516359462521307,-0.229018041014902,0.303625450180072,0.647314899131193,0.208121453149555,-0.106266506602641,-0.106449664195179,-0.217330570674568,-0.44416270175893,-0.303516676014051
healthy,-0.254546564942513,0.665994284582664,-0.5818368249854,-0.659791692717934,0.0565500399285312,0.86822835775216,0.708753587314044,0.161240462372196,0.446537953335934,0.0482443850522814,0.280194504895219,-0.695063918243975,-0.447778837220191,0.419758064516129,-0.837023895305176,-0.328061818355513,-0.743736556625929,-0.474601446215006,-0.489444444723957,-0.528985481632573,-0.534733967397898,-0.513940442691495,-0.517659193925616,0.784739784321527,0.227022531317171,0.230241935483871,0.741506805736913,0.221056895758734,0.38991935483871,0.845905675923478,0.528164140318755,-0.348527660466326,-0.306186217847897,-0.373649152712962,-0.48121310318048,-0.185134052785417
healthy,-0.0946931867504437,-0.167916365554412,0.141312741312741,0.0525231737284963,-0.170416317732234,-0.465211696133519,-0.198536639992651,-0.0769996194181908,-0.331009029306858,-0.610775065804679,-0.0182527628602159,0.089452345896024,-0.124786824867521,-0.0648648648648649,-0.16082644694819,-0.043406264273314,0.0190906645692907,0.216899278018125,-0.0742842705384368,-0.0412790775406129,0.0033823085962122,-0.153111029227172,-0.0182989842662211,-0.14587478279019,-0.0128180084557598,0.0515464345527354,-0.0492140761622496,0.268924517757144,-0.11016731016731,-0.137612101046052,0.12793658444244,-0.0244593210990547,-0.219319859044184,-0.0166099445208786,0.159819736931854,0.140600885292659
healthy,-0.417132993090721,0.436579568038648,-0.641946996851795,-0.70922619395034,-0.0078483723365461,0.719646061146582,0.531784895012982,0.0908300607978222,0.314071644478745,0.0823370524382038,0.554485500779192,-0.609574657314122,-0.572668965661912,-0.121102008991702,-0.737739667828775,-0.497801278679254,-0.72747691355236,-0.598996680453731,-0.671012740341156,-0.661740467436038,-0.566663371545504,-0.324277154541231,-0.564599504124397,0.732039324993955,0.411712079374253,0.10618046176603,0.662582075590492,0.175756484983544,0.131648337513666,0.663706429487503,0.673748391745213,-0.46345603611117,-0.0371179686726478,-0.376555173705882,-0.712866983954251,-0.520711151341387
healthy,-0.204589883226047,0.38136632316421,-0.284125994021391,-0.417103734872174,0.19596292790928,0.78624925844973,0.773394537572855,0.0292822703733843,0.633414075972865,-0.101617588535441,0.419876867487281,-0.333257303259768,-0.461469278485373,0.0893313847278042,-0.289004266353608,-0.0673982010520326,-0.266971981268403,-0.506339978111994,-0.329858776592923,-0.386290938530802,-0.211200605953518,-0.244023741514454,-0.206103343157728,0.688770592036909,0.690611920654632,0.467598430744257,0.693406670309339,0.449790404761014,0.450748995250274,0.718961383257448,0.168832287828775,0.105703533265047,0.0013828063703,-0.276528430993063,-0.396627311495441,-0.299347919097514
healthy,-0.20042140486968,0.414620051158443,-0.316602500984296,-0.384180674964832,0.229898430974661,0.415294847474295,0.607718501770942,-0.140172059478811,0.542173707813014,-0.194625310725941,0.318811416983078,-0.121615693779683,-0.230478400078923,0.554829931972789,-0.160489522832634,-0.173345143343572,-0.416272280823551,-0.504696032804508,-0.12785034935282,-0.235674590889208,-0.295259074026856,-0.196093357527475,-0.25346932853434,0.640433081014289,0.585619125494344,-0.097463505848427,0.523598558971166,0.258251000489399,0.568776360913772,0.497030472252293,0.241358695975523,-0.278800290009459,0.0650773154247594,-0.248216224399968,-0.384613882729342,-0.0636837412535355
mild,-0.183133458265665,0.313771592041546,-0.46821161173836,-0.649070989811,0.197556234828666,0.600100324215369,0.554438869372524,0.134768349933145,0.470822593355824,-0.0061611056978663,0.531444581111555,-0.351391673330731,-0.400405851395168,0.205128205128205,-0.480172924825889,-0.33538303941807,-0.518206049432487,-0.584115295547408,-0.393383857692173,-0.30319567254765,-0.481690149862151,-0.307555735782678,-0.173140289059945,0.609791555885175,0.341667355006575,0.234962102886631,0.638528269181446,0.112000585380049,0.152475407192388,0.465612179803354,0.287423087179569,-0.496206322685718,-0.0400101011562031,-0.348708935366269,-0.628660971164585,0.0164241764102611
mild,0.0509905167833993,-0.222100290545788,0.328626147891731,0.263673591521089,-0.0922305291995603,-0.295634095467392,-0.195741160789285,-0.0941618267813986,-0.372492250032721,-0.231858548751727,-0.493607059512181,0.225219213271485,0.13317332199274,-0.120196259436766,-0.0145276248609788,0.158680682921543,0.0963313192528001,-0.0335666418397152,0.136766210900116,0.251130668632392,0.107375965911446,0.0458046786489239,0.115077495869429,-0.418525401386682,-0.376367744339355,-0.411224183660216,-0.188819400625822,0.0077920484530859,-0.247020365843946,-0.251116490488009,-0.126610572726745,0.117269899316311,-0.0758496298520744,0.209581409164231,0.258157228769397,0.160365938901465
