group,CD47,CD52,CD33,CD11c,CD45RA,CD123,CD4,CD32,CLEC15A,CD95,HLA-DR,CD1C,CD64,CD141,CD1d,CD366,CD39,CD370,ITGB7,CD41,CD2,CD303,CD98,CD38,CD304,CD36,CD305,CD371,CD328,CD101
healthy,0.104066611665437,0.102248434594781,-0.666616846294772,-0.614985690509354,0.433843398692068,0.303830680578814,0.116506060873259,-0.251181147911836,0.277349345643637,-0.536638424246538,-0.263666565992147,-0.442241675762337,-0.177666328994212,0.557512128282492,-0.504283228432358,0.0505162998317648,-0.293364827998589,0.379337800520997,-0.153692130672227,0.374192202274016,-0.549617237997357,0.273483597262826,0.178174200554357,-0.381195043520468,0.200088029230465,-0.0186591738117329,-0.0091436392173473,-0.441860465116279,-0.224039344254732,-0.583137106766678
healthy,0.212885154061625,0.0598953168955138,0.444367785661763,0.139313278775997,-0.0035014601580242,0.072903607677117,0.0943491791357676,0.481273376822218,-0.177701014647535,-0.144838362530457,0.293837535014006,0.0118345267082788,-0.0337532653520457,0.324495825401542,0.25903904093079,-0.223454351899505,0.167776252842711,0.27169424432453,0.226287080299757,0.412161693326647,-0.0145760372159997,0.151165553178487,0.230797917690568,-0.23109243697479,0.251164933535526,0.527450980392157,0.216806722689076,0.320728291316527,-0.0522617637185947,0.0426888284834342
healthy,-0.154202876179408,-0.214625610170677,-0.225854884588161,0.150935367839726,-0.555113595111908,-0.629022400750297,-0.613259739280317,0.131838692007438,0.0969796957362981,-0.0487045271176628,-0.587611044417767,0.160950682963605,-0.164357948188595,-0.068423277920303,0.247854295158556,0.294968724739612,-0.169942286693828,-0.192039495204637,-0.241108048547259,-0.37477784771843,0.0945813142393784,-0.540740771947788,-0.34560945469394,-0.637743097238896,-0.551901010933924,-0.0326308037395192,-0.702919868935543,-0.112509003601441,0.0781179077967048,0.233615229993773
healthy,0.642583576397334,0.0150200062303988,-0.506761105632445,-0.515734138220796,0.751484911434756,0.709156975809955,0.541834453572103,-0.59611666267132,0.149787328828988,-0.504062726314195,0.574596774193548,-0.61823298489591,-0.445686223816314,0.243510875310161,-0.578623302641675,-0.315842445230463,-0.307588338554315,0.265361388801511,-0.2654550871449,0.270107914682135,0.189112903225806,0.773173609993174,0.170375417862313,0.340322580645161,0.782782561131567,-0.0129084318691232,0.81323120775476,-0.350141214449966,-0.368622482497092,-0.453334258411837
healthy,0.0914498360096338,-0.333507735278071,-0.111454311454311,0.165293517322033,-0.12719171014334,-0.459600297156607,-0.0799701251413754,0.145054379604056,0.0285560363664627,-0.0026720947509105,-0.0041184041184041,-0.106514564864047,-0.358748462338383,0.0044020308467221,-0.110029303227061,0.0136381650023488,0.275754590091053,-0.141179533143303,-0.0841709846536809,0.0807465341233305,-0.135684865465282,-0.133351889604025,-0.431075197414356,0.0458763267519345,-0.342301476164218,-0.141049747065706,-0.294286219884062,-0.0888259555702511,0.0110732963472524,-0.270573140446273
healthy,-0.438932401707898,0.53511974152584,0.144232074453113,0.291300866143385,-0.456867634440657,-0.682795076331248,-0.281497202392437,0.402394740982398,0.140019722989886,0.175379260195318,-0.198728203815379,0.48637396780089,0.170927571352881,-0.484671548070837,0.323603024731031,0.249471354566706,0.421436785525326,0.0739279879223215,0.0516292734571035,-0.105352864135426,0.360242217647678,-0.484124655959481,-0.594657031067479,-0.519679722168628,-0.558718488442158,-0.358760992166738,-0.536071815283965,0.016436550262193,0.326142942602004,0.314210142491754
healthy,-0.38323343293491,-0.647197512778574,-0.593306867793639,-0.507767270367527,0.182483653471545,0.20453486847899,-0.0957375899838971,-0.632559947560132,-0.275882229468081,-0.669022234644433,-0.345743514797223,-0.439272622818194,-0.482045673502313,0.586799667570517,-0.375230344314857,-0.0756956446280758,-0.426761983803338,0.489722734692463,-0.309393876227611,0.297166014434833,-0.62898073283624,0.253915927727072,0.288338897081434,-0.0935050702722945,0.319970172178925,-0.0313381561513453,-0.0482079423415689,-0.325952720448492,-0.621789473463201,-0.50472610081237
healthy,-0.409619446209962,-0.06013531478093,0.6421309830214,0.723615366436547,-0.659207043523699,-0.663818401148675,-0.548333929270712,0.33739417305263,0.0432928333460077,0.233369152795058,-0.345244279529994,0.51671553351081,0.17878750923345,-0.222196606821293,0.524225533775793,0.664295628513269,0.51437897357214,-0.183916794268771,0.318964498050056,-0.0004826035973364,0.361828005015923,-0.747546641677734,-0.640138824385411,0.030994805401842,-0.536074499314774,-0.0842445580372114,-0.66202677166689,0.50567550325824,0.456185574454082,0.674501922693889
mild,-0.234016939883829,-0.24374424203177,0.454661257485284,0.686651341604399,-0.499659977560932,-0.511460706143217,-0.432752646322246,0.296333756661694,-0.183927532881451,0.205493700689592,-0.0815191098209966,0.384688456141199,0.291044092745646,-0.146812322065292,0.591321986590603,0.43743853456067,0.353943633022562,-0.0027183828517557,0.338028231531584,0.1404048835217,-0.152401900365896,-0.544627368935365,-0.245875952186136,-0.188356716658603,-0.619117009798331,0.0154497548985514,-0.36503090795263,0.567565748300517,0.164557160982708,0.560870552088991
mild,-0.575498698409606,-0.238477358936942,0.435045445851333,0.49825854714635,-0.564720618447983,-0.43708852670869,-0.470571867750414,0.207120653587927,0.162534510487247,0.0575506682278803,-0.135295084662173,0.52952679274633,-0.0318851173254943,-0.0328232599890288,0.102073852755788,0.148614011154332,0.308740909485578,-0.255806199880828,0.310462670247313,0.153051376713812,-0.0713363894818301,-0.631981958877063,-0.446302276168436,-0.187145454645563,-0.478421284819211,-0.356819889276633,-0.607840341689965,0.221476086134645,0.221857746247476,0.410304618902353
mild,-0.64524663342414,0.0177567423700509,0.581017065994685,0.668748764370988,-0.787842251915324,-0.714872358057422,-0.451721065612478,0.557058116251454,-0.0622602452220508,0.385333232730457,-0.233105004864181,0.631370129693338,0.0168156091797153,-0.0164301981161517,0.626787257488613,0.691578098734471,0.598269441693071,0.124167555633347,0.40821518050444,-0.387503597028933,0.150373069204449,-0.77336916417955,-0.585400664383043,-0.39518768651284,-0.725169726194006,-0.450877469525273,-0.754264633228227,0.0096404514040766,0.482198836292365,0.668177431120348
