group,CD86,CD47,CD33,CD11c,HLA-ABC,CD45RA,CD123,CD4,CD183,CD32,CD95,HLA-DR,CD1C,CD64,CD141,CD1d,CD366,CD58,CD39,CD244,ITGB7,CD54,FCERIA,CD41,CD303,CD98,CD38,CD45,CD304,CD305,CD319,CD99,CD371,CD328,CD101,CD224
healthy,-0.172115059305658,0.375003883435804,-0.642196154295996,-0.626726395279516,0.165189564186038,0.608596704453408,0.445691080438599,0.327521595605947,0.376766583516565,-0.339159861389674,-0.385584645569735,0.0514950166112957,-0.656318498032332,-0.212385855881631,0.610920992776778,-0.660186118953347,-0.388353536244198,-0.244734657877663,-0.33685474225925,-0.339083024085326,-0.411697394210343,0.471458773784355,-0.547442517607463,0.397474254843085,0.543039052794781,0.33629493032919,-0.146490740264593,0.437724166884245,0.428119035020128,0.319950535302809,0.27762407097915,0.122105561774975,-0.379945635759589,-0.447691077187224,-0.613325526185661,-0.382339666435969
healthy,-0.236932137359643,0.492997198879552,-0.122008090281223,-0.0651717048599988,0.400420560827992,0.480283618342331,0.382815414430038,0.408425241229089,0.474043665709141,0.0749773260733561,-0.429931595106231,0.314285714285714,-0.260077813136698,-0.290542813520551,0.244225805433792,-0.281783932329592,-0.694092721386958,-0.387982584698769,-0.245287748032713,0.0143057644208945,0.0473158708649524,0.326610644257703,0.149789768642307,0.429393950552778,0.58333911201371,0.605769208246589,-0.0826330532212885,0.511800547511831,0.581016503591273,0.342016806722689,0.326528017387575,-0.0204667759502131,0.290756302521008,-0.287863444482422,-0.223728909675556,-0.131289049065322
healthy,-0.196167652794351,0.0188869391794048,-0.291814666057811,-0.654373819984337,0.174763344472377,0.629757390109522,0.538684338817821,0.346721154593502,0.387196714065241,-0.415115676518477,-0.336648229783976,0.172821128451381,-0.497095911367087,-0.258752715729342,0.294687200705521,-0.545221426493929,-0.274838614218607,-0.382824441341788,-0.110498644284328,-0.614973671725652,-0.118737357241176,0.260888355342137,-0.590353483910276,-0.0332933019444779,0.516360131489846,0.32280247387866,0.259447779111645,0.205695134626291,0.561971116317499,0.463823304737928,0.357442361998846,0.153277041680184,-0.52422569027611,-0.470940805008216,-0.769133959643485,-0.239861508103727
healthy,-0.147030506826,0.767104325969305,-0.503733858884342,-0.500154880220403,0.179703460217332,0.803733726569818,0.764017811253728,0.589583867703177,0.368228589203514,-0.515823397903346,-0.481216867272348,0.607258064516129,-0.62089866609115,-0.320250822680382,0.230717731498576,-0.53936996301523,-0.387053606621947,-0.477040576369922,-0.360341503978215,-0.320432186570496,-0.322828941596309,0.54758064516129,-0.292028402967004,0.375116160165302,0.784236907176816,0.195334873982269,0.322177419354839,0.563161611895153,0.781325769764697,0.803953272348828,0.552085758116267,0.424026599677715,-0.380395351643224,-0.231226829929994,-0.505051535663812,-0.0008681549954767
healthy,-0.0485689666981622,0.414365923614273,-0.426512226512227,-0.423532454820473,0.0269283799775362,0.400547003161485,-0.0772235383013136,0.513982746054277,-0.0901462982075969,-0.409421456539932,0.0467616581409339,-0.268983268983269,0.111523913211614,-0.236865971928548,-0.0968446786278879,-0.178652502895051,-0.0385540433720246,-0.449832527149423,-0.0527958107729469,-0.237151868111345,-0.125054034342612,-0.0625482625482626,-0.24252597457062,-0.0186338155669224,-0.0338456572599049,-0.175550985372362,-0.192268200881703,-0.0981959578229609,-0.0707452344832338,0.0592750416270472,-0.0135382629039619,0.241282900658186,-0.391606604122759,-0.0203010433032961,-0.36754676003506,-0.146048521069681
healthy,-0.436510019785779,0.358581520373111,-0.6888763350693,-0.676665618093994,-0.0289810798165086,0.771527120230014,0.666773970601274,0.501382725577208,0.568354058927444,-0.726677751367747,-0.474266417516674,-0.107001310387649,-0.624016567390078,-0.580398041877117,0.521781421339672,-0.742303604344089,-0.555362661256128,-0.743627992846183,-0.595310984862631,-0.529091671009948,-0.224255552671356,0.144731553264783,-0.65880954268901,0.0347288440102735,0.730268505929423,0.337856906748755,0.217216541256672,0.334362338414046,0.676531580935142,0.637899556780775,0.653178451667991,0.0569081863074289,-0.47268752324473,-0.583859945061065,-0.751790247458442,-0.622842939210946
healthy,-0.389015808669674,0.1957902559549,-0.783504495099411,-0.819924102534313,-0.0526999253279267,0.718928864008414,0.633958575640882,0.626342030291672,0.61159887188873,-0.860995811915457,-0.681818675593134,-0.357910120569967,-0.657118420819065,-0.421772557754335,0.467006092435766,-0.681880730138748,-0.584579858096803,-0.499283701242296,-0.756571353657085,-0.620045022208134,-0.498874411590775,0.359823157827234,-0.627429973177942,0.168404200615702,0.746834305367863,0.561773057941553,0.0912578792516825,0.242185074546607,0.744028816952572,0.482976911703963,0.419206464600318,0.364642782696827,-0.313639519373373,-0.75295902024004,-0.861516835372197,-0.367232939984937
healthy,-0.221513782147708,0.422228498472529,-0.408876923598319,-0.512593557217543,0.160798108342948,0.614563704968691,0.735854270597485,0.660788895680205,0.502247695857453,-0.185823009778786,-0.207779421364728,0.573605442176871,-0.269790452956213,-0.102517190095865,0.337223341718604,-0.387094022728461,-0.336758024417227,-0.166567213512325,-0.282010439068151,-0.452633320122255,-0.192872401258945,0.551003559073627,-0.269410795737758,0.0487107897578275,0.769776353391736,0.655118434819916,0.05123732102556,0.420527126224513,0.570340842274873,0.710207918267597,0.391345774413772,0.333204972353161,-0.402549281336146,-0.261001599516154,-0.575213911589323,-0.103866463359164
mild,0.0550889264701593,0.29084616571281,-0.341230304586893,-0.468620507492693,0.111604560602811,0.631585298187046,0.704348347813504,0.301568943486795,0.576311988632048,-0.255165831128007,-0.433758896944787,0.45565231414288,-0.338103212388769,-0.175072888977728,0.307324659052188,-0.429272164995056,-0.385846542982232,-0.307468658662487,-0.301146149999937,-0.563472302816913,-0.181336327161525,0.579716572375735,-0.115684569165082,0.155776204679362,0.664636487423579,0.328240017688931,0.399612965650701,0.108169265072208,0.611235746590148,0.649822823754682,0.37567704776382,0.3411624280098,-0.30424623884862,-0.379393066183433,-0.478501548265958,-0.234928092956899
mild,-0.067142270864937,0.425201075554389,-0.637333633587727,-0.597096535257749,0.234156519731131,0.662348940143392,0.432412954276771,0.537651637295129,0.458269752107946,-0.651587607677164,-0.299344153291839,0.089366329872659,-0.582503855843609,-0.146826997861989,0.0664174211782175,-0.491351118302453,-0.330998716682359,-0.296131239938521,-0.432563468250851,-0.41597848720736,-0.29913928187745,0.24976919093379,-0.331576402714954,-0.132273677576496,0.687165228441537,0.40978603617474,0.169665391228412,0.383757028764652,0.535245268839884,0.472446615743324,0.327815988194021,0.181935019547269,-0.389862661072279,-0.354232822858277,-0.652457012600667,-0.0900647938308017
