group,CD47,CD33,CD11c,CD45RA,CD123,CD4,CD183,CD32,CLEC15A,CD95,CD1C,CD64,CD1d,CD366,CD58,CD39,CD244,ITGB7,CD54,FCERIA,CD303,CD98,CD18,CD45,CD304,CD36,CD305,CD371,CD328,CD101
healthy,-0.444179357079301,0.300457678028289,0.474324472714568,-0.567753380537733,-0.320978641001426,-0.200093091525819,-0.134827941981614,0.360136445476529,-0.15542413208196,0.240939700682119,0.380070581455028,0.131961326802572,0.0872871777387107,0.376369188836662,0.279762884446534,0.4078524114763,0.175650077738286,-0.0532367320099582,-0.198882512836001,0.0618648327589972,-0.569049721012712,-0.340820271080321,0.0,-0.388643485760429,-0.277594095599044,-0.0887448510558031,-0.345230008433123,0.121262458471761,0.0553508968158749,0.534744615336249
healthy,0.0837535014005602,-0.0223236897062307,0.195515114579996,0.17594837294072,-0.207132014753221,-0.432433737705602,0.168771571470231,-0.182522023510622,0.13534397577438,-0.0281120872421985,0.0984801686796055,-0.285579098027603,0.0551774217267212,0.289840916623125,0.159415780783826,0.194558104014394,0.449088800742199,0.1133579625254,-0.440616246498599,-0.294530443959593,-0.456923586433715,-0.248122826655591,0.368185093907993,0.0778766021939185,-0.418374036140995,-0.12436974789916,-0.0747899159663866,-0.14733893557423,0.0731664692060326,-0.0884771758666556
healthy,0.0862778686935791,0.217115579715424,0.408953585051568,-0.590202134382728,-0.314880027519674,-0.357194372232602,-0.227357905996587,0.286801050610103,-0.202000939595308,0.117662945533985,0.174450092697216,0.209307837493713,0.36211096692205,0.0975202722608514,0.111537101259581,-0.0094974838237401,0.270194492554241,-0.236166714218985,-0.303721488595438,0.555692121456471,-0.404645853570619,-0.405660862895642,0.310831602331243,-0.34795158287251,-0.440892908058516,0.462052180951591,-0.352517245907439,0.311884753901561,0.387264316732965,0.412956214635457
healthy,0.643390842196828,-0.556609768751208,-0.570767361287118,0.872310296434586,0.832190467062535,0.521196994922232,0.280194504895219,-0.616798261172162,0.163111968510094,-0.583607853705351,-0.67380218519667,-0.38917137275507,-0.555777443599829,-0.385796939067979,-0.55959747066071,-0.423894530040079,-0.415133164002796,-0.309495581054784,0.427822580645161,-0.323713585597149,0.769653469980197,0.0436247885227068,-0.204958290316856,0.466176028178158,0.779383381275537,0.135941923121703,0.743848386458223,-0.373941135708662,-0.358569142065353,-0.407677599587829
healthy,0.0085249847127624,-0.127670527670528,0.101956749002375,0.20094152526847,-0.0609237603207595,0.174174414951928,-0.192957778807997,0.145955338483585,0.0571120727329254,-0.0288586233098335,-0.166890394947876,-0.190872579321063,-0.0555951110092182,-0.111072363047976,-0.164801029824162,0.174692020939898,-0.0720691908577538,0.0184374537812825,0.33951093951094,-0.268299191846988,0.0690451408102059,-0.14406326894843,-0.136969128107978,0.268041459674224,-0.170931032384956,0.0353916032014685,-0.081731665327162,0.0308959845461743,-0.269977510942535,-0.0864134113467153
healthy,0.256184909863438,-0.620606701077992,-0.630958063692476,0.654310807945466,0.427197315237591,0.496527107852595,0.581041221381586,-0.583677167772656,-0.405272090656257,-0.623693715146885,-0.477059318877971,-0.667485921211942,-0.671884898623022,-0.54778820985239,-0.702119719061058,-0.440578305935867,-0.542558635960946,-0.15702420410057,0.148976540495302,-0.676907023583307,0.732168897120628,0.263520480962096,-0.606743080456433,0.281014856260853,0.586034650718731,-0.0560191582453046,0.429433441031973,-0.473941976200162,-0.492320225806292,-0.751064067169185
healthy,0.0399048950992598,-0.801024622691615,-0.793820651519836,0.409179408685729,0.315974733017942,0.412864930426835,0.510438544788459,-0.850214178199572,-0.043371350114785,-0.686906874664725,-0.683802846451341,-0.409936096825776,-0.693674975747359,-0.45669953206419,-0.481012763345449,-0.72140008812262,-0.680900388841789,-0.533008021705202,0.328510358654007,-0.768475256385129,0.50568293934271,0.33146584812181,-0.596976266835884,0.0487622181627108,0.529972486178147,0.103789337253579,0.162427064090058,-0.513281450158101,-0.758638605782264,-0.830742432391296
healthy,-0.335873965706292,0.663624050671144,0.628696626487029,-0.381221587939709,-0.54840372647283,-0.415326336451651,-0.53453916654404,0.370836920821236,0.17038553367307,0.395822885549299,0.35917089264175,0.311739490139025,0.572826554602862,0.377624378527336,0.53752846184224,0.493227871524617,0.544905677392357,0.272446703335241,-0.305974972094759,0.306218837132731,-0.742960739997954,-0.53566174450211,0.623822335273589,-0.0962385614433243,-0.525162300812599,-0.0575540737055046,-0.397859468142208,0.559704312871472,0.471546280101066,0.670863421815521
mild,-0.253632709594684,0.168228926387245,0.129668412114726,-0.0649377588165832,-0.41472899330558,-0.260912503236498,-0.427472992530412,0.0558109884775801,0.366366175858302,0.130745631602503,0.0551862681378363,-0.211548521308932,0.0875876761583405,0.200860500964722,0.0183017058727671,-0.0503915217709614,0.200837447636848,-0.251356460835924,-0.244280041172862,-0.0617282769691978,-0.256452606705705,-0.135635566817362,-0.102704133863055,0.0251049562966094,-0.412696023425997,-0.234706512737048,-0.514369072417991,-0.0337423528359574,-0.180909500223708,-0.0694102618253091
mild,-0.407380325197294,0.32671944761773,0.359140086321687,-0.673919906822337,-0.602231811555394,-0.497923184548721,-0.453426406097627,0.231295909909423,0.120745337879689,0.183436031767463,0.363254789478802,0.15022764521514,0.25799195060641,0.120556787732077,0.0910456900052153,0.165977997563094,0.0898934943908482,0.0929068288818946,-0.602094378084203,0.0117216863765477,-0.685516361666633,-0.469849977861122,0.0063893949702497,-0.576692010520353,-0.500708895072722,-0.280577300986895,-0.502245704754416,0.267622733671064,0.131491397861731,0.482199555525153
