group,CD47,CD52,CD3,CD19,CD33,CD11c,CD45RA,CD123,CD7,CD4,CD5,CD183,CD32,CD27,CD1C,CD64,CD1d,CD366,CD58,CD39,CD54,CD62,FCERIA,CD41,CD2,CD303,CD98,CD28,CD38,CD45,CD71,CD26,CD304,CD36,CD49d,CD305,CD319,CD328,CD101,CD224
healthy,0.623034364591766,-0.011454519855758,0.0968885688539862,-0.0743432815978759,-0.290402098969969,-0.402213821481053,0.460188901523171,0.46065657317106,-0.0212121865850849,0.290810050382862,-0.0587437248839948,0.278229437765194,-0.365668731389546,0.0436898906072825,-0.458779799371178,-0.0048824334685432,-0.464865691302112,-0.642300340803881,-0.21155814372653,-0.439355706258757,0.135155542132286,0.464437638520246,-0.339031533981237,0.450679470058301,-0.0874408523474056,0.472014003660918,0.308787957136037,0.233247641790492,0.0138284827428195,0.359950164488045,-0.0107807245701252,-0.354485025505307,0.475438528171471,0.528524890732338,0.0096647538508003,0.429213182084893,-0.046288372828646,-0.427070154844055,-0.34648417061787,-0.313627233278476
healthy,0.137535014005602,0.0923445697243482,-0.136999054655741,0.525957961446422,0.0365041466894339,-0.0190609717439996,0.265819183663344,0.363803297133848,-0.0873613926758831,0.457003836438874,-0.31590075753066,0.0450992916636604,0.27834246725688,-0.210357457697854,0.122712770987033,-0.205497821408043,-0.0494209985949259,-0.278541075819105,-0.198242379836953,-0.0449198244519758,0.570028011204482,0.0730344743270079,0.304348125424913,0.0437868831155793,-0.103994419367998,0.495762091280581,0.389132520492649,0.0684362826727257,0.0789915966386555,0.425519995440871,0.0543452023051219,0.269967277089751,0.475632615394549,0.194677871148459,0.596638655462185,0.271988795518207,0.465975500500239,0.0991561030552797,0.199214532922693,0.095810939623243
healthy,-0.0361716444438472,0.0860260066243707,0.0246005373005641,-0.0719070302321307,-0.0802160776866294,-0.0947733705040141,0.196634784428554,0.114238060897736,0.188680687616322,0.0812395001271458,0.297109837601033,0.166835311055289,-0.110983944681472,-0.0482076724570786,0.0770756739569775,-0.0675305984031003,-0.243695990557769,-0.263088023388164,-0.359577016521032,-0.0047728472007628,0.225642256902761,0.0914010153344472,-0.318276271111329,0.0383857839157833,0.105683084355891,0.173211714298215,0.0461893671098455,0.124026035580344,0.266362545018007,0.103952938363707,-0.236077882069986,0.120849495225525,0.268634870085365,-0.216367329411273,0.0271308523409364,0.214057506921845,-0.0657591885961537,-0.175293805805566,-0.154057951092575,-0.140814468445156
healthy,0.529768180918028,-0.171778099423716,0.0776955395664087,0.290749711868028,-0.618567418862383,-0.730201845758671,0.584941813191746,0.517950828748567,-0.125255466477972,0.209004850836439,-0.0601906137318939,0.39473347480171,-0.71452895212712,-0.0392905016037876,-0.652066630835488,-0.562391688609452,-0.579246371524635,-0.500153686479009,-0.352595208621247,-0.568238821259018,0.233064516129032,0.466099277855854,-0.559233382599564,0.382399969100551,0.0435483870967742,0.756075787073,0.268693971100055,0.000692019151812,0.127016129032258,0.186107471456937,0.101674691120506,0.391391280565784,0.730823669046532,0.0548608354437735,0.381048387096774,0.688180774022629,0.56247277637045,-0.470412554368448,-0.657375078820018,-0.101791173219649
healthy,-0.0645832175209278,-0.398349285669083,-0.261598076114139,-0.610049485761219,-0.0203346203346203,-0.0978372843962187,-0.426466322245317,-0.221516654850481,-0.119716722770332,-0.0648301499932509,-0.29102396673617,-0.132611909759936,-0.159469721676509,-0.592954201883533,-0.055366481736262,-0.0543296950175917,-0.252564332612643,0.0902217069386153,-0.0884533073263238,-0.0469727434082836,-0.323294723294723,0.204198601552207,-0.264690941428296,0.173009801478995,-0.40885686216104,-0.215596836745594,-0.147685749598971,-0.059042111002641,-0.357732255795984,-0.482474627413603,-0.182568002224756,-0.166857936562481,-0.16639044797713,0.090416504529299,-0.235006435006435,-0.485950891929228,0.0995062323441203,0.055366481736262,-0.109336790213653,-0.0417652076238342
healthy,0.353392394061479,-0.311284855147876,0.0442772373160388,0.153011254929861,-0.666860102325286,-0.681833963468017,0.760276960761239,0.697658029839778,0.0998569189560461,0.405974660749888,0.0629864851355962,0.559262448585812,-0.674592513996057,0.0083195980200937,-0.661307618304479,-0.594749726654274,-0.73584317262656,-0.556398483670315,-0.696499143466808,-0.603507564970861,0.149973469314591,-0.0211923553493952,-0.630333809171448,0.14981274764532,-0.382998762311448,0.732082515702846,0.403943278344063,0.157509672752017,0.184352691491414,0.325004823461316,0.288686028949642,0.45991374953383,0.716437268926664,0.0414586869820052,0.19563959097048,0.691926663108202,0.662767446290455,-0.513799367074287,-0.743818401616373,-0.619459351513755
healthy,0.300824333055613,-0.145814108761716,0.119614285858332,0.0359471733597393,-0.511485311585368,-0.568301540924339,0.671634395891074,0.579337081800308,0.194047581182475,0.673269713261447,-0.0655866452978941,0.405303724013528,-0.418012923859646,0.050449002634309,-0.370886562323356,-0.216491191258044,-0.293876426522552,-0.780653120114277,-0.308969453496949,-0.616071598503073,0.0625525229691535,-0.0609352073048036,-0.288367450745585,0.0561980195966718,-0.290250516044948,0.747006218656778,0.503973652283312,0.161551666054,0.210687860566647,0.439134011149838,0.171398522272368,0.0442945595924938,0.717943023147736,0.306389052372207,0.324735111435879,0.636007822898419,0.272716074660186,-0.496280259396239,-0.543009162212891,-0.0964596907972304
healthy,0.414270546511506,0.0961676948478037,0.25224294703151,0.247185769245234,-0.689986399159286,-0.769518895538805,0.581811705311658,0.600477166772201,0.177143453453309,0.556702181913548,-0.109748270165647,0.564047754275495,-0.366446462562041,0.115101131302579,-0.459951297617389,-0.208064349853824,-0.49828650346923,-0.577915177892344,-0.345695515693381,-0.549890359146194,0.305208117528106,-0.0316046703082528,-0.399026709622044,-0.0195550977640737,-0.317373387937677,0.769404121112533,0.60359465801575,0.247088208140362,-0.0145137352240961,0.386228682881636,0.248994479824808,0.451045955205067,0.52021611737937,0.04439274241891,0.370604460194832,0.607225976008303,0.410790850287695,-0.462607601220754,-0.715798595613552,0.0123457215651197
mild,0.136826047983129,-0.0748469703046408,0.173941528687611,-0.0795680885473656,-0.404891402870213,-0.606469125493482,0.637242754447581,0.617898492207759,0.148520222375302,0.3411746208678,-0.0233122918297644,0.568854631063395,-0.400090316949849,0.0487798284833471,-0.348363317620092,-0.31519207743223,-0.556993675473789,-0.323806565668128,-0.509280952410056,-0.491261643719382,0.467635616036314,-0.105677603469023,-0.197636282952797,-0.0862816527086677,-0.0216665791829198,0.61724435146008,0.375527596938026,0.162983814890093,0.282857603612321,0.204149306990756,0.221261325309471,0.211609689937741,0.648112274440779,0.138845041398005,0.314707305273343,0.427187873703078,0.300728749081552,-0.556966313286132,-0.564434206138365,0.0314969965336019
mild,0.527993597173196,0.164853305690166,0.112947170278586,0.0212483694885657,-0.607995872038425,-0.579554630212074,0.688007490367626,0.339702294286967,0.382092512157146,0.394180742093259,0.133965651232063,0.343288080540603,-0.454292262289541,0.056481361265046,-0.649841707120602,-0.0535520990327118,-0.354323269859211,-0.363774654952901,-0.125619841231457,-0.483202606900341,0.179526743901217,-0.0529929388476986,-0.344335746574016,0.014694252996256,-0.026160476696853,0.680139622183248,0.395070782422768,0.223876744941245,0.192495720076428,0.373622533362572,0.4826381426271,0.337481638417291,0.530414287985548,0.262298401026801,0.0660609394475669,0.485310355704987,0.327114652508814,-0.303305736796445,-0.641626482370314,-0.029365089195859
mild,0.563498938622297,-0.025033785134298,0.142869610016706,-0.18541753140866,-0.795328835334624,-0.850333306426665,0.851241460338867,0.701051739896258,0.326870768029569,0.537332812683697,-0.130357796009578,0.582490577321685,-0.749333658576719,-0.198036423850068,-0.778423943509182,-0.0406402289835337,-0.782984558633682,-0.704045862355208,-0.413182164121159,-0.695235277510809,0.0395940862566704,0.364054257856386,-0.615769549230443,0.248213996971616,-0.154038555949383,0.816147504507826,0.646187020472531,-0.0042224032184174,0.328620181774991,0.386018030234546,0.0811434332723642,0.351472863274896,0.793955954178936,0.262855843248794,0.191900900198929,0.749949738577417,0.335978008675196,-0.56649124831156,-0.82530302952766,-0.423339954099383
mild,0.436700929075462,0.487211255407748,0.424020404341535,-0.008252009229936,-0.50113347208239,-0.420929478557677,0.616723741582287,0.524324725722255,0.693449265613456,0.385894544674796,0.354190157928525,0.254633427666599,-0.670329771382627,0.171556165534117,-0.455679985089366,-0.476383039934483,-0.628323923081624,-0.364006708796516,-0.409227705921046,-0.0587359001286811,0.129010695187166,0.091274131830889,-0.420322555156826,0.116481167592362,0.0314171122994652,0.526360303023781,0.309492457471777,0.319058992703941,0.218917112299465,0.36129679144385,-0.208253434800406,0.16076091665875,0.428890413835294,-0.0594365197942651,0.283088235294118,0.357215097045555,0.245182775651656,-0.0061297776634352,-0.552729264500667,-0.0152305642389371
mild,0.679899533117675,-0.0535115652082164,0.262031416737609,-0.0155734419048247,-0.736632019280747,-0.787320850810201,0.807375438615933,0.79288085783249,0.22176968224366,0.814888010540184,-0.0406213655149075,0.846034529052911,-0.570405954785131,0.118852639858473,-0.715845420106046,-0.623129784296911,-0.692697352551063,-0.73663295237476,-0.459921478633735,-0.699562848591058,0.749407114624506,-0.189957688381213,0.128432109470172,-0.232693528818691,-0.0656951807783007,0.871933545248408,0.770041975363921,0.188911685632225,0.667852437417655,0.644795783926219,0.674413460452233,0.602387334058207,0.856741007645314,0.32355785782812,0.643873517786561,0.803399664373679,0.49384282397524,-0.662789907859866,-0.756222567682671,-0.144532711628447
moderate,-0.143944956127422,0.118584644129053,-0.0440105081324331,0.233503291550158,-0.690184800184003,-0.219824230974235,0.220791765932575,0.217136181689534,-0.146990015940351,0.164032956380397,-0.0053972471469409,0.0135515142630751,-0.382405582317115,0.214473287613251,-0.152774580658002,-0.393370213014961,-0.273982233188525,-0.229409546351428,-0.15346954930867,-0.202676089072682,0.119701858566942,-0.189333794364943,-0.492324805339266,-0.335429288499851,-0.57324557206366,0.157724568784125,-0.105518899327418,0.0873155850399341,-0.0896065009295925,0.0096036467748022,0.0282922049156077,0.0818895426800558,0.257102340046676,-0.290415743366066,-0.480756395995551,-0.205696713478905,0.0688694480279967,-0.0486688062388595,-0.378143816676111,-0.241725216734505
