group,CD47,CD33,CD11c,CD45RA,CD123,CD4,CD183,CD27,HLA-DR,CD1C,CD64,CD1d,CD366,CD278,CD39,ITGB7,CD54,FCERIA,CD83,CD303,CD98,CD28,CD38,CD127,CD45,CD71,CD304,CD49d,CD305,CD99,CD371,CD85j,CD328,CD101
healthy,-0.489386135907728,0.204362633042392,0.402895539822546,-0.522389230692461,-0.316769596170421,-0.284590325778951,-0.230663831055653,-0.0364082421727354,-0.270009060706735,0.501197023812371,0.0524861597868399,0.0202850483477285,0.5758554779621,-0.0750295624661966,0.480847850606384,0.0482988322293244,-0.106916339474479,0.107497803457466,-0.324546202506222,-0.640711766102933,-0.276844375363344,-0.0790411192975837,-0.304530543039673,-0.250657908826682,-0.581794843167692,-0.320726555961223,-0.402827581784065,-0.247206282090003,-0.525643999040951,-0.254478732237367,-0.0594986408939897,-0.159907252718333,0.0537229292624668,0.337230434012052
healthy,-0.0156862745098039,-0.482556739121478,-0.264751291355995,-0.163693262387635,0.159959092138616,-0.0620570493720376,-0.203247474430896,-0.127235273373572,-0.285434173669468,-0.173009509497218,-0.273666180844528,-0.385961150958668,-0.0254246418090461,-0.130473140140067,-0.36020881311332,-0.257592747125813,-0.0557422969187675,-0.30490913579436,0.0334151342351401,0.0563539089934915,0.0354030748415689,-0.183003689221141,-0.0470588235294118,0.0008529734771807,-0.34092023334532,-0.175554920535394,-0.0038640759005465,-0.250700280112045,-0.404201680672269,-0.37782551862048,-0.280672268907563,-0.204726557956022,-0.467248417246247,-0.137365042149664
healthy,0.0318990206706142,0.255539227396116,0.515219008092598,-0.690752884824992,-0.538635161865218,-0.413788181309939,-0.489129505545322,-0.246569501307465,-0.226698679471789,0.458086587651579,0.146007816907565,0.215651610691994,0.138839972803968,-0.232950348256108,0.144101417000809,-0.108273355134242,-0.296614645858343,0.407198596515101,-0.374179964573354,-0.565849192717908,-0.407544008100573,-0.0937910931233895,-0.378823529411765,-0.188546768428866,-0.336801753145104,-0.490594492972118,-0.490769547664223,-0.36422569027611,-0.401201631743055,-0.31632126393431,0.30093637454982,-0.152011546876652,0.535311152157089,0.535663204127136
healthy,0.202421899223155,0.344097047034376,0.393123354477445,0.104089436401881,0.256555083398823,0.255540296811638,-0.168495344159963,-0.204703513355733,0.391935483870968,0.360687170955856,0.101542943776707,0.333757231638612,0.232902386668617,-0.126844809648511,0.225550935631321,0.256566180117216,0.422177419354839,0.645610823145437,-0.289660535466003,-0.11742181329002,-0.187304440274109,-0.085118355672876,0.354435483870968,-0.016608459643488,0.304869444033466,-0.520951767906095,-0.0592428489193866,0.328629032258065,0.0310609141850776,0.159628690734704,0.263009299333385,0.207861680625508,0.395431390315062,0.321212776682184
healthy,0.241799566398354,-0.145945945945946,0.138002064306245,0.194528497866285,-0.156584752403356,0.533134167609169,-0.303964377427269,-0.0419048905924758,-0.0355212355212355,0.157398998078802,-0.266761677123413,-0.302096867711343,-0.088779208717213,0.266643452335134,0.300729079010609,-0.0414174686391129,0.157528957528958,-0.179381592243519,-0.664697634563547,-0.18513574521168,-0.44277859643918,0.319153899567271,-0.421134370295848,0.0072449613010816,0.246134224989311,-0.45138646153632,-0.213846878562156,0.115830115830116,-0.377062379336811,-0.124516443380349,-0.36637488341005,-0.248364320080419,0.0047456984345367,-0.0933676948232021
healthy,-0.439786512560434,0.511169286853357,0.563478854402885,-0.639898337893475,-0.543398588122461,-0.388931764100585,-0.577034749027646,-0.247961553019936,0.0665803796116088,0.579520457030074,0.392682645259502,0.535989717444799,0.508621174815967,-0.284707941083147,0.598916186764279,0.24892107390917,-0.0902863761339582,0.542666582043241,0.0,-0.692865352029797,-0.224126472198391,-0.346278538303695,-0.228599909962055,-0.314353984693715,-0.340922245803589,-0.385531835823725,-0.559845328706768,-0.172036786931635,-0.471345475571267,-0.0220345197360688,0.335485751926953,0.0740057420240942,0.400813199308396,0.66330921354738
healthy,-0.436757246361623,-0.0009875646033184,0.199195067037235,-0.646048863958742,-0.748177395521328,-0.539174955616508,-0.346064842100741,0.232675041046327,-0.327658019729631,0.258796572401918,-0.139461360234733,0.105696034927011,0.45460100217141,0.101491850275668,0.220292942399222,0.16478102423575,-0.369249881498987,-0.0896856002382875,0.134571319915714,-0.750229592823929,-0.702032432824211,0.22459083134223,-0.659048143792982,0.156472030739288,-0.50773728173844,-0.337215893721692,-0.660359004764889,-0.693204238217026,-0.881095389947253,-0.640738746554924,-0.441192590451243,-0.477312942465119,-0.020003692808034,0.177600115279806
healthy,-0.372827360876651,0.669070201723517,0.709563011676121,-0.54024283685634,-0.695438687598432,-0.466302787510228,-0.605047225079945,0.0674654470643001,-0.350723562152134,0.508168831634305,0.246180210252795,0.578611790225172,0.401113305464955,0.0070067971728501,0.619113308092312,0.212724271168964,-0.277273584644444,0.342865602984012,-0.195726610974352,-0.795058369795201,-0.594682930386694,-0.0105212630418163,-0.150519683717928,-0.0838430560696842,-0.170774572517455,-0.313269727489475,-0.505513544631113,-0.333770362058457,-0.582071309588365,-0.292845303484582,0.49201980206534,0.098135628658109,0.503336942552124,0.666369904435718
mild,-0.32676804851664,0.61419750378565,0.614406354967088,-0.654789068067214,-0.666140966339794,-0.529988625688264,-0.590363869009345,-0.168662457806827,-0.236332849540397,0.487551468587989,0.437403201612858,0.455607364454768,0.375074588696623,-0.1629943582993,0.393641993675017,0.37233060379538,-0.399338803072652,0.105715269324968,-0.0492432014230193,-0.704384730489739,-0.319337109250058,-0.412918800208761,-0.299306563457507,-0.187857116164743,-0.220051803423014,-0.391879957319041,-0.696129600283224,-0.102241573939687,-0.420245667138742,-0.389743893037043,0.56691996164337,-0.381114366161985,0.300638696735398,0.661381794708838
mild,-0.512454308454989,0.474933615583443,0.496737572720424,-0.649711146749366,-0.545349985615703,-0.585867992892331,-0.428922898979631,0.101073712909849,-0.10421224345275,0.543066231110581,0.0756725003870161,0.25581771743156,0.210161356716059,-0.293287920845966,0.287643460552129,0.125658157048893,-0.278174760979731,0.223173222257745,-0.0867842365746252,-0.664099016057816,-0.338945189724877,-0.274492356841005,-0.250020559744448,-0.100024177239049,-0.526740714830701,-0.360432169159451,-0.55799541981349,-0.0322337930037994,-0.581883833755452,-0.273054372903514,0.296026507408197,-0.118912758742995,0.215576829600234,0.539040816054945
