group,CD155,CD47,CD3,CD33,CD11c,CD45RA,CD123,CD49f,CD4,CD5,CD183,CD32,CD1C,CD1d,CD366,CD58,CD39,CD370,CD41,CD226,CD303,CD98,CD28,CD45,CD71,CD304,CD36,CD305,CD319,CD371,CD328,CD101
healthy,-0.0641254846010114,-0.331617511808522,-0.0895037693986519,-0.0814275086151151,0.0539314954603596,-0.477648643044375,-0.649595918918378,-0.282886751833673,-0.334954925010621,-0.0938017289202374,-0.305242004538514,0.424065082693613,0.126332888678645,0.413231022780622,0.308862421794214,0.0234550239580106,0.0883628999995751,0.185174376557643,-0.231370168317532,-0.243349506104357,-0.507154947253307,-0.391663805401859,-0.0279521343132614,-0.498961755178729,0.0461549770658483,-0.327361148740974,-0.183406025515326,-0.604940097127526,-0.126974527300598,-0.111446692842042,0.327996700879505,0.0851040366535137
healthy,0.166608939632442,-0.425210084033613,-0.0727148828557397,0.552055018395592,0.438402350111992,-0.819633465324185,-0.63097357703293,0.199170898500447,-0.481714335736337,-0.260485967981138,-0.477250726449668,0.526722952858963,0.653716713409685,0.806180039579728,0.468095905306548,0.832929741730958,0.617966417776235,-0.186789792973114,0.107348487638195,0.114168375303395,-0.715466182424126,-0.398020952048617,-0.106963375140334,-0.380838995261267,-0.165311845755371,-0.584880579491819,-0.0098039215686274,-0.628291316526611,-0.459302271110359,-0.120168067226891,0.442388767477402,0.604969734349393
healthy,0.0415808429530911,-0.11288466219053,0.010728429045885,-0.0238255909379642,0.231235483893355,-0.502753752211321,-0.522357590553487,0.0736952771272069,-0.447706032930143,-0.0797880160653679,-0.229291898692079,0.077577729057471,0.0727082178666916,0.111887405188626,-0.0207561665898405,-0.046545387521556,-0.0377970929838188,-0.120356219652327,0.0251261138772899,0.16987146331005,-0.473360444712033,-0.46069055055086,-0.0301826328679285,-0.512267392519073,-0.245297246486059,-0.405232887817857,0.176959358741239,-0.490063852286048,-0.105017540165462,0.163505402160864,0.323092490315469,0.202216110233736
healthy,-0.0183433721093696,-0.499293896987124,-0.233572215821516,0.499697529886871,0.502785144558132,-0.456360744695305,-0.275514342706598,-0.0294053643102174,-0.303289710942712,-0.272006437628101,-0.349296528061945,0.515012354824882,0.645504954047206,0.520677896526446,0.412186957701294,0.297489498392667,0.39627180956221,-0.306186217847897,-0.0258979873253283,-0.261878763256975,-0.626082045165204,-0.441239776451059,-0.364694093004924,-0.339751992854756,-0.119493966883893,-0.521045712217228,-0.0629286053619755,-0.556272735860027,-0.542328256119914,0.357805595872258,0.316261334415119,0.462627206668052
healthy,0.275973636616162,-0.591065606751532,-0.281104367795785,-0.222651222651223,-0.195674568792437,-0.116236121664607,0.0360732791372918,-0.374589812477122,-0.227099627221867,-0.0630185290353557,0.204132939742823,-0.288178133037695,-0.171108793556353,-0.268688204715085,0.0372426813525679,0.0866649822948429,-0.306810949369257,0.218288143593602,-0.407485314029435,-0.225279272794349,0.337102746308652,0.279209662449376,-0.205967179857139,-0.431701389379159,0.652728222559151,0.113075198801359,-0.503490763793153,0.056141559250287,0.213904553882599,0.0321833172355982,0.0751402252134985,-0.189954965329963
healthy,-0.210554692446784,0.320678336879446,0.0442378096781794,-0.462759324796343,-0.553109861496251,0.64610796594779,0.80864761772815,0.0193192720044992,0.449160717731044,0.117851949053833,0.560084289068671,-0.672947717026425,-0.755525129883685,-0.572200437221549,-0.441195609542521,-0.531015185022301,-0.658830438995246,0.209896046111114,0.19214886224832,-0.0304627889931174,0.723962662431334,0.477214072131006,0.0727482165234586,0.233101807190173,0.43597816290295,0.712124190672469,0.129433569769772,0.70127441438165,0.639391510090992,-0.202352911349229,-0.581734915864079,-0.595564661229555
healthy,0.35202658261273,-0.374483644009476,0.155973657184264,0.151755760709932,0.320337138998788,-0.630069725390508,-0.733043354945356,0.139115782175402,-0.63187905830563,0.0764316811345537,-0.35164805940562,0.164794276449056,0.137773268271695,0.1866354584647,0.423197338023698,0.233960418674908,0.34011243815573,0.278508447346573,-0.13833066580451,0.0641546568427961,-0.61944655828204,-0.571567598886989,0.133146492066381,-0.29001553057882,-0.209086081363669,-0.62359692594473,-0.394033381608562,-0.667804550825836,-0.134075540734983,-0.245021740088285,0.116518141361137,0.259215163569901
healthy,0.265385068411027,-0.435254267814137,-0.196492748729178,0.598319861286871,0.701261044780458,-0.605086206231629,-0.669751136946948,-0.091344294139024,-0.561408937465061,0.103511881976095,-0.625622173535012,0.406418448970392,0.538455306584126,0.541770300630378,0.557535171510783,0.277104793797157,0.587290919797518,-0.263517758627967,-0.0037836122031179,-0.0452078079908881,-0.761721246869783,-0.625950015720037,-0.212192969004903,-0.339507571026405,-0.37389166144818,-0.478131065212105,-0.066716179326762,-0.667904030176221,-0.411351316846111,0.425288158492424,0.460860288354289,0.624474095865415
mild,-0.225323134471048,0.231353069923095,0.266981036125688,-0.133032094270764,-0.111040220492997,0.0100030386055848,-0.00929479893763,0.203441064982992,0.378597944597198,0.403136132284712,-0.11426397464697,-0.151325596194458,-0.0523483666908748,-0.102984933350441,0.0437357542423184,-0.247916141575371,0.002183187061695,-0.181872757462707,0.0738632432470826,-0.0296458521775306,0.0266580764794679,-0.133835525220431,0.183034198938691,0.226671116658776,-0.236097728092912,0.0721476131958922,0.191925695367043,-0.105586118443618,-0.429835249724237,-0.243623016408898,0.144210715892613,-0.142060209150049
mild,0.129571767842065,-0.468219302234319,-0.168094738547924,0.331168414923733,0.344234536947616,-0.663278994202692,-0.656375456954845,0.23093891780099,-0.600804168207386,-0.220239213734556,-0.508344214313316,0.42880170366546,0.281376479749964,0.405660751999511,0.033732434523574,0.155245718508683,0.165767549194681,-0.225736232443455,0.146066208910925,0.282676554395741,-0.671662296264444,-0.37991061058423,-0.129147302505997,-0.620785289516918,-0.541966974333944,-0.463534326087235,-0.150184424915515,-0.473769888696848,-0.348232649252281,0.249500468414915,0.16206668257958,0.401287631790197
mild,0.24588612830155,-0.443730688550732,0.170116339289173,0.494595845008355,0.624259931945725,-0.726878056543092,-0.794226035223182,-0.0470559087145182,-0.605219705410383,0.275471277524413,-0.582937392477073,0.375057116690172,0.426138115924305,0.425197298037601,0.682263731468102,0.171398852320429,0.494033880772995,-0.0042186525031294,-0.100836386812511,-0.0067674026890656,-0.797692553068284,-0.739143386553995,0.144432998979201,-0.420036755053257,-0.114214417327002,-0.682692334101164,-0.405945444932122,-0.717377546030446,-0.407317434334847,-0.14219228413962,0.409807421293864,0.549902976947518
mild,0.341016048081568,-0.112977354785692,-0.607438899858229,0.26782986233701,-0.0367769997151267,-0.0834330848634236,0.170990190127264,-0.669181305858992,-0.238489179407074,-0.549391354995268,-0.065426644608779,0.190008112450662,0.201479728116153,0.194135548507219,-0.0201479728116153,0.253092625312281,-0.153319212083749,0.111391598584876,-0.435848189782167,0.0,0.0589429230709721,0.0065931977155641,-0.457875545709338,-0.209893048128342,0.0668467815408711,0.0502224007910758,-0.440569005480654,-0.0301306079982193,-0.0240741905549291,0.258021390374332,0.160395848859888,0.226649129053271
