group,CD86,CD47,CD33,CD11c,CD45RA,CD123,CD4,CD183,CD32,CD62L,HLA-DR,CD1C,CD64,CD1d,CD366,CD39,CD244,CD169,CD54,FCERIA,CD41,CD2,CD303,CD98,CD18,CD38,CD45,CD71,CD304,CD49d,CD305,CD319,CD371,IgLambdaLight,CD328,CD101
healthy,-0.604175059439085,0.367267152830939,-0.41802478656729,-0.47053714859516,0.672667720214256,0.421528045297647,0.175517594310366,0.346935314123421,-0.744630316431202,0.304182140020823,0.108879492600423,-0.495071792846134,0.11351657814363,-0.37550390634602,-0.277612098174563,-0.561219670953823,-0.234584290172785,0.0268958005710554,0.235125339776503,-0.151140074091907,-0.059388317700772,-0.188866094086048,0.634235640546631,0.365576546954159,-0.005224936695627,0.261753423346225,0.478800921547869,0.0658634891706084,0.161538959378724,0.277257626094835,0.537707455823501,0.252887394673933,-0.112654787073392,0.132503819410187,-0.399859840022805,-0.487565728706583
healthy,0.0647770129234493,-0.412885154061625,0.127483712284638,-0.0361597846319993,-0.731513384680574,-0.281751001434505,-0.329379723590046,-0.359591685531585,0.304396364348007,0.0119435073289621,-0.385434173669468,0.142436982167498,0.202850506478471,0.228712519065722,0.180797452864328,0.0773697922737501,-0.24179546923159,0.0,-0.307282913165266,-0.0171108162681287,0.0223171855879404,-0.165522114923997,-0.421892778140464,-0.292414333053128,-0.260967127847995,-0.365266106442577,-0.559562995979684,-0.262621056165589,-0.393784462228426,-0.361344537815126,-0.665546218487395,-0.244838485201113,-0.375350140056022,0.0934252114583196,-0.151135370753774,0.211612608521842
healthy,-0.101316799652416,-0.0695757939436685,-0.387409967403168,-0.590806901767032,0.596356277055403,0.449329815937414,0.340667826967233,0.451814822949935,-0.429984338963842,0.0179720426749967,0.245810324129652,-0.3427956729046,-0.318139451834809,-0.457510210844764,-0.157429022232456,-0.143908574689667,-0.601746355134646,0.173898440751059,0.331380552220888,-0.508479290704631,-0.0644247011652883,-0.349922026919164,0.517451801958112,0.336821443737593,-0.441756182817823,0.33781512605042,0.172582062720329,0.295744779863893,0.528680532637681,0.256278511404562,0.376883468630694,0.359877887502408,-0.520096038415366,0.0116843739150264,-0.542656419218024,-0.68928773178744
healthy,-0.373549381404807,0.618163785962636,-0.66579246813279,-0.722311052745485,0.823327032245466,0.632916550082946,0.317857328813209,0.323738245520827,-0.748592761422624,0.147936320589878,0.323387096774194,-0.869217122047683,-0.40755018610832,-0.832627717261477,-0.505599245879534,-0.560969684291158,-0.514324273985765,0.204124145231932,0.230645161290323,-0.641978127047713,0.274963787305634,0.0766129032258065,0.79127718720277,0.360284323122852,-0.509866625467401,0.156048387096774,0.234096180239983,-0.0151987940334776,0.708000604298899,0.3,0.787010955520604,0.580099231589669,-0.434449410095177,-0.306186217847897,-0.428104746718214,-0.554748606773131
healthy,-0.313905469331075,-0.148024734557967,0.0257400257400257,-0.0141606595836632,0.344433013392364,-0.16780755035718,0.162657681719594,-0.379582966419592,0.0341077290107142,0.272798309903145,-0.203088803088803,-0.284214606246145,-0.0799135196555052,-0.0134150615892313,-0.212965191959755,-0.345372595473027,0.0794842520109884,-0.0398060674773401,-0.0494208494208494,-0.160824875804534,-0.241463193388036,-0.217044291436875,-0.178366613759699,-0.0760720936613569,-0.0625181058220127,-0.13530939070093,0.237886795460874,-0.216306351369123,0.0215311583209842,0.103989703989704,0.218038148716231,0.0030461091533914,-0.0239443880232851,0.164828350855737,-0.197210134946305,-0.0475209370893263
healthy,-0.317681253447927,0.348316074843577,-0.470033694094804,-0.5974284230785,0.64171906216866,0.530562401001458,0.382114605440864,0.574928782790319,-0.440579831414646,-0.155879218244257,-0.107821305403393,-0.776134196315927,-0.278432628107402,-0.552108494580034,-0.65253575148699,-0.542962806577722,-0.418381255662494,0.284195531460181,0.242510975040491,-0.461397128659501,0.236800233118672,-0.179380796904084,0.730311696638314,0.382441574607852,-0.423208124252618,0.218824361695286,0.393079940832208,0.110395372478019,0.629048863578141,0.251784680686861,0.695948931298154,0.646461736540735,-0.344283005345172,0.0428284253915167,-0.339612358435206,-0.660969299281995
healthy,-0.267989611537718,0.230533141688109,-0.707425444177102,-0.757091992979747,0.67946322827835,0.601456064180575,0.604394932454173,0.603602569138522,-0.786347972924222,0.0758658392088959,-0.286846912678115,-0.662547719540784,-0.350684165942222,-0.636700856385634,-0.586956953904554,-0.709614563949849,-0.566174597378773,0.139160604720194,0.33267565516013,-0.558495014081654,0.135216991745776,-0.524747530089149,0.781775681339784,0.591814811987632,-0.416856338758683,0.175792455287225,0.338686399513051,0.168972792409349,0.758610542212069,0.401205699671173,0.562303886734865,0.424351139465486,-0.22817786562054,0.0760543503665019,-0.663029040349447,-0.801188648759396
healthy,-0.312091227785554,0.436060816999375,-0.597705773639735,-0.701821147494558,0.716326124384063,0.744209173185085,0.655506938727521,0.461047656912092,-0.542936612498426,0.247178122090571,0.361236858379716,-0.483837562433043,-0.119809246256613,-0.610424284148284,-0.490802848589208,-0.485543524250863,-0.417869086058871,-0.0103159820771661,0.401454549954145,-0.416593338073437,0.0426042455728634,-0.170379200650868,0.768257645692587,0.659543883181785,-0.321918742983447,0.16158130289128,0.456359843367721,0.292257405290136,0.57161563181952,0.465373721417433,0.705035930779386,0.463116630922007,-0.414528183696569,0.082950917934178,-0.453238613947954,-0.553245604399175
mild,-0.149881583729623,0.189134767212077,-0.33560562923656,-0.598207927469933,0.76195276853852,0.559991072277745,0.431297743887842,0.467040129382276,-0.352437606398152,-0.295752945941169,0.12385099177552,-0.413154790655336,-0.32341050919531,-0.533014340502485,-0.308904012370745,-0.462300999023427,-0.297680305713937,-0.109684934598649,0.464894067463982,-0.066896036478155,-0.0735800873310204,0.0964775978711145,0.667120752615214,0.350813512309898,-0.201501929829576,0.215771649733914,0.287536509094929,0.239703222624084,0.560980531194763,0.0961135300757942,0.463594096499768,0.232641182317495,-0.572651318225554,-0.0389842011265569,-0.522570013503339,-0.671991764719474
mild,-0.103542481726448,0.14769929154426,-0.0267319378415004,0.0504583265800824,0.0721749304548429,0.0068067035127649,0.0563242030964689,-0.0965164149030014,0.221773121238714,-0.0252510608855849,0.0574488802336903,0.164847474681336,-0.086263087858257,-0.160343301841789,0.0443559195739094,0.0781947218886279,0.234397445671367,-0.0294565646636658,-0.0399271525534444,0.10388104352724,-0.0714138155557021,-0.034420346336731,-0.090454680575479,-0.225688819022408,-0.0694416279700795,-0.0790650335894443,0.267912534505671,0.150211792284353,-0.179894077841749,-0.0783904601139869,-0.160803111409984,0.0020845255088108,0.0144927536521614,-0.142051895737302,0.0609602386282053,0.0768409633087923
