group,ARID3A,ATF1,BACH2,CTCFL,DUX4,E2F1,EBF1,EGR1,EGR2,ELK1,ELK4,ESR2,ETV7,FOS,FOSL1,FOXH1,FOXP2,FOXP3,GATA3,GLI2,GTF2I,HEY1,HOXB13,HSF2,JUNB,KLF1,KLF9,KMT2A,MAF,MAFK,MAX,MEF2A,MITF,MYBL2,NANOG,NFIC,NRF1,ONECUT1,PPARG,RBPJ,RELA,RUNX2,RXRA,RXRG,SPI1,SPIB,STAT2,STAT3,STAT4,STAT5A,TCF4,TFAP2A,TFDP1,ZBTB33,ZNF143
healthy,0.146911716296286,0.123132159478824,-0.375952930655595,-0.0344834617661048,0.014540919599607,0.11989118593869,0.0957018508575331,0.157739796476352,0.0434364959516869,-0.168431283901853,-0.0081210601350495,-0.314324763300472,-0.265797082860451,0.327015471951879,0.250883637566576,-0.250933307659145,-0.0371904818111213,0.0249592215159779,0.0326705033873322,0.229922858502411,-0.0333907197295843,-0.1282357614903,-0.0513340406701754,0.110019255040579,0.293947607823994,-0.0922125268545531,-0.164345918788043,-0.0900767128740814,0.0983467832868382,-0.235498326393294,-0.148041710902233,-0.097440304097452,0.0166394810106519,0.1490599477999,0.0704073562167137,-0.135015729125984,0.0548109471500131,0.0986820564116797,0.0628078320536399,-0.174962901074691,-0.180476281349862,0.130545420794764,0.0588466421712533,-0.0207000110781767,0.20707461592062,-0.0469879075703783,0.184288460954541,0.0010554894670935,-0.0103437967775172,0.0863638734545404,-0.127292029731487,-0.138020769726415,-0.169958639248353,-0.104058843932286,0.11836383059219
healthy,-0.196424646610444,0.181821407593709,0.165553414907365,-0.468686576615801,0.106391284283877,0.519023600908224,-0.0282731963080149,0.311752209631226,-0.288847153505816,-0.133258893167743,0.387316872795259,0.155043727980808,0.21336038183632,-0.110471382388635,0.184474675139445,0.0595699988130651,0.181669873231609,0.0832794616456954,0.264734071110584,-0.399333406088862,0.0230813741448621,0.462638656117234,-0.454777280004943,-0.0406182900876666,0.215782099211932,-0.180000870935026,-0.190119684179905,0.186686085479805,-0.0057533490283165,-0.162857661091882,0.371902854130841,0.115954943604054,-0.0160591018600849,-0.0119903334272595,0.258688983030001,-0.0758082511105856,-0.417616664170232,-0.057321767038923,-0.366464611603152,0.373503170291333,0.135472427821591,0.181052406111278,-0.210744643828862,0.227104690099659,-0.246086847318376,0.214276669053876,-0.14105370745743,0.118468714564119,-0.0798522358860583,0.446256658607068,-0.49399352319094,0.376089167909968,0.262407239737409,0.342139805963678,0.211491694071923
healthy,-0.263190700214712,0.0659781932388858,0.270565469807735,-0.0192649007253773,-0.265684258079716,0.15351266470072,-0.0038317993446777,0.138243233141275,-0.0878906940139776,-0.188499495903129,-0.232160827632058,0.19336145235806,-0.183146529984434,0.185370514026194,0.0083375332474646,-0.0020891971301383,-0.064851759763189,-0.0276120616093863,0.161108869934264,-0.0138734242605041,0.342512797704159,-0.128153470042727,-0.07176440280208,0.0359592224933954,-0.144106463796825,-0.0033793004270901,0.241749953630296,0.0113413558493226,-0.169947040282039,-0.1717377806793,0.352515912073807,-0.276265030642029,0.0090499783517514,0.0666906383431726,0.0339374188190679,0.0425926640724983,-0.0566682687004351,0.185707481305248,0.252898756748731,0.223341912557372,-0.049823019117355,-0.0714274355230255,-0.343254125718079,-0.11202717883083,0.30900862252959,0.055416675949661,-0.0529231180846571,-0.0576887981741432,0.0793220974894469,0.114106748324423,-0.164488170361355,0.285651976272835,0.143509550331071,-0.338392169263149,-0.0461548895939323
healthy,-0.299522804922726,0.514400399802828,0.778266557763802,0.551679558900461,0.706658903873701,-0.291691887859363,0.713615218604312,-0.732231484843774,0.134201299139094,0.66764090158139,-0.702360777385445,-0.0404648404001274,-0.551840632674182,0.670036285245566,-0.25405054825883,0.0617534241603397,-0.0490968875485793,-0.670368794263834,0.666300975013442,0.603621612142176,-0.651720972635953,-0.65985472723295,-0.671928195622876,-0.209629038931698,-0.772983149595353,0.731897562897667,0.750513358161182,-0.760532900448184,-0.669336414988986,-0.661865323548791,-0.0365698693221213,0.760555036317672,-0.699435074805448,-0.453376988359648,0.422519586293287,0.315636775958143,-0.290679289574271,0.38044165327621,0.367135169858204,-0.67542566300199,-0.647979068740577,-0.565408978718472,0.650439918061324,-0.719358299296598,0.210359051648858,-0.69535171334882,0.668776424588533,-0.627959294180382,0.410874706014726,0.658693771524693,0.69992818662149,-0.115874212130816,-0.301417541155715,0.720174500611977,-0.686582612199921
healthy,0.245172702391305,-0.213776896497191,-0.0099895746026724,0.126534611633851,-0.0396728819934707,-0.169917907051172,0.178575538373488,-0.0278756700817432,0.0522312043511161,-0.131767245949537,0.122633920598522,0.066787441629296,-0.0209305372627423,-0.173342904057802,0.109504765406438,0.0348208029007441,-0.233375490479577,-0.231853269587741,0.0957096385741763,0.0039006910353292,-0.179241510013666,0.0630770282054462,-0.0978026923004505,-0.272572678444349,0.0867665908346409,-0.119494340009111,0.0243555342693729,0.125868639993673,0.0268291432186061,0.103606159450575,0.060983974479172,0.0752547953401327,0.0561318953864453,-0.0048520790927266,-0.200933157722326,0.019598593982386,0.118542951951713,-0.0626964729824873,0.115213093750823,-0.259728939669484,-0.207973429347067,0.21063731590778,0.0792506251812017,0.009418741768234,0.131481829532318,0.261060882949841,-0.255257415799717,-0.202265101002683,0.213872035302931,0.285796972442173,0.117401286282837,0.114737399722124,0.0387214939360733,-0.106650601234246,0.0574638386668017
healthy,0.210725188146864,0.260196445077642,0.347283137900573,-0.0012413613356863,0.0345831237307513,0.022456609361216,-0.299627440280138,0.145042408398279,-0.0237581247704378,-0.190157963549876,-0.291837487757296,0.128494569623887,-0.256628214806562,0.154505737875835,0.161800786430045,0.266731364884449,-0.397159067689681,-0.181197740869162,-0.0489326045450288,0.204917585774622,0.320358721441314,-0.130009358566553,-0.0319582187037493,-0.0992760955420713,-0.0379845631615747,-0.0355237146987603,0.0366748449241435,-0.400106617292919,-0.150221127274468,-0.23106546783006,0.297738055515911,-0.163758528096017,0.0545843531812925,-0.338145187275323,-0.170834834564643,0.030596549220992,-0.367382801289627,0.258410962804067,0.128027008415952,0.170249699485707,-0.0601349336029738,-0.331375119726513,-0.0589619291690323,-0.13760791176451,0.0930419461029415,-0.0849074747953051,0.282144479089877,-0.0250350316950315,0.0850223143902365,0.197083884834663,0.299624706004068,-0.115359107384598,0.104944249834754,0.0945786092541656,-0.097528893133473
healthy,0.103541695444069,-0.29225797666267,0.280617779690773,0.231023286076799,-0.180373590471037,-0.0765351194667784,0.101134515900306,0.153564864867207,0.200653253750688,-0.341291894218508,-0.158610049390437,0.0808878276828985,-0.142056568144283,0.158280298768004,0.058332885108458,-0.280848605126476,-0.324078911727487,-0.0863946630775353,0.0362725684676675,0.117753947270946,-0.296445809567573,0.0064631121996934,0.215063355951025,-0.0674669773498615,0.333740604964784,-0.0768648700892117,0.201312754995554,-0.192640313625558,-0.123986234034936,0.0243685709978239,0.255952433132759,0.189540657774684,0.29957844048069,0.0140473765156603,-0.220603166407905,-0.124678710342046,-0.29839133823993,0.184627373500427,0.236826897031625,-0.0512102716638978,-0.0413177529908976,0.100705840091142,0.0320187854382774,-0.0120029226565736,0.0936162017088254,-0.268285106411766,-0.057541483614618,0.228088505537142,-0.0225219675121972,-0.0259183989232606,0.016388605934937,0.224527198814862,0.0055398104568801,0.214173029270455,0.293972679899323
healthy,0.238034735538991,-0.175146382524931,-0.292440781718699,0.0638823733462102,0.192110996193634,-0.337900644909052,0.214907195810954,0.501185051470319,0.38680644525086,0.334454707757596,0.130415467578155,-0.355594206821332,-0.186014338156444,0.131144415821732,-0.126903262404557,-0.190520563662193,-0.204105508201584,-0.118686027658778,-0.264078068241336,-0.211262454593069,0.119812584035216,-0.314574301114585,-0.0896606339599817,-0.194099036857935,-0.206027280843742,-0.332798007204012,0.240221580269722,0.47388262634725,0.159308325232665,0.292904657873702,-0.151886306752608,-0.12067406832308,-0.358046123640637,0.10907716444799,0.23154046936894,-0.361492060792092,0.322062587616786,0.110800133023717,0.60045454864109,0.136379589571059,-0.415235426750366,-0.116499182928047,-0.201322251271563,0.404632543207427,0.0972151884843261,0.289061112589387,0.515697748319718,0.374480593132193,-0.201786127426566,-0.339888685573353,0.346979363942694,-0.50257667993533,-0.205232064578022,0.36381144156711,0.451417766840647
healthy,-0.287069135762547,0.179956547048201,-0.0694223795873071,0.368513278513403,0.15117036909944,0.245759186957693,0.240540949100987,-0.116399731026406,-0.157419043798735,-0.286197227664971,-0.0509141486069423,-0.206747904955539,-0.163165710805486,0.178054202108035,-0.156243288939882,0.0085209200444934,-0.161540791169095,-0.157115197037458,0.22085696326177,-0.156956668292445,-0.340651851577222,-0.214766817307489,0.0403059334197667,0.153138767683361,-0.0651817356581871,-0.239404826428388,-0.0636757125805557,-0.239787937562172,-0.0414948990073705,-0.401777893508805,0.168093312629666,-0.0803476522645104,-0.141605801483605,-0.174698677005243,0.276711924421643,0.0145714338125214,-0.340519744289711,-0.228677714682452,0.0131182536498946,0.346424940041476,0.139426031239665,-0.114233171511217,-0.0700036516523579,-0.117694382444019,-0.299196584756105,-0.173126600283855,0.444131489885001,0.186310907577506,0.119794888315452,0.0870983346563494,-0.121036696818061,0.289143220176478,-0.037042883418232,0.241175064081043,-0.106557738106797
healthy,-0.187871756255662,0.296564624988623,-0.183393772899622,-0.486370055875302,0.608089785280378,-0.455329489430027,-0.120396688868065,-0.479144219096238,-0.138715711688227,0.392027088351467,0.304909957606697,-0.326689240292889,-0.175557302026553,0.284148398410513,-0.412585102849649,-0.483113340707273,0.266643554382358,0.239165020152115,-0.0333813304722952,-0.0729707742336454,-0.406784078956598,0.16843323759649,0.0336866475192979,0.411465607010639,-0.29279904807559,-0.0387752649693429,-0.081519651549721,0.25320960431424,-0.344295856670045,0.133016460144176,0.263793928610333,-0.180340602429595,0.380526812914366,-0.362818424188209,0.431005898018812,0.431514759763817,-0.0311423387942754,0.3505039699591,0.0202526974511791,0.479653080841242,0.0367398179893249,-0.205071283236814,0.611041183401404,0.249036938005203,0.167110197059478,0.283028902571503,-0.383987072780396,-0.0557712472524933,0.150215987125329,0.337375336937984,-0.11876833128405,0.178915789543582,-0.283334219618506,-0.209243949545851,-0.159782587931413
