group,AR,ARID3A,ASCL1,ATF3,BACH1,BHLHE40,CEBPA,CEBPD,E2F2,E2F4,E2F6,E2F7,EBF1,ELK1,EPAS1,ESR1,FOSL1,FOSL2,FOXA1,FOXD2,FOXP1,FOXP2,GATA1,GATA4,GLIS1,GTF2I,HIF1A,HNF4A,HNF4G,HOXA1,HOXA4,HOXA6,HSF2,IRF2,IRF3,KLF1,KLF4,MAF,MAFK,MYBL2,NFATC1,NFE2,NFYB,NR2F2,NRF1,PBX3,PRDM1,RBPJ,RUNX1,RUNX2,RXRG,SP1,SP2,SREBF1,STAT1,STAT2,STAT4,STAT5A,TBP,TCF12,TCF3,TFAP2A,THAP1,ZBTB33,ZBTB7B,ZKSCAN1
progressive,-0.359541412268985,0.0488889973836451,0.0495267866119315,0.130697731088842,0.0432960764586722,0.0880149135035217,-0.374529459133715,-0.14357616742924,-0.0595597017799751,-0.283252008423959,0.0377031555336992,-0.47893064973321,-0.185081527977723,-0.204877524409535,-0.148065222382179,0.215719941290404,0.0784480750792259,0.0299760937294603,0.0543347361790135,-0.162783435342634,0.134598057523362,0.0773442091071917,-0.149855938292367,0.0991762249985335,-0.0034342496907728,-0.361920856697592,-0.460091337143827,0.363956876157121,0.292916968267991,-0.127410663527673,0.251239895234969,0.0589709732615569,0.370776314828799,0.124908567324396,0.0797481838907327,0.287127804503546,-0.174214580741921,0.239857810545551,-0.155792284186418,0.180224517700773,0.255851601962578,-0.354905175186441,0.138204019698674,-0.294634093113378,0.0980723590264994,0.234044116426171,-0.305402918929444,0.33361282710365,0.103665279951472,0.147795388477904,0.0195752232374053,-0.429869939865026,-0.332705203971088,-0.220773194406827,-0.181917112191225,0.228647438340671,0.0574255609007091,0.488693730996979,-0.213732982540743,0.0344896790373332,0.0116519185936936,-0.165334592255779,0.107541076031059,0.249081224000769,-0.350833136267382,0.181475565802412
progressive,0.0700729785196503,-0.189031328878178,-0.365959681314407,-0.210100569041181,-0.190126219167548,-0.231939191569687,-0.186190532451706,0.216758685665726,-0.306302956358488,-0.229068803513772,-0.0197968000969789,0.0157723384928098,-0.194298638918929,0.189741527984796,0.105908441774421,0.365959681314407,0.441388744763135,0.0578516355599309,-0.0756953881137101,-0.221256613340974,-0.0873248984845811,-0.161599888385055,0.0087591223149562,0.101144189434191,0.0944564811802043,-0.298668315962344,0.0894850874338778,-0.0912309935709805,0.0703984864435169,0.240698313884643,-0.082738195921006,-0.0421680719554484,0.241526879509031,-0.0714046018445592,-0.0903728363171504,0.0489741467272049,-0.211935250066611,0.117449177256965,-0.170359010700011,-0.0248273771021903,0.0434701036509148,-0.260228789316641,0.195541487355511,-0.193322115147329,0.293282639403824,0.0667291243926569,0.19113233456859,-0.169027387375102,-0.0428782710620664,-0.362467869040201,-0.0795127083117823,-0.302308086383762,-0.109666578713608,-0.127687881044042,-0.32136509574468,0.166512098872497,-0.138814333714392,0.282097003474589,-0.0040540532336115,-0.25863084132675,0.13928779978547,-0.0458966172651933,0.289850010388503,0.517320865912385,0.313730455348536,-0.259459406951138
progressive,-0.112976899979784,-0.0150427938601241,-0.148758116507677,0.193296302348083,0.0151627523438572,0.0237373847610954,-0.292713095326683,-0.0756026347879157,0.011583191189263,-0.0215877287325992,-0.143523128277567,0.187759018738966,0.263846285801163,-0.0556079547192914,0.0333820468532324,-0.202878586028679,-0.0913219944962942,-0.0162279836794066,-0.0324943540736079,0.0541396628783989,-0.0070535588435031,-0.196261676065964,0.11753052402229,0.0495572487997965,0.0945800669144838,0.127127202720934,0.0754586846074361,0.0707563120451006,-0.0679828719011926,0.0875936848218711,0.0181521177584847,-0.0417167623030045,-0.109618062435259,-0.100909076516239,-0.118686923805477,0.0046016074359996,-0.108874319836114,-0.0847962529812165,0.0125044723443329,0.0919649719691034,-0.0831360275663511,0.0165590690945099,0.117242623661331,0.0420910327722516,-0.0582614363794664,-0.0928766564454745,-0.0452147516886602,-0.09927764113747,-0.102564503591755,0.01033082461909,0.0542500246834333,-0.002653481660175,-0.0778242659066518,-0.254350372228855,0.0017178054870572,-0.0655069287969425,-0.0095678886625478,0.114502771892868,0.164832553327906,-0.225032518804498,0.0963458557950343,-0.203670312021317,-0.118293459978833,0.210032909998518,0.292271648106546,0.155327043076899
progressive,0.0419051145337778,0.156467700776645,0.100374816226195,-0.168900282750017,0.387055529965129,-0.0258524572211002,0.100118851303214,0.113136495957686,-0.228466976969497,-0.119864716790335,-0.102093437851926,0.15602890376582,0.227333418024866,-0.231172891869584,0.169009982002723,0.195191536981942,-0.280245024246835,0.150361109042665,-0.0099460655786976,0.310851115751871,0.013017644654472,0.230149032177659,-0.0343358660970483,0.466148691166317,-0.0915988760096974,-0.124874315997252,0.171021134969004,-0.153067023942752,-0.19409454445488,0.462601748662149,0.222470084488223,0.0487430346191324,0.299442393470424,-0.188902113160119,0.104433688576326,0.109882084794068,-0.129152586852795,-0.0696224590508838,0.496974181176766,-0.309754123224809,-0.061395015097917,-0.0378096757660787,-0.199798905595604,-0.0070573185907671,-0.131602536829901,0.103080731126282,-0.0829692014634744,0.177493390878671,-0.0248651639467442,0.0112258901936036,0.131712236082607,0.0914891767569912,-0.0328366429767299,0.0186488729600582,-0.0297650639009556,0.0824938380350808,-0.0937562946462532,0.122570631690421,0.13017644654472,-0.156650532864489,-0.165426473080987,-0.0295822318131119,-0.0512661174313756,0.0348112295254419,0.0064722559096672,0.361861268260266
stable,-0.0878253450738984,0.1935821040677,0.210317051116615,0.233690050927773,-0.110046696805653,0.0939226493724613,0.0174530220358192,-0.225485289103197,-0.239281682338679,-0.146420069140896,0.119794783975216,0.128201230361921,0.0278880059024872,0.361677904868891,-0.130951740115012,0.221904657384242,0.180443377882637,-0.155417928712201,-0.264568249686171,-0.0979105475018984,0.247122047901245,-0.166415096116784,0.170564731624547,0.051770575887526,-0.0911779855487074,0.179179682824274,-0.183395572197857,0.131759452685084,-0.112470808837425,0.214335153214294,0.0942743794542416,-0.0997890394622099,-0.230250695834464,-0.27996155595223,0.0158561090052432,0.134010135479855,-0.164516143403793,-0.292011964959041,0.190329818713177,0.155090556669326,-0.0280682553903801,0.119152706069694,-0.153174066168323,0.172163593298235,0.0622065340757501,0.11479456574891,0.0278850829378186,-0.016363730536012,-0.0428565079700521,0.302939955533135,-0.18862865327609,-0.0559562612928673,0.174464940813928,-0.0925206006531209,0.29469914381098,-0.262310746640506,0.0050440626963342,0.0487277696675816,-0.227677512604598,0.062523188581508,0.173428262678154,-0.0333266688290736,-0.0875983281513089,0.126076235047896,0.112010929062909,0.315731823244198
stable,-0.0396090480876154,0.0754315996894506,0.0413875540127545,-0.0134477996404071,0.244435559504771,0.385167012226267,0.0598610671706516,-0.228050356529941,0.282059565495296,-0.415895004919961,0.400989977844117,-0.193352279642064,0.0829472215021354,0.317285457044826,-0.146594785158567,-0.0668144516263569,-0.128281911245521,-0.352706410534533,0.108465912969939,-0.0482950415413595,0.0397123161735912,0.47040908008342,-0.121076093690764,0.171964311613294,-0.021732194982023,-0.038679635313833,0.0255072172360281,-0.0991373625367893,-0.0830504895881112,0.133605954789164,0.291938879053649,-0.0134477996404071,0.127662302729666,-0.387152054323357,0.384983424517865,-0.210632472695352,0.161006420268082,0.452578123904928,0.12368074430371,-0.207683595129153,0.0864239137299881,-0.192744145357985,0.0362241497139634,-0.056143416075522,-0.432429372907868,-0.122808702688803,-0.379705277901323,0.263907330827101,-0.227247160305684,0.0030291971886241,0.142085412070956,-0.121271155630941,-0.192158959537455,-0.420645336874849,-0.392017128595996,0.369481737389717,-0.411006982183772,0.0898317605671902,-0.0191619670644026,-0.0293625591124588,-0.038438676446556,-0.0078713229977126,0.275794634946096,-0.045713339391964,-0.0557991891222693,-0.203782356325622
stable,-0.0071554690827649,-0.393028569414148,-0.174062969742521,-0.0249708463317231,0.237408569279316,0.203019256600496,-0.0937540526554845,0.0163082393947779,-0.0517603362139313,0.0858014954674692,0.208168262521769,-0.0094001424826079,-0.0080670813410685,-0.0777206712280343,0.179473090732755,0.0841386047651365,0.143782783675251,0.180251854973517,-0.177613218487171,0.0555808619597866,-0.246845359490901,-0.212872914729195,-0.0153874652042301,-0.0694703512420806,0.210715279685673,-0.163819929493442,-0.0362995755517472,0.154942017148757,0.0529742922362954,0.0232713079004134,0.0288005340098227,-0.17601904227667,0.054133276665194,-0.14539528375024,0.120914600793585,-0.0038754973393208,0.198992587379145,0.0364232616370447,0.0094276282793407,-0.146719182959536,0.148908884765913,0.133159523238035,-0.064426707541617,0.043129796039841,-0.0106003556066056,0.201809881544254,0.151946065304884,0.128725148031814,-0.016170810411114,-0.0024324930108503,0.218223483159841,0.0438810744838701,0.0185437508623767,-0.0389702788009482,-0.0090428271250819,0.0955497913753589,0.080098192645419,0.051677878823733,0.126365950478918,0.230614996520199,0.314194723418436,0.0145399864716363,-0.238159847723345,-0.211695606435808,0.134048230665728,0.176632891737036
stable,0.0287689359530715,0.192579245198134,-0.0136541285296538,0.0455556774821611,0.0167595801447014,-0.113230781628289,0.010668388201354,-0.154335010002389,-0.0636693029374728,0.190908317069662,0.0062088912756961,-0.0701327064446581,0.0758547047557662,0.142824618885002,-0.165069792698914,-0.0251031550378679,-0.0760247149024922,0.0348037931732434,-0.092222959769838,0.14218582336328,0.123636609780558,0.008661463688228,0.186808959981447,0.101736486146095,-0.0938214575399419,-0.110431147081909,0.0644821325147188,-0.0412460711592378,-0.136130846599117,0.134831124057283,-0.0010069831767614,-0.0114922835277953,0.0833582886872985,0.106002835449437,0.0146108128464372,-0.138262512284988,0.0182735758300421,0.137190140590255,-0.216619082336065,0.008011602417311,0.0134750645881318,-0.0830192743710461,-0.0669125734288604,0.100867321845674,-0.043158433815605,0.045229740869503,-0.133979061369254,-0.0560258881752014,-0.251618035086023,0.101538308637781,-0.0326992888717599,0.119775669288639,0.0773153836495301,-0.0900409952239882,0.0703298779757722,-0.0184898609279479,-0.0703178062493774,-0.182678417600046,0.163004521508214,0.045953038475988,0.105396231198101,0.161165595187414,-0.111353628173907,0.030313110954399,0.0009265050007965,0.219411675042049
stable,-0.0927068883378026,-0.0830048261703094,-0.144973166280195,0.0898771202056171,0.177446418661477,-0.0584221749822096,-0.154521714805797,0.152290649876985,0.0302626559380562,-0.147429384550446,-0.120416100699077,0.0388389513983508,0.0648441623346379,-0.142834209536517,0.0210160175748388,-0.0541340272520623,0.0774373980910728,0.0257902918376401,-0.0194962325201208,0.122278732887351,0.0770177941365716,0.126316141669076,0.403275220125511,0.135746996402563,0.0583300667970752,-0.168286771361998,0.274492625943391,-0.115247808088756,0.0834909527029633,0.0854712786833536,0.0223004150453245,-0.132922345391773,0.116690836322529,-0.0335529649959139,-0.075119342098523,-0.0369967876956622,-0.172646558791694,-0.176438345746395,-0.0652688834105355,0.0830662316270657,0.0738502959922265,-0.0123322625652207,0.128163422493161,0.0313935397666512,-0.0811831309532063,0.0641635851889224,0.0370837787594003,0.100075543148557,-0.099159578418609,-0.205247739207885,0.0458954618039273,0.109240307569433,0.0580588593630683,0.11286834663945,-0.138244151643985,0.115150582782225,0.0273151940137545,-0.20356932338988,-0.0329951987637109,0.10917378499128,-0.0570098494768151,0.177543643968008,-0.193416954539508,0.0533357563142306,-0.0102547112782997,0.102741563396059
stable,-0.0695035753672079,-0.174058459817017,0.287986172435432,-0.351477403622778,-0.0049092287835572,-0.066413391177558,-0.1920370491568,0.154472682482616,-0.211169891692717,-0.255374866944659,-0.0204185929316109,0.233422140018187,-0.0580560136055499,0.198253944535977,0.171253186226412,-0.089498455100238,-0.0869634813087285,-0.172027558623819,0.156269810876597,-0.0665083613772399,-0.0132519955556144,-0.256068879942335,0.121050477594559,-0.170413065229226,-0.0153267291486654,-0.198947957533653,0.0667202179765304,-0.0156993045474175,0.008781090770589,-0.0023158117922435,0.260116071528779,0.169879771031013,0.072513400157127,-0.15775280707163,-0.112305913823848,-0.310348001760535,0.030368547698285,-0.205493595911729,-0.042721979056909,-0.0464915654442833,-0.242122871389045,0.235957113809696,-0.0619936241923614,-0.101216316660991,-0.378682713131658,0.178668167201577,-0.051970615425932,0.390758539291211,-0.255615945143852,-0.118873468401851,0.0024546143917786,-0.119319097800358,-0.268875246099442,-0.0180224217396365,-0.0052306663824806,0.227453628238177,-0.153238069886751,0.211038394493158,-0.125243777180514,-0.0258245889135043,0.0831062301216478,0.149570759099035,-0.031632381894052,-0.0016802419943722,0.236928732006442,0.066398780377607
