group,ARNTL,ASCL1,BATF,CTCFL,E2F1,ELF1,FOSL2,FOXA2,FOXO3,FOXP2,GLIS1,HNF1B,HNF4G,HOXB13,IRF1,JUND,KLF10,MAX,MBD2,MNT,MYOD1,MZF1,NFAT5,NR3C1,NR5A2,PGR,RARA,RXRG,TCF4,TFAP2A,TFAP4,VDR,ZBTB33,ZKSCAN1
progressive,0.084793097206644,0.140825768352992,-0.122947665666862,0.137670027447785,0.0885069059771928,0.111354470130891,-0.0027903393267092,0.115500117130573,0.133570886103548,-0.178329257636977,-0.275041089967708,-0.0509104053823171,0.106298641017496,0.236541050924183,0.0244686184292149,0.182773869564521,0.0783487420949583,0.0957883628868912,0.343065576553842,0.100990352631685,0.0481067787254806,0.158982904971793,-0.224137328250454,-0.0199243515257169,-0.136387800090511,-0.211527651959754,-0.0315574090520692,0.019678535918364,0.198233678167503,0.121824886271114,0.0955691219397927,0.004836588166296,0.153388938988247,-0.0598062729024688
progressive,0.0199918915127491,-0.123687837787785,0.118637944372535,-0.110970568168859,-0.154929610785552,-0.1723453769438,-0.180957520860681,-0.0493908092857188,0.138094497347088,0.175602251313172,0.0244685275580184,0.0795934649801342,-0.0400007405154894,0.0173855253010964,0.0680958157246887,-0.0517243483250681,0.0410338755932054,-0.122597518285488,-0.0617491924706361,0.0894843449547714,-0.0936865522870158,0.002757853122241,0.0418888628177356,0.0051713749893823,0.0791693864179367,0.0124543814199232,-0.156365674667116,0.0777792019676276,-0.024924542726366,-0.0085066306458249,0.101398818735029,-0.120882268172874,-0.0359752208081259,0.0952754219950556
progressive,-0.0182209867261724,0.366325559647532,0.0321072354628445,0.0032820799361911,-0.224141020712743,0.0846266931420468,-0.27959875418116,-0.350020286497929,-0.185501860972942,0.0813378141034425,-0.217525076242838,0.319402117769912,0.134810475553915,0.0037447101095116,0.361308847629581,0.360730746666674,0.222464301283567,0.214836480713561,0.0113740626932831,-0.164069798717157,-0.403536730622785,0.231994895611397,-0.224964585732415,-0.166092626644592,-0.13089393933854,0.133760666286533,0.071131854930513,0.0957751446511596,-0.0531818320604733,-0.259056842568122,-0.412071781889831,0.0190439186823053,0.0790145468814804,-0.0827942400821791
progressive,-0.0967466333997059,-0.0635772659775626,0.13557043707276,-0.325730896619229,-0.0825130524922407,0.378239614971713,0.0258417258973061,-0.294329957535382,0.352579266339873,-0.0954135104985288,0.224826189408709,0.249176087297555,-0.1598205774656,0.040066237941498,-0.110953007717351,0.131113090773926,0.0401795987324144,-0.0815880284383628,0.134223710876673,-0.119436929309536,-0.0958533503672845,-0.38261080706945,0.252567842161774,0.078005827445404,0.15651044237084,-0.0951459790319661,-0.372381129297153,0.178162353435876,0.0851067473884083,0.42929278076883,-0.155657969223149,-0.202344477354165,-0.420047074661687,-0.198512882621191
progressive,-0.0469593858234691,0.130312195755042,0.0542604493839727,0.0302352747119707,0.0179709265635385,-0.0773585048736886,-0.065741541671508,-0.0456326463039906,-0.206224075008095,-0.0749607828505347,-0.0812747841781734,0.0081202852517478,0.0243768405687313,0.126292015162888,-0.176036754736587,0.0743014092941674,0.100308700838643,-0.128130268713972,0.0036005792381027,-0.0482261822923688,0.0732264305871201,0.162121974595551,0.070580943954907,-0.11202157292175,0.392626981291451,-0.168360048059123,-0.12795843196898,0.15999999060506,0.361468583600566,-0.215747027643388,0.166050242510151,-0.162949188693539,0.0605544696947517,0.0660052910940549
stable,0.328604274350727,-0.0302652851497472,0.366998042417704,-0.0910860502709554,-0.138263601373228,0.0618572790127889,-0.282705348762993,0.0669729922346382,-0.0144939959576377,-0.0659969759697044,-0.0326651454564457,-0.133782295695676,0.107950899164757,0.108911896999853,0.21222058738996,0.179573851621703,-0.0534367239701151,0.182241924129022,0.135884512523926,-0.0293043478728365,-0.179929085933927,-0.0755895741216125,-0.108539645837692,-0.097964491136888,-0.0307680997584054,0.155154248053768,0.0461357686486111,-0.0535402179079926,-0.0093645965860164,-0.169949339306389,0.0106501257336254,-0.165580550736255,-0.0890064822038321,0.120855303328745
stable,0.0649732809122162,0.0123225162299557,0.131158590662255,0.0644868931894192,-0.0185053354026545,-0.104762800315394,-0.187032064337539,-0.12421325353098,-0.157645680936293,0.131431300868189,-0.0175414817740486,-0.26540115606337,0.127708970123837,0.0711757280822887,-0.0228066920695295,0.119345361485366,0.13106550637168,0.139829109805114,0.0397921959482746,-0.250540382900322,0.0465412531058132,-0.137137546316778,-0.0167391130329259,-0.081774251876259,0.0094340779800837,-0.0619583015580641,0.172512848068182,0.151638026770459,0.113479712906591,-0.161784957927886,0.0673619487138092,0.0729450730879632,0.095958602614665,0.0814225835899812
stable,-0.081074218406001,0.075743942084542,-0.033791540493635,0.0645588719697416,0.161818267410776,0.0805590073062169,-0.0404000987248843,0.0471446333929056,-0.167589355557298,-0.083157501502308,-0.102750103277057,-0.0370422045655591,-0.0233867062751558,0.0007871122712606,0.0253962622236161,0.0478701168000476,-0.140170560166351,0.0885611430571431,0.0389746727318038,0.0093887334915292,0.102675342087866,-0.180183151897469,-0.118225049014776,-0.0464143416935127,0.0790373120639846,-0.081855850258137,0.033491254887258,-0.0176814348601962,0.0870384137735666,-0.0312524519727724,0.0443768149266898,0.0707036109560173,0.0931683142665519,0.0547670174601475
stable,0.0216286517922498,-0.0156353102470094,0.140650571504573,-0.0670457754723528,-0.201430390837513,0.0657579837354747,-0.0198387197954006,-0.01857630375537,0.0418208401178561,-0.0849538027878028,0.0286105011203725,-0.0128228869360096,0.131558111030224,-0.087286426403311,0.120496048674091,-0.0351742982819991,0.186842300770014,0.0397052035885285,-0.0649929811099241,-0.0535934219857195,-0.0066011641191413,0.0360032874686202,-0.0448174113779396,-0.060134629801525,-0.0005921493493774,0.100302118879093,0.0714285066117999,0.0857950320164327,-0.0952090672529888,-0.0494112086076362,-0.056051829447562,-0.123368776582305,-0.0637924618676942,0.157969186065403
stable,0.0661192172893112,-0.140585227790559,0.184848136184748,-0.0320734645851012,-0.0381647350393652,-0.147246634687873,-0.184279617609016,-0.150049212314851,0.0475710156292965,0.222968541659585,0.0421939796672526,0.0176439216867779,-0.0506286770034962,0.11195814416739,0.0064864615112702,0.20928451202164,-0.11230911351769,0.151585646978348,0.0439916459737815,-0.112412764883897,0.0515515085219855,0.0137576965298485,-0.0236201078457839,-0.0734949665366666,0.0795367302509836,0.117292792005688,-0.041045941018024,-0.0408508262194093,-0.119159918749093,-0.0193051478494441,-0.252603772337841,-0.0485638468737675,-0.210338930082037,0.0960727363980324
