,BSG,ASGR1,group
BGCV01_CV0902,0.7084339217863218,0.5896667881288392,healthy
BGCV14_CV0940,0.5967089737044926,0.5380182515955118,healthy
BGCV13_CV0934,0.5373325962573288,0.6195788498967885,healthy
BGCV12_CV0926,0.7123276903639717,0.48780982788473237,healthy
BGCV10_CV0939,0.6433732159594272,0.7698213407333859,healthy
BGCV09_CV0917,0.4404252482077836,0.41273644228969175,healthy
BGCV08_CV0915,0.6680955174176589,0.3875132291213325,healthy
BGCV05_CV0929,0.5246038872350767,0.6265366525904646,healthy
BGCV04_CV0911,0.49243911325931544,0.3018200856447219,healthy
BGCV15_CV0944,0.4670083539826531,0.4399680563381741,healthy
BGCV01_CV0904,0.5811650412423269,0.8729286960193084,healthy
BGCV02_CV0902,0.38084354606168036,0.6382311800430558,healthy
BGCV04_CV0262,0.3846564367965414,0.49024309626332024,mild
BGCV13_CV0171,0.6316965421040855,0.5236062422210787,mild
BGCV02_CV0068,0.5046659653837032,0.71530385654081,mild
BGCV12_CV0068,0.35844907508446594,0.8477136916839156,mild
BGCV10_CV0231,0.5973605186971894,0.8636585220898666,mild
BGCV02_CV0059,0.5210435268206476,0.6523439983526864,mild
BGCV08_CV0155,0.6681051113196378,0.6728325651947563,mild
BGCV09_CV0171,0.32487415805668907,0.3757276896020055,mild
BGCV04_CV0164,0.7462278284408427,0.7232035420559072,mild
BGCV07_CV0094,0.8373300798781056,0.5756401934567288,moderate
BGCV14_CV0137,0.6376039333020647,0.6214028798043728,moderate
BGCV03_CV0084,0.772329668720047,0.4660061025000235,moderate
BGCV05_CV0128,0.4572793735398183,0.7156339791085982,moderate
BGCV13_CV0073,0.42534439136152696,0.6306335802959364,moderate
BGCV02_CV0052,0.8163981333374976,0.825046291947365,moderate
BGCV12_CV0062,0.4565710606782329,0.5506346044333087,moderate
BGCV06_CV0234,0.6465780782599407,1.020955731638339,moderate
BGCV05_CV0120,0.7436861980118249,0.811719179937714,moderate
BGCV11_CV0257,0.745381571511004,0.7712280978547766,moderate
BGCV04_CV0100,0.5126342335168057,0.6368008045589229,moderate
BGCV08_CV0073,0.6847783707339192,0.887509737549157,moderate
BGCV03_CV0074,0.9147649538098723,0.37131264073806897,moderate
BGCV06_CV0037,0.6082140043858558,0.7635038543132037,moderate
BGCV14_CV0050,0.4220314397186529,0.5068190478887716,moderate
BGCV07_CV0134,0.8091091784563931,0.5057732751875217,moderate
BGCV07_CV0104,0.7304517151536174,0.568936274261088,moderate
BGCV09_CV0062,0.39818187743898414,0.5988117541585649,moderate
BGCV05_CV0284,0.7507939220784785,0.7761827857939751,severe
BGCV06_CV0178,0.8094736443625553,0.6959044059117632,severe
BGCV11_CV0180,0.650779147591211,0.8020662443827739,severe
BGCV09_CV0279,0.3265173246031222,0.4861521155937857,severe
BGCV03_CV0176,0.5683581615713508,0.8793197772042316,severe
BGCV12_CV0178,0.6562001083952349,0.7486582466879407,severe
BGCV14_CV0284,0.6671908748556811,0.5752568416087982,severe
BGCV08_CV0201,0.6902432313152389,0.901182936687095,severe
