,B7,CD101,CD107a,CD11a,CD11b,CD11c,CD124,CD127,CD138,CD144,CD150,CD154,CD169,CD197,CD1c,CD2,CD223,CD224,CD226,CD244,CD254,CD257,CD26,CD269,CD278,CD279,CD28,CD3,CD30,CD303,CD305,CD307d,CD32,CD326,CD336,CD35,CD366,CD38,CD4,CD41,CD45,CD45RA,CD45RO,CD47,CD49d,CD49f,CD5,CD52,CD54,CD57,CD58,CD62L,CD66b,CD69,CD7,CD70,CD81,CD82,CD88,CD95,CD96,CD99,CLEC12A,CX3CR1,ITGB7,Ig,Mac,NLRP2,Podoplanin,TCR,TIGIT,XCR1,group
2773BW,0.2022331315867865,0.33064448923011913,0.2242705276000916,0.3850189484665862,0.2552054644393661,0.14829075086849305,0.26659245531312536,0.8070504541175725,0.21294298547077478,0.24780557027085584,0.35640298351161986,0.2944853963831051,0.19986222594754355,0.4825643965254939,0.200098460217995,0.9286288955069689,0.26070223620124017,0.34021009807337654,0.5557537359360644,0.15025510560832508,0.2647840152582893,0.2685913253736143,0.7890001063911415,0.24955409176122864,0.5806440002268292,0.2972000194628297,0.9586152206472184,1.1864566764084528,0.3647511770748013,0.28826686074333707,0.33591613709403395,0.2190580790159164,0.10934968520040941,0.2082790724735135,0.3237483801456194,0.14913517198453677,0.1983124874351876,0.29520333451010566,1.553215792355098,0.09746840942032199,0.5732303114424929,0.6794348148447945,0.6640547082795067,0.6285718012755971,0.46377201736392154,0.7054698410688662,1.6570250493120844,0.8063776001927924,0.2745497540057481,0.3603008235983456,0.2478491504501612,1.1450723895248913,0.15022178317231383,0.1428939949387324,0.8268112000072526,0.28411542622714286,0.37594934148805115,0.39864520767834793,0.19228740199397804,0.4148497168001433,0.5019828032079511,0.7036317910400179,0.13815493900213707,0.26487155734925505,0.45007307678837366,0.16598953555350027,0.26911003229490366,0.21238559170474205,0.3333836427678753,1.0930390314448162,0.2484003085524055,0.24151878989923653,healthy
3126BW,0.21465226750040392,0.3450174225106601,0.2628894288343879,0.4763832375798249,0.2758009985251726,0.13409079941836133,0.26953334507365284,0.8689922099341323,0.22894986003848186,0.25968952586807426,0.41088008912777085,0.30308274174048616,0.19789798084305948,0.5144672864908952,0.19291414389853995,1.1015280127411788,0.2944737685788102,0.500218323232151,0.7008910857262887,0.23797672912501783,0.2993307947431123,0.2739125694393802,0.7295152545168228,0.2813994312727089,0.6715912475411993,0.45047959229810647,0.9134630759517404,1.3387863099473418,0.38952030542232,0.2835076239004392,0.40780262979110776,0.22775019389263923,0.09964456240254593,0.20529264256051483,0.3158996525192912,0.15439782864087492,0.21149879695817583,0.2683010965921638,1.6029109878815195,0.12141776535850102,0.6395170624342518,0.5094635751006538,0.7328157567575494,0.685065656690434,0.6609833424934035,0.6619051800990031,1.4868520883412415,0.8699018418753208,0.34438421256666724,0.6185731923162101,0.29908542444013914,1.1877980600222673,0.16409624096351774,0.16250663295392118,0.673080574252747,0.3148521409815922,0.4488309829018147,0.4357992954099495,0.203842624019734,0.5943580289686718,0.5991089319769392,0.8594332627087587,0.17458680799636156,0.3139978239190935,0.3693400092747611,0.17654324585722822,0.28397032428580543,0.21408520647398027,0.3556649368353225,1.2077249244785278,0.2743752194003403,0.256217827696236,healthy
3283BW,0.19509324934111974,0.27353576207265495,0.2260082114195685,0.3363950164038622,0.24874143469531032,0.11233694800638092,0.2157876407311443,0.8332043058181248,0.20528654333079607,0.220229243254532,0.32890085870613156,0.26088118309953173,0.16441909086659473,0.40573150951010845,0.18992317900775163,0.9328200361945813,0.2343297766241772,0.33523934564485786,0.5315025537072189,0.13064594195586518,0.2461772980317326,0.2210888212477332,0.7013875340493333,0.23123472886443067,0.5317945583589745,0.3162826651358815,0.9185072526807272,1.2230139356131322,0.34995188663649346,0.24203016609806324,0.3224440188885937,0.19536374077785945,0.07842930426733746,0.18214477126220202,0.30868839881215143,0.13151347523782003,0.16711259041926357,0.260799060926758,1.4735702754238635,0.07657979028136677,0.5239836752247721,0.5657186800182629,0.6489557578385003,0.5936879060386191,0.4128576772701828,0.7681791812516315,1.403016001245553,0.7395072085641357,0.2696261847396032,0.33661661946458016,0.22732859117610069,1.0429009296643823,0.13206199185559617,0.13509549772416882,0.5191872612448679,0.2490216986774268,0.3574235818732713,0.4051147190645913,0.1742976302979375,0.38214784023201565,0.509162129965074,0.7473187540822739,0.11439745891465433,0.25469011432554955,0.2806487442200162,0.15801632841425878,0.22719633120031893,0.20972666269751755,0.30825330942739815,1.1059855154969234,0.17983074958106454,0.19921028087074882,healthy
5046BW,0.20563182101894817,0.40062213703933736,0.25477093659776395,0.4430225807964954,0.24976235416758644,0.1250622022932843,0.2591014929416823,1.0151595211619033,0.22508920623061443,0.24803964728831357,0.39234051054299274,0.29121521697630115,0.20810086201528347,0.43424527976253596,0.18694225425801425,1.1063599096493777,0.277484528160242,0.48303137580518135,0.7346495829526368,0.16564478317792183,0.2803250023992509,0.2725996316083765,0.7870060306503347,0.2820240581923612,0.6792394341904754,0.3450481570709108,1.086186115474677,1.3291099785445517,0.3854177016777758,0.28195444204446307,0.35497190344761653,0.24362932273598542,0.09755467942395492,0.21849762793763267,0.33287756444705163,0.13067818001180317,0.20739535120015493,0.2603279996159286,1.4831458248187097,0.1255756018907904,0.5551954370286505,0.4561269081666505,0.6912274812133313,0.6935770192066271,0.46673140880641145,1.0210335736606873,1.6638560972639262,0.94338540841765,0.337049262875203,0.35256747621096635,0.2797055854022945,1.139360254184359,0.15701166961034543,0.14177583297083035,0.7652035156020296,0.31480921989212834,0.41131015793700926,0.5671033236276438,0.19108455460074017,0.5949080420261533,0.5589742712706319,0.7210507888784893,0.12999687604667823,0.27070650717968936,0.2992378008983614,0.16956948728736337,0.2855910983780856,0.22142009857757833,0.35435619880242125,1.2390117112915198,0.23819479839621813,0.25519456503558813,healthy
7541BW,0.23665695891910707,0.7845495986711694,0.2991851916665868,0.5239644309313785,0.2725904769993517,0.14505388519012302,0.2707487531636265,0.9745480888670185,0.2565665845451847,0.3006283353785711,0.5440450330607391,0.32508527063565806,0.2113060037307147,0.43345177374793825,0.20702878346863227,1.2129174078507772,0.32389064869627743,0.7577351795455076,0.8009655524795136,0.23006704983826246,0.3157774537708492,0.31950656875229394,0.7774104426766397,0.30251572160074414,0.7795770253168518,0.48479315834298103,1.1229976039770888,1.2687003928853997,0.4138036267966989,0.32739894103483136,0.29043732575698794,0.2648039208918074,0.10917635919622114,0.22886368526970166,0.3843651958739631,0.15866705764858194,0.22136520452278516,0.2447276455158998,1.6251636657392643,0.11705389392815355,0.6462741417473805,0.39298658257992475,0.8089635197028995,0.7410358761455772,0.6312303078385896,1.193331982943555,1.759400166607216,0.9532928163523414,0.38906057572229974,0.37278914236544636,0.3319737658443488,1.4353475805404639,0.17456073851539597,0.16623070224340397,0.6279700227169167,0.34194311150899875,0.4422561051185227,0.6700495173681886,0.23111213751394186,0.7029501314800878,0.6308329242552335,0.889640033258824,0.163470263019469,0.3002534312241994,0.35164947657976614,0.19859370862870393,0.3115260171111858,0.25442370639354317,0.37023576244932616,1.1641417999190056,0.30394718668973114,0.2763475960186439,healthy
BP0219101,0.5576589137023721,0.43802801900562444,0.6119677277313023,0.5559868898784491,0.035110909257917815,0.036805845228301486,0.5253612754072733,0.8277326359795594,0.6078251439647726,0.5086674390589905,0.6519492574629538,0.6841581271421739,0.4127536684409111,0.6484658792807096,0.10124450607481116,1.2265334358431552,0.5461528867160221,0.42624120733247334,0.7028166838871794,0.1629118714485184,0.39381532332942687,0.5518674789569115,0.8126013511966769,0.5839163407475397,0.9956563728964547,0.47058927485189456,1.133824132819701,1.5815202573605915,0.8714421934132252,0.5398238868010515,0.4512617677676132,0.5260006489422201,0.1007731930288968,0.36984556497236803,0.7285556337179349,0.17505729803671866,0.3457856660620928,0.4821852094228133,1.8027866975890625,0.29563963334471444,0.943292348842787,1.371415987729284,0.9343057236492279,0.8632570926809189,0.6409140945103822,0.8558359398263328,1.7899890071623776,0.8833143792451691,0.15506459539759362,0.1721220168299602,0.509526288054695,1.0125284353324449,0.39927561018547186,0.38266745869541746,1.1239282796289765,0.5649696209810672,0.5457396049342456,0.708686919454828,0.38319625507829275,0.5200183423329393,0.7447306272365268,0.7012428873169961,0.06646551614086577,0.45253550944203474,0.5592033201701926,0.6661183350511827,0.5197178026709274,0.41383107507150085,0.3971814955135952,1.1972977151792354,0.5574189090794903,0.42955678595726887,healthy
BP0319250,0.5207550041501671,0.40848840302894085,0.5596310887503475,0.5075865230360557,0.03891185586138462,0.0315299377783273,0.47753815005614525,0.9239815081328075,0.5661823427583217,0.4457462141718723,0.5914140497919635,0.6776161439238226,0.40987903053329633,0.6563906742497546,0.07465767706013501,1.132521998936263,0.4791438747171887,0.3660678464649598,0.6425259203253125,0.16197302745539344,0.386417069025406,0.525790449118782,0.723068841942597,0.5538922573880752,0.6917863252967126,0.4423696486938514,1.1240141091057436,1.5600747647962214,0.8759885604481782,0.5187447747760786,0.4837143570006094,0.47934543103454896,0.07977153692888664,0.3327416764421425,0.6475015199449196,0.12393878460931318,0.2548428430642838,0.2688191010367564,1.6537896257250968,0.170606700207228,0.9140676184198926,1.750050614772127,0.6433286170440005,0.9468269371383226,0.42749402672629166,0.911114854838208,1.8422792818369291,1.0790689098049266,0.14361007108350035,0.22814003945310835,0.4633595441551596,1.0667375052152217,0.3354673473107622,0.33507704438245917,1.159691818686812,0.5361461629624873,0.5268244634276394,0.5578412948579211,0.327239584062623,0.350665513459047,0.7075990506226548,0.9209766270154836,0.06126544116819401,0.40234387747938427,0.4166298488310767,0.6176046086085206,0.5030748578380068,0.37895362589630505,0.3330870588771746,1.1160736498555774,0.5242848851488713,0.40645176721783555,healthy
BP05191345,0.42097856055226957,0.2777598559966152,0.5614645185729824,0.24849541748716908,0.04394644108430807,0.05464244030923121,0.44785881087588575,0.573321941339246,0.5600815021007501,0.44977608904968774,0.5030853006130239,0.553231555693878,0.36353256359629127,0.5235973908727564,0.0793610800154361,0.7154041067706739,0.45219330908221306,0.25499491003230407,0.5043430014336098,0.11865461428029665,0.35385524972809257,0.4550158155614721,0.43367059692952603,0.5621704670708718,0.4938343414926262,0.3303348231647184,0.7537273801066318,1.146016948612414,0.6492479175429798,0.48391084929499756,0.3004165730481518,0.3895360861711185,0.11759445721858572,0.7433508251131713,0.5355061202278163,0.13897048922309474,0.243286342397921,0.3605146183051486,1.2324808167396233,0.25863781134508373,0.5823900987773243,0.9808426909706485,0.8248516704300503,0.5498501953036912,0.2707282869514905,0.5657939398994863,1.2496336247793667,0.5781840234308036,0.08292150741422379,0.08177559585504518,0.35636603410715667,0.5422117700695561,0.40518254514610896,0.28228603919820955,0.7987107289467503,0.4970274534531802,0.3044630944270717,0.4392533726032168,0.268293513775036,0.26665872708616745,0.5339175638570841,0.5760884664598053,0.05636686696981886,0.36309409835522444,0.44211187827123394,0.6954407539787885,0.42859273839014295,0.41178777756616747,0.6522741123109054,0.848482335609903,0.4261084551560729,0.40149267333459604,healthy
BP08191115,0.44809977318631944,0.2549317678457318,0.5367528525448555,0.2488626704926572,0.04226524391564555,0.042359544867859325,0.40869224975226376,0.5734640657042562,0.5320814796362678,0.4018913969332249,0.4678346605542829,0.5341113338250515,0.34935415896116173,0.5514631689993925,0.09118344550919234,0.7342312301609493,0.4352581727319938,0.23135112807215394,0.4608007955071952,0.12211173678142621,0.3301202679911816,0.4373053007969591,0.42205027331603867,0.5431096820236766,0.5602533723822499,0.3050657776394632,0.7829047873735908,1.0951392835468818,0.646674023505064,0.4719162165302008,0.2714554477581898,0.4086380591661555,0.10700456931296559,0.7312416427650446,0.4918204538123321,0.09315109617676913,0.22903358017971395,0.41443088617022483,1.2774325981710501,0.3323595040988112,0.590391227975899,1.2567968284460493,0.7240366179073328,0.5607552570758821,0.2837536124481517,0.5315960039492882,1.3355652096928705,0.5920744456384773,0.08505682121897311,0.07968335907552788,0.34569081902822274,0.6564894162420067,0.38835649152974694,0.28532558550313936,0.7100066064852378,0.4826246527993768,0.27884903341212247,0.3346604051585344,0.26054198101884823,0.2532433601690975,0.478313878455959,0.28875394207447547,0.05860421097923362,0.3510807690434183,0.4879905232197112,0.6677159689828872,0.40894250027813334,0.383833220842743,0.62977440890947,0.8225468854556791,0.40286919242543584,0.36508115365272653,healthy
Mix_donor1,0.7031614059388888,0.4998170565802468,0.8593969488807404,0.45074345717769493,0.2954071490872382,0.1742801214989688,0.693043520818271,1.0829956077142209,0.9446220626338591,0.9150242092433443,0.7410645948280401,0.771125098527788,0.6199914440344692,0.9250961244295383,0.5014190319027875,1.1187094153835693,0.7367231237462591,0.565699907203487,0.8971641205848386,0.26757420222921396,0.7304945528797543,0.7532409742535658,0.8896048118233206,0.7664251364285731,0.902948223100563,0.5678549854525221,1.1916432296404182,1.6590464324354721,1.1158712080795083,0.7423398952960366,0.6027237446359673,0.679447967891349,0.2890044103590876,0.9877584618474353,0.762320088628833,0.39602476327214353,0.5231534789989913,0.5384948727317731,1.8670056045690995,1.0025012244200049,0.7331841817133871,0.9323917907016004,0.6098009139089637,0.7836590124387841,0.5375710826928044,1.3881450064598475,1.752598563285256,1.106607348988015,0.3013138053346468,0.2452087887997726,0.6491118685890546,1.7298177280517286,0.5266094995014892,0.5452449234203037,1.0718631492211734,0.8043451993101504,0.6853487290707014,0.6897359569281327,0.4395200894901549,0.4857928641125737,0.8472219427407737,0.48013247709813084,0.15923540334650008,0.6600951259776008,0.8024336817363785,0.43245045740047533,0.6898115211377599,0.7416579363963871,0.919439469515824,1.3307737638769315,0.6855528459716453,0.7469633217922561,healthy
