group,CD11b,CD47,CD52,CD3,CD8,CD56,CD19,CD11c,HLA-ABC,CD45RA,CD7,CD44,CD16,CD335,CD5,CD62L,CD161,CLEC15A,CD57,CD11a,CD244,CD54,CD62,CD2,CD38,CD45,CD158,CD49d,CD305,CD158b,CD99,CD94,IgKappaLight,CD328,DR3
healthy,-0.361631173745917,-0.232849043665552,0.101451790523568,0.159520749241468,-0.0335788909052491,-0.115969391091274,0.0510257628697421,-0.0640067258580944,-0.197442798589298,-0.343739310755704,-0.323563637719349,0.0573398251009584,-0.487018432922078,-0.170777538033613,0.158036682077611,0.098686872393022,-0.181315992628425,-0.236489587701689,0.0170945309751106,-0.382059371663807,-0.436495537299866,-0.0751370452153822,0.0361782587727284,-0.0957049953824553,-0.3908373532603,-0.327879732270693,0.0024633847154606,-0.28350246915118,-0.350846879728511,-0.0218342057530835,-0.382307988144323,-0.202980530106413,0.0195785043909374,-0.458534853268731,0.0050819824546788
healthy,-0.270033192495413,-0.184591607357039,0.0166812276642911,0.0776611018249094,-0.227264486461661,-0.150434339368338,-0.0338182014730551,0.0911393294379499,-0.198738427991539,-0.445513025448,-0.211783494358308,-0.0102419470297699,-0.621286393768161,0.0066897171338152,0.16501786674157,0.068456561717328,-0.114334646598796,-0.527961087082827,-0.10323624795719,-0.25779373401893,-0.403857921880602,0.052151839453775,-0.0681892755176379,-0.233568180819666,-0.072212414368824,-0.338241017188361,-0.123411497952135,-0.242787968930722,-0.244997091687308,-0.296149333494109,-0.359156948544357,-0.312726090361247,-0.242897936553856,-0.360010757943918,-0.0475034518776091
healthy,-0.131232649463403,-0.206618892772119,0.0928061215832083,-0.0235907083652326,-0.245437538420787,0.0990707706322212,-0.047450211242462,0.131141565088393,-0.0921223711991657,-0.191657842497862,-0.0378436252561226,-0.0582816727741085,-0.122831607094988,0.398975599611096,-0.0631085547774686,0.224580907471522,-0.0284017511156201,-0.260666001383901,-0.288949441762347,-0.119681234819467,-0.293104821815437,0.009152304353558,0.0710962342498836,-0.0333516652151594,0.122502911193437,-0.250817681381196,0.117785271871087,-0.038684089612333,-0.165213262828984,-0.0519508064825294,-0.285856461821979,-0.118548982955684,0.0733796528552901,-0.156833455257318,0.0569950680369353
healthy,-0.413780480494749,-0.115555957218945,0.223412490009783,0.229715181373504,-0.0846365057980184,-0.197922710534409,0.088571858470976,-0.253217258800956,-0.125887197920391,-0.230153829154806,-0.23457958016445,0.153142412305296,-0.420059130426098,-0.193662331472978,0.286240375892671,0.286941034331611,-0.206093326413968,-0.282477352873632,0.0064416321807733,-0.261954807129502,-0.206287537747096,-0.0825733608678925,0.209549542161598,-0.0634527035554005,-0.272703430270554,-0.178902245575593,0.0198651495767483,-0.258509843416709,-0.361046990681377,0.0358466122204291,-0.45194003704235,-0.0961814125588205,0.198739030715595,-0.399038257285353,0.215851879937959
healthy,-0.0613555694580303,-0.22206444134166,-0.24929990969685,-0.0194041213228496,-0.551873476072079,0.073541579057578,-0.188671597982499,0.0422968920035101,-0.223426213601636,-0.426329951455265,-0.378478233332127,-0.12075293312078,-0.635052900389333,-0.303472158452843,-0.0778992446275759,0.0881380126645895,-0.33930854991554,-0.368793883045016,-0.13157056985581,-0.482340143427477,-0.610495661819501,-0.140750495403204,0.0703230160990882,-0.0301938035972683,-0.2845415034025,-0.52088507242497,-0.088097502617051,-0.21781982668274,-0.465085473501961,-0.225135605519191,-0.627165077806266,0.0534083253004735,-0.0198913107714676,-0.320936265653603,-0.112589467640526
healthy,-0.163515206900136,-0.337086222616234,0.0816936103578948,0.0045889842307381,-0.0986680754825724,-0.0661840801923867,-0.0147136749020621,0.0638556565185451,-0.0253407938543121,-0.223860772990583,-0.202422047499705,0.126866710961739,-0.232006300874334,0.0675840109469544,0.120017814058062,0.29881863806227,-0.177531975981562,-0.128241852094667,-0.0397008221682432,-0.275834501770782,-0.296894859494689,0.0894001425676306,-0.0401191385109885,-0.206743534926479,-0.327475504444613,-0.261219736907839,-0.218425004227231,-0.120735198989177,-0.042577649958373,-0.192912232702296,-0.27109044066309,-0.0141450859843046,0.0647267042950163,-0.320003010810548,-0.0153789280507148
healthy,-0.13684843896268,-0.115726909846105,0.058493634414603,0.0190604127552604,-0.184198494453011,0.125248423037141,-0.164862482066989,-0.178303413519207,-0.247315268687167,-0.18268235198724,-0.044725689411275,0.0628455872454777,-0.189972673534717,-0.11343407717161,-0.154764356260995,0.168897064540624,-0.151718270360936,-0.0131199859936913,-0.0662020292971811,-0.271025825048818,-0.148238842234518,0.194139857604602,-0.081119847425175,-0.0756779927496892,-0.25285705657434,-0.184212350703585,-0.0258014841538319,-0.0271738055546641,-0.160386486127138,-0.143148166792938,-0.143620810267401,0.102424468844879,-0.0225169128689155,-0.0866448993218727,-0.0981760734193698
healthy,-0.0723563275017105,0.0572977656930851,-0.169116689874859,0.0824347495358159,-0.0477831169908414,-0.114205364641285,-0.0026712111386681,-0.111179211471561,-0.0117925368914823,-0.029104783984158,-0.229053404680455,-0.0316610002220111,-0.221717539511791,-0.0536133663633261,-0.0733267861356534,-0.294556639197496,-0.039392081102375,-0.0160840618328805,0.0563966878783434,0.0259858967857229,-0.0029570866236808,-0.135622165447815,0.409909796762719,0.100560395130148,-0.0627927678232267,0.0092842135767586,0.0348407306205252,-0.0978149436119555,-0.220485419452765,0.0194565553518113,0.0050470949403974,-0.0778597663415827,0.0277165606540336,-0.231401417133699,0.0011415041266118
healthy,-0.283427735678026,-0.396742137940638,-0.145702444178738,-0.0349551924428163,-0.121070549276825,-0.14201111862239,0.0057427133417262,-0.205145579084347,-0.327313504777032,-0.28405141025091,-0.375359636929666,0.116942045784587,-0.194492193522483,0.211265855975086,0.124122256410025,0.201992834103352,-0.357754632101354,-0.075450106568537,0.0009569888264443,-0.397084755064349,-0.436247307696404,0.0743838569483963,-0.0500593731906252,-0.12928027176278,-0.313540766259446,-0.422954331845069,-0.210339909318075,-0.137220186207821,-0.421023391606089,-0.315515429100791,-0.280845113187931,-0.171658583277952,0.0762207600720594,-0.221040234190307,0.0617518488468779
healthy,0.292989639927141,0.0628191094363276,-0.463973258648972,-0.270734925934591,0.0495688771575626,0.315621518459646,0.129463384575863,0.325427129395648,-0.0898737941179495,0.269589274182806,0.276896140185701,-0.257203888390664,0.313627881472871,0.249205996621617,-0.47749601675765,-0.172593116107464,0.089044696830558,-0.280395128766464,-0.262012860593476,0.141501130122762,0.239528564625369,0.0711969273647644,0.0135847668043081,-0.180954979941094,0.404912320836832,0.014717886121232,0.405753277970674,0.0148756550103138,0.220506061101473,0.206592762956081,0.0456512784147592,-0.271204467438623,0.0601152998984049,0.439521672291664,-0.0799121526004356
healthy,0.0457920645001312,-0.124238344421844,-0.213262157957741,-0.457377585519127,-0.269607239466973,0.174612185493852,0.0105247091030135,-0.0440240015916496,-0.19843932820328,-0.141560658238641,0.135544893196195,-0.103852428491592,-0.055096440403809,0.195756404446076,-0.26138713423524,0.0099966803633555,0.0134974429684379,-0.526887667637804,-0.400061320082855,-0.357387152536857,-0.111387658971924,0.0286588832678771,0.102828264365713,-0.163249947602756,0.0540573386867453,-0.351146833614979,0.0997327440482812,-0.354425980724887,-0.208801153562166,0.0055900900471944,-0.423215392941812,0.126226967334591,-0.0148426538418932,-0.065185090174935,0.005454741034406
healthy,-0.177409643712222,-0.0732265409574311,0.182885559675915,0.279647235993824,-0.10922572359113,0.0298371320144183,0.0,0.0756292427826777,-0.108700279159661,-0.209050519653617,-0.0297161612781227,0.0,-0.51861928731003,0.0429169817760028,0.322296392937147,0.192738528545573,0.0,-0.0743335023202424,0.13563649909289,0.0096630221957986,-0.181102389986504,0.430391155208885,-0.113341050586585,0.404713461105741,-0.362845634504557,0.174125125297137,-0.189285398196694,0.122612158224076,-0.298190811482095,-0.354149286649334,-0.427779185666255,0.345875522985161,0.117769324572221,-0.132725602841983,0.0
mild,-0.145334178334758,0.190641039215409,0.346840536536194,0.294117970977504,0.181370391914802,0.143422255913282,0.0110827950901377,0.0213317315326059,0.109277187113125,-0.0418154003103138,0.150803574410833,0.0911731993211185,-0.271611056645281,-0.0412960801008321,0.265185553004356,0.0223128986655639,-0.0858197319882422,0.0322781103251768,0.136051048932101,0.172156479300533,0.0620587675056457,-0.0159027698339815,-0.03958474862972,0.30795111054012,-0.027378208792123,0.218970738406736,0.022169891026019,0.139681626850979,0.141828114139663,0.169821907033423,0.032617987657186,0.298574688303423,0.0147540416434495,0.134188943507508,-0.0414691520770057
mild,-0.368275314890309,-0.27786187730282,0.310055195551052,0.339138757447092,0.0442077700117422,-0.0680031202506886,-0.0037256869226546,-0.322754454279579,-0.353046822798651,-0.534663001076975,-0.285925240957984,0.424512146604141,-0.413991416154698,0.0255386863883613,0.396227801181792,0.463260225696635,-0.41582527770116,-0.0794609893344751,-0.0073733935770521,-0.413966264391858,-0.462636016081683,0.230546050925565,0.133938208330519,0.369198656197988,-0.583664274391176,-0.289253995757132,-0.282116672978104,-0.0256190731392059,-0.48883213551997,-0.270516917348974,-0.48798320762146,0.0475536530584841,-0.0978534730484807,-0.383181235638545,0.0200667270403077
mild,-0.223135387580016,-0.0831014169023968,0.0182498910329532,0.222957624313312,-0.0586381785237245,-0.0652919607643651,0.0848840118315291,-0.0692149131847802,-0.101208315767611,-0.241732158312165,-0.209738099086292,0.287981290784254,-0.41157175765294,0.0394988014820094,0.260858942717551,0.264641003413732,-0.0591925973936037,-0.202249853533534,-0.275096610313502,-0.273577604013965,-0.290624818781238,0.303509322313655,-0.0573010291758611,0.060002812779043,-0.255645285029321,-0.234222028276746,-0.0248028833940866,-0.0581364193569934,-0.440415621004839,-0.0967889586880176,-0.314203428028964,-0.0409291278746063,0.0398960788585577,-0.215811737797648,0.142419768044824
mild,-0.245322383605163,-0.0785645907118937,-0.0487131045975005,-0.0902100468627327,-0.281954173937572,-0.0981345181188091,-0.0641159395325579,0.19124264403769,-0.119308204820433,-0.21058511737272,-0.237734747686927,-0.107475049469272,-0.0250951534177807,-0.100129663008909,-0.146490180827146,-0.0905875495730511,-0.0904636983254689,-0.477988587581379,0.305183092264011,-0.158223075782225,-0.165148170904894,-0.428849534719354,-0.0800310429496257,-0.154402348094217,0.0888980244572098,-0.223653663107316,0.0784491199733864,-0.266430201131553,-0.17302551417986,0.135651594646947,-0.0370224283495019,-0.260206831225825,-0.126813268740584,-0.28295295832324,0.0447109020684927
mild,-0.374946727923233,-0.321798352384692,0.0303265598621382,0.0955907748074996,-0.134888757875996,-0.22511876742814,-0.0206773662294856,-0.302418639329346,-0.214109355501788,-0.212334388267071,-0.324024781381674,-0.0554526527693322,-0.486477866533011,-0.166274190432696,0.0590790338255318,0.0840461935551525,-0.226636150183121,-0.0229555455893686,-0.0709786838445946,-0.275025613093217,-0.227321410182284,-0.0601115480060056,-0.0148338815339416,-0.116202369114815,-0.360119804880386,-0.229015252471324,-0.0324591450069447,-0.17937071917358,-0.287329536533206,-0.0578887932429961,-0.374572503221681,-0.0646694837879369,-0.0573493665797012,-0.373112792982957,0.117644229832667
mild,-0.181298489002706,-0.211106221423166,-0.0915088370636929,0.0005993662779787,-0.151460166340032,-0.213668750572536,-0.0348183031013313,-0.048650233526589,-0.243844052139371,-0.295587506229404,-0.26070501539635,-0.0667649136928687,-0.382740818992257,-0.220780084116585,0.0451703118616206,0.0166159098976111,0.0656345265810923,0.0981191020129993,-0.211921169977787,-0.302551845459965,-0.340375427533979,-0.0204343933208082,0.301138358939667,-0.139636036926319,-0.343469843008396,-0.350382747714573,-0.180193550525956,-0.101981609608161,-0.285229270272123,0.0462297860317423,-0.38394943889305,-0.163546150037056,-0.0104513067276665,-0.4123527764864,0.0587250436964158
mild,-0.312347097272907,-0.183415430903459,0.0833588683959199,0.0369893963402279,-0.0948765371014413,-0.249598632640852,-0.0154229405381361,-0.176505097340961,-0.285765010721254,-0.445249029238768,-0.386663660438248,0.0446454141124536,-0.0878473855721363,-0.10779726164934,0.068629866537141,0.25942837211157,-0.259157144943137,-0.189252735388358,0.161231171404145,-0.237140420480137,-0.540010715608203,-0.157119072758086,-0.052571806352011,-0.0977471965378466,-0.274777956601026,-0.256283658725002,-0.0839162679518526,0.0148016083604811,-0.123555794292046,-0.20510943492637,-0.117685579039113,0.0766583941735217,-0.0908204424827657,-0.400005532122901,-0.103756948988385
mild,0.327691484004752,-0.0583221917351278,-0.121195146120378,-0.216318524982372,0.0397688757767096,0.101117842170425,-0.0179003452069843,-0.0759143830373092,-0.0327216714866226,0.172825380439758,0.308919490464163,-0.0547198307335967,0.211540237443314,0.386394911957286,-0.359309254643336,-0.049842676395841,0.160460700421456,0.267794526819035,-0.0551640126718784,0.217666600318387,0.186556709805173,0.432918163064415,-0.116214898088417,0.206865907314899,0.201183537223326,0.107032595938664,-0.100574053762403,0.227112552914287,0.201744770668994,-0.0739801025121583,0.226773895458966,0.326243879202329,-0.0245809761081148,0.31440598910857,0.0768080518382015
mild,-0.265825656532621,-0.34149700210093,0.0955898012753678,0.105687220195308,0.0402958156464351,0.0143886511251772,-0.0932979297525389,-0.347217725901071,-0.266599489899789,-0.3407616782141,-0.300446343580205,0.089808906645856,-0.541883234051343,-0.0128167687467486,0.167555601840207,0.155147318187364,-0.398305089514545,-0.0045123070568196,-0.11133725909161,-0.380189316209017,-0.344320499062842,0.142643313628171,0.0963583806719905,0.0330426471395257,-0.471243000993599,-0.357371545579876,0.0006684187709081,-0.139898524011383,-0.412104611440172,-0.0622742871640866,-0.55537197386393,-0.0116860998690091,0.059357183536135,-0.416133697382079,0.0086873169336691
moderate,-0.293792935884952,-0.0459171548572042,0.125179968025088,0.163713931876861,0.107813756149376,-0.278713461502426,-0.163470848397239,-0.469278427081021,-0.141051392542455,-0.259492567301532,-0.199358926261828,-0.0817124271311749,-0.491398936804309,-0.068633317754543,0.202939978157255,0.167721592808001,-0.34621370526889,-0.0255704870956802,-0.192598246161849,-0.126228566061758,-0.190370443874392,-0.0412487081153324,-0.137008143014817,0.0606921517027359,-0.403089496897149,-0.154382718822799,-0.351631059267828,0.0018877802969214,-0.429422150179524,-0.115200422066447,-0.151698063457417,-0.068942179972329,-0.21064559940836,-0.202371661409584,-0.124647129022716
moderate,0.152838151795521,-6.55484185735767e-05,0.0633478802793275,0.0535756870278516,0.0892314819878397,0.351556151868438,0.0058070684566195,0.200287511443651,0.0736702713720701,0.0111743902754107,-0.0771512025816943,0.0680942932189599,-0.224704223342658,-0.168014401031732,-0.084052968819911,0.151277455093224,-0.0866305302091185,-0.0712243951203578,0.182470145393537,0.0536647383560329,0.039755139354568,0.168499428281496,-0.0848368104098879,0.0607852492095207,0.0268804930211881,0.106089104067175,0.230359834477159,0.131807491812123,0.0816233548417588,-0.0172187470958049,-0.063321829704012,0.256324413932975,-0.0989991402155283,0.0038019799299539,0.0865994741258016
moderate,-0.548328349541634,-0.259860349100376,0.0879229938654501,0.108092923579214,0.0315212852268791,-0.117570587464671,-0.0432426407392983,-0.32189403308142,-0.141073531389575,-0.388994724757787,-0.20500813554071,0.0455653625844546,-0.576742710150944,-0.0706024910021921,0.0971923709575447,0.0983760613391702,-0.146182988944704,-0.0243949080589214,-0.0038017293722262,-0.310715201718498,-0.185170423669969,0.0919618941400109,0.0162511336388365,-0.130191553969436,-0.380666950749871,-0.359232991302357,0.0970767875777127,-0.105069914712361,-0.4060266159189,-0.105158230527494,-0.0586236109426023,-0.333400376823968,0.102270389053557,-0.431406568021915,0.106889011461308
moderate,-0.131659022722597,-0.0607863341129636,-0.0306396473511382,0.0549840914581621,-0.18351626666023,-0.214114256672665,-0.0140244362656454,-0.127079013029514,-0.0319870262961661,-0.233857013052243,-0.113137321274414,0.0767788196302131,-0.538684085944801,-0.161977775512716,0.13407497667475,-0.0428135420367697,-0.0341045107675102,0.0164107981498466,-0.0478006847809671,-0.20909135723857,-0.254628704020503,-0.0088115551884884,0.0742827464014186,-0.150570342234242,-0.0970008404363855,-0.156284637266055,-0.0590520361058568,-0.193418835759176,-0.252240375626423,-0.100517787522274,-0.166333058231279,-0.169934859715407,-0.0873892848074164,-0.163694283535465,0.021959093203482
moderate,-0.199585598708261,-0.152270672543847,0.113634875107081,0.103272646985156,-0.119599760328895,-0.0144773300592536,0.0249698397956481,-0.256069794721213,-0.199051996367307,-0.190994584598069,-0.164000863702303,0.0887478714826797,-0.271869730258877,-0.0737605441460797,0.155531091918812,0.0295293560135176,-0.172534975073677,-0.332566568837661,-0.105096380662457,-0.303930730106264,-0.231999839827042,0.0022670464243706,0.104869716904485,-0.172364993210728,-0.289481741553565,-0.222222187997436,-0.167462174113815,-0.170047248175289,-0.268726730493423,-0.0186365873900409,-0.289708701849891,-0.11149242351545,-0.064918820200874,-0.247919741876191,-0.036238227849319
moderate,-0.208689129414492,-0.130430968655041,0.110042894021918,0.0660499878885692,0.0466481187966155,-0.175797368839456,0.0539026013109621,-0.283965155826798,-0.123944938085159,-0.154614349085207,-0.164329327506729,-0.0162283632683015,-0.448484914127312,-0.179016503703917,0.0975286318739071,-0.152036170005142,-0.0087280728639713,-0.0551039035272008,-0.0901871376327111,-0.108520572278111,-0.202795557729206,-0.127856752539464,-0.167483241651635,-0.143668768147121,-0.23323868839704,-0.0965038670409308,-0.0346618481166517,-0.0457613839155801,-0.120210705805856,-0.125998581914317,-0.0749155463711337,0.0223315440580816,0.0713883916505047,-0.232470141535061,-0.027028407353243
moderate,-0.419955295985715,-0.348003870964793,0.130793426703292,-0.0927374080287823,-0.296592962759144,-0.0630397623046033,-0.0580781148449556,-0.0824504914756326,-0.242842393664442,-0.512139101715361,-0.34313878779515,0.053377270460359,-0.66178121609793,-0.234298148147657,0.124486670665146,0.177589413575383,-0.252409501265258,-0.342724054736694,-0.0028869817636058,-0.488584622488638,-0.510792319518577,0.0411785232521872,-0.0594406236858567,0.0554190992607124,-0.47280374352753,-0.408573078701801,-0.310902808747377,-0.221317979227342,-0.460385391927087,-0.285756897675003,-0.548576789889123,0.134547472428495,-0.228809932705791,-0.378046085452679,0.0214772215589423
moderate,-0.24333801444927,-0.0718396614919521,0.004815023391233,0.275657643603801,0.13616041659216,-0.209770895493017,-0.217117854835627,-0.327173663657498,-0.431060650681095,-0.312107652943986,-0.197446311851672,0.137768357136953,-0.242119996081467,0.0569606986598883,0.291128797791738,0.219354739701854,-0.293115029077013,-0.0144635017296199,-0.303593880384789,-0.283204078411798,-0.354543043833463,0.0121613650968521,0.0023453058779877,-0.0431213473049017,-0.464023068712859,-0.246910997455074,-0.317230594831954,-0.116828205475289,-0.219173746906463,-0.140209825281314,-0.226242013666159,0.0171047553345022,-0.0350762548884069,-0.179090682814666,-0.0937172281995565
moderate,-0.351205654263868,-0.104364266279578,-0.0869108226665872,0.0619061224834428,-0.0975106402113051,-0.255249437941062,-0.0210257507389337,-0.15201798164944,-0.0957748901816498,-0.212980144021146,-0.338199277401428,-0.0767737311736083,-0.299460055141644,-0.218296493330481,0.130499230955607,-0.0108716699220775,-0.254182169482259,-0.182614783349982,-0.0023438581610133,-0.233798030294891,-0.299958134427278,-0.208962812513103,0.123879525509795,-0.170505431767077,-0.28442927800588,-0.190028143331751,-0.0040083472839586,-0.299770482458696,-0.293817565923741,0.019197294290495,-0.372117273264007,-0.228972534793949,0.0024463227783585,-0.335166327588318,0.072265257705845
