group,CD11b,CD11c,CD45RA,CD7,CD49f,CD16,CD335,CD294,IgM,CD5,CD62L,CLEC15A,CD57,CD366,CD58,CX3CR1,CD11a,CD244,CD54,CD309,CD2,CD38,CD45,CD71,CD49d,CD305,CD158b,CD158e1,CD99,CD94,Mac-2,CD23,CD328
healthy,0.0630518557710377,-0.0127649533979154,-0.0374598723943114,-0.17629586193772,-0.0822702605097578,0.155159117321944,-0.203968027371829,-0.0647399932328597,-0.0866842804946616,-0.153547877516345,-0.59772721636684,-0.0712532485359948,0.0956587123145951,0.0144358093106508,0.0482352683971157,0.093047265410183,0.0463819826025464,0.0793035924666468,-0.37028391527166,-0.109873930669688,-0.339425359604203,0.302208821661912,0.0352663030220728,-0.162386390263936,-0.232698349426732,0.0309694671644934,0.0425677466432118,0.024080824298834,0.154312771660583,-0.231541918529971,-0.0604136545538219,-0.0690797253864522,0.105291426145309
healthy,0.0601143367651714,0.16530682564059,-0.025521608496559,-0.131253088278316,-0.14838579737302,-0.0628658179548155,0.0939771233613016,-0.0076512491058794,-0.0312825345202634,-0.233980456258684,-0.205355767897386,-0.279930905802788,-0.0891655292233264,0.0248472607041417,0.0137221182087982,0.13640830611876,0.0454393785095871,-0.0468508448784837,-0.130233367252492,0.0390445011079741,-0.242677527561946,0.301015638842344,-0.124349970263142,-0.0762886257732864,-0.0596938580976521,-0.0262393483350898,0.0167043155477429,0.113534863285881,-0.0120443936529238,-0.301019933260705,-0.0012312954231716,0.0181718513914884,-0.0138270230818553
healthy,-0.121344718464975,-0.00808232380792,-0.181143613509919,-0.308667397120183,-0.0158991159168894,0.0024095080183315,0.0343764532504472,-0.15913733961387,0.0228667686122056,-0.0920060555292372,-0.235785352559031,-0.135823804045614,0.0462752846029459,-0.132083471590542,0.0782069729483253,-0.0494503718455739,-0.151700004806133,-0.123972324814582,-0.2860744542471,-0.0463472422017055,-0.275886333036296,-0.0998024265440277,-0.218061718083253,0.0239172602294903,-0.175981474692345,-0.124960300557952,-0.12375874035212,-0.155224449042226,-0.0457858454290329,-0.162129292123544,-0.217326607046924,-0.118402071177958,-0.147445871440879
healthy,-0.0884847505325721,-0.0305602807749991,-0.0686414699702842,-0.310864319587876,-0.172362900740401,0.0693884478057299,-0.119037341357614,0.0210275867105155,0.008617560515566,-0.0676934370046497,-0.141489052974689,-0.190440668121004,0.0732587555019579,0.177025889608434,0.0263493069628447,0.108470554059588,-0.170373471594211,-0.176933283142699,-0.305540160079024,0.0122103537355055,-0.395158788997282,0.0835964049483556,-0.176050084921447,-0.0728620157482501,-0.235520697475737,-0.162707987344057,0.0297290053426713,-0.0585153696024758,-0.148221635361088,-0.377132272372005,0.0703873597979907,0.0261063459795478,-0.203891435596248
healthy,-0.204639007024057,-0.138832357058344,-0.297953383286181,-0.285248211322634,0.232469496712573,-0.391645952095162,0.0221934098412554,-0.126538175380933,-0.18680260435653,-0.153059090360373,0.167591361766159,-0.267558260248776,-0.253880675615509,-0.263544631617503,-0.0307690405468931,0.0212229681508793,-0.343280882236137,-0.357178636519416,-0.118839374562068,0.0466598084049605,-0.109057170781939,-0.234964997070909,-0.454101644167371,-0.169827793781546,-0.494992057959439,-0.5931815427162,-0.0043135491301796,-0.263842418897338,-0.410410541858146,-0.181105545380456,-0.0934684387287375,-0.0424047555053479,-0.426413176369373
healthy,-0.223419121881569,-0.184937937041187,-0.0730293061960586,-0.246020036124052,-0.0829543797210271,-0.326001827668714,-0.271399827254814,0.0317778143411756,0.107663514618282,-0.0542915210683551,-0.0450922175209404,-0.0352601621197235,-0.149875530433086,-0.100297242031391,0.19204931938667,-0.0258773283262122,-0.251068208755005,-0.164509023146804,-0.200041458654124,0.0609093184089046,-0.0759079935799334,-0.24955078499747,-0.209357539482701,0.210739054925,-0.306407726750827,-0.170744576473068,-0.26419737430431,-0.0338351916237337,-0.362971459596475,-0.175208646729709,0.101122282322074,-0.0108604417459022,-0.204502062191714
healthy,0.206116277509467,0.295844203371198,0.331237880030367,0.0680498757880296,-0.113034692430419,0.41433379041285,-0.0934410232470575,-0.0046610069812756,0.10345951702257,-0.0500422038654187,-0.171673121038613,0.0833817073145745,0.178328916035529,0.179429646159345,0.0284039771695948,0.374276088853805,0.312039158445967,0.217797259128256,-0.0353792224245521,0.0330631082699794,-0.102945206525021,0.257640600816957,0.256457400980282,0.0296398196188364,0.170502924702097,0.326054807069182,0.194844785017451,0.261631760607304,0.171442453692245,-0.0941186804823006,-0.126697910988392,0.152981872581553,0.135476290763098
healthy,0.214535303090527,0.371395413109473,0.0533458909898814,-0.0659007926723663,-0.241122008064374,0.26295400888656,-0.162090663221492,0.052277606825169,0.0302659978940505,-0.257540016916127,-0.242668522412357,-0.23302419672751,0.148959389521742,0.350089420838084,0.0640518065118676,0.175877326237496,0.0162706174986114,0.0945990002173441,-0.468646159591246,0.138262660841631,-0.507285295305203,0.303163067636251,0.068124079306431,0.0745315472272738,-0.275389585513027,0.136377467939509,0.215406615673708,0.122998027965023,0.0929767444275075,-0.490874843980473,0.0723003680660835,-0.0029804662988324,0.0491234205296979
healthy,-0.0323051708590006,0.118303767623511,0.0865647631405616,-0.150973082808777,-0.146152730300791,-0.0129969064820271,-0.0039318210987227,-0.007595992076029,-0.0203668574006071,-0.152234814316641,-0.317269889271671,-0.308219797613372,-0.0095589446666686,0.0883970350285822,0.0544500720803893,0.253630804099142,0.017362783270913,0.0341189994646471,-0.274760993464895,-0.0545059987821552,-0.150158556418024,0.358899861070645,-0.0659378073216358,0.0882179612449556,-0.133282634039749,-0.0371572117959583,-0.169966873659704,-0.0232321963239436,-0.0742055222929602,-0.124957506488917,0.120368034532886,0.0364714373615711,-0.34341938016648
healthy,-0.214487321307415,-0.0902021216450898,-0.177686193700535,-0.402749951387267,-0.0946522409851663,0.0061610955121694,-0.265477362617694,-0.01313205214754,0.240824155290393,-0.117333465772567,-0.210800133553151,-0.112454182952518,0.0915910517530054,-0.0088716052827804,-0.0066544380285649,0.0339437075637324,-0.179114691263494,-0.209457066367709,-0.367617091263531,-0.0387640793402201,-0.286141183210079,-0.0190044764933903,-0.272573426102698,0.0048902926826631,-0.238527132970833,-0.147895944560412,-0.0140001035887438,0.0664052695889274,-0.110598891430516,-0.541301305206221,0.0868211801917221,0.0704441051363129,-0.252076696504428
