group,CD11b,CD47,CD3,CD117,CD45RA,CD7,CD49f,CD44,CD16,CD335,CD294,CD5,CD62L,CD57,CX3CR1,CD11a,CD244,CD54,CD122,CD41,CD2,CD38,CD45,CD305,CD158b,CD158e1,CD99,CD94,CD328,DR3
healthy,-0.35141123165211,-0.23297788699885,0.122327913874121,0.0566185070652874,-0.31397427504678,-0.307297457805745,-0.145718292712814,0.0306749399148218,-0.440838055607391,-0.203339542229526,-0.0019072023223001,0.110907002327772,0.025123071695146,0.0102049061002144,-0.102568345857801,-0.355390525838431,-0.406829919469103,-0.114335692639865,-0.275945243965115,-0.0983299172456593,-0.171531216341456,-0.367478667578469,-0.329170400618025,-0.325847800876183,-0.0263637520085671,-0.0858252119964333,-0.33545774403514,-0.264701595432314,-0.391576135742494,-0.0067471979316247
healthy,-0.118219356595529,-0.0315589972034346,-0.173536125348084,-0.134995982740362,0.0821229964148019,-0.287573512893303,-0.013952650612446,-0.207515305091504,0.235892961056959,-0.0046186527506072,-0.0138595403739569,-0.180873290825274,-0.259384543173091,-0.075491125431526,0.136852094476537,0.0438113017237095,-0.041674462324658,-0.401377807417004,-0.0508090378117144,-0.0232413552844696,-0.295146381304005,0.283570868618887,-0.0740908388707484,-0.0359751630742662,0.127715274876902,0.154266530165558,0.119290235886318,-0.286520011888004,-0.0416225382176838,-0.0116101606095352
healthy,0.0916593186817231,0.202911702344667,-0.0128674248271364,-0.0162707889434877,0.105105228330791,-0.0015270287031263,-0.175466806018866,-0.115096721994371,0.183496715474638,-0.0560311849981754,0.0418021326029175,-0.0258053221212468,-0.39705601699984,0.125198951544815,0.192923978188648,0.102712293127213,0.193862799608856,-0.173110949369731,0.136977678314987,-0.0590832208496467,-0.126530710553305,0.094166724064735,0.045080446200027,0.0726225373143038,0.0275232515178392,-0.101244752344391,0.319256429332789,0.0047180508145214,0.144590786393832,0.0511561464358447
healthy,-0.0695827403415465,-0.299319591297127,-0.157747695877233,-0.0512382917330869,-0.124380897698491,-0.36245741955672,-0.0627109995091339,-0.269398825501801,0.272387372652609,0.245394221464951,-0.0049572261071509,-0.15944456050035,0.0906565148228553,0.0020772424006699,0.109751268309763,-0.274496021927223,-0.230598670408988,-0.0965177355324647,-0.276551298447083,-0.0617616173791082,-0.439735349600378,-0.0261969632725452,-0.356036207372165,-0.208026976408408,-0.0897748511227242,-0.0933356765944765,-0.180183234436357,-0.280991849527778,-0.295564901343456,0.0110372959083536
healthy,-0.14061428380351,-0.271076297330086,-0.195606907015181,0.105530808864524,-0.333096483382917,-0.264658603912213,0.0811409340664467,-0.135007042661494,-0.185018264677823,0.0354918651965967,0.0218363028688694,-0.215550823833279,0.107863643858116,-0.187548621880733,-0.0937225200926298,-0.45219169937116,-0.385345681823178,-0.0127103471545981,-0.224411899192901,-0.0132836176841423,0.046078522072677,-0.435889520379025,-0.458080181734779,-0.519645773774195,-0.110674853829379,-0.323685823727663,-0.564549714301774,0.216316606707337,-0.133695778465717,-0.155591126188745
healthy,0.356909831591059,-0.0651676910753006,-0.0201177496741111,0.103046661075496,0.225762223208886,0.191516482063964,0.0039876119954424,0.171474718514213,0.463228152244391,0.163725193516022,-0.0076075839214011,0.0209937362224729,0.044143154256261,0.335375130587561,0.0430193930606806,0.403069984466124,0.263089605998103,0.258212092463346,0.11956944948079,-0.298651551214261,0.171959915213063,0.19411915546284,0.271100472361455,0.346305789021426,0.160876571739345,-0.0218820833890803,0.447390105652865,0.101237688576517,0.329694638788381,0.0622586584063642
healthy,-0.0129218780058036,0.322268804993438,0.0061757709944146,0.169458950662453,-0.0846649624010402,0.0008219998211013,0.172214690249939,0.0141278377706693,-0.242997147509088,-0.0338432671295846,-0.0662553338716003,-0.011987205343456,0.224930787882769,0.0616323774513512,-0.114730515033918,0.0550451841628653,-0.0667031940639401,0.0528382620598349,-0.0187731500174589,0.214988183678135,0.0740537622898327,-0.0832215250231259,0.0904134405498277,-0.0268298470380538,-0.064755311965563,-0.139709269726272,-0.097790972417412,0.333035547186076,0.0203060627241575,-0.0771110871833798
healthy,0.0745246014226716,-0.0814211387688927,-0.0011728313988146,0.0264381567102093,-0.0472192035547828,-0.238454003323687,-0.286009015976228,-0.256393300468366,-0.0236821970994299,-0.271595470374849,0.0585536281092074,-0.0856290416346327,-0.253784373576442,0.218440585398936,0.159381882077952,-0.108760172909271,-0.0622944287473738,-0.435038330260065,-0.23094150881874,0.0191923599134567,-0.322981234059776,0.108151419159975,-0.0506230529595016,0.0287918855468755,0.275671552278892,0.0610827979331462,-0.116020955860543,-0.284168643257797,-0.208964707068296,0.17905781020888
healthy,-0.163236298773201,-0.268473722435179,0.0287912017459541,0.149068586963223,-0.202762448121856,-0.23656225729899,-0.0965253210843289,0.121098075786729,-0.0708661336083396,0.340938806856061,-0.081250374603894,0.0741268646997567,0.103440466123913,-0.0442998277861525,-0.159281136873425,-0.280279214662899,-0.274563197012098,0.230952910113787,-0.150997425049757,-0.185946909744822,-0.109579529962286,-0.171409296074195,-0.297186775269616,-0.225980464309478,-0.301125086683502,0.0066049725770846,-0.123539857454698,0.167027179961045,-0.230565887456397,-0.0692522541056641
healthy,0.36654532215312,0.185627454921534,-0.269727439354853,-0.0097640889420302,0.423844260489047,0.438833467181254,0.0298972964416866,-0.0688240525806657,0.458776533096122,0.507571061805271,-0.0443107175067966,-0.459313332093212,-0.246326643925441,-0.358076225927255,0.468317894166006,0.285482129609309,0.451393668882996,0.0389985531424503,0.619940339411246,-0.103847438305908,-0.129612942289405,0.619700825232183,0.160145865727374,0.299348920773815,0.15330524881735,0.111612953644231,0.143933307908103,-0.116711268657175,0.533250034671952,-0.0411630721785283
