group,ASCL2,BACH2,BCL6,CDX2,CEBPA,E2F4,E2F8,ELK4,ETV7,FOXA1,FOXD2,HINFP,HOXA6,IRF1,KLF4,MZF1,REST,RUNX2,RXRA,SMAD3,SP2,SPI1,STAT2,STAT5A,TFDP1,TP63,XBP1,ZNF143
healthy,-0.0106519248140591,-0.0145065286927797,0.12552501771001,0.108205146742339,-0.0198865836680888,-0.108753230539434,0.135799148639295,0.0119288754653932,0.0670721817160415,0.100214128905493,0.0716205126151719,0.0515047472762142,0.108592661020962,0.121615426498722,-0.0354695544696324,-0.126588038354463,0.0923695677140405,-0.128469117584162,0.082093037189621,-0.106354855538346,0.0106782390183274,-0.0693939323572511,-0.11091961756348,0.117643079774009,-0.13534562515893,-0.112598317379826,0.122983358409636,-0.0958766370093407
healthy,0.0749050307711914,-0.119208779511343,-0.0543975618289817,0.132214442004016,-0.0076432900946151,-0.124805535488485,0.103434283178724,-0.0354632640896221,0.113200922177234,0.091267017970341,-0.0689250762441164,-0.0906447306620981,0.120694959609911,0.122673323340003,0.0628011213481918,-0.13799852976799,0.0816022515731974,-0.132881483226285,-0.0413451758123739,-0.0688791186795899,-0.0447277619842947,-0.075915659499683,-0.131938368348539,0.0712018358753122,-0.127516156413366,-0.116551666322304,0.125562959920991,-0.0354851486441585
healthy,0.151621276161319,-0.0204935018592676,0.163439699395972,0.122154748578759,-0.068434326574951,-0.162238829569344,0.13229522772201,-0.0023105718651678,0.141004266551612,0.123367473208729,0.124406236756628,0.0920906954038893,0.149170485899739,0.0969419202027601,-0.0974210609011443,-0.131122526648278,0.152495758237214,-0.152061915938757,0.111396568925583,-0.132443086484796,-0.0031905463040796,-0.110099827455413,-0.126346672296344,0.139194614507482,-0.162324586564163,-0.133116798221521,0.159546592854374,-0.0901879450876412
healthy,0.134664269968148,-0.119936278453147,0.0956428348016424,-0.0036082264473371,-0.047178656414251,-0.0798455227362562,-0.0573518098471481,0.0687900337672492,0.0230751194178694,0.116135223709839,-0.0330992691675161,-0.0512894050874521,0.0600484843498948,-0.052481434553455,-0.0880173521882416,-0.0921397874248349,0.0658420981515705,-0.0542373407031308,0.084187081036453,-0.068775425563009,-0.0418992514018314,-0.0089285344316293,0.0564256496983174,-0.123004001343596,-0.0755244159219958,-0.0756091435065892,-0.0787265342914545,-0.133232665952606
healthy,0.0648611391202208,-0.0647034437111994,-0.0640828359724702,0.0376612245383753,-0.0794454209803575,-0.023936637004839,-0.0106647879036542,0.045200082479332,0.117546666579389,0.0565236302368012,0.0550229803767592,0.0735191257703613,-0.0394009609862884,-0.0899652308466856,0.0195415133469533,-0.0494680324202649,0.0900415350768573,-0.114657279730224,0.0274008490546308,-0.0047334057449798,-0.0460445159598979,0.10630451000077,-0.0117584818694475,0.0596470167251597,-0.0393093959100825,0.0088080516361446,0.0320554070950999,-0.103313384178042
moderate,0.311619885157098,0.31154019386624,0.31362675879167,0.307330585607591,-0.30301603177577,-0.156376199708662,0.305322589560471,0.0164293136611043,0.320097467126855,-0.311012098762735,-0.324787467955748,0.0176381519745464,0.254959377356845,0.315501748951935,-0.309862187108026,-0.329508896335966,0.314248575342875,-0.306724482832049,-0.314679020554764,-0.0068107993370166,0.302133815513592,-0.316454677204593,-0.300431115679338,0.301845355488936,-0.319482946257208,-0.314006134232658,0.30887109682876,-0.303179904007675
moderate,0.0042644710003756,-0.0910954031342083,0.104076186649878,0.0803436120237774,-0.0906702927697784,-0.134345540603518,0.134600345163291,0.105577710472699,0.0663462552990483,0.0861979451618147,0.118385600036045,0.0122524332565748,0.131780288089986,0.113698549936539,0.0198222816793972,-0.140831495536782,0.100851383099273,-0.111464779412533,0.0781943686960704,-0.111832808322396,-0.0536848093877022,-0.0404548811077053,-0.0957521918148506,0.174156854619076,-0.172082610691316,-0.11344712987756,0.138057513180168,0.034819431315132
moderate,0.230343284959452,-0.247874917995682,0.0510130073862307,0.213583918958158,-0.243471824553372,-0.253234752971567,0.260002706331109,0.232850007549665,0.251553176570983,0.0625245149625505,-0.256858879103186,0.26195880122392,0.251182444047064,0.234493117618941,-0.0781480637149699,-0.139780959968,0.157761945310558,-0.259675260480767,-0.158912464603353,-0.250429120957245,-0.217169096724243,-0.195919099865033,-0.187083508892572,0.222493020150223,-0.264504038348863,-0.2378141888321,0.259770173020046,-0.236085228467011
severe,0.225893117149163,0.0743720816612245,-0.0859905517957658,0.0882379454217905,-0.179708253281012,-0.305809694607926,0.108656395124902,0.303812011384793,0.150783464946064,-0.216256145304234,-0.103782418001795,-0.181951022640316,-0.327215425255803,0.177379934987383,-0.078695771044626,0.241014469324267,-0.197608789754965,0.128210106951333,-0.120730355531384,-0.310168065991729,0.0179583398079566,-0.0748136991330051,0.293402786997588,-0.216036492635024,0.0282010905932337,0.226535890223273,-0.0273016707161518,-0.317798106080084
severe,0.0660190416696449,0.0488373735368134,0.049632159640671,0.177628443085512,-0.0222790154146507,-0.0773246507424955,-0.0142722151818562,0.021680693291522,-0.0816147096671381,0.052279065271945,-0.0401590236971639,-0.0035792165216418,-0.0158457130638754,-0.0264565540594213,0.0678622310161191,0.012091464995766,-0.0810824708829818,-0.0415039089470622,-0.0263601081052453,-0.0465941120841277,-0.0228309005968799,-0.01325774662682,0.0277710766941161,-0.0204483283214956,-0.19857864757596,-0.112184505068546,-0.0750510266746063,-0.0407055507708277
